experiment,model,year,region,pr
SSP1-2.6,access_cm2,2015,Brest,383.4463027435205
SSP1-2.6,access_cm2,2015,Gomel,364.0262478349861
SSP1-2.6,access_cm2,2015,Grodno,392.9637868667166
SSP1-2.6,access_cm2,2015,Minsk,370.061276249143
SSP1-2.6,access_cm2,2015,Mogilev,354.75307806129024
SSP1-2.6,access_cm2,2015,Vitebsk,326.2031185693828
SSP1-2.6,access_cm2,2016,Brest,343.3659087969982
SSP1-2.6,access_cm2,2016,Gomel,325.71557208704087
SSP1-2.6,access_cm2,2016,Grodno,326.3603915140171
SSP1-2.6,access_cm2,2016,Minsk,329.51457685463384
SSP1-2.6,access_cm2,2016,Mogilev,320.6913559440854
SSP1-2.6,access_cm2,2016,Vitebsk,316.6771715838638
SSP1-2.6,access_cm2,2017,Brest,284.2339866592556
SSP1-2.6,access_cm2,2017,Gomel,270.7654985985129
SSP1-2.6,access_cm2,2017,Grodno,289.86324801708247
SSP1-2.6,access_cm2,2017,Minsk,261.88704776159335
SSP1-2.6,access_cm2,2017,Mogilev,268.7002129795975
SSP1-2.6,access_cm2,2017,Vitebsk,279.9907598552781
SSP1-2.6,access_cm2,2018,Brest,275.50328835931464
SSP1-2.6,access_cm2,2018,Gomel,236.15718116717494
SSP1-2.6,access_cm2,2018,Grodno,292.6727362761943
SSP1-2.6,access_cm2,2018,Minsk,259.9195083390035
SSP1-2.6,access_cm2,2018,Mogilev,251.44800118663326
SSP1-2.6,access_cm2,2018,Vitebsk,277.33851327188853
SSP1-2.6,access_cm2,2019,Brest,251.88951929100168
SSP1-2.6,access_cm2,2019,Gomel,276.0869186416011
SSP1-2.6,access_cm2,2019,Grodno,278.8495080422257
SSP1-2.6,access_cm2,2019,Minsk,265.38861429802796
SSP1-2.6,access_cm2,2019,Mogilev,301.14095458729764
SSP1-2.6,access_cm2,2019,Vitebsk,296.10540485803915
SSP1-2.6,access_cm2,2020,Brest,295.48031258491704
SSP1-2.6,access_cm2,2020,Gomel,285.56379756128985
SSP1-2.6,access_cm2,2020,Grodno,294.2750472888123
SSP1-2.6,access_cm2,2020,Minsk,299.4788246431199
SSP1-2.6,access_cm2,2020,Mogilev,291.83508531256166
SSP1-2.6,access_cm2,2020,Vitebsk,302.1496410647787
SSP1-2.6,access_cm2,2021,Brest,271.65641644934385
SSP1-2.6,access_cm2,2021,Gomel,271.0944698720552
SSP1-2.6,access_cm2,2021,Grodno,271.6727817745006
SSP1-2.6,access_cm2,2021,Minsk,267.83370313511784
SSP1-2.6,access_cm2,2021,Mogilev,283.09315704953843
SSP1-2.6,access_cm2,2021,Vitebsk,271.9129961333438
SSP1-2.6,access_cm2,2022,Brest,261.11805768147303
SSP1-2.6,access_cm2,2022,Gomel,237.15422093443615
SSP1-2.6,access_cm2,2022,Grodno,255.19601341526126
SSP1-2.6,access_cm2,2022,Minsk,239.34936387541762
SSP1-2.6,access_cm2,2022,Mogilev,243.3291054369208
SSP1-2.6,access_cm2,2022,Vitebsk,253.3947840529016
SSP1-2.6,access_cm2,2023,Brest,189.4637609898267
SSP1-2.6,access_cm2,2023,Gomel,200.1965359681718
SSP1-2.6,access_cm2,2023,Grodno,195.53984346639373
SSP1-2.6,access_cm2,2023,Minsk,199.81103833322314
SSP1-2.6,access_cm2,2023,Mogilev,211.5763972532306
SSP1-2.6,access_cm2,2023,Vitebsk,214.5738377801049
SSP1-2.6,access_cm2,2024,Brest,351.7939198297503
SSP1-2.6,access_cm2,2024,Gomel,321.32253745396173
SSP1-2.6,access_cm2,2024,Grodno,359.15301523103284
SSP1-2.6,access_cm2,2024,Minsk,322.44726925141583
SSP1-2.6,access_cm2,2024,Mogilev,323.79433465326144
SSP1-2.6,access_cm2,2024,Vitebsk,305.16324782271414
SSP1-2.6,access_cm2,2025,Brest,330.2624726282083
SSP1-2.6,access_cm2,2025,Gomel,289.5932758267758
SSP1-2.6,access_cm2,2025,Grodno,348.8179474341499
SSP1-2.6,access_cm2,2025,Minsk,317.10134014322733
SSP1-2.6,access_cm2,2025,Mogilev,328.006283594096
SSP1-2.6,access_cm2,2025,Vitebsk,330.87341015650827
SSP1-2.6,access_cm2,2026,Brest,302.14929270169034
SSP1-2.6,access_cm2,2026,Gomel,288.6041348283772
SSP1-2.6,access_cm2,2026,Grodno,296.08548247387256
SSP1-2.6,access_cm2,2026,Minsk,277.2513325750178
SSP1-2.6,access_cm2,2026,Mogilev,291.79373838520263
SSP1-2.6,access_cm2,2026,Vitebsk,285.2693350185189
SSP1-2.6,access_cm2,2027,Brest,343.9581936352826
SSP1-2.6,access_cm2,2027,Gomel,321.48302742628044
SSP1-2.6,access_cm2,2027,Grodno,363.2332764834769
SSP1-2.6,access_cm2,2027,Minsk,338.5223774850759
SSP1-2.6,access_cm2,2027,Mogilev,349.33709868204613
SSP1-2.6,access_cm2,2027,Vitebsk,354.45466210251516
SSP1-2.6,access_cm2,2028,Brest,266.19933580436145
SSP1-2.6,access_cm2,2028,Gomel,267.3157233038358
SSP1-2.6,access_cm2,2028,Grodno,315.24522786166466
SSP1-2.6,access_cm2,2028,Minsk,309.48766951060077
SSP1-2.6,access_cm2,2028,Mogilev,302.6816576707823
SSP1-2.6,access_cm2,2028,Vitebsk,353.55005451603404
SSP1-2.6,access_cm2,2029,Brest,269.8187238477943
SSP1-2.6,access_cm2,2029,Gomel,272.7314038031348
SSP1-2.6,access_cm2,2029,Grodno,301.3345244594236
SSP1-2.6,access_cm2,2029,Minsk,299.6262466993171
SSP1-2.6,access_cm2,2029,Mogilev,296.45951355535885
SSP1-2.6,access_cm2,2029,Vitebsk,317.6213656820445
SSP1-2.6,access_cm2,2030,Brest,372.89017680826976
SSP1-2.6,access_cm2,2030,Gomel,320.68703777832593
SSP1-2.6,access_cm2,2030,Grodno,382.888418562438
SSP1-2.6,access_cm2,2030,Minsk,353.04597473536757
SSP1-2.6,access_cm2,2030,Mogilev,315.97957103250104
SSP1-2.6,access_cm2,2030,Vitebsk,333.21255002087764
SSP1-2.6,access_cm2,2031,Brest,218.01683694933328
SSP1-2.6,access_cm2,2031,Gomel,215.69290818764475
SSP1-2.6,access_cm2,2031,Grodno,231.29716047373967
SSP1-2.6,access_cm2,2031,Minsk,236.57130072498472
SSP1-2.6,access_cm2,2031,Mogilev,241.15397663422092
SSP1-2.6,access_cm2,2031,Vitebsk,254.8311504669292
SSP1-2.6,access_cm2,2032,Brest,370.66050497163076
SSP1-2.6,access_cm2,2032,Gomel,351.58646379299626
SSP1-2.6,access_cm2,2032,Grodno,378.5600102549978
SSP1-2.6,access_cm2,2032,Minsk,364.4770258029118
SSP1-2.6,access_cm2,2032,Mogilev,368.0313823782211
SSP1-2.6,access_cm2,2032,Vitebsk,353.8117446281043
SSP1-2.6,access_cm2,2033,Brest,206.70094194861835
SSP1-2.6,access_cm2,2033,Gomel,216.63524449546762
SSP1-2.6,access_cm2,2033,Grodno,213.12207268260428
SSP1-2.6,access_cm2,2033,Minsk,212.85922901647575
SSP1-2.6,access_cm2,2033,Mogilev,214.85713636816783
SSP1-2.6,access_cm2,2033,Vitebsk,221.13530412440718
SSP1-2.6,access_cm2,2034,Brest,288.5891968138253
SSP1-2.6,access_cm2,2034,Gomel,285.9785332491504
SSP1-2.6,access_cm2,2034,Grodno,323.55451178064385
SSP1-2.6,access_cm2,2034,Minsk,310.02545954430326
SSP1-2.6,access_cm2,2034,Mogilev,308.84451904682516
SSP1-2.6,access_cm2,2034,Vitebsk,307.7668268799324
SSP1-2.6,access_cm2,2035,Brest,331.84348405192003
SSP1-2.6,access_cm2,2035,Gomel,284.7776852249521
SSP1-2.6,access_cm2,2035,Grodno,325.79377239896104
SSP1-2.6,access_cm2,2035,Minsk,301.2389027163773
SSP1-2.6,access_cm2,2035,Mogilev,297.49838904173924
SSP1-2.6,access_cm2,2035,Vitebsk,295.1337777512823
SSP1-2.6,access_cm2,2036,Brest,309.7202861046891
SSP1-2.6,access_cm2,2036,Gomel,311.55231566248864
SSP1-2.6,access_cm2,2036,Grodno,321.32772766084986
SSP1-2.6,access_cm2,2036,Minsk,300.8452266842343
SSP1-2.6,access_cm2,2036,Mogilev,309.0700691471037
SSP1-2.6,access_cm2,2036,Vitebsk,286.7806734365592
SSP1-2.6,access_cm2,2037,Brest,293.8346798127736
SSP1-2.6,access_cm2,2037,Gomel,264.8967847850747
SSP1-2.6,access_cm2,2037,Grodno,327.1854726284567
SSP1-2.6,access_cm2,2037,Minsk,287.39498047307507
SSP1-2.6,access_cm2,2037,Mogilev,271.9752338942766
SSP1-2.6,access_cm2,2037,Vitebsk,280.59257370680587
SSP1-2.6,access_cm2,2038,Brest,327.6963038740021
SSP1-2.6,access_cm2,2038,Gomel,283.0767197750023
SSP1-2.6,access_cm2,2038,Grodno,350.1051292500836
SSP1-2.6,access_cm2,2038,Minsk,318.00513716012415
SSP1-2.6,access_cm2,2038,Mogilev,294.54225351366074
SSP1-2.6,access_cm2,2038,Vitebsk,321.4278303374295
SSP1-2.6,access_cm2,2039,Brest,272.76154868537697
SSP1-2.6,access_cm2,2039,Gomel,235.24634996027376
SSP1-2.6,access_cm2,2039,Grodno,297.27374469380254
SSP1-2.6,access_cm2,2039,Minsk,269.4722261504378
SSP1-2.6,access_cm2,2039,Mogilev,237.6605718723674
SSP1-2.6,access_cm2,2039,Vitebsk,269.7652017089834
SSP1-2.6,access_cm2,2040,Brest,255.3925592820624
SSP1-2.6,access_cm2,2040,Gomel,261.1760978501471
SSP1-2.6,access_cm2,2040,Grodno,283.8729070493822
SSP1-2.6,access_cm2,2040,Minsk,291.5856565312713
SSP1-2.6,access_cm2,2040,Mogilev,307.49132876847625
SSP1-2.6,access_cm2,2040,Vitebsk,318.54581485199077
SSP1-2.6,access_cm2,2041,Brest,342.4811350530938
SSP1-2.6,access_cm2,2041,Gomel,289.6880064835956
SSP1-2.6,access_cm2,2041,Grodno,391.61866923980926
SSP1-2.6,access_cm2,2041,Minsk,336.47922029370017
SSP1-2.6,access_cm2,2041,Mogilev,324.32967776677145
SSP1-2.6,access_cm2,2041,Vitebsk,367.31329395105007
SSP1-2.6,access_cm2,2042,Brest,347.94568767754606
