experiment,model,year,region,tas
SSP1-2.6,access_cm2,2015,Brest,-1.7846892235869727
SSP1-2.6,access_cm2,2015,Gomel,-3.2260468165162166
SSP1-2.6,access_cm2,2015,Grodno,-2.8030053283742005
SSP1-2.6,access_cm2,2015,Minsk,-3.861135920224303
SSP1-2.6,access_cm2,2015,Mogilev,-4.801452410281412
SSP1-2.6,access_cm2,2015,Vitebsk,-5.6908939175654325
SSP1-2.6,access_cm2,2016,Brest,-0.962495674416855
SSP1-2.6,access_cm2,2016,Gomel,-1.4205128280271406
SSP1-2.6,access_cm2,2016,Grodno,-1.2031111281044389
SSP1-2.6,access_cm2,2016,Minsk,-1.8076729149381576
SSP1-2.6,access_cm2,2016,Mogilev,-2.217292234312753
SSP1-2.6,access_cm2,2016,Vitebsk,-2.4756730431142233
SSP1-2.6,access_cm2,2017,Brest,-0.24450249204024468
SSP1-2.6,access_cm2,2017,Gomel,-1.3537609950666403
SSP1-2.6,access_cm2,2017,Grodno,-0.6938857895173609
SSP1-2.6,access_cm2,2017,Minsk,-1.5202116464471487
SSP1-2.6,access_cm2,2017,Mogilev,-2.3878680913768062
SSP1-2.6,access_cm2,2017,Vitebsk,-2.673131620237474
SSP1-2.6,access_cm2,2018,Brest,0.5316179917831383
SSP1-2.6,access_cm2,2018,Gomel,-0.9267617022081429
SSP1-2.6,access_cm2,2018,Grodno,0.1889913346620332
SSP1-2.6,access_cm2,2018,Minsk,-0.7315836069672152
SSP1-2.6,access_cm2,2018,Mogilev,-1.6947710694938083
SSP1-2.6,access_cm2,2018,Vitebsk,-1.571576866394583
SSP1-2.6,access_cm2,2019,Brest,-4.406123907770042
SSP1-2.6,access_cm2,2019,Gomel,-6.012328853767953
SSP1-2.6,access_cm2,2019,Grodno,-5.3642806064107
SSP1-2.6,access_cm2,2019,Minsk,-6.581673656122305
SSP1-2.6,access_cm2,2019,Mogilev,-7.49669123284569
SSP1-2.6,access_cm2,2019,Vitebsk,-8.040564208603323
SSP1-2.6,access_cm2,2020,Brest,-1.4210944592477197
SSP1-2.6,access_cm2,2020,Gomel,-2.2536481963642334
SSP1-2.6,access_cm2,2020,Grodno,-2.513379768757398
SSP1-2.6,access_cm2,2020,Minsk,-3.160618846777698
SSP1-2.6,access_cm2,2020,Mogilev,-3.5249167039382057
SSP1-2.6,access_cm2,2020,Vitebsk,-4.556749857115634
SSP1-2.6,access_cm2,2021,Brest,-0.6708877186342737
SSP1-2.6,access_cm2,2021,Gomel,-1.7517714108692846
SSP1-2.6,access_cm2,2021,Grodno,-1.1499433619816035
SSP1-2.6,access_cm2,2021,Minsk,-1.9751247373169865
SSP1-2.6,access_cm2,2021,Mogilev,-2.7941958052907947
SSP1-2.6,access_cm2,2021,Vitebsk,-3.0227504894758894
SSP1-2.6,access_cm2,2022,Brest,-0.06927047934127127
SSP1-2.6,access_cm2,2022,Gomel,-1.0430708774378745
SSP1-2.6,access_cm2,2022,Grodno,-0.7676885719245997
SSP1-2.6,access_cm2,2022,Minsk,-1.470851069407505
SSP1-2.6,access_cm2,2022,Mogilev,-1.9773291092294059
SSP1-2.6,access_cm2,2022,Vitebsk,-2.4781433299332543
SSP1-2.6,access_cm2,2023,Brest,-4.470692408259934
SSP1-2.6,access_cm2,2023,Gomel,-6.116012612491026
SSP1-2.6,access_cm2,2023,Grodno,-5.2780363931846255
SSP1-2.6,access_cm2,2023,Minsk,-6.477948505921667
SSP1-2.6,access_cm2,2023,Mogilev,-7.44438547859248
SSP1-2.6,access_cm2,2023,Vitebsk,-7.760129059715712
SSP1-2.6,access_cm2,2024,Brest,-0.6852527456395403
SSP1-2.6,access_cm2,2024,Gomel,-1.9102804196136747
SSP1-2.6,access_cm2,2024,Grodno,-1.263542270871967
SSP1-2.6,access_cm2,2024,Minsk,-2.1421016455498894
SSP1-2.6,access_cm2,2024,Mogilev,-2.9494229133022047
SSP1-2.6,access_cm2,2024,Vitebsk,-3.306867003878976
SSP1-2.6,access_cm2,2025,Brest,-1.41384743910892
SSP1-2.6,access_cm2,2025,Gomel,-2.6426598328033677
SSP1-2.6,access_cm2,2025,Grodno,-2.2943405624764392
SSP1-2.6,access_cm2,2025,Minsk,-3.2602077026702645
SSP1-2.6,access_cm2,2025,Mogilev,-4.028575826720392
SSP1-2.6,access_cm2,2025,Vitebsk,-4.695642506128466
SSP1-2.6,access_cm2,2026,Brest,-1.847145791213597
SSP1-2.6,access_cm2,2026,Gomel,-2.9843027043756223
SSP1-2.6,access_cm2,2026,Grodno,-2.4363616094576206
SSP1-2.6,access_cm2,2026,Minsk,-3.3944910735885316
