year,region,e_Apr
1940,Brest,57.390
1940,Gomel,45.502
1940,Grodno,55.116
1940,Minsk,45.460
1940,Mogilev,38.419
1940,Vitebsk,40.435
1941,Brest,40.917
1941,Gomel,38.399
1941,Grodno,32.953
1941,Minsk,31.816
1941,Mogilev,32.305
1941,Vitebsk,28.309
1942,Brest,44.864
1942,Gomel,36.408
1942,Grodno,39.657
1942,Minsk,35.148
1942,Mogilev,32.330
1942,Vitebsk,31.632
1943,Brest,61.651
1943,Gomel,62.239
1943,Grodno,60.895
1943,Minsk,58.798
1943,Mogilev,58.499
1943,Vitebsk,51.249
1944,Brest,47.995
1944,Gomel,38.941
1944,Grodno,43.967
1944,Minsk,42.013
1944,Mogilev,35.684
1944,Vitebsk,36.937
1945,Brest,52.466
1945,Gomel,53.464
1945,Grodno,47.886
1945,Minsk,49.551
1945,Mogilev,48.599
1945,Vitebsk,43.965
1946,Brest,60.226
1946,Gomel,54.208
1946,Grodno,56.882
1946,Minsk,52.557
1946,Mogilev,49.605
1946,Vitebsk,45.270
1947,Brest,56.670
1947,Gomel,57.533
1947,Grodno,49.737
1947,Minsk,48.780
1947,Mogilev,48.726
1947,Vitebsk,42.329
1948,Brest,65.347
1948,Gomel,62.731
1948,Grodno,58.966
1948,Minsk,58.793
1948,Mogilev,59.435
1948,Vitebsk,54.550
1949,Brest,58.873
1949,Gomel,54.807
1949,Grodno,54.750
1949,Minsk,50.930
1949,Mogilev,46.943
1949,Vitebsk,43.188
1950,Brest,61.150
1950,Gomel,62.112
1950,Grodno,58.928
1950,Minsk,55.081
1950,Mogilev,56.338
1950,Vitebsk,46.833
1951,Brest,63.212
1951,Gomel,58.251
1951,Grodno,57.806
1951,Minsk,54.629
1951,Mogilev,55.546
1951,Vitebsk,45.873
1952,Brest,55.888
1952,Gomel,53.756
1952,Grodno,47.520
1952,Minsk,44.749
1952,Mogilev,45.350
1952,Vitebsk,36.401
1953,Brest,57.397
1953,Gomel,51.787
1953,Grodno,56.765
1953,Minsk,51.388
1953,Mogilev,46.826
1953,Vitebsk,44.117
1954,Brest,44.849
1954,Gomel,45.053
1954,Grodno,42.504
1954,Minsk,40.150
1954,Mogilev,39.049
1954,Vitebsk,34.815
1955,Brest,48.068
1955,Gomel,47.341
1955,Grodno,39.997
1955,Minsk,33.165
1955,Mogilev,34.756
1955,Vitebsk,22.348
1956,Brest,40.088
1956,Gomel,37.258
1956,Grodno,34.123
1956,Minsk,23.828
1956,Mogilev,21.847
1956,Vitebsk,12.474
1957,Brest,57.798
1957,Gomel,60.338
1957,Grodno,51.420
1957,Minsk,50.325
1957,Mogilev,50.782
1957,Vitebsk,41.448
1958,Brest,37.723
1958,Gomel,35.882
1958,Grodno,26.904
1958,Minsk,21.000
1958,Mogilev,17.533
1958,Vitebsk,22.548
1959,Brest,64.283
1959,Gomel,61.914
1959,Grodno,59.345
1959,Minsk,55.603
1959,Mogilev,56.488
1959,Vitebsk,51.586
1960,Brest,59.184
1960,Gomel,60.105
1960,Grodno,54.499
1960,Minsk,52.212
1960,Mogilev,53.540
1960,Vitebsk,42.739
1961,Brest,65.607
1961,Gomel,63.713
1961,Grodno,61.667
1961,Minsk,57.676
1961,Mogilev,56.288
1961,Vitebsk,51.694
1962,Brest,59.474
1962,Gomel,60.429
1962,Grodno,49.838
1962,Minsk,50.619
1962,Mogilev,49.110
1962,Vitebsk,41.276
1963,Brest,50.082
1963,Gomel,42.006
1963,Grodno,44.102
1963,Minsk,35.000
1963,Mogilev,34.338
1963,Vitebsk,30.310
1964,Brest,43.003
1964,Gomel,40.649
1964,Grodno,35.268
1964,Minsk,32.635
1964,Mogilev,31.439
1964,Vitebsk,31.087
1965,Brest,53.675
1965,Gomel,54.642
1965,Grodno,52.857
1965,Minsk,48.652
1965,Mogilev,41.988
1965,Vitebsk,39.371
1966,Brest,55.227
1966,Gomel,62.702
1966,Grodno,46.897
1966,Minsk,48.579
1966,Mogilev,55.753
1966,Vitebsk,40.651
1967,Brest,49.659
1967,Gomel,46.812
1967,Grodno,46.247
1967,Minsk,44.070
1967,Mogilev,37.956
1967,Vitebsk,39.587
1968,Brest,58.232
1968,Gomel,58.356
1968,Grodno,57.144
1968,Minsk,52.977
1968,Mogilev,54.643
1968,Vitebsk,53.062
1969,Brest,44.517
1969,Gomel,33.602
1969,Grodno,38.822
1969,Minsk,36.084
1969,Mogilev,31.039
1969,Vitebsk,34.497
1970,Brest,46.925
1970,Gomel,42.988
1970,Grodno,35.275
1970,Minsk,33.408
1970,Mogilev,31.550
1970,Vitebsk,30.884
1971,Brest,55.232
1971,Gomel,54.170
1971,Grodno,50.949
1971,Minsk,47.385
1971,Mogilev,45.118
1971,Vitebsk,41.889
1972,Brest,54.608
1972,Gomel,57.374
1972,Grodno,49.387
1972,Minsk,46.646
1972,Mogilev,48.701
1972,Vitebsk,41.318
1973,Brest,58.255
1973,Gomel,56.793
1973,Grodno,54.153
1973,Minsk,49.597
1973,Mogilev,50.724
1973,Vitebsk,44.540
1974,Brest,47.636
1974,Gomel,48.428
1974,Grodno,46.411
1974,Minsk,47.243
1974,Mogilev,49.643
1974,Vitebsk,45.839
1975,Brest,49.142
1975,Gomel,53.495
1975,Grodno,46.336
1975,Minsk,44.789
1975,Mogilev,51.056
1975,Vitebsk,44.643
1976,Brest,53.556
1976,Gomel,54.231
1976,Grodno,52.130
1976,Minsk,49.698
1976,Mogilev,49.942
1976,Vitebsk,46.139
1977,Brest,49.058
1977,Gomel,48.912
1977,Grodno,44.813
1977,Minsk,41.646
1977,Mogilev,44.607
