year,region,e_Aug
1940,Brest,79.506
1940,Gomel,85.011
1940,Grodno,79.514
1940,Minsk,78.953
1940,Mogilev,83.253
1940,Vitebsk,78.898
1941,Brest,87.270
1941,Gomel,94.330
1941,Grodno,79.423
1941,Minsk,83.301
1941,Mogilev,86.027
1941,Vitebsk,78.715
1942,Brest,89.432
1942,Gomel,64.698
1942,Grodno,89.785
1942,Minsk,84.312
1942,Mogilev,64.168
1942,Vitebsk,88.134
1943,Brest,94.985
1943,Gomel,99.963
1943,Grodno,93.181
1943,Minsk,96.829
1943,Mogilev,96.750
1943,Vitebsk,94.283
1944,Brest,89.950
1944,Gomel,76.923
1944,Grodno,84.777
1944,Minsk,80.690
1944,Mogilev,79.762
1944,Vitebsk,74.784
1945,Brest,90.299
1945,Gomel,86.492
1945,Grodno,83.889
1945,Minsk,83.001
1945,Mogilev,81.847
1945,Vitebsk,77.848
1946,Brest,86.673
1946,Gomel,80.782
1946,Grodno,86.915
1946,Minsk,91.334
1946,Mogilev,86.367
1946,Vitebsk,83.000
1947,Brest,76.915
1947,Gomel,72.655
1947,Grodno,74.685
1947,Minsk,74.268
1947,Mogilev,77.142
1947,Vitebsk,74.866
1948,Brest,89.367
1948,Gomel,90.942
1948,Grodno,83.544
1948,Minsk,87.916
1948,Mogilev,84.029
1948,Vitebsk,84.712
1949,Brest,88.512
1949,Gomel,89.208
1949,Grodno,83.954
1949,Minsk,85.743
1949,Mogilev,85.506
1949,Vitebsk,78.569
1950,Brest,70.631
1950,Gomel,76.010
1950,Grodno,70.332
1950,Minsk,73.976
1950,Mogilev,73.855
1950,Vitebsk,70.660
1951,Brest,75.773
1951,Gomel,80.496
1951,Grodno,66.967
1951,Minsk,72.830
1951,Mogilev,76.392
1951,Vitebsk,78.644
1952,Brest,74.658
1952,Gomel,79.696
1952,Grodno,71.294
1952,Minsk,80.409
1952,Mogilev,83.075
1952,Vitebsk,76.948
1953,Brest,72.322
1953,Gomel,87.577
1953,Grodno,70.419
1953,Minsk,74.407
1953,Mogilev,81.809
1953,Vitebsk,76.540
1954,Brest,86.959
1954,Gomel,92.728
1954,Grodno,79.045
1954,Minsk,81.476
1954,Mogilev,89.283
1954,Vitebsk,77.650
1955,Brest,91.327
1955,Gomel,84.576
1955,Grodno,79.377
1955,Minsk,81.504
1955,Mogilev,87.102
1955,Vitebsk,79.959
1956,Brest,86.867
1956,Gomel,92.007
1956,Grodno,82.059
1956,Minsk,81.769
1956,Mogilev,81.687
1956,Vitebsk,73.110
1957,Brest,78.865
1957,Gomel,86.722
1957,Grodno,77.149
1957,Minsk,77.782
1957,Mogilev,78.773
1957,Vitebsk,70.123
1958,Brest,79.271
1958,Gomel,82.775
1958,Grodno,78.716
1958,Minsk,75.466
1958,Mogilev,78.020
1958,Vitebsk,72.085
1959,Brest,87.903
1959,Gomel,78.504
1959,Grodno,87.914
1959,Minsk,72.995
1959,Mogilev,75.719
1959,Vitebsk,77.989
1960,Brest,81.442
1960,Gomel,75.545
1960,Grodno,77.926
1960,Minsk,77.156
1960,Mogilev,73.177
1960,Vitebsk,74.651
1961,Brest,79.831
1961,Gomel,86.711
1961,Grodno,76.043
1961,Minsk,77.172
1961,Mogilev,79.894
1961,Vitebsk,74.155
1962,Brest,87.337
1962,Gomel,92.758
1962,Grodno,84.299
1962,Minsk,83.711
1962,Mogilev,85.170
1962,Vitebsk,79.028
1963,Brest,80.086
1963,Gomel,83.153
1963,Grodno,77.837
1963,Minsk,78.291
1963,Mogilev,80.367
1963,Vitebsk,80.821
1964,Brest,69.539
1964,Gomel,79.309
1964,Grodno,65.470
1964,Minsk,72.260
1964,Mogilev,70.800
1964,Vitebsk,64.700
1965,Brest,83.958
1965,Gomel,81.338
1965,Grodno,76.509
1965,Minsk,78.801
1965,Mogilev,77.714
1965,Vitebsk,72.090
1966,Brest,84.341
1966,Gomel,80.417
1966,Grodno,79.001
1966,Minsk,82.024
1966,Mogilev,78.371
1966,Vitebsk,79.069
1967,Brest,74.343
1967,Gomel,73.245
1967,Grodno,72.852
1967,Minsk,69.506
1967,Mogilev,70.800
1967,Vitebsk,65.424
1968,Brest,82.588
1968,Gomel,90.144
1968,Grodno,70.807
1968,Minsk,75.316
1968,Mogilev,78.221
1968,Vitebsk,77.360
1969,Brest,56.246
1969,Gomel,68.711
1969,Grodno,62.052
1969,Minsk,61.461
1969,Mogilev,69.373
1969,Vitebsk,64.313
1970,Brest,75.437
1970,Gomel,80.420
1970,Grodno,66.933
1970,Minsk,73.165
1970,Mogilev,71.985
1970,Vitebsk,72.288
1971,Brest,73.141
1971,Gomel,77.443
1971,Grodno,65.285
1971,Minsk,55.393
1971,Mogilev,75.983
1971,Vitebsk,70.206
1972,Brest,76.257
1972,Gomel,80.817
1972,Grodno,78.130
1972,Minsk,79.415
1972,Mogilev,82.108
1972,Vitebsk,82.442
1973,Brest,84.093
1973,Gomel,74.529
1973,Grodno,86.456
1973,Minsk,82.062
1973,Mogilev,80.935
1973,Vitebsk,79.128
1974,Brest,84.380
1974,Gomel,91.521
1974,Grodno,76.607
1974,Minsk,80.716
1974,Mogilev,88.280
1974,Vitebsk,75.993
1975,Brest,91.762
1975,Gomel,87.508
1975,Grodno,80.914
1975,Minsk,74.524
1975,Mogilev,80.426
1975,Vitebsk,75.094
1976,Brest,67.775
1976,Gomel,66.297
1976,Grodno,64.850
1976,Minsk,64.742
1976,Mogilev,63.786
1976,Vitebsk,64.764
1977,Brest,71.557
1977,Gomel,74.247
1977,Grodno,68.809
1977,Minsk,70.736
1977,Mogilev,70.418
1977,Vitebsk,67.066
1978,Brest,67.647
1978,Gomel,77.887
1978,Grodno,72.035
1978,Minsk,72.141
1978,Mogilev,74.204
1978,Vitebsk,73.065
1979,Brest,87.194
1979,Gomel,80.962
1979,Grodno,81.328
1979,Minsk,83.396
1979,Mogilev,78.726
1979,Vitebsk,79.587
1980,Brest,77.581
1980,Gomel,77.511
1980,Grodno,73.541
1980,Minsk,72.909
1980,Mogilev,72.436
1980,Vitebsk,68.404
1981,Brest,73.736
1981,Gomel,70.628
1981,Grodno,66.900
1981,Minsk,69.532
1981,Mogilev,65.596
1981,Vitebsk,68.155
1982,Brest,71.828
1982,Gomel,88.516
1982,Grodno,64.781
1982,Minsk,82.530
1982,Mogilev,85.784
1982,Vitebsk,79.978
1983,Brest,81.680
1983,Gomel,72.000
1983,Grodno,73.330
1983,Minsk,65.405
1983,Mogilev,74.583
1983,Vitebsk,76.051
1984,Brest,72.973
1984,Gomel,70.908
1984,Grodno,73.365
1984,Minsk,66.377
1984,Mogilev,72.194
1984,Vitebsk,71.612
1985,Brest,91.153
1985,Gomel,88.475
1985,Grodno,88.519
1985,Minsk,84.590
1985,Mogilev,83.090
1985,Vitebsk,82.495
1986,Brest,80.744
1986,Gomel,84.491
1986,Grodno,73.628
1986,Minsk,73.486
1986,Mogilev,77.134
1986,Vitebsk,76.835
1987,Brest,75.594
1987,Gomel,75.676
1987,Grodno,75.950
1987,Minsk,71.816
1987,Mogilev,71.576
1987,Vitebsk,72.775
1988,Brest,86.497
1988,Gomel,81.516
1988,Grodno,76.790
1988,Minsk,77.420
1988,Mogilev,80.879
1988,Vitebsk,76.498
1989,Brest,77.829
1989,Gomel,85.232
1989,Grodno,77.835
1989,Minsk,76.686
1989,Mogilev,79.254
1989,Vitebsk,77.082
1990,Brest,83.866
1990,Gomel,90.825
1990,Grodno,79.428
1990,Minsk,81.723
