year,region,e_Dec
1940,Brest,6.284
1940,Gomel,6.506
1940,Grodno,4.807
1940,Minsk,4.671
1940,Mogilev,4.925
1940,Vitebsk,4.843
1941,Brest,5.369
1941,Gomel,4.670
1941,Grodno,3.799
1941,Minsk,3.278
1941,Mogilev,3.314
1941,Vitebsk,3.221
1942,Brest,5.508
1942,Gomel,2.964
1942,Grodno,3.563
1942,Minsk,2.008
1942,Mogilev,1.169
1942,Vitebsk,2.138
1943,Brest,4.712
1943,Gomel,5.090
1943,Grodno,3.402
1943,Minsk,3.580
1943,Mogilev,4.324
1943,Vitebsk,3.557
1944,Brest,4.029
1944,Gomel,3.490
1944,Grodno,3.952
1944,Minsk,2.689
1944,Mogilev,2.638
1944,Vitebsk,3.723
1945,Brest,5.313
1945,Gomel,5.232
1945,Grodno,4.184
1945,Minsk,3.629
1945,Mogilev,3.857
1945,Vitebsk,3.580
1946,Brest,3.923
1946,Gomel,3.255
1946,Grodno,3.448
1946,Minsk,2.413
1946,Mogilev,3.080
1946,Vitebsk,2.832
1947,Brest,6.554
1947,Gomel,6.189
1947,Grodno,4.859
1947,Minsk,4.623
1947,Mogilev,3.735
1947,Vitebsk,3.444
1948,Brest,2.948
1948,Gomel,2.609
1948,Grodno,2.897
1948,Minsk,2.299
1948,Mogilev,2.314
1948,Vitebsk,3.801
1949,Brest,10.861
1949,Gomel,7.473
1949,Grodno,9.176
1949,Minsk,6.896
1949,Mogilev,6.073
1949,Vitebsk,6.946
1950,Brest,6.231
1950,Gomel,6.651
1950,Grodno,6.851
1950,Minsk,5.698
1950,Mogilev,5.876
1950,Vitebsk,6.984
1951,Brest,8.007
1951,Gomel,5.632
1951,Grodno,8.188
1951,Minsk,6.800
1951,Mogilev,5.714
1951,Vitebsk,7.630
1952,Brest,2.805
1952,Gomel,1.251
1952,Grodno,2.222
1952,Minsk,1.223
1952,Mogilev,0.972
1952,Vitebsk,3.575
1953,Brest,3.533
1953,Gomel,2.523
1953,Grodno,2.911
1953,Minsk,2.296
1953,Mogilev,2.225
1953,Vitebsk,2.753
1954,Brest,6.321
1954,Gomel,5.709
1954,Grodno,5.597
1954,Minsk,4.526
1954,Mogilev,5.238
1954,Vitebsk,6.534
1955,Brest,6.646
1955,Gomel,4.738
1955,Grodno,4.199
1955,Minsk,3.228
1955,Mogilev,3.314
1955,Vitebsk,3.555
1956,Brest,4.673
1956,Gomel,2.424
1956,Grodno,3.204
1956,Minsk,1.772
1956,Mogilev,1.507
1956,Vitebsk,1.836
1957,Brest,5.853
1957,Gomel,3.545
1957,Grodno,5.267
1957,Minsk,3.678
1957,Mogilev,2.289
1957,Vitebsk,4.157
1958,Brest,5.447
1958,Gomel,4.927
1958,Grodno,3.529
1958,Minsk,3.490
1958,Mogilev,3.812
1958,Vitebsk,3.702
1959,Brest,5.369
1959,Gomel,3.178
1959,Grodno,5.413
