year,region,e_Feb
1940,Brest,3.652
1940,Gomel,3.155
1940,Grodno,3.036
1940,Minsk,2.013
1940,Mogilev,2.154
1940,Vitebsk,3.303
1941,Brest,4.714
1941,Gomel,3.797
1941,Grodno,4.310
1941,Minsk,3.175
1941,Mogilev,3.410
1941,Vitebsk,4.564
1942,Brest,5.552
1942,Gomel,3.089
1942,Grodno,4.641
1942,Minsk,2.630
1942,Mogilev,2.376
1942,Vitebsk,3.455
1943,Brest,11.423
1943,Gomel,6.448
1943,Grodno,8.974
1943,Minsk,5.386
1943,Mogilev,4.592
1943,Vitebsk,7.103
1944,Brest,10.078
1944,Gomel,9.382
1944,Grodno,8.593
1944,Minsk,6.761
1944,Mogilev,6.765
1944,Vitebsk,6.601
1945,Brest,5.193
1945,Gomel,3.718
1945,Grodno,4.217
1945,Minsk,2.413
1945,Mogilev,2.254
1945,Vitebsk,3.849
1946,Brest,7.289
1946,Gomel,5.645
1946,Grodno,6.076
1946,Minsk,3.985
1946,Mogilev,4.167
1946,Vitebsk,5.036
1947,Brest,4.006
1947,Gomel,4.608
1947,Grodno,3.941
1947,Minsk,2.662
1947,Mogilev,3.047
1947,Vitebsk,3.357
1948,Brest,7.970
1948,Gomel,7.766
1948,Grodno,5.579
1948,Minsk,5.193
1948,Mogilev,6.189
1948,Vitebsk,4.587
1949,Brest,9.823
1949,Gomel,8.453
1949,Grodno,9.145
1949,Minsk,7.665
1949,Mogilev,6.798
1949,Vitebsk,6.826
1950,Brest,9.485
1950,Gomel,6.567
1950,Grodno,8.320
1950,Minsk,5.861
1950,Mogilev,3.872
1950,Vitebsk,5.672
1951,Brest,7.641
1951,Gomel,7.367
1951,Grodno,7.424
1951,Minsk,6.071
1951,Mogilev,5.560
1951,Vitebsk,6.007
1952,Brest,6.653
1952,Gomel,8.438
1952,Grodno,4.799
1952,Minsk,5.076
1952,Mogilev,5.574
1952,Vitebsk,5.784
1953,Brest,5.906
1953,Gomel,5.343
1953,Grodno,4.821
1953,Minsk,4.662
1953,Mogilev,4.259
1953,Vitebsk,5.650
1954,Brest,3.726
1954,Gomel,3.414
1954,Grodno,2.911
1954,Minsk,2.270
1954,Mogilev,2.868
1954,Vitebsk,2.834
1955,Brest,4.272
1955,Gomel,3.109
1955,Grodno,4.017
1955,Minsk,2.771
1955,Mogilev,2.498
1955,Vitebsk,4.897
1956,Brest,3.448
1956,Gomel,3.476
1956,Grodno,3.595
1956,Minsk,2.590
1956,Mogilev,2.889
1956,Vitebsk,4.141
1957,Brest,11.682
1957,Gomel,8.962
1957,Grodno,10.855
1957,Minsk,8.647
1957,Mogilev,5.464
1957,Vitebsk,7.809
1958,Brest,7.324
1958,Gomel,4.494
1958,Grodno,4.864
1958,Minsk,2.167
1958,Mogilev,1.998
1958,Vitebsk,3.195
1959,Brest,10.617
1959,Gomel,10.537
1959,Grodno,7.893
1959,Minsk,5.989
1959,Mogilev,8.727
1959,Vitebsk,7.359
1960,Brest,6.555
1960,Gomel,5.265
1960,Grodno,5.701
1960,Minsk,3.987
1960,Mogilev,3.773
1960,Vitebsk,5.729
1961,Brest,6.521
1961,Gomel,7.450
1961,Grodno,5.912
1961,Minsk,4.229
1961,Mogilev,5.861
1961,Vitebsk,5.233
1962,Brest,9.504
1962,Gomel,6.573
1962,Grodno,8.869
1962,Minsk,6.694
1962,Mogilev,5.758
1962,Vitebsk,8.396
1963,Brest,3.447
1963,Gomel,3.983
1963,Grodno,3.475
1963,Minsk,2.680
1963,Mogilev,3.191
1963,Vitebsk,4.307
1964,Brest,4.124
1964,Gomel,2.520
1964,Grodno,3.499
1964,Minsk,1.584
1964,Mogilev,1.258
1964,Vitebsk,2.820
1965,Brest,6.316
1965,Gomel,5.063
1965,Grodno,4.772
1965,Minsk,3.564
1965,Mogilev,3.381
1965,Vitebsk,4.244
1966,Brest,2.011
1966,Gomel,-0.106
1966,Grodno,1.360
1966,Minsk,-0.216
1966,Mogilev,0.635
1966,Vitebsk,1.824
1967,Brest,3.404
1967,Gomel,2.332
1967,Grodno,3.945
1967,Minsk,2.672
1967,Mogilev,1.933
1967,Vitebsk,4.978
1968,Brest,5.981
1968,Gomel,4.575
1968,Grodno,5.316
1968,Minsk,3.581
1968,Mogilev,3.027
