year,region,e_Jan
1940,Brest,3.690
1940,Gomel,3.243
1940,Grodno,2.665
1940,Minsk,2.296
1940,Mogilev,2.277
1940,Vitebsk,2.461
1941,Brest,3.656
1941,Gomel,2.336
1941,Grodno,3.108
1941,Minsk,1.737
1941,Mogilev,1.325
1941,Vitebsk,1.923
1942,Brest,1.777
1942,Gomel,1.737
1942,Grodno,1.306
1942,Minsk,1.278
1942,Mogilev,1.798
1942,Vitebsk,1.931
1943,Brest,2.835
1943,Gomel,1.051
1943,Grodno,3.313
1943,Minsk,1.158
1943,Mogilev,0.798
1943,Vitebsk,2.741
1944,Brest,8.052
1944,Gomel,7.327
1944,Grodno,5.856
1944,Minsk,4.864
1944,Mogilev,4.716
1944,Vitebsk,5.504
1945,Brest,3.249
1945,Gomel,2.858
1945,Grodno,3.486
1945,Minsk,2.670
1945,Mogilev,2.775
1945,Vitebsk,4.016
1946,Brest,5.737
1946,Gomel,3.667
1946,Grodno,5.326
1946,Minsk,4.323
1946,Mogilev,2.539
1946,Vitebsk,4.298
1947,Brest,1.559
1947,Gomel,1.922
1947,Grodno,1.679
1947,Minsk,1.525
1947,Mogilev,1.980
1947,Vitebsk,2.037
1948,Brest,4.585
1948,Gomel,4.103
1948,Grodno,2.802
1948,Minsk,2.940
1948,Mogilev,3.105
1948,Vitebsk,3.591
1949,Brest,4.668
1949,Gomel,4.577
1949,Grodno,4.350
1949,Minsk,3.847
1949,Mogilev,3.747
1949,Vitebsk,4.614
1950,Brest,3.191
1950,Gomel,2.165
1950,Grodno,2.520
1950,Minsk,2.058
1950,Mogilev,1.308
1950,Vitebsk,2.216
1951,Brest,6.561
1951,Gomel,5.477
1951,Grodno,4.408
1951,Minsk,3.364
1951,Mogilev,3.390
1951,Vitebsk,3.696
1952,Brest,8.672
1952,Gomel,7.193
1952,Grodno,8.287
1952,Minsk,7.588
1952,Mogilev,6.542
1952,Vitebsk,8.109
1953,Brest,4.669
1953,Gomel,4.022
1953,Grodno,3.414
1953,Minsk,1.963
1953,Mogilev,2.041
1953,Vitebsk,2.538
1954,Brest,4.503
1954,Gomel,3.780
1954,Grodno,3.672
1954,Minsk,3.361
1954,Mogilev,2.782
1954,Vitebsk,3.573
1955,Brest,4.328
1955,Gomel,3.008
1955,Grodno,3.618
1955,Minsk,2.463
1955,Mogilev,2.510
1955,Vitebsk,4.794
1956,Brest,10.113
1956,Gomel,6.782
1956,Grodno,9.498
1956,Minsk,6.202
1956,Mogilev,4.866
1956,Vitebsk,6.822
1957,Brest,6.564
1957,Gomel,5.811
1957,Grodno,5.582
1957,Minsk,5.790
1957,Mogilev,4.332
1957,Vitebsk,5.743
1958,Brest,5.435
1958,Gomel,5.264
1958,Grodno,4.198
1958,Minsk,3.345
1958,Mogilev,3.760
1958,Vitebsk,4.982
1959,Brest,7.320
1959,Gomel,6.292
1959,Grodno,6.125
1959,Minsk,3.429
1959,Mogilev,5.119
1959,Vitebsk,5.575
1960,Brest,2.724
1960,Gomel,3.354
1960,Grodno,2.722
1960,Minsk,2.074
1960,Mogilev,2.387
1960,Vitebsk,3.221
1961,Brest,5.387
1961,Gomel,5.806
1961,Grodno,5.517
1961,Minsk,4.925
1961,Mogilev,4.607
