year,region,e_Jul
1940,Brest,100.289
1940,Gomel,98.411
1940,Grodno,97.026
1940,Minsk,95.292
1940,Mogilev,97.598
1940,Vitebsk,99.147
1941,Brest,107.142
1941,Gomel,105.835
1941,Grodno,100.808
1941,Minsk,107.596
1941,Mogilev,107.856
1941,Vitebsk,105.105
1942,Brest,105.150
1942,Gomel,106.187
1942,Grodno,96.616
1942,Minsk,103.677
1942,Mogilev,101.745
1942,Vitebsk,104.759
1943,Brest,97.316
1943,Gomel,98.328
1943,Grodno,94.540
1943,Minsk,97.162
1943,Mogilev,97.660
1943,Vitebsk,96.463
1944,Brest,104.328
1944,Gomel,100.949
1944,Grodno,99.327
1944,Minsk,104.967
1944,Mogilev,104.959
1944,Vitebsk,101.164
1945,Brest,107.149
1945,Gomel,110.905
1945,Grodno,102.834
1945,Minsk,108.236
1945,Mogilev,109.625
1945,Vitebsk,102.932
1946,Brest,109.845
1946,Gomel,107.584
1946,Grodno,106.783
1946,Minsk,111.840
1946,Mogilev,109.323
1946,Vitebsk,106.087
1947,Brest,109.684
1947,Gomel,103.672
1947,Grodno,103.305
1947,Minsk,105.362
1947,Mogilev,110.146
1947,Vitebsk,102.536
1948,Brest,104.207
1948,Gomel,108.582
1948,Grodno,100.982
1948,Minsk,106.723
1948,Mogilev,108.659
1948,Vitebsk,105.914
1949,Brest,97.367
1949,Gomel,104.013
1949,Grodno,95.977
1949,Minsk,100.420
1949,Mogilev,101.702
1949,Vitebsk,98.823
1950,Brest,89.522
1950,Gomel,95.449
1950,Grodno,89.035
1950,Minsk,95.310
1950,Mogilev,96.245
1950,Vitebsk,96.225
1951,Brest,99.314
1951,Gomel,106.245
1951,Grodno,93.311
1951,Minsk,100.020
1951,Mogilev,103.896
1951,Vitebsk,102.193
1952,Brest,90.351
1952,Gomel,108.604
1952,Grodno,94.774
1952,Minsk,99.135
1952,Mogilev,106.848
1952,Vitebsk,104.451
1953,Brest,104.558
1953,Gomel,127.640
1953,Grodno,99.326
1953,Minsk,109.753
1953,Mogilev,118.397
1953,Vitebsk,107.277
1954,Brest,96.376
1954,Gomel,105.617
1954,Grodno,92.463
1954,Minsk,98.615
1954,Mogilev,100.543
1954,Vitebsk,92.712
1955,Brest,111.369
1955,Gomel,107.997
1955,Grodno,102.185
1955,Minsk,103.793
1955,Mogilev,101.709
1955,Vitebsk,92.916
1956,Brest,104.398
1956,Gomel,108.331
1956,Grodno,98.015
1956,Minsk,101.170
1956,Mogilev,105.378
1956,Vitebsk,98.230
1957,Brest,96.439
1957,Gomel,100.609
1957,Grodno,98.258
1957,Minsk,100.466
1957,Mogilev,94.897
1957,Vitebsk,96.351
1958,Brest,111.946
1958,Gomel,110.081
1958,Grodno,108.060
1958,Minsk,108.036
1958,Mogilev,103.055
1958,Vitebsk,100.725
1959,Brest,107.251
1959,Gomel,98.032
1959,Grodno,104.303
1959,Minsk,91.398
1959,Mogilev,88.898
1959,Vitebsk,96.620
1960,Brest,98.775
1960,Gomel,97.061
1960,Grodno,101.034
1960,Minsk,105.475
1960,Mogilev,110.805
1960,Vitebsk,110.762
1961,Brest,84.590
1961,Gomel,100.864
1961,Grodno,83.668
1961,Minsk,86.110
1961,Mogilev,97.707
1961,Vitebsk,91.258
1962,Brest,99.327
1962,Gomel,98.489
1962,Grodno,94.844
1962,Minsk,97.367
1962,Mogilev,91.031
1962,Vitebsk,92.734
1963,Brest,92.214
1963,Gomel,89.667
1963,Grodno,99.884
1963,Minsk,89.011
1963,Mogilev,95.824
1963,Vitebsk,96.943
1964,Brest,75.207
1964,Gomel,103.078
1964,Grodno,76.414
1964,Minsk,94.372
1964,Mogilev,98.999
1964,Vitebsk,88.796
1965,Brest,102.902
1965,Gomel,94.410
1965,Grodno,98.482
1965,Minsk,99.679
1965,Mogilev,97.436
1965,Vitebsk,98.227
1966,Brest,94.310
1966,Gomel,98.158
1966,Grodno,99.781
1966,Minsk,91.470
1966,Mogilev,98.089
1966,Vitebsk,94.676
1967,Brest,94.718
1967,Gomel,96.028
1967,Grodno,90.133
1967,Minsk,86.187
1967,Mogilev,87.308
1967,Vitebsk,85.715
1968,Brest,93.001
1968,Gomel,99.322
1968,Grodno,88.578
1968,Minsk,91.093
1968,Mogilev,93.199
1968,Vitebsk,91.733
1969,Brest,95.131
1969,Gomel,107.648
1969,Grodno,98.493
1969,Minsk,107.619
1969,Mogilev,107.982
1969,Vitebsk,102.893
1970,Brest,98.151
1970,Gomel,101.855
1970,Grodno,91.020
1970,Minsk,97.687
1970,Mogilev,95.439
1970,Vitebsk,98.476
1971,Brest,93.376
1971,Gomel,97.327
1971,Grodno,91.081
1971,Minsk,76.113
1971,Mogilev,93.938
1971,Vitebsk,93.153
1972,Brest,93.244
1972,Gomel,105.152
1972,Grodno,90.834
1972,Minsk,94.020
1972,Mogilev,104.978
1972,Vitebsk,95.967
1973,Brest,95.981
1973,Gomel,87.050
1973,Grodno,92.675
1973,Minsk,99.621
1973,Mogilev,100.075
1973,Vitebsk,97.327
1974,Brest,89.723
1974,Gomel,100.148
1974,Grodno,85.365
1974,Minsk,92.483
1974,Mogilev,95.275
1974,Vitebsk,91.552
1975,Brest,103.751
1975,Gomel,99.873
1975,Grodno,97.994
1975,Minsk,103.691
1975,Mogilev,97.549
1975,Vitebsk,97.337
1976,Brest,87.503
1976,Gomel,83.246
1976,Grodno,89.251
