year,region,e_Jun
1940,Brest,117.886
1940,Gomel,122.745
1940,Grodno,111.780
1940,Minsk,118.546
1940,Mogilev,120.689
1940,Vitebsk,116.637
1941,Brest,115.326
1941,Gomel,115.265
1941,Grodno,105.969
1941,Minsk,107.992
1941,Mogilev,106.514
1941,Vitebsk,94.568
1942,Brest,102.384
1942,Gomel,100.929
1942,Grodno,96.611
1942,Minsk,100.644
1942,Mogilev,98.955
1942,Vitebsk,94.772
1943,Brest,98.680
1943,Gomel,109.336
1943,Grodno,96.055
1943,Minsk,102.930
1943,Mogilev,108.583
1943,Vitebsk,100.210
1944,Brest,104.174
1944,Gomel,97.403
1944,Grodno,100.305
1944,Minsk,99.540
1944,Mogilev,96.106
1944,Vitebsk,95.140
1945,Brest,96.098
1945,Gomel,98.324
1945,Grodno,96.187
1945,Minsk,97.268
1945,Mogilev,96.393
1945,Vitebsk,89.632
1946,Brest,108.681
1946,Gomel,117.407
1946,Grodno,97.876
1946,Minsk,107.041
1946,Mogilev,114.206
1946,Vitebsk,104.593
1947,Brest,110.974
1947,Gomel,116.385
1947,Grodno,105.637
1947,Minsk,115.160
1947,Mogilev,117.195
1947,Vitebsk,109.200
1948,Brest,100.200
1948,Gomel,111.462
1948,Grodno,95.854
1948,Minsk,99.862
1948,Mogilev,111.771
1948,Vitebsk,103.441
1949,Brest,91.710
1949,Gomel,94.625
1949,Grodno,90.921
1949,Minsk,96.181
1949,Mogilev,99.637
1949,Vitebsk,96.300
1950,Brest,93.514
1950,Gomel,96.726
1950,Grodno,101.170
1950,Minsk,98.666
1950,Mogilev,93.502
1950,Vitebsk,95.826
1951,Brest,117.688
1951,Gomel,123.512
1951,Grodno,105.354
1951,Minsk,114.321
1951,Mogilev,118.258
1951,Vitebsk,107.039
1952,Brest,103.535
1952,Gomel,100.144
1952,Grodno,99.602
1952,Minsk,99.900
1952,Mogilev,99.043
1952,Vitebsk,91.925
1953,Brest,106.536
1953,Gomel,112.216
1953,Grodno,105.365
1953,Minsk,108.830
1953,Mogilev,108.908
1953,Vitebsk,103.515
1954,Brest,110.976
1954,Gomel,114.665
1954,Grodno,109.850
1954,Minsk,108.883
1954,Mogilev,114.083
1954,Vitebsk,109.224
1955,Brest,103.963
1955,Gomel,111.875
1955,Grodno,100.098
1955,Minsk,107.815
1955,Mogilev,111.394
1955,Vitebsk,102.057
1956,Brest,106.692
1956,Gomel,116.685
1956,Grodno,100.851
1956,Minsk,110.715
1956,Mogilev,113.304
1956,Vitebsk,104.448
1957,Brest,106.085
1957,Gomel,110.738
1957,Grodno,104.803
1957,Minsk,111.411
1957,Mogilev,111.542
1957,Vitebsk,106.014
1958,Brest,90.170
1958,Gomel,100.227
1958,Grodno,87.561
1958,Minsk,94.952
1958,Mogilev,99.866
1958,Vitebsk,95.544
1959,Brest,98.684
1959,Gomel,100.604
1959,Grodno,93.552
1959,Minsk,101.582
1959,Mogilev,95.267
1959,Vitebsk,99.807
1960,Brest,100.248
1960,Gomel,89.752
1960,Grodno,104.565
1960,Minsk,103.063
1960,Mogilev,100.955
1960,Vitebsk,102.807
1961,Brest,95.966
1961,Gomel,115.235
1961,Grodno,101.626
1961,Minsk,101.410
1961,Mogilev,108.646
1961,Vitebsk,97.803
1962,Brest,98.801
1962,Gomel,100.925
1962,Grodno,99.121
1962,Minsk,100.093
1962,Mogilev,100.337
1962,Vitebsk,100.317
1963,Brest,91.837
1963,Gomel,89.574
1963,Grodno,96.140
1963,Minsk,94.250
1963,Mogilev,96.460
1963,Vitebsk,90.560
1964,Brest,94.813
1964,Gomel,75.754
1964,Grodno,104.248
1964,Minsk,103.391
1964,Mogilev,96.004
1964,Vitebsk,97.767
1965,Brest,93.228
1965,Gomel,99.602
1965,Grodno,92.591
1965,Minsk,97.873
1965,Mogilev,103.500
1965,Vitebsk,100.913
1966,Brest,89.378
1966,Gomel,97.666
1966,Grodno,99.158
1966,Minsk,96.051
1966,Mogilev,96.725
