year,region,e_Mar
1940,Brest,11.310
1940,Gomel,7.498
1940,Grodno,12.276
1940,Minsk,7.626
1940,Mogilev,7.064
1940,Vitebsk,10.029
1941,Brest,17.942
1941,Gomel,12.783
1941,Grodno,14.644
1941,Minsk,11.093
1941,Mogilev,10.486
1941,Vitebsk,12.325
1942,Brest,12.614
1942,Gomel,10.359
1942,Grodno,9.759
1942,Minsk,7.799
1942,Mogilev,8.808
1942,Vitebsk,10.633
1943,Brest,33.711
1943,Gomel,25.391
1943,Grodno,33.613
1943,Minsk,25.919
1943,Mogilev,17.544
1943,Vitebsk,19.424
1944,Brest,21.690
1944,Gomel,17.116
1944,Grodno,19.983
1944,Minsk,15.993
1944,Mogilev,13.475
1944,Vitebsk,15.723
1945,Brest,20.936
1945,Gomel,12.864
1945,Grodno,18.092
1945,Minsk,11.989
1945,Mogilev,6.740
1945,Vitebsk,8.715
1946,Brest,19.233
1946,Gomel,15.798
1946,Grodno,16.655
1946,Minsk,12.645
1946,Mogilev,11.938
1946,Vitebsk,12.153
1947,Brest,10.013
1947,Gomel,8.297
1947,Grodno,8.745
1947,Minsk,5.641
1947,Mogilev,3.850
1947,Vitebsk,6.517
1948,Brest,21.132
1948,Gomel,17.490
1948,Grodno,18.901
1948,Minsk,15.508
1948,Mogilev,15.235
1948,Vitebsk,14.624
1949,Brest,17.641
1949,Gomel,15.007
1949,Grodno,15.369
1949,Minsk,10.404
1949,Mogilev,7.885
1949,Vitebsk,12.169
1950,Brest,28.025
1950,Gomel,26.339
1950,Grodno,26.696
1950,Minsk,24.276
1950,Mogilev,23.568
1950,Vitebsk,21.746
1951,Brest,17.431
1951,Gomel,13.002
1951,Grodno,11.980
1951,Minsk,6.991
1951,Mogilev,5.630
1951,Vitebsk,5.855
1952,Brest,13.210
1952,Gomel,10.936
1952,Grodno,11.420
1952,Minsk,8.205
1952,Mogilev,8.365
1952,Vitebsk,9.006
1953,Brest,27.069
1953,Gomel,16.838
1953,Grodno,18.666
1953,Minsk,10.330
1953,Mogilev,8.952
1953,Vitebsk,10.073
1954,Brest,17.254
1954,Gomel,15.725
1954,Grodno,17.606
1954,Minsk,15.177
1954,Mogilev,13.706
1954,Vitebsk,13.470
1955,Brest,11.498
1955,Gomel,8.829
1955,Grodno,10.357
1955,Minsk,7.740
1955,Mogilev,6.508
1955,Vitebsk,9.921
1956,Brest,11.976
1956,Gomel,9.796
1956,Grodno,13.277
1956,Minsk,7.674
1956,Mogilev,6.436
1956,Vitebsk,10.213
1957,Brest,26.208
1957,Gomel,20.932
1957,Grodno,23.007
1957,Minsk,19.654
1957,Mogilev,12.968
1957,Vitebsk,15.688
1958,Brest,11.198
1958,Gomel,11.432
1958,Grodno,9.811
1958,Minsk,7.674
1958,Mogilev,8.221
1958,Vitebsk,12.302
1959,Brest,31.040
1959,Gomel,27.974
1959,Grodno,27.632
1959,Minsk,18.393
1959,Mogilev,16.610
1959,Vitebsk,13.567
1960,Brest,23.975
1960,Gomel,18.111
1960,Grodno,12.920
1960,Minsk,9.029
1960,Mogilev,8.658
1960,Vitebsk,8.025
1961,Brest,35.614
1961,Gomel,32.622
1961,Grodno,32.070
1961,Minsk,29.688
1961,Mogilev,28.977
1961,Vitebsk,27.983
1962,Brest,9.407
1962,Gomel,8.676
1962,Grodno,9.349
1962,Minsk,7.085
1962,Mogilev,6.698
1962,Vitebsk,10.279
1963,Brest,13.991
1963,Gomel,10.069
1963,Grodno,11.780
1963,Minsk,8.152
1963,Mogilev,7.774
1963,Vitebsk,10.459
1964,Brest,7.969
1964,Gomel,5.744
1964,Grodno,8.788
1964,Minsk,5.677
1964,Mogilev,5.011
1964,Vitebsk,9.025
1965,Brest,11.900
1965,Gomel,10.804
1965,Grodno,9.665
1965,Minsk,7.118
1965,Mogilev,6.598
1965,Vitebsk,8.631
1966,Brest,25.711
1966,Gomel,23.493
1966,Grodno,23.418
1966,Minsk,17.093
1966,Mogilev,18.174
1966,Vitebsk,13.594
1967,Brest,23.387
1967,Gomel,10.631
1967,Grodno,17.959
1967,Minsk,12.173
1967,Mogilev,6.055
1967,Vitebsk,11.247
1968,Brest,26.385
1968,Gomel,11.673
1968,Grodno,22.593
1968,Minsk,14.112
1968,Mogilev,6.951
1968,Vitebsk,9.789
1969,Brest,14.070
1969,Gomel,9.320
1969,Grodno,13.765
1969,Minsk,9.748
1969,Mogilev,8.721
1969,Vitebsk,12.436
1970,Brest,11.443
1970,Gomel,9.384
1970,Grodno,11.948
1970,Minsk,8.916
1970,Mogilev,10.209
1970,Vitebsk,14.304
1971,Brest,15.173
1971,Gomel,9.425
1971,Grodno,12.214
1971,Minsk,6.618
1971,Mogilev,6.331
1971,Vitebsk,6.743
1972,Brest,28.398
1972,Gomel,25.852
1972,Grodno,23.989
1972,Minsk,18.779
1972,Mogilev,21.315
1972,Vitebsk,20.274
1973,Brest,23.250
1973,Gomel,19.266
1973,Grodno,22.446
1973,Minsk,15.547
