year,region,e_May
1940,Brest,86.481
1940,Gomel,93.148
1940,Grodno,81.118
1940,Minsk,80.474
1940,Mogilev,83.597
1940,Vitebsk,77.429
1941,Brest,81.111
1941,Gomel,84.054
1941,Grodno,79.178
1941,Minsk,79.483
1941,Mogilev,79.650
1941,Vitebsk,74.730
1942,Brest,85.636
1942,Gomel,83.589
1942,Grodno,75.792
1942,Minsk,73.236
1942,Mogilev,73.600
1942,Vitebsk,63.171
1943,Brest,83.623
1943,Gomel,84.406
1943,Grodno,83.959
1943,Minsk,83.083
1943,Mogilev,82.355
1943,Vitebsk,81.329
1944,Brest,89.541
1944,Gomel,89.734
1944,Grodno,84.944
1944,Minsk,86.618
1944,Mogilev,88.243
1944,Vitebsk,82.530
1945,Brest,95.844
1945,Gomel,93.455
1945,Grodno,88.241
1945,Minsk,89.643
1945,Mogilev,89.163
1945,Vitebsk,84.193
1946,Brest,96.736
1946,Gomel,99.013
1946,Grodno,89.334
1946,Minsk,90.741
1946,Mogilev,93.259
1946,Vitebsk,82.420
1947,Brest,92.549
1947,Gomel,92.915
1947,Grodno,88.135
1947,Minsk,89.308
1947,Mogilev,88.819
1947,Vitebsk,80.155
1948,Brest,94.083
1948,Gomel,92.592
1948,Grodno,90.212
1948,Minsk,90.623
1948,Mogilev,90.534
1948,Vitebsk,88.527
1949,Brest,103.680
1949,Gomel,109.028
1949,Grodno,99.085
1949,Minsk,102.788
1949,Mogilev,106.151
1949,Vitebsk,94.343
1950,Brest,96.589
1950,Gomel,94.353
1950,Grodno,94.327
1950,Minsk,95.557
1950,Mogilev,94.349
1950,Vitebsk,89.364
1951,Brest,80.604
1951,Gomel,78.928
1951,Grodno,77.546
1951,Minsk,76.870
1951,Mogilev,75.312
1951,Vitebsk,74.766
1952,Brest,84.966
1952,Gomel,82.798
1952,Grodno,81.402
1952,Minsk,79.537
1952,Mogilev,81.272
1952,Vitebsk,76.343
1953,Brest,90.834
1953,Gomel,94.489
1953,Grodno,88.757
1953,Minsk,90.950
1953,Mogilev,90.183
1953,Vitebsk,85.455
1954,Brest,90.850
1954,Gomel,95.131
1954,Grodno,87.224
1954,Minsk,91.505
1954,Mogilev,92.109
1954,Vitebsk,81.270
1955,Brest,90.710
1955,Gomel,92.805
1955,Grodno,85.628
1955,Minsk,87.295
1955,Mogilev,89.106
1955,Vitebsk,80.644
1956,Brest,93.429
1956,Gomel,93.718
1956,Grodno,87.683
1956,Minsk,88.383
1956,Mogilev,87.086
1956,Vitebsk,79.191
1957,Brest,82.586
1957,Gomel,90.167
1957,Grodno,80.689
1957,Minsk,84.210
1957,Mogilev,89.906
1957,Vitebsk,80.684
1958,Brest,102.904
1958,Gomel,108.637
1958,Grodno,92.624
1958,Minsk,97.828
1958,Mogilev,101.547
1958,Vitebsk,91.504
1959,Brest,84.274
1959,Gomel,86.527
1959,Grodno,83.957
1959,Minsk,91.286
1959,Mogilev,90.989
1959,Vitebsk,86.908
1960,Brest,89.520
1960,Gomel,94.632
1960,Grodno,91.348
1960,Minsk,94.658
1960,Mogilev,97.613
1960,Vitebsk,91.114
1961,Brest,83.818
1961,Gomel,88.531
1961,Grodno,84.192
1961,Minsk,82.965
1961,Mogilev,86.740
1961,Vitebsk,82.729
1962,Brest,81.730
1962,Gomel,97.975
1962,Grodno,72.679
1962,Minsk,83.970
1962,Mogilev,94.003
1962,Vitebsk,80.781
1963,Brest,105.483
1963,Gomel,104.049
1963,Grodno,108.305
1963,Minsk,107.997
1963,Mogilev,103.671
1963,Vitebsk,99.481
1964,Brest,89.477
1964,Gomel,87.889
1964,Grodno,86.493
1964,Minsk,88.350
1964,Mogilev,85.029
1964,Vitebsk,84.051
1965,Brest,78.253
1965,Gomel,83.977
1965,Grodno,73.445
1965,Minsk,75.572
1965,Mogilev,78.789
1965,Vitebsk,70.634
1966,Brest,93.415
1966,Gomel,98.644
1966,Grodno,90.784
1966,Minsk,95.812
1966,Mogilev,96.430
1966,Vitebsk,92.618
1967,Brest,95.282
1967,Gomel,102.824
1967,Grodno,86.366
1967,Minsk,95.301
1967,Mogilev,98.923
1967,Vitebsk,92.837
1968,Brest,89.809
1968,Gomel,97.740
1968,Grodno,83.090
1968,Minsk,88.062
1968,Mogilev,93.930
1968,Vitebsk,81.463
1969,Brest,89.161
1969,Gomel,91.997
1969,Grodno,85.331
1969,Minsk,85.675
1969,Mogilev,87.496
1969,Vitebsk,80.223
1970,Brest,92.725
1970,Gomel,96.065
1970,Grodno,87.365
1970,Minsk,93.830
1970,Mogilev,93.873
1970,Vitebsk,89.306
1971,Brest,91.608
1971,Gomel,95.551
1971,Grodno,89.093
1971,Minsk,88.011
1971,Mogilev,95.133
1971,Vitebsk,85.163
1972,Brest,90.655
1972,Gomel,91.052
1972,Grodno,85.908
1972,Minsk,89.700
1972,Mogilev,87.590
1972,Vitebsk,81.292
1973,Brest,85.621
1973,Gomel,86.406
1973,Grodno,81.139
1973,Minsk,84.607
1973,Mogilev,86.323
1973,Vitebsk,76.169
1974,Brest,70.169
1974,Gomel,65.456
1974,Grodno,64.998
1974,Minsk,65.244
1974,Mogilev,69.620
1974,Vitebsk,68.485
1975,Brest,99.786
1975,Gomel,111.418
1975,Grodno,93.813
1975,Minsk,103.807
1975,Mogilev,104.027
1975,Vitebsk,95.712
1976,Brest,84.305
1976,Gomel,89.343
1976,Grodno,80.966
1976,Minsk,83.219
1976,Mogilev,85.016
1976,Vitebsk,79.911
1977,Brest,90.205
1977,Gomel,93.999
1977,Grodno,85.506
1977,Minsk,91.133
1977,Mogilev,89.409
1977,Vitebsk,85.409
1978,Brest,84.745
1978,Gomel,85.259
1978,Grodno,81.443
1978,Minsk,80.326
1978,Mogilev,82.646
1978,Vitebsk,76.073
1979,Brest,99.928
1979,Gomel,105.811
1979,Grodno,92.753
1979,Minsk,96.127
1979,Mogilev,99.353
1979,Vitebsk,91.903
1980,Brest,77.989
1980,Gomel,83.024
1980,Grodno,73.555
1980,Minsk,74.328
1980,Mogilev,73.447
1980,Vitebsk,68.892
1981,Brest,92.347
1981,Gomel,97.626
1981,Grodno,84.650
1981,Minsk,90.269
1981,Mogilev,96.810
1981,Vitebsk,89.994
1982,Brest,91.854
1982,Gomel,93.233
1982,Grodno,87.262
1982,Minsk,85.503
1982,Mogilev,90.311
1982,Vitebsk,80.505
1983,Brest,95.894
1983,Gomel,98.158
1983,Grodno,92.838
1983,Minsk,93.327
1983,Mogilev,95.833
1983,Vitebsk,89.697
1984,Brest,80.483
1984,Gomel,84.172
1984,Grodno,79.218
1984,Minsk,79.626
1984,Mogilev,84.316
1984,Vitebsk,78.516
1985,Brest,97.886
1985,Gomel,100.046
1985,Grodno,91.817
1985,Minsk,95.095
1985,Mogilev,98.882
1985,Vitebsk,90.259
1986,Brest,88.591
1986,Gomel,81.538
1986,Grodno,83.579
1986,Minsk,86.683
1986,Mogilev,93.670
1986,Vitebsk,82.350
1987,Brest,84.812
1987,Gomel,89.868
1987,Grodno,83.115
1987,Minsk,81.871
1987,Mogilev,86.151
1987,Vitebsk,76.622
1988,Brest,93.165
1988,Gomel,97.023
1988,Grodno,91.059
1988,Minsk,91.318
1988,Mogilev,96.124
1988,Vitebsk,87.725
1989,Brest,98.120
1989,Gomel,98.255
1989,Grodno,96.353
1989,Minsk,95.498
1989,Mogilev,99.048
1989,Vitebsk,89.833
1990,Brest,83.487
1990,Gomel,92.117
1990,Grodno,78.846
1990,Minsk,77.582
1990,Mogilev,84.938
1990,Vitebsk,76.141
1991,Brest,80.187
1991,Gomel,77.019
1991,Grodno,81.082
1991,Minsk,78.837
1991,Mogilev,73.546
1991,Vitebsk,71.161
1992,Brest,86.922
1992,Gomel,85.328
1992,Grodno,87.433
1992,Minsk,88.233
1992,Mogilev,85.611
1992,Vitebsk,89.560
1993,Brest,93.677
1993,Gomel,93.225
1993,Grodno,92.371
1993,Minsk,93.037
1993,Mogilev,96.378
1993,Vitebsk,88.458
1994,Brest,91.356
1994,Gomel,89.896
1994,Grodno,86.172
1994,Minsk,84.292
1994,Mogilev,84.115
1994,Vitebsk,81.418
1995,Brest,87.380
1995,Gomel,90.668
1995,Grodno,82.435
1995,Minsk,85.500
1995,Mogilev,87.306
1995,Vitebsk,81.336
1996,Brest,97.751
1996,Gomel,85.104
1996,Grodno,89.910
1996,Minsk,92.226
1996,Mogilev,84.912
1996,Vitebsk,84.714
1997,Brest,90.608
1997,Gomel,90.449
1997,Grodno,89.217
1997,Minsk,90.877
1997,Mogilev,89.054
1997,Vitebsk,84.982
1998,Brest,92.220
1998,Gomel,92.918
1998,Grodno,90.386
1998,Minsk,91.985
1998,Mogilev,87.443
1998,Vitebsk,84.119
1999,Brest,91.702
1999,Gomel,84.668
1999,Grodno,82.500
1999,Minsk,81.095
1999,Mogilev,79.107
1999,Vitebsk,76.072
2000,Brest,85.293
2000,Gomel,81.384
2000,Grodno,86.307
2000,Minsk,83.411
2000,Mogilev,79.800
2000,Vitebsk,82.499
2001,Brest,74.618
2001,Gomel,100.857
2001,Grodno,85.591
2001,Minsk,94.440
2001,Mogilev,96.259
2001,Vitebsk,94.161
2002,Brest,89.379
2002,Gomel,82.220
2002,Grodno,85.195
2002,Minsk,89.116
2002,Mogilev,88.647
2002,Vitebsk,86.392
2003,Brest,93.674
2003,Gomel,86.617
2003,Grodno,89.364
2003,Minsk,93.881
2003,Mogilev,94.397
2003,Vitebsk,89.845
2004,Brest,91.443
2004,Gomel,93.991
2004,Grodno,87.180
2004,Minsk,91.418
2004,Mogilev,91.566
2004,Vitebsk,77.425
2005,Brest,87.917
2005,Gomel,97.805
2005,Grodno,87.810
2005,Minsk,85.166
2005,Mogilev,93.573
2005,Vitebsk,81.765
2006,Brest,68.412
2006,Gomel,90.061
2006,Grodno,84.186
2006,Minsk,75.044
2006,Mogilev,82.354
2006,Vitebsk,77.104
2007,Brest,87.480
2007,Gomel,99.384
2007,Grodno,86.450
2007,Minsk,92.076
2007,Mogilev,101.262
2007,Vitebsk,88.369
2008,Brest,87.588
2008,Gomel,95.971
2008,Grodno,82.889
2008,Minsk,81.604
2008,Mogilev,86.417
2008,Vitebsk,74.710
2009,Brest,80.578
2009,Gomel,77.092
2009,Grodno,77.687
2009,Minsk,84.877
2009,Mogilev,84.987
2009,Vitebsk,82.136
2010,Brest,91.228
2010,Gomel,97.929
2010,Grodno,86.181
2010,Minsk,88.876
2010,Mogilev,95.517
2010,Vitebsk,87.082
2011,Brest,85.697
2011,Gomel,89.601
2011,Grodno,86.388
2011,Minsk,84.475
2011,Mogilev,91.929
2011,Vitebsk,81.930
2012,Brest,93.859
2012,Gomel,104.927
2012,Grodno,89.011
2012,Minsk,99.702
2012,Mogilev,102.087
2012,Vitebsk,94.768
2013,Brest,101.812
2013,Gomel,111.196
2013,Grodno,98.949
2013,Minsk,106.272
2013,Mogilev,110.776
2013,Vitebsk,98.440
2014,Brest,92.750
2014,Gomel,96.131
2014,Grodno,87.018
2014,Minsk,90.972
2014,Mogilev,93.568
2014,Vitebsk,89.334
2015,Brest,76.511
2015,Gomel,71.833
2015,Grodno,81.952
2015,Minsk,83.392
2015,Mogilev,74.481
2015,Vitebsk,82.333
2016,Brest,102.609
2016,Gomel,94.197
2016,Grodno,101.452
2016,Minsk,101.700
2016,Mogilev,98.945
2016,Vitebsk,96.039
2017,Brest,104.324
2017,Gomel,90.262
2017,Grodno,97.142
2017,Minsk,101.406
2017,Mogilev,96.860
2017,Vitebsk,93.679
2018,Brest,96.028
2018,Gomel,93.065
2018,Grodno,90.289
2018,Minsk,92.979
2018,Mogilev,100.486
2018,Vitebsk,95.722
2019,Brest,87.140
2019,Gomel,80.795
2019,Grodno,78.593
2019,Minsk,80.495
2019,Mogilev,83.120
2019,Vitebsk,77.170
2020,Brest,75.054
2020,Gomel,68.692
2020,Grodno,80.341
2020,Minsk,79.571
2020,Mogilev,78.749
2020,Vitebsk,81.941
2021,Brest,96.771
2021,Gomel,98.261
2021,Grodno,90.868
2021,Minsk,93.827
2021,Mogilev,97.560
2021,Vitebsk,89.975
2022,Brest,86.186
2022,Gomel,94.084
2022,Grodno,86.362
2022,Minsk,93.762
2022,Mogilev,95.543
2022,Vitebsk,84.178
