year,region,e_Nov
1940,Brest,10.748
1940,Gomel,9.191
1940,Grodno,11.365
1940,Minsk,9.277
1940,Mogilev,8.920
1940,Vitebsk,10.117
1941,Brest,7.031
1941,Gomel,5.947
1941,Grodno,6.960
1941,Minsk,6.014
1941,Mogilev,5.368
1941,Vitebsk,5.066
1942,Brest,9.423
1942,Gomel,6.950
1942,Grodno,8.655
1942,Minsk,7.594
1942,Mogilev,6.922
1942,Vitebsk,8.632
1943,Brest,10.305
1943,Gomel,10.956
1943,Grodno,8.505
1943,Minsk,8.700
1943,Mogilev,8.631
1943,Vitebsk,8.044
1944,Brest,11.126
1944,Gomel,11.741
1944,Grodno,11.288
1944,Minsk,10.363
1944,Mogilev,9.160
1944,Vitebsk,10.221
1945,Brest,8.966
1945,Gomel,8.159
1945,Grodno,8.531
1945,Minsk,7.993
1945,Mogilev,8.029
1945,Vitebsk,8.085
1946,Brest,7.492
1946,Gomel,6.893
1946,Grodno,7.343
1946,Minsk,6.380
1946,Mogilev,5.286
1946,Vitebsk,5.423
1947,Brest,9.239
1947,Gomel,6.852
1947,Grodno,7.242
1947,Minsk,6.395
1947,Mogilev,3.375
1947,Vitebsk,5.181
1948,Brest,10.216
1948,Gomel,9.744
1948,Grodno,8.942
1948,Minsk,7.827
1948,Mogilev,7.755
1948,Vitebsk,7.321
1949,Brest,8.614
1949,Gomel,10.033
1949,Grodno,8.732
1949,Minsk,8.314
1949,Mogilev,8.867
1949,Vitebsk,8.845
1950,Brest,14.015
1950,Gomel,10.760
1950,Grodno,11.378
1950,Minsk,9.604
1950,Mogilev,8.949
1950,Vitebsk,8.518
1951,Brest,10.000
1951,Gomel,9.103
1951,Grodno,7.730
1951,Minsk,6.991
1951,Mogilev,7.666
1951,Vitebsk,7.705
1952,Brest,13.497
1952,Gomel,13.376
1952,Grodno,11.697
1952,Minsk,10.804
1952,Mogilev,12.583
1952,Vitebsk,11.948
1953,Brest,7.751
1953,Gomel,7.443
