year,region,e_Oct
1940,Brest,24.800
1940,Gomel,22.117
1940,Grodno,24.128
1940,Minsk,21.211
1940,Mogilev,19.756
1940,Vitebsk,20.825
1941,Brest,22.971
1941,Gomel,23.246
1941,Grodno,20.294
1941,Minsk,20.325
1941,Mogilev,20.512
1941,Vitebsk,19.610
1942,Brest,25.244
1942,Gomel,19.554
1942,Grodno,27.350
1942,Minsk,25.037
1942,Mogilev,21.909
1942,Vitebsk,27.605
1943,Brest,27.909
1943,Gomel,26.336
1943,Grodno,25.713
1943,Minsk,25.622
1943,Mogilev,23.216
1943,Vitebsk,24.313
1944,Brest,25.816
1944,Gomel,20.985
1944,Grodno,24.642
1944,Minsk,20.516
1944,Mogilev,17.665
1944,Vitebsk,20.403
1945,Brest,27.287
1945,Gomel,23.514
1945,Grodno,25.944
1945,Minsk,23.712
1945,Mogilev,22.723
1945,Vitebsk,21.658
1946,Brest,23.741
1946,Gomel,22.236
1946,Grodno,25.465
1946,Minsk,24.457
1946,Mogilev,23.243
1946,Vitebsk,24.123
1947,Brest,24.585
1947,Gomel,25.605
1947,Grodno,23.757
1947,Minsk,23.823
1947,Mogilev,23.706
1947,Vitebsk,22.772
1948,Brest,27.239
1948,Gomel,24.054
1948,Grodno,27.293
1948,Minsk,24.978
1948,Mogilev,23.418
1948,Vitebsk,27.698
1949,Brest,22.545
1949,Gomel,23.215
1949,Grodno,23.950
1949,Minsk,23.928
1949,Mogilev,22.584
1949,Vitebsk,24.414
1950,Brest,26.261
1950,Gomel,26.591
1950,Grodno,25.656
1950,Minsk,25.648
1950,Mogilev,24.413
1950,Vitebsk,24.130
1951,Brest,13.610
1951,Gomel,16.495
1951,Grodno,10.928
1951,Minsk,12.545
1951,Mogilev,13.844
1951,Vitebsk,12.479
1952,Brest,23.543
1952,Gomel,23.879
1952,Grodno,21.733
1952,Minsk,21.604
1952,Mogilev,20.881
1952,Vitebsk,20.799
1953,Brest,20.049
1953,Gomel,22.720
1953,Grodno,20.875
1953,Minsk,20.083
1953,Mogilev,21.314
1953,Vitebsk,22.059
1954,Brest,25.870
1954,Gomel,25.720
1954,Grodno,24.750
1954,Minsk,24.401
1954,Mogilev,23.250
1954,Vitebsk,24.915
1955,Brest,23.661
1955,Gomel,24.426
1955,Grodno,22.316
1955,Minsk,24.216
1955,Mogilev,23.985
1955,Vitebsk,25.783
1956,Brest,26.931
1956,Gomel,26.692
1956,Grodno,25.879
1956,Minsk,24.713
1956,Mogilev,23.317
1956,Vitebsk,23.926
1957,Brest,22.324
1957,Gomel,25.290
1957,Grodno,21.354
1957,Minsk,21.550
1957,Mogilev,22.219
1957,Vitebsk,21.628
1958,Brest,26.144
1958,Gomel,32.149
1958,Grodno,22.544
1958,Minsk,24.805
1958,Mogilev,27.776
1958,Vitebsk,23.914
1959,Brest,22.940
1959,Gomel,24.187
1959,Grodno,24.086
1959,Minsk,22.833
1959,Mogilev,22.849
1959,Vitebsk,21.860
1960,Brest,24.646
1960,Gomel,23.318
1960,Grodno,22.617
1960,Minsk,21.004
1960,Mogilev,19.890
1960,Vitebsk,18.368
1961,Brest,20.072
1961,Gomel,21.973
1961,Grodno,22.357
1961,Minsk,20.204
