year,region,e_annual
1940,Brest,553.628
1940,Gomel,547.605
1940,Grodno,532.857
1940,Minsk,513.829
1940,Mogilev,518.571
1940,Vitebsk,513.621
1941,Brest,541.814
1941,Gomel,539.734
1941,Grodno,494.083
1941,Minsk,502.381
1941,Mogilev,502.804
1941,Vitebsk,470.435
1942,Brest,535.390
1942,Gomel,472.389
1942,Grodno,505.457
1942,Minsk,489.642
1942,Mogilev,452.710
1942,Vitebsk,488.567
1943,Brest,577.317
1943,Gomel,576.919
1943,Grodno,558.687
1943,Minsk,558.036
1943,Mogilev,551.314
1943,Vitebsk,537.800
1944,Brest,564.475
1944,Gomel,510.588
1944,Grodno,537.932
1944,Minsk,516.942
1944,Mogilev,499.382
1944,Vitebsk,497.552
1945,Brest,562.135
1945,Gomel,548.284
1945,Grodno,533.476
1945,Minsk,530.332
1945,Mogilev,524.871
1945,Vitebsk,497.246
1946,Brest,578.493
1946,Gomel,558.405
1946,Grodno,556.039
1946,Minsk,558.243
1946,Mogilev,549.968
1946,Vitebsk,526.015
1947,Brest,556.723
1947,Gomel,551.321
1947,Grodno,524.786
1947,Minsk,530.836
1947,Mogilev,535.388
1947,Vitebsk,503.246
1948,Brest,584.174
1948,Gomel,584.824
1948,Grodno,552.923
1948,Minsk,556.032
1948,Mogilev,561.909
1948,Vitebsk,549.539
1949,Brest,564.451
1949,Gomel,574.738
1949,Grodno,544.928
1949,Minsk,546.893
1949,Mogilev,545.414
1949,Vitebsk,519.109
1950,Brest,546.946
1950,Gomel,553.315
1950,Grodno,544.164
1950,Minsk,541.880
1950,Mogilev,528.810
1950,Vitebsk,517.098
1951,Brest,538.893
1951,Gomel,545.987
1951,Grodno,487.896
1951,Minsk,497.894
1951,Mogilev,511.572
1951,Vitebsk,492.992
1952,Brest,527.571
1952,Gomel,540.388
1952,Grodno,498.922
1952,Minsk,503.259
1952,Mogilev,521.075
1952,Vitebsk,490.386
1953,Brest,548.821
1953,Gomel,588.249
1953,Grodno,525.937
1953,Minsk,527.725
1953,Mogilev,541.307
1953,Vitebsk,512.701
1954,Brest,550.850
1954,Gomel,571.914
1954,Grodno,528.813
1954,Minsk,531.584
1954,Mogilev,539.014
1954,Vitebsk,505.894
1955,Brest,552.169
1955,Gomel,544.818
1955,Grodno,502.094
1955,Minsk,507.775
1955,Mogilev,521.437
1955,Vitebsk,482.572
1956,Brest,549.210
1956,Gomel,556.071
1956,Grodno,511.005
1956,Minsk,501.203
1956,Mogilev,501.750
1956,Vitebsk,465.241
1957,Brest,556.678
1957,Gomel,575.217
1957,Grodno,534.122
1957,Minsk,540.056
1957,Mogilev,530.340
1957,Vitebsk,504.803
1958,Brest,536.016
1958,Gomel,559.340
1958,Grodno,494.608
1958,Minsk,495.422
1958,Mogilev,503.854
1958,Vitebsk,485.441
1959,Brest,575.273
1959,Gomel,553.032
1959,Grodno,553.860
1959,Minsk,515.859
1959,Mogilev,513.964
1959,Vitebsk,517.215
1960,Brest,554.660
1960,Gomel,533.491
1960,Grodno,538.038
1960,Minsk,528.655
1960,Mogilev,529.345
1960,Vitebsk,512.664
1961,Brest,542.378
1961,Gomel,586.900
1961,Grodno,535.952
1961,Minsk,523.067
1961,Mogilev,547.447
1961,Vitebsk,518.262
1962,Brest,545.200
