year,region,e_cold
1940,Brest,43.344
1940,Gomel,34.614
1940,Grodno,38.233
1940,Minsk,29.953
1940,Mogilev,29.066
1940,Vitebsk,33.772
1941,Brest,32.344
1941,Gomel,25.802
1941,Grodno,26.466
1941,Minsk,21.000
1941,Mogilev,21.664
1941,Vitebsk,24.306
1942,Brest,62.899
1942,Gomel,42.804
1942,Grodno,58.118
1942,Minsk,42.065
1942,Mogilev,31.026
1942,Vitebsk,40.039
1943,Brest,54.837
1943,Gomel,49.871
1943,Grodno,46.339
1943,Minsk,39.898
1943,Mogilev,37.911
1943,Vitebsk,39.429
1944,Brest,44.534
1944,Gomel,34.671
1944,Grodno,41.035
1944,Minsk,30.123
1944,Mogilev,23.568
1944,Vitebsk,30.524
1945,Brest,46.539
1945,Gomel,38.500
1945,Grodno,40.771
1945,Minsk,32.574
1945,Mogilev,30.530
1945,Vitebsk,33.152
1946,Brest,26.993
1946,Gomel,24.975
1946,Grodno,25.157
1946,Minsk,18.620
1946,Mogilev,17.242
1946,Vitebsk,20.166
1947,Brest,49.480
1947,Gomel,42.400
1947,Grodno,39.382
1947,Minsk,34.657
1947,Mogilev,31.638
1947,Vitebsk,31.427
1948,Brest,45.297
1948,Gomel,40.389
1948,Grodno,40.703
1948,Minsk,32.042
1948,Mogilev,28.498
1948,Vitebsk,34.732
1949,Brest,60.176
1949,Gomel,52.578
1949,Grodno,55.444
1949,Minsk,47.406
1949,Mogilev,43.687
1949,Vitebsk,45.425
1950,Brest,51.880
1950,Gomel,43.257
1950,Grodno,42.041
1950,Minsk,31.729
1950,Mogilev,29.406
1950,Vitebsk,31.060
1951,Brest,46.543
1951,Gomel,41.302
1951,Grodno,40.424
1951,Minsk,34.661
1951,Mogilev,33.861
1951,Vitebsk,38.233
1952,Brest,53.946
1952,Gomel,40.830
1952,Grodno,40.820
1952,Minsk,28.982
1952,Mogilev,28.807
1952,Vitebsk,33.784
1953,Brest,36.768
1953,Gomel,32.886
1953,Grodno,35.220
1953,Minsk,30.244
1953,Mogilev,28.559
1953,Vitebsk,30.715
1954,Brest,35.643
1954,Gomel,30.710
1954,Grodno,33.192
1954,Minsk,26.829
1954,Mogilev,25.561
1954,Vitebsk,37.320
1955,Brest,41.524
1955,Gomel,33.156
1955,Grodno,39.418
1955,Minsk,27.884
1955,Mogilev,25.590
1955,Vitebsk,34.141
1956,Brest,58.901
1956,Gomel,45.451
1956,Grodno,50.594
1956,Minsk,42.560
1956,Mogilev,29.596
1956,Vitebsk,38.852
1957,Brest,39.315
1957,Gomel,33.996
1957,Grodno,33.915
1957,Minsk,26.027
1957,Mogilev,25.397
1957,Vitebsk,34.834
1958,Brest,65.152
1958,Gomel,60.928
1958,Grodno,54.225
1958,Minsk,40.952
1958,Mogilev,44.561
1958,Vitebsk,39.892
1959,Brest,48.210
1959,Gomel,41.554
1959,Grodno,35.308
1959,Minsk,27.428
1959,Mogilev,26.996
1959,Vitebsk,30.213
1960,Brest,64.951
1960,Gomel,63.665
1960,Grodno,60.136
1960,Minsk,53.484
1960,Mogilev,53.453
1960,Vitebsk,53.731
1961,Brest,43.807
1961,Gomel,35.444
1961,Grodno,42.936
1961,Minsk,33.623
1961,Mogilev,28.879
1961,Vitebsk,41.400
1962,Brest,35.730
1962,Gomel,31.948
1962,Grodno,31.166
1962,Minsk,25.208
1962,Mogilev,25.374
1962,Vitebsk,29.685
1963,Brest,39.863
1963,Gomel,29.848
1963,Grodno,37.822
1963,Minsk,28.978
1963,Mogilev,24.718
1963,Vitebsk,32.166
1964,Brest,41.268
1964,Gomel,36.461
1964,Grodno,34.574
1964,Minsk,27.668
1964,Mogilev,25.978
1964,Vitebsk,30.664
1965,Brest,49.472
1965,Gomel,42.443
1965,Grodno,42.788
1965,Minsk,33.329
1965,Mogilev,35.109
1965,Vitebsk,32.936
1966,Brest,42.475
1966,Gomel,23.978
1966,Grodno,35.864
1966,Minsk,25.340
1966,Mogilev,17.835
1966,Vitebsk,29.528
1967,Brest,55.368
1967,Gomel,37.171
1967,Grodno,46.870
1967,Minsk,35.797
1967,Mogilev,27.362
1967,Vitebsk,33.770
1968,Brest,41.029
1968,Gomel,32.371
1968,Grodno,39.439
1968,Minsk,29.934
1968,Mogilev,28.115
1968,Vitebsk,36.936
1969,Brest,37.864
1969,Gomel,34.201
1969,Grodno,37.262
1969,Minsk,29.419
1969,Mogilev,32.103
1969,Vitebsk,37.113
1970,Brest,46.041
1970,Gomel,33.868
1970,Grodno,36.150
1970,Minsk,26.125
1970,Mogilev,23.583
1970,Vitebsk,26.391
1971,Brest,58.597
1971,Gomel,52.990
1971,Grodno,50.798
1971,Minsk,41.499
1971,Mogilev,44.962
1971,Vitebsk,45.632
1972,Brest,56.567
1972,Gomel,50.070
1972,Grodno,52.829
1972,Minsk,43.043
1972,Mogilev,40.890
1972,Vitebsk,41.552
1973,Brest,66.723
1973,Gomel,55.782
1973,Grodno,55.150
1973,Minsk,47.112
1973,Mogilev,45.282
1973,Vitebsk,42.233
1974,Brest,65.008
1974,Gomel,60.960
1974,Grodno,58.352
1974,Minsk,48.782
1974,Mogilev,42.519
1974,Vitebsk,42.962
1975,Brest,44.639
1975,Gomel,34.863
1975,Grodno,41.922
1975,Minsk,32.299
1975,Mogilev,30.694
1975,Vitebsk,36.618
1976,Brest,52.344
1976,Gomel,46.434
1976,Grodno,42.127
1976,Minsk,32.410
1976,Mogilev,29.985
1976,Vitebsk,32.935
