year,region,e_fall
1940,Brest,87.140
1940,Gomel,82.384
1940,Grodno,85.520
1940,Minsk,78.498
1940,Mogilev,78.594
1940,Vitebsk,80.437
1941,Brest,78.369
1941,Gomel,78.266
1941,Grodno,69.891
1941,Minsk,72.908
1941,Mogilev,71.918
1941,Vitebsk,66.974
1942,Brest,82.473
1942,Gomel,62.429
1942,Grodno,87.726
1942,Minsk,78.911
1942,Mogilev,67.761
1942,Vitebsk,87.942
1943,Brest,88.382
1943,Gomel,84.666
1943,Grodno,80.754
1943,Minsk,83.191
1943,Mogilev,80.208
1943,Vitebsk,81.440
1944,Brest,84.638
1944,Gomel,69.323
1944,Grodno,86.229
1944,Minsk,72.808
1944,Mogilev,67.033
1944,Vitebsk,75.446
1945,Brest,85.586
1945,Gomel,80.972
1945,Grodno,84.461
1945,Minsk,81.932
1945,Mogilev,83.618
1945,Vitebsk,78.517
1946,Brest,80.150
1946,Gomel,71.045
1946,Grodno,86.744
1946,Minsk,81.366
1946,Mogilev,75.485
1946,Vitebsk,80.326
1947,Brest,87.798
1947,Gomel,87.146
1947,Grodno,84.063
1947,Minsk,83.507
1947,Mogilev,80.749
1947,Vitebsk,78.805
1948,Brest,94.333
1948,Gomel,86.549
1948,Grodno,93.187
1948,Minsk,86.176
1948,Mogilev,80.638
1948,Vitebsk,85.792
1949,Brest,81.315
1949,Gomel,87.546
1949,Grodno,82.199
1949,Minsk,82.020
1949,Mogilev,80.973
1949,Vitebsk,77.331
1950,Brest,88.607
1950,Gomel,86.944
1950,Grodno,85.986
1950,Minsk,85.397
1950,Mogilev,79.897
1950,Vitebsk,81.570
1951,Brest,62.660
1951,Gomel,67.077
1951,Grodno,54.912
1951,Minsk,55.996
1951,Mogilev,61.873
1951,Vitebsk,61.290
1952,Brest,86.832
1952,Gomel,87.572
1952,Grodno,77.602
1952,Minsk,77.436
1952,Mogilev,84.034
1952,Vitebsk,77.844
1953,Brest,75.998
1953,Gomel,85.815
1953,Grodno,75.493
1953,Minsk,73.146
1953,Mogilev,77.707
1953,Vitebsk,74.782
1954,Brest,89.037
1954,Gomel,90.091
1954,Grodno,87.939
1954,Minsk,85.622
1954,Mogilev,79.353
1954,Vitebsk,83.812
1955,Brest,79.989
1955,Gomel,80.541
1955,Grodno,72.617
1955,Minsk,78.000
1955,Mogilev,82.540
1955,Vitebsk,81.479
1956,Brest,87.525
1956,Gomel,85.596
1956,Grodno,78.698
1956,Minsk,77.100
1956,Mogilev,76.750
1956,Vitebsk,74.777
1957,Brest,84.600
1957,Gomel,87.393
1957,Grodno,77.093
1957,Minsk,78.093
1957,Mogilev,79.386
1957,Vitebsk,76.785
1958,Brest,84.597
1958,Gomel,95.621
1958,Grodno,78.341
1958,Minsk,81.465
1958,Mogilev,86.041
1958,Vitebsk,78.854
1959,Brest,78.532
1959,Gomel,79.470
1959,Grodno,77.726
1959,Minsk,72.331
1959,Mogilev,74.302
1959,Vitebsk,74.691
1960,Brest,84.748
1960,Gomel,81.789
1960,Grodno,79.778
1960,Minsk,74.747
1960,Mogilev,72.313
1960,Vitebsk,66.934
1961,Brest,78.228
1961,Gomel,79.642
1961,Grodno,79.540
1961,Minsk,73.847
1961,Mogilev,73.564
1961,Vitebsk,75.748
1962,Brest,86.303
1962,Gomel,88.338
1962,Grodno,79.402
1962,Minsk,80.125
1962,Mogilev,79.686
1962,Vitebsk,75.989
1963,Brest,91.933
1963,Gomel,88.048
1963,Grodno,91.713
1963,Minsk,85.275
1963,Mogilev,88.413
1963,Vitebsk,90.955
1964,Brest,80.946
1964,Gomel,84.811
1964,Grodno,71.393
1964,Minsk,70.755
1964,Mogilev,72.495
1964,Vitebsk,70.455
1965,Brest,83.946
1965,Gomel,85.951
1965,Grodno,76.081
1965,Minsk,82.123
1965,Mogilev,79.970
1965,Vitebsk,76.103
1966,Brest,74.381
1966,Gomel,67.878
1966,Grodno,72.956
1966,Minsk,67.117
1966,Mogilev,66.722
1966,Vitebsk,72.514
1967,Brest,91.884
1967,Gomel,90.735
1967,Grodno,92.190
1967,Minsk,86.091
1967,Mogilev,85.775
1967,Vitebsk,87.504
1968,Brest,83.289
1968,Gomel,82.288
1968,Grodno,74.958
1968,Minsk,72.745
1968,Mogilev,70.484
1968,Vitebsk,76.303
1969,Brest,88.266
1969,Gomel,91.769
1969,Grodno,91.384
1969,Minsk,84.177
1969,Mogilev,84.244
1969,Vitebsk,83.040
1970,Brest,91.123
1970,Gomel,88.257
