year,region,e_spring
1940,Brest,155.182
1940,Gomel,146.148
1940,Grodno,148.510
1940,Minsk,133.560
1940,Mogilev,129.080
1940,Vitebsk,127.893
1941,Brest,139.969
1941,Gomel,135.236
1941,Grodno,126.775
1941,Minsk,122.392
1941,Mogilev,122.441
1941,Vitebsk,115.364
1942,Brest,143.114
1942,Gomel,130.356
1942,Grodno,125.208
1942,Minsk,116.183
1942,Mogilev,114.738
1942,Vitebsk,105.436
1943,Brest,178.985
1943,Gomel,172.036
1943,Grodno,178.467
1943,Minsk,167.800
1943,Mogilev,158.398
1943,Vitebsk,152.002
1944,Brest,159.226
1944,Gomel,145.791
1944,Grodno,148.894
1944,Minsk,144.624
1944,Mogilev,137.402
1944,Vitebsk,135.190
1945,Brest,169.247
1945,Gomel,159.782
1945,Grodno,154.219
1945,Minsk,151.183
1945,Mogilev,144.502
1945,Vitebsk,136.873
1946,Brest,176.195
1946,Gomel,169.020
1946,Grodno,162.871
1946,Minsk,155.942
1946,Mogilev,154.801
1946,Vitebsk,139.844
1947,Brest,159.232
1947,Gomel,158.745
1947,Grodno,146.616
1947,Minsk,143.730
1947,Mogilev,141.395
1947,Vitebsk,129.001
1948,Brest,180.563
1948,Gomel,172.813
1948,Grodno,168.079
1948,Minsk,164.924
1948,Mogilev,165.204
1948,Vitebsk,157.701
1949,Brest,180.195
1949,Gomel,178.842
1949,Grodno,169.204
1949,Minsk,164.122
1949,Mogilev,160.979
1949,Vitebsk,149.700
1950,Brest,185.764
1950,Gomel,182.804
1950,Grodno,179.951
1950,Minsk,174.915
1950,Mogilev,174.254
1950,Vitebsk,157.944
1951,Brest,161.247
1951,Gomel,150.181
1951,Grodno,147.332
1951,Minsk,138.491
1951,Mogilev,136.488
1951,Vitebsk,126.494
1952,Brest,154.064
1952,Gomel,147.491
1952,Grodno,140.342
1952,Minsk,132.490
1952,Mogilev,134.987
1952,Vitebsk,121.750
1953,Brest,175.300
1953,Gomel,163.114
1953,Grodno,164.188
1953,Minsk,152.668
1953,Mogilev,145.961
1953,Vitebsk,139.646
1954,Brest,152.953
1954,Gomel,155.909
1954,Grodno,147.334
1954,Minsk,146.832
1954,Mogilev,144.864
1954,Vitebsk,129.555
1955,Brest,150.276
1955,Gomel,148.975
1955,Grodno,135.982
1955,Minsk,128.200
1955,Mogilev,130.370
1955,Vitebsk,112.913
1956,Brest,145.493
1956,Gomel,140.772
1956,Grodno,135.084
1956,Minsk,119.885
1956,Mogilev,115.369
1956,Vitebsk,101.878
1957,Brest,166.591
1957,Gomel,171.437
1957,Grodno,155.116
1957,Minsk,154.189
1957,Mogilev,153.655
1957,Vitebsk,137.820
1958,Brest,151.825
1958,Gomel,155.951
1958,Grodno,129.339
1958,Minsk,126.502
1958,Mogilev,127.302
1958,Vitebsk,126.354
1959,Brest,179.596
1959,Gomel,176.415
1959,Grodno,170.935
1959,Minsk,165.282
1959,Mogilev,164.087
1959,Vitebsk,152.060
1960,Brest,172.679
1960,Gomel,172.849
1960,Grodno,158.768
1960,Minsk,155.898
1960,Mogilev,159.811
1960,Vitebsk,141.878
1961,Brest,185.039
1961,Gomel,184.866
1961,Grodno,177.929
1961,Minsk,170.329
1961,Mogilev,172.005
1961,Vitebsk,162.406
1962,Brest,150.610
1962,Gomel,167.080
1962,Grodno,131.865
1962,Minsk,141.674
1962,Mogilev,149.810
1962,Vitebsk,132.337
1963,Brest,169.556
1963,Gomel,156.124
1963,Grodno,164.187
1963,Minsk,151.149
1963,Mogilev,145.783
1963,Vitebsk,140.251
1964,Brest,140.449
1964,Gomel,134.282
1964,Grodno,130.549
1964,Minsk,126.662
1964,Mogilev,121.479
1964,Vitebsk,124.163
1965,Brest,143.828
1965,Gomel,149.422
1965,Grodno,135.968
1965,Minsk,131.342
1965,Mogilev,127.375
1965,Vitebsk,118.636
1966,Brest,174.353
1966,Gomel,184.838
1966,Grodno,161.100
1966,Minsk,161.485
1966,Mogilev,170.357
1966,Vitebsk,146.863
1967,Brest,168.328
1967,Gomel,160.267
1967,Grodno,150.573
1967,Minsk,151.544
1967,Mogilev,142.933
1967,Vitebsk,143.671
1968,Brest,174.426
1968,Gomel,167.769
1968,Grodno,162.828
1968,Minsk,155.151
1968,Mogilev,155.523
1968,Vitebsk,144.314
1969,Brest,147.748
1969,Gomel,134.918
1969,Grodno,137.918
1969,Minsk,131.507
1969,Mogilev,127.256
1969,Vitebsk,127.156
1970,Brest,151.093
1970,Gomel,148.437
1970,Grodno,134.588
1970,Minsk,136.154
1970,Mogilev,135.632
1970,Vitebsk,134.494
1971,Brest,162.012
1971,Gomel,159.145
1971,Grodno,152.257
1971,Minsk,142.014
1971,Mogilev,146.582
