year,region,e_summer
1940,Brest,297.680
1940,Gomel,306.168
1940,Grodno,288.320
1940,Minsk,292.791
1940,Mogilev,301.541
1940,Vitebsk,294.683
1941,Brest,309.737
1941,Gomel,315.429
1941,Grodno,286.200
1941,Minsk,298.890
1941,Mogilev,300.396
1941,Vitebsk,278.387
1942,Brest,296.967
1942,Gomel,271.814
1942,Grodno,283.013
1942,Minsk,288.633
1942,Mogilev,264.868
1942,Vitebsk,287.665
1943,Brest,290.982
1943,Gomel,307.627
1943,Grodno,283.776
1943,Minsk,296.921
1943,Mogilev,302.993
1943,Vitebsk,290.955
1944,Brest,298.452
1944,Gomel,275.275
1944,Grodno,284.408
1944,Minsk,285.196
1944,Mogilev,280.828
1944,Vitebsk,271.087
1945,Brest,293.547
1945,Gomel,295.721
1945,Grodno,282.910
1945,Minsk,288.505
1945,Mogilev,287.865
1945,Vitebsk,270.411
1946,Brest,305.199
1946,Gomel,305.773
1946,Grodno,291.574
1946,Minsk,310.214
1946,Mogilev,309.896
1946,Vitebsk,293.680
1947,Brest,297.574
1947,Gomel,292.711
1947,Grodno,283.627
1947,Minsk,294.790
1947,Mogilev,304.482
1947,Vitebsk,286.601
1948,Brest,293.774
1948,Gomel,310.985
1948,Grodno,280.381
1948,Minsk,294.501
1948,Mogilev,304.460
1948,Vitebsk,294.067
1949,Brest,277.589
1949,Gomel,287.847
1949,Grodno,270.853
1949,Minsk,282.343
1949,Mogilev,286.844
1949,Vitebsk,273.693
1950,Brest,253.667
1950,Gomel,268.184
1950,Grodno,260.537
1950,Minsk,267.951
1950,Mogilev,263.602
1950,Vitebsk,262.711
1951,Brest,292.776
1951,Gomel,310.254
1951,Grodno,265.633
1951,Minsk,287.171
1951,Mogilev,298.546
1951,Vitebsk,287.876
1952,Brest,268.543
1952,Gomel,288.444
1952,Grodno,265.670
1952,Minsk,279.445
1952,Mogilev,288.966
1952,Vitebsk,273.324
1953,Brest,283.415
1953,Gomel,327.432
1953,Grodno,275.110
1953,Minsk,292.990
1953,Mogilev,309.114
1953,Vitebsk,287.332
1954,Brest,294.311
1954,Gomel,313.011
1954,Grodno,281.359
1954,Minsk,288.974
1954,Mogilev,303.909
1954,Vitebsk,279.586
1955,Brest,306.658
1955,Gomel,304.447
1955,Grodno,281.660
1955,Minsk,293.112
1955,Mogilev,300.205
1955,Vitebsk,274.933
1956,Brest,297.957
1956,Gomel,317.022
1956,Grodno,280.926
1956,Minsk,293.654
1956,Mogilev,300.369
1956,Vitebsk,275.788
1957,Brest,281.389
1957,Gomel,298.068
1957,Grodno,280.209
1957,Minsk,289.659
1957,Mogilev,285.213
1957,Vitebsk,272.488
1958,Brest,281.388
