year,region,e_warm
1940,Brest,435.753
1940,Gomel,450.392
1940,Grodno,419.465
1940,Minsk,421.275
1940,Mogilev,435.056
1940,Vitebsk,421.607
1941,Brest,439.214
1941,Gomel,448.556
1941,Grodno,408.015
1941,Minsk,424.941
1941,Mogilev,426.084
1941,Vitebsk,395.416
1942,Brest,430.408
1942,Gomel,391.328
1942,Grodno,410.526
1942,Minsk,408.148
1942,Mogilev,377.398
1942,Vitebsk,402.541
1943,Brest,424.772
1943,Gomel,439.407
1943,Grodno,414.272
1943,Minsk,428.873
1943,Mogilev,433.709
1943,Vitebsk,421.367
1944,Brest,435.688
1944,Gomel,401.606
1944,Grodno,419.651
1944,Minsk,413.744
1944,Mogilev,409.277
1944,Vitebsk,398.439
1945,Brest,438.724
1945,Gomel,438.476
1945,Grodno,421.137
1945,Minsk,428.375
1945,Mogilev,429.894
1945,Vitebsk,403.379
1946,Brest,450.852
1946,Gomel,446.703
1946,Grodno,434.843
1946,Minsk,451.484
1946,Mogilev,450.111
1946,Vitebsk,426.880
1947,Brest,444.097
1947,Gomel,440.316
1947,Grodno,424.826
1947,Minsk,437.388
1947,Mogilev,446.969
1947,Vitebsk,417.609
1948,Brest,444.735
1948,Gomel,456.327
1948,Grodno,427.545
1948,Minsk,438.494
1948,Mogilev,444.460
1948,Vitebsk,433.366
1949,Brest,431.425
1949,Gomel,451.172
1949,Grodno,419.456
1949,Minsk,434.910
1949,Mogilev,442.518
1949,Vitebsk,412.107
1950,Brest,398.588
1950,Gomel,412.130
1950,Grodno,403.816
1950,Minsk,413.654
1950,Mogilev,404.487
1950,Vitebsk,400.996
1951,Brest,412.430
1951,Gomel,430.660
1951,Grodno,379.432
1951,Minsk,400.502
1951,Mogilev,414.221
1951,Vitebsk,403.748
1952,Brest,403.303
1952,Gomel,421.559
1952,Grodno,391.244
1952,Minsk,404.010
1952,Mogilev,420.808
1952,Vitebsk,394.765
1953,Brest,422.446
1953,Gomel,477.574
1953,Grodno,410.366
1953,Minsk,429.864
1953,Mogilev,448.712
1953,Vitebsk,417.426
1954,Brest,439.104
1954,Gomel,462.458
1954,Grodno,422.169
1954,Minsk,432.370
1954,Mogilev,443.315
1954,Vitebsk,408.579
1955,Brest,444.356
1955,Gomel,445.003
1955,Grodno,408.741
1955,Minsk,426.000
1955,Mogilev,439.782
1955,Vitebsk,401.862
1956,Brest,442.205
1956,Gomel,462.322
1956,Grodno,413.481
1956,Minsk,427.727
1956,Mogilev,435.562
1956,Vitebsk,398.055
1957,Brest,416.746
1957,Gomel,441.077
1957,Grodno,406.862
1957,Minsk,421.248
1957,Mogilev,423.158
1957,Vitebsk,398.132
1958,Brest,432.017
1958,Gomel,453.996
1958,Grodno,413.711
1958,Minsk,423.291
1958,Mogilev,430.461
1958,Vitebsk,405.109
1959,Brest,424.117
1959,Gomel,407.302
1959,Grodno,414.815
1959,Minsk,397.274
1959,Mogilev,391.993
1959,Vitebsk,404.029
1960,Brest,420.146
1960,Gomel,405.552
1960,Grodno,422.940
1960,Minsk,425.709
1960,Mogilev,427.090
1960,Vitebsk,420.046
1961,Brest,392.242
1961,Gomel,441.078
1961,Grodno,391.877
1961,Minsk,393.203
1961,Mogilev,419.359
1961,Vitebsk,389.632
1962,Brest,420.274
1962,Gomel,444.247
1962,Grodno,399.943
1962,Minsk,415.673
1962,Mogilev,419.349
1962,Vitebsk,398.624
1963,Brest,420.720
1963,Gomel,418.315
1963,Grodno,432.848
1963,Minsk,418.016
1963,Mogilev,429.586
1963,Vitebsk,422.277
1964,Brest,373.532
1964,Gomel,396.699
1964,Grodno,371.858
1964,Minsk,399.966
1964,Mogilev,394.588
1964,Vitebsk,375.986
1965,Brest,410.458
1965,Gomel,414.714
1965,Grodno,387.477
1965,Minsk,403.092
1965,Mogilev,408.699
1965,Vitebsk,387.929
1966,Brest,404.632
1966,Gomel,414.044
1966,Grodno,412.364
1966,Minsk,405.616
1966,Mogilev,408.967
1966,Vitebsk,414.197
1967,Brest,420.077
1967,Gomel,427.000
1967,Grodno,399.027
1967,Minsk,405.981
1967,Mogilev,406.155
1967,Vitebsk,390.706
1968,Brest,428.252
1968,Gomel,440.755
1968,Grodno,393.536
1968,Minsk,403.590
1968,Mogilev,401.427
1968,Vitebsk,403.028
1969,Brest,390.177
1969,Gomel,422.676
1969,Grodno,398.035
1969,Minsk,404.188
1969,Mogilev,410.678
1969,Vitebsk,390.444
1970,Brest,415.579
1970,Gomel,431.151
1970,Grodno,386.931
1970,Minsk,412.969
1970,Mogilev,399.155
1970,Vitebsk,400.607
1971,Brest,387.447
1971,Gomel,408.613
1971,Grodno,364.679
1971,Minsk,342.322
1971,Mogilev,396.250
1971,Vitebsk,371.405
1972,Brest,401.234
1972,Gomel,416.595
1972,Grodno,396.866
1972,Minsk,408.099
1972,Mogilev,418.171
1972,Vitebsk,410.225
1973,Brest,407.411
1973,Gomel,387.509
1973,Grodno,400.515
1973,Minsk,410.853
1973,Mogilev,417.979
1973,Vitebsk,396.942
1974,Brest,385.291
1974,Gomel,405.486
1974,Grodno,351.478
1974,Minsk,371.446
1974,Mogilev,394.636
1974,Vitebsk,373.742
1975,Brest,446.863
1975,Gomel,451.858
1975,Grodno,408.768
1975,Minsk,421.775
1975,Mogilev,425.472
1975,Vitebsk,406.975
1976,Brest,382.335
1976,Gomel,378.197
1976,Grodno,370.788
1976,Minsk,374.550
1976,Mogilev,378.016
1976,Vitebsk,375.614
1977,Brest,410.754
1977,Gomel,424.680
1977,Grodno,384.198
1977,Minsk,400.475
1977,Mogilev,397.814
1977,Vitebsk,382.320
1978,Brest,378.549
1978,Gomel,408.510
1978,Grodno,384.269
1978,Minsk,393.531
1978,Mogilev,394.139
1978,Vitebsk,379.152
1979,Brest,414.596
1979,Gomel,411.787
1979,Grodno,378.004
1979,Minsk,391.238
1979,Mogilev,388.351
1979,Vitebsk,393.730
1980,Brest,375.280
1980,Gomel,413.629
1980,Grodno,356.687
1980,Minsk,376.311
1980,Mogilev,392.435
1980,Vitebsk,360.644
1981,Brest,395.199
1981,Gomel,414.356
1981,Grodno,370.078
1981,Minsk,393.896
1981,Mogilev,399.456
1981,Vitebsk,394.311
1982,Brest,399.070
1982,Gomel,424.585
1982,Grodno,378.383
1982,Minsk,414.414
1982,Mogilev,417.596
1982,Vitebsk,394.696
1983,Brest,416.957
1983,Gomel,400.397
1983,Grodno,394.565
1983,Minsk,373.403
1983,Mogilev,409.965
1983,Vitebsk,394.704
1984,Brest,387.588
1984,Gomel,395.717
1984,Grodno,369.931
1984,Minsk,368.284
1984,Mogilev,384.889
1984,Vitebsk,368.199
1985,Brest,438.964
1985,Gomel,441.220
1985,Grodno,414.272
1985,Minsk,418.362
1985,Mogilev,421.541
1985,Vitebsk,397.363
1986,Brest,406.077
1986,Gomel,400.299
1986,Grodno,389.464
1986,Minsk,386.370
1986,Mogilev,408.653
1986,Vitebsk,396.990
1987,Brest,407.773
1987,Gomel,420.241
1987,Grodno,402.553
1987,Minsk,395.615
1987,Mogilev,405.991
1987,Vitebsk,379.461
1988,Brest,416.779
1988,Gomel,422.536
1988,Grodno,397.673
1988,Minsk,399.124
1988,Mogilev,417.027
1988,Vitebsk,396.130
1989,Brest,409.975
1989,Gomel,423.560
1989,Grodno,412.472
1989,Minsk,403.194
1989,Mogilev,423.702
1989,Vitebsk,403.817
1990,Brest,385.842
1990,Gomel,422.378
1990,Grodno,367.184
1990,Minsk,361.705
1990,Mogilev,395.056
1990,Vitebsk,357.219
1991,Brest,412.577
1991,Gomel,429.958
1991,Grodno,390.469
1991,Minsk,406.849
1991,Mogilev,428.338
1991,Vitebsk,395.709
1992,Brest,416.033
1992,Gomel,400.742
1992,Grodno,371.808
1992,Minsk,371.672
1992,Mogilev,376.704
1992,Vitebsk,382.151
1993,Brest,411.437
1993,Gomel,409.877
1993,Grodno,390.726
1993,Minsk,392.383
1993,Mogilev,395.791
1993,Vitebsk,373.887
1994,Brest,412.941
1994,Gomel,422.161
1994,Grodno,398.560
1994,Minsk,407.234
1994,Mogilev,412.534
1994,Vitebsk,401.599
1995,Brest,404.104
1995,Gomel,402.032
1995,Grodno,391.448
1995,Minsk,387.933
1995,Mogilev,431.430
1995,Vitebsk,421.561
1996,Brest,405.258
1996,Gomel,388.563
1996,Grodno,414.234
1996,Minsk,406.350
1996,Mogilev,384.188
1996,Vitebsk,390.153
1997,Brest,418.145
1997,Gomel,416.350
1997,Grodno,425.919
1997,Minsk,427.061
1997,Mogilev,419.029
1997,Vitebsk,419.186
1998,Brest,418.357
1998,Gomel,447.567
1998,Grodno,413.331
1998,Minsk,426.576
1998,Mogilev,433.667
1998,Vitebsk,409.822
1999,Brest,410.724
1999,Gomel,411.975
1999,Grodno,386.700
1999,Minsk,358.932
1999,Mogilev,389.208
1999,Vitebsk,368.843
2000,Brest,394.739
2000,Gomel,403.499
2000,Grodno,391.939
2000,Minsk,385.709
2000,Mogilev,397.526
2000,Vitebsk,383.533
2001,Brest,383.996
2001,Gomel,451.417
2001,Grodno,393.704
2001,Minsk,428.646
2001,Mogilev,430.581
2001,Vitebsk,432.044
2002,Brest,408.185
2002,Gomel,386.181
2002,Grodno,382.156
2002,Minsk,400.615
2002,Mogilev,408.204
2002,Vitebsk,392.874
2003,Brest,414.881
2003,Gomel,385.637
2003,Grodno,396.637
2003,Minsk,409.333
2003,Mogilev,378.929
2003,Vitebsk,403.914
2004,Brest,423.272
2004,Gomel,426.227
2004,Grodno,409.432
2004,Minsk,424.956
2004,Mogilev,416.433
2004,Vitebsk,373.602
2005,Brest,398.298
2005,Gomel,407.752
2005,Grodno,412.826
2005,Minsk,418.090
2005,Mogilev,441.484
2005,Vitebsk,414.383
2006,Brest,370.296
2006,Gomel,447.062
2006,Grodno,412.134
2006,Minsk,391.082
2006,Mogilev,405.470
2006,Vitebsk,387.957
2007,Brest,429.059
2007,Gomel,460.582
2007,Grodno,420.942
2007,Minsk,410.484
2007,Mogilev,447.530
2007,Vitebsk,411.198
2008,Brest,432.399
2008,Gomel,448.784
2008,Grodno,417.842
2008,Minsk,420.666
2008,Mogilev,435.664
2008,Vitebsk,411.312
2009,Brest,429.885
2009,Gomel,427.465
2009,Grodno,401.740
2009,Minsk,436.761
2009,Mogilev,444.903
2009,Vitebsk,409.076
2010,Brest,440.771
2010,Gomel,465.640
2010,Grodno,445.991
2010,Minsk,458.614
2010,Mogilev,485.010
2010,Vitebsk,445.055
2011,Brest,432.708
2011,Gomel,437.058
2011,Grodno,427.805
2011,Minsk,427.951
2011,Mogilev,443.738
2011,Vitebsk,410.980
2012,Brest,406.644
2012,Gomel,472.758
2012,Grodno,403.750
2012,Minsk,436.579
