year,region,e_winter
1940,Brest,14.654
1940,Gomel,12.639
1940,Grodno,12.225
1940,Minsk,9.583
1940,Mogilev,9.660
1940,Vitebsk,11.331
1941,Brest,12.698
1941,Gomel,9.497
1941,Grodno,9.747
1941,Minsk,7.186
1941,Mogilev,7.488
1941,Vitebsk,8.607
1942,Brest,19.765
1942,Gomel,10.463
1942,Grodno,15.850
1942,Minsk,8.552
1942,Mogilev,6.560
1942,Vitebsk,11.983
1943,Brest,22.843
1943,Gomel,21.799
1943,Grodno,17.851
1943,Minsk,15.205
1943,Mogilev,15.805
1943,Vitebsk,15.662
1944,Brest,12.472
1944,Gomel,10.066
1944,Grodno,11.655
1944,Minsk,7.772
1944,Mogilev,7.667
1944,Vitebsk,11.588
1945,Brest,18.339
1945,Gomel,14.544
1945,Grodno,15.585
1945,Minsk,11.937
1945,Mogilev,10.562
1945,Vitebsk,12.914
1946,Brest,9.488
1946,Gomel,9.785
1946,Grodno,9.069
1946,Minsk,6.600
1946,Mogilev,8.107
1946,Vitebsk,8.226
1947,Brest,19.109
1947,Gomel,18.058
1947,Grodno,13.240
1947,Minsk,12.755
1947,Mogilev,13.028
1947,Vitebsk,11.622
1948,Brest,17.439
1948,Gomel,15.639
1948,Grodno,16.392
1948,Minsk,13.811
1948,Mogilev,12.859
1948,Vitebsk,15.241
1949,Brest,23.537
1949,Gomel,16.205
1949,Grodno,20.016
1949,Minsk,14.815
1949,Mogilev,11.252
1949,Vitebsk,14.834
1950,Brest,20.433
1950,Gomel,19.495
1950,Grodno,18.682
1950,Minsk,15.133
1950,Mogilev,14.827
1950,Vitebsk,16.687
1951,Brest,23.333
1951,Gomel,21.263
1951,Grodno,21.274
1951,Minsk,19.464
1951,Mogilev,17.831
1951,Vitebsk,21.523
1952,Brest,13.380
1952,Gomel,10.616
1952,Grodno,10.457
1952,Minsk,7.848
1952,Mogilev,7.272
1952,Vitebsk,11.763
1953,Brest,11.763
1953,Gomel,9.717
1953,Grodno,9.495
1953,Minsk,7.927
1953,Mogilev,7.875
1953,Vitebsk,9.160
1954,Brest,14.921
1954,Gomel,11.826
1954,Grodno,13.232
1954,Minsk,9.760
1954,Mogilev,10.246
1954,Vitebsk,16.226
1955,Brest,20.207
1955,Gomel,14.996
1955,Grodno,17.292
1955,Minsk,12.020
1955,Mogilev,11.069
1955,Vitebsk,14.518
1956,Brest,22.919
1956,Gomel,17.198
1956,Grodno,19.641
1956,Minsk,16.209
1956,Mogilev,11.303
1956,Vitebsk,15.389
1957,Brest,18.612
1957,Gomel,13.303
1957,Grodno,14.328
1957,Minsk,9.189
1957,Mogilev,8.048
1957,Vitebsk,12.335
1958,Brest,23.384
1958,Gomel,21.757
1958,Grodno,17.546
1958,Minsk,12.909
1958,Mogilev,17.658
1958,Vitebsk,16.637
1959,Brest,14.649
1959,Gomel,11.796
1959,Grodno,13.836
1959,Minsk,8.912
1959,Mogilev,8.006
1959,Vitebsk,12.063
1960,Brest,19.396
1960,Gomel,21.133
1960,Grodno,18.972
1960,Minsk,15.410
1960,Mogilev,16.592
1960,Vitebsk,17.894
1961,Brest,24.281
1961,Gomel,18.836
1961,Grodno,22.753
1961,Minsk,18.442
1961,Mogilev,15.490
1961,Vitebsk,21.620
1962,Brest,9.639
1962,Gomel,10.467
1962,Grodno,9.009
1962,Minsk,7.746
1962,Mogilev,8.867
1962,Vitebsk,10.181
1963,Brest,14.101
1963,Gomel,10.522
1963,Grodno,11.901
1963,Minsk,8.920
1963,Mogilev,7.530
1963,Vitebsk,10.204
1964,Brest,16.661
1964,Gomel,15.237
1964,Grodno,14.609
1964,Minsk,12.656
1964,Mogilev,12.390
1964,Vitebsk,13.852
1965,Brest,13.198
1965,Gomel,8.771
1965,Grodno,9.888
1965,Minsk,6.645
1965,Mogilev,8.298
1965,Vitebsk,9.705
1966,Brest,11.768
