year,region,t2m_Apr
1955,Brest,3.963
1955,Gomel,3.676
1955,Grodno,2.719
1955,Minsk,2.262
1955,Mogilev,2.322
1955,Vitebsk,1.011
1956,Brest,5.154
1956,Gomel,5.382
1956,Grodno,3.740
1956,Minsk,3.599
1956,Mogilev,3.950
1956,Vitebsk,2.287
1957,Brest,8.001
1957,Gomel,7.948
1957,Grodno,7.380
1957,Minsk,7.004
1957,Mogilev,6.980
1957,Vitebsk,6.169
1958,Brest,3.992
1958,Gomel,4.414
1958,Grodno,2.936
1958,Minsk,3.097
1958,Mogilev,3.230
1958,Vitebsk,2.662
1959,Brest,7.407
1959,Gomel,7.263
1959,Grodno,6.770
1959,Minsk,6.573
1959,Mogilev,6.567
1959,Vitebsk,5.905
1960,Brest,6.077
1960,Gomel,6.247
1960,Grodno,5.608
1960,Minsk,5.597
1960,Mogilev,5.649
1960,Vitebsk,4.741
1961,Brest,8.393
1961,Gomel,7.686
1961,Grodno,7.383
1961,Minsk,6.684
1961,Mogilev,6.180
1961,Vitebsk,5.410
1962,Brest,9.489
1962,Gomel,9.153
1962,Grodno,8.408
1962,Minsk,8.294
1962,Mogilev,7.890
1962,Vitebsk,7.187
1963,Brest,6.456
1963,Gomel,5.069
1963,Grodno,5.299
1963,Minsk,4.557
1963,Mogilev,4.220
1963,Vitebsk,3.420
1964,Brest,6.156
1964,Gomel,6.618
1964,Grodno,5.209
1964,Minsk,5.364
1964,Mogilev,5.492
1964,Vitebsk,4.671
1965,Brest,5.139
1965,Gomel,4.437
1965,Grodno,4.482
1965,Minsk,3.955
1965,Mogilev,3.277
1965,Vitebsk,2.885
1966,Brest,8.840
1966,Gomel,10.294
1966,Grodno,7.207
1966,Minsk,8.024
1966,Mogilev,9.229
1966,Vitebsk,6.492
1967,Brest,7.961
1967,Gomel,8.241
1967,Grodno,6.733
1967,Minsk,6.822
1967,Mogilev,6.704
1967,Vitebsk,5.694
1968,Brest,8.452
1968,Gomel,8.208
1968,Grodno,7.520
1968,Minsk,7.163
1968,Mogilev,6.895
1968,Vitebsk,6.251
1969,Brest,5.894
1969,Gomel,5.941
1969,Grodno,5.121
1969,Minsk,5.297
1969,Mogilev,5.382
1969,Vitebsk,5.214
1970,Brest,7.172
1970,Gomel,7.458
1970,Grodno,5.754
1970,Minsk,5.966
1970,Mogilev,5.967
1970,Vitebsk,5.089
1971,Brest,6.348
1971,Gomel,5.847
1971,Grodno,5.536
1971,Minsk,4.982
1971,Mogilev,4.713
1971,Vitebsk,4.266
1972,Brest,8.074
1972,Gomel,8.441
1972,Grodno,6.573
1972,Minsk,6.448
1972,Mogilev,6.556
1972,Vitebsk,5.185
1973,Brest,7.241
1973,Gomel,8.296
1973,Grodno,5.847
1973,Minsk,6.279
1973,Mogilev,7.122
1973,Vitebsk,5.829
1974,Brest,5.826
1974,Gomel,5.244
1974,Grodno,5.194
1974,Minsk,4.701
1974,Mogilev,4.006
1974,Vitebsk,3.791
1975,Brest,7.356
1975,Gomel,9.271
1975,Grodno,6.462
1975,Minsk,7.210
1975,Mogilev,8.516
1975,Vitebsk,7.046
1976,Brest,7.371
1976,Gomel,7.808
1976,Grodno,6.203
1976,Minsk,6.212
1976,Mogilev,6.287
1976,Vitebsk,5.199
1977,Brest,6.185
1977,Gomel,7.558
1977,Grodno,5.054
1977,Minsk,5.893
1977,Mogilev,7.034
1977,Vitebsk,5.790
1978,Brest,6.550
1978,Gomel,7.003
1978,Grodno,5.585
1978,Minsk,5.774
1978,Mogilev,5.800
1978,Vitebsk,4.895
1979,Brest,5.766
1979,Gomel,5.353
1979,Grodno,5.167
1979,Minsk,4.932
1979,Mogilev,4.651
1979,Vitebsk,4.177
1980,Brest,6.121
1980,Gomel,6.432
1980,Grodno,5.477
1980,Minsk,5.694
1980,Mogilev,5.480
1980,Vitebsk,5.318
1981,Brest,4.698
1981,Gomel,4.394
1981,Grodno,3.862
1981,Minsk,3.768
1981,Mogilev,3.603
1981,Vitebsk,3.263
1982,Brest,5.592
1982,Gomel,5.788
1982,Grodno,4.960
1982,Minsk,4.929
1982,Mogilev,5.053
1982,Vitebsk,4.835
1983,Brest,9.589
1983,Gomel,9.916
1983,Grodno,8.634
1983,Minsk,8.922
1983,Mogilev,9.194
1983,Vitebsk,8.363
1984,Brest,8.693
1984,Gomel,8.488
1984,Grodno,8.349
1984,Minsk,8.176
1984,Mogilev,7.845
1984,Vitebsk,7.773
1985,Brest,7.772
1985,Gomel,7.701
1985,Grodno,6.059
1985,Minsk,6.094
1985,Mogilev,5.941
1985,Vitebsk,4.591
1986,Brest,9.085
1986,Gomel,9.445
1986,Grodno,7.100
1986,Minsk,7.566
1986,Mogilev,7.996
1986,Vitebsk,6.146
1987,Brest,5.353
1987,Gomel,4.267
1987,Grodno,4.286
1987,Minsk,3.843
1987,Mogilev,3.164
1987,Vitebsk,3.128
1988,Brest,6.463
1988,Gomel,6.650
1988,Grodno,5.311
1988,Minsk,5.399
1988,Mogilev,5.521
1988,Vitebsk,4.604
1989,Brest,9.412
1989,Gomel,9.404
1989,Grodno,8.050
1989,Minsk,8.195
1989,Mogilev,8.141
1989,Vitebsk,7.466
1990,Brest,8.587
1990,Gomel,8.797
1990,Grodno,7.992
1990,Minsk,8.108
1990,Mogilev,8.123
1990,Vitebsk,7.902
1991,Brest,7.178
1991,Gomel,7.795
1991,Grodno,6.707
1991,Minsk,6.668
1991,Mogilev,6.724
1991,Vitebsk,6.278
1992,Brest,6.094
1992,Gomel,6.129
1992,Grodno,5.016
1992,Minsk,5.003
1992,Mogilev,5.088
1992,Vitebsk,4.387
1993,Brest,7.755
1993,Gomel,7.414
1993,Grodno,7.313
1993,Minsk,6.910
1993,Mogilev,6.778
1993,Vitebsk,6.227
1994,Brest,9.167
1994,Gomel,9.743
1994,Grodno,8.182
1994,Minsk,8.631
1994,Mogilev,8.569
1994,Vitebsk,7.876
1995,Brest,7.816
1995,Gomel,7.931
1995,Grodno,7.204
1995,Minsk,7.264
1995,Mogilev,7.366
1995,Vitebsk,6.769
1996,Brest,7.681
1996,Gomel,8.782
1996,Grodno,7.058
1996,Minsk,7.628
1996,Mogilev,7.746
1996,Vitebsk,7.155
1997,Brest,4.601
1997,Gomel,4.761
1997,Grodno,4.229
1997,Minsk,3.906
1997,Mogilev,4.011
1997,Vitebsk,3.524
1998,Brest,9.348
1998,Gomel,8.489
1998,Grodno,8.388
1998,Minsk,7.852
1998,Mogilev,6.813
1998,Vitebsk,6.552
1999,Brest,10.018
1999,Gomel,10.019
1999,Grodno,10.018
1999,Minsk,10.018
1999,Mogilev,10.018
1999,Vitebsk,10.018
2000,Brest,11.689
2000,Gomel,11.897
2000,Grodno,11.272
2000,Minsk,11.005
2000,Mogilev,10.932
2000,Vitebsk,10.076
2001,Brest,9.596
2001,Gomel,9.596
2001,Grodno,9.596
2001,Minsk,9.596
2001,Mogilev,9.596
2001,Vitebsk,9.596
2002,Brest,8.241
