year,region,t2m_Aug
1955,Brest,18.939
1955,Gomel,18.953
1955,Grodno,18.946
1955,Minsk,18.717
1955,Mogilev,18.553
1955,Vitebsk,18.229
1956,Brest,15.323
1956,Gomel,16.160
1956,Grodno,14.468
1956,Minsk,14.567
1956,Mogilev,14.916
1956,Vitebsk,13.860
1957,Brest,16.168
1957,Gomel,17.060
1957,Grodno,15.789
1957,Minsk,15.880
1957,Mogilev,16.260
1957,Vitebsk,15.617
1958,Brest,16.688
1958,Gomel,16.410
1958,Grodno,16.089
1958,Minsk,15.745
1958,Mogilev,15.722
1958,Vitebsk,15.300
1959,Brest,18.152
1959,Gomel,18.352
1959,Grodno,17.982
1959,Minsk,17.895
1959,Mogilev,18.002
1959,Vitebsk,17.673
1960,Brest,16.475
1960,Gomel,16.931
1960,Grodno,16.264
1960,Minsk,16.314
1960,Mogilev,16.382
1960,Vitebsk,15.883
1961,Brest,16.581
1961,Gomel,16.724
1961,Grodno,15.696
1961,Minsk,15.601
1961,Mogilev,15.948
1961,Vitebsk,14.839
1962,Brest,16.567
1962,Gomel,16.840
1962,Grodno,15.603
1962,Minsk,15.659
1962,Mogilev,15.733
1962,Vitebsk,14.718
1963,Brest,19.720
1963,Gomel,19.662
1963,Grodno,19.355
1963,Minsk,19.135
1963,Mogilev,18.809
1963,Vitebsk,18.010
1964,Brest,15.152
1964,Gomel,15.298
1964,Grodno,15.053
1964,Minsk,14.843
1964,Mogilev,14.856
1964,Vitebsk,14.560
1965,Brest,15.555
1965,Gomel,15.987
1965,Grodno,15.036
1965,Minsk,15.129
1965,Mogilev,15.396
1965,Vitebsk,14.579
1966,Brest,16.520
1966,Gomel,17.592
1966,Grodno,16.138
1966,Minsk,16.426
1966,Mogilev,16.965
1966,Vitebsk,15.849
1967,Brest,17.060
1967,Gomel,17.277
1967,Grodno,16.636
1967,Minsk,16.777
1967,Mogilev,16.964
1967,Vitebsk,16.269
1968,Brest,17.119
1968,Gomel,18.328
1968,Grodno,17.057
1968,Minsk,17.083
1968,Mogilev,17.921
1968,Vitebsk,17.119
1969,Brest,16.442
1969,Gomel,16.686
1969,Grodno,16.029
1969,Minsk,15.931
1969,Mogilev,16.088
1969,Vitebsk,15.583
1970,Brest,16.572
1970,Gomel,16.743
1970,Grodno,16.211
1970,Minsk,16.124
1970,Mogilev,16.219
1970,Vitebsk,15.820
1971,Brest,18.417
1971,Gomel,17.951
1971,Grodno,18.291
1971,Minsk,18.059
1971,Mogilev,17.618
1971,Vitebsk,17.286
1972,Brest,17.496
1972,Gomel,19.282
1972,Grodno,17.292
1972,Minsk,18.094
1972,Mogilev,18.741
1972,Vitebsk,18.124
1973,Brest,16.696
1973,Gomel,16.825
1973,Grodno,16.299
1973,Minsk,16.258
1973,Mogilev,15.833
1973,Vitebsk,15.565
