year,region,t2m_Dec
1955,Brest,-2.274
1955,Gomel,-4.711
1955,Grodno,-3.688
1955,Minsk,-5.365
1955,Mogilev,-7.119
1955,Vitebsk,-7.396
1956,Brest,-2.671
1956,Gomel,-3.745
1956,Grodno,-2.594
1956,Minsk,-3.369
1956,Mogilev,-4.250
1956,Vitebsk,-3.366
1957,Brest,-3.503
1957,Gomel,-4.552
1957,Grodno,-3.362
1957,Minsk,-4.464
1957,Mogilev,-5.119
1957,Vitebsk,-4.691
1958,Brest,-0.846
1958,Gomel,-1.864
1958,Grodno,-1.684
1958,Minsk,-2.652
1958,Mogilev,-3.338
1958,Vitebsk,-3.932
1959,Brest,-3.937
1959,Gomel,-6.369
1959,Grodno,-4.857
1959,Minsk,-6.607
1959,Mogilev,-8.336
1959,Vitebsk,-8.324
1960,Brest,2.289
1960,Gomel,2.416
1960,Grodno,1.914
1960,Minsk,1.753
1960,Mogilev,1.651
1960,Vitebsk,1.502
1961,Brest,-5.098
1961,Gomel,-5.579
1961,Grodno,-5.059
1961,Minsk,-5.704
1961,Mogilev,-6.429
1961,Vitebsk,-5.591
1962,Brest,-5.449
1962,Gomel,-5.171
1962,Grodno,-5.905
1962,Minsk,-5.912
1962,Mogilev,-5.964
1962,Vitebsk,-6.828
1963,Brest,-6.590
1963,Gomel,-8.210
1963,Grodno,-6.527
1963,Minsk,-7.568
1963,Mogilev,-8.807
1963,Vitebsk,-8.318
1964,Brest,-1.757
1964,Gomel,-1.329
1964,Grodno,-1.989
1964,Minsk,-1.871
1964,Mogilev,-1.983
1964,Vitebsk,-2.235
1965,Brest,-1.105
1965,Gomel,-1.319
1965,Grodno,-1.547
1965,Minsk,-2.001
1965,Mogilev,-1.959
1965,Vitebsk,-2.427
1966,Brest,-3.269
1966,Gomel,-4.892
1966,Grodno,-3.934
1966,Minsk,-5.260
1966,Mogilev,-6.208
1966,Vitebsk,-6.546
1967,Brest,-3.783
1967,Gomel,-5.779
1967,Grodno,-4.469
1967,Minsk,-5.947
1967,Mogilev,-7.255
1967,Vitebsk,-7.613
1968,Brest,-4.444
1968,Gomel,-3.969
1968,Grodno,-4.460
1968,Minsk,-4.330
