year,region,t2m_Feb
1955,Brest,-4.468
1955,Gomel,-4.462
1955,Grodno,-4.980
1955,Minsk,-5.271
1955,Mogilev,-5.342
1955,Vitebsk,-6.186
1956,Brest,-14.011
1956,Gomel,-14.714
1956,Grodno,-14.099
1956,Minsk,-14.735
1956,Mogilev,-15.645
1956,Vitebsk,-15.954
1957,Brest,0.643
1957,Gomel,0.077
1957,Grodno,0.167
1957,Minsk,-0.334
1957,Mogilev,-0.783
1957,Vitebsk,-0.838
1958,Brest,-2.000
1958,Gomel,-2.836
1958,Grodno,-3.256
1958,Minsk,-3.948
1958,Mogilev,-4.669
1958,Vitebsk,-5.643
1959,Brest,-2.689
1959,Gomel,-2.877
1959,Grodno,-2.553
1959,Minsk,-3.159
1959,Mogilev,-3.465
1959,Vitebsk,-3.460
1960,Brest,-5.346
1960,Gomel,-5.628
1960,Grodno,-6.160
1960,Minsk,-6.340
1960,Mogilev,-6.456
1960,Vitebsk,-7.287
1961,Brest,-0.572
1961,Gomel,-1.551
1961,Grodno,-0.566
1961,Minsk,-1.450
1961,Mogilev,-2.252
1961,Vitebsk,-1.370
1962,Brest,-4.548
1962,Gomel,-4.941
1962,Grodno,-5.116
1962,Minsk,-5.513
1962,Mogilev,-5.682
1962,Vitebsk,-5.823
1963,Brest,-8.896
1963,Gomel,-7.828
1963,Grodno,-9.353
1963,Minsk,-9.114
1963,Mogilev,-8.736
1963,Vitebsk,-10.119
1964,Brest,-7.794
1964,Gomel,-9.382
1964,Grodno,-8.319
1964,Minsk,-9.135
1964,Mogilev,-10.471
1964,Vitebsk,-9.838
1965,Brest,-7.354
1965,Gomel,-7.766
1965,Grodno,-7.891
1965,Minsk,-8.105
1965,Mogilev,-8.968
1965,Vitebsk,-8.917
1966,Brest,-3.128
1966,Gomel,-4.045
1966,Grodno,-5.060
1966,Minsk,-5.773
1966,Mogilev,-5.761
1966,Vitebsk,-8.050
1967,Brest,-4.011
1967,Gomel,-7.163
1967,Grodno,-3.858
1967,Minsk,-5.737
1967,Mogilev,-8.134
1967,Vitebsk,-6.703
1968,Brest,-3.504
1968,Gomel,-5.837
1968,Grodno,-4.616
1968,Minsk,-6.046
1968,Mogilev,-7.491
1968,Vitebsk,-7.674
1969,Brest,-7.254
1969,Gomel,-8.209
1969,Grodno,-8.051
1969,Minsk,-8.451
1969,Mogilev,-9.472
1969,Vitebsk,-9.108
1970,Brest,-8.180
1970,Gomel,-7.983
1970,Grodno,-8.975
1970,Minsk,-9.346
1970,Mogilev,-9.041
1970,Vitebsk,-10.134
1971,Brest,-2.470
1971,Gomel,-4.707
1971,Grodno,-2.900
1971,Minsk,-4.387
1971,Mogilev,-6.123
1971,Vitebsk,-5.524
1972,Brest,-3.195
1972,Gomel,-5.019
1972,Grodno,-2.936
1972,Minsk,-4.306
1972,Mogilev,-5.519
1972,Vitebsk,-4.459
1973,Brest,-0.317
1973,Gomel,-0.884
1973,Grodno,-0.916
1973,Minsk,-1.413
1973,Mogilev,-1.974
1973,Vitebsk,-2.125
1974,Brest,0.293
1974,Gomel,-0.229
1974,Grodno,-0.453
1974,Minsk,-0.837
1974,Mogilev,-0.927
1974,Vitebsk,-1.382
1975,Brest,-1.322
1975,Gomel,-2.433
1975,Grodno,-1.535
1975,Minsk,-2.336
1975,Mogilev,-3.613
1975,Vitebsk,-3.426
1976,Brest,-8.110
1976,Gomel,-10.485
1976,Grodno,-7.881
1976,Minsk,-8.923
1976,Mogilev,-10.767
1976,Vitebsk,-9.710
1977,Brest,-1.986
1977,Gomel,-2.890
1977,Grodno,-3.204
1977,Minsk,-3.853
1977,Mogilev,-4.663
1977,Vitebsk,-5.227
1978,Brest,-6.769
1978,Gomel,-6.911
1978,Grodno,-7.375
1978,Minsk,-7.867
1978,Mogilev,-8.141
1978,Vitebsk,-8.539
1979,Brest,-7.779
1979,Gomel,-8.339
1979,Grodno,-8.126
1979,Minsk,-8.545
1979,Mogilev,-9.077
1979,Vitebsk,-9.709
1980,Brest,-4.523
1980,Gomel,-5.833
1980,Grodno,-5.669
1980,Minsk,-6.375
1980,Mogilev,-7.572
1980,Vitebsk,-7.939
1981,Brest,-2.912
1981,Gomel,-3.352
1981,Grodno,-3.548
1981,Minsk,-4.032
1981,Mogilev,-4.639
1981,Vitebsk,-4.852
1982,Brest,-4.428
1982,Gomel,-6.180
1982,Grodno,-5.196
1982,Minsk,-6.407
1982,Mogilev,-7.445
1982,Vitebsk,-7.123
1983,Brest,-3.652
1983,Gomel,-4.239
1983,Grodno,-4.523
1983,Minsk,-5.388
1983,Mogilev,-5.354
1983,Vitebsk,-6.333
1984,Brest,-4.539
1984,Gomel,-6.768
1984,Grodno,-5.176
1984,Minsk,-6.773
1984,Mogilev,-8.432
1984,Vitebsk,-8.253
1985,Brest,-12.531
1985,Gomel,-14.914
1985,Grodno,-12.930
1985,Minsk,-14.594
1985,Mogilev,-16.042
1985,Vitebsk,-15.429
1986,Brest,-11.547
1986,Gomel,-11.323
1986,Grodno,-12.505
1986,Minsk,-12.553
1986,Mogilev,-13.340
1986,Vitebsk,-13.227
1987,Brest,-2.927
1987,Gomel,-4.318
1987,Grodno,-3.690
1987,Minsk,-4.287
1987,Mogilev,-5.347
1987,Vitebsk,-5.146
1988,Brest,-1.942
1988,Gomel,-3.767
1988,Grodno,-2.778
1988,Minsk,-3.583
1988,Mogilev,-4.444
1988,Vitebsk,-4.401
1989,Brest,2.446
1989,Gomel,1.675
1989,Grodno,1.863
1989,Minsk,1.491
1989,Mogilev,0.732
1989,Vitebsk,1.006
1990,Brest,3.677
1990,Gomel,2.665
1990,Grodno,3.200
1990,Minsk,2.604
1990,Mogilev,1.519
1990,Vitebsk,1.981
1991,Brest,-5.019
1991,Gomel,-5.986
1991,Grodno,-5.459
1991,Minsk,-5.908
1991,Mogilev,-6.449
1991,Vitebsk,-5.723
1992,Brest,-0.997
1992,Gomel,-2.237
1992,Grodno,-1.251
1992,Minsk,-2.096
1992,Mogilev,-2.915
1992,Vitebsk,-2.399
1993,Brest,-2.361
1993,Gomel,-2.522
1993,Grodno,-2.461
1993,Minsk,-2.679
1993,Mogilev,-3.092
1993,Vitebsk,-2.929
1994,Brest,-5.541
1994,Gomel,-7.564
1994,Grodno,-6.685
1994,Minsk,-8.003
1994,Mogilev,-9.261
1994,Vitebsk,-10.413
1995,Brest,1.823
1995,Gomel,1.209
1995,Grodno,1.181
1995,Minsk,0.631
1995,Mogilev,0.081
1995,Vitebsk,-0.090
1996,Brest,-7.717
1996,Gomel,-7.794
1996,Grodno,-7.918
1996,Minsk,-8.318
1996,Mogilev,-8.860
1996,Vitebsk,-9.665
1997,Brest,0.186
1997,Gomel,-1.280
1997,Grodno,-0.460
1997,Minsk,-1.330
1997,Mogilev,-2.381
1997,Vitebsk,-2.037
1998,Brest,1.548
1998,Gomel,-0.311
1998,Grodno,0.597
1998,Minsk,-0.463
1998,Mogilev,-2.128
1998,Vitebsk,-2.050
1999,Brest,-2.546
1999,Gomel,-3.358
1999,Grodno,-3.828
1999,Minsk,-4.538
1999,Mogilev,-4.989
1999,Vitebsk,-6.424
2000,Brest,0.507
2000,Gomel,-0.536
2000,Grodno,0.403
2000,Minsk,-0.253
2000,Mogilev,-1.335
2000,Vitebsk,-0.972
2001,Brest,-2.643
2001,Gomel,-3.815
2001,Grodno,-2.885
2001,Minsk,-3.640
2001,Mogilev,-4.840
2001,Vitebsk,-4.795
2002,Brest,2.693
2002,Gomel,2.309
2002,Grodno,1.897
2002,Minsk,1.532
2002,Mogilev,0.916
2002,Vitebsk,0.483
2003,Brest,-6.758
2003,Gomel,-7.160
2003,Grodno,-6.487
2003,Minsk,-6.970
2003,Mogilev,-8.142
2003,Vitebsk,-6.983
2004,Brest,-2.300
2004,Gomel,-3.803
2004,Grodno,-3.070
2004,Minsk,-4.281
2004,Mogilev,-5.290
2004,Vitebsk,-5.439
2005,Brest,-5.147
2005,Gomel,-6.318
2005,Grodno,-5.689
2005,Minsk,-6.633
2005,Mogilev,-7.801
2005,Vitebsk,-7.868
2006,Brest,-6.521
2006,Gomel,-8.055
2006,Grodno,-7.355
2006,Minsk,-8.403
2006,Mogilev,-9.927
2006,Vitebsk,-9.981
2007,Brest,-4.590
2007,Gomel,-6.714
2007,Grodno,-6.619
2007,Minsk,-7.961
2007,Mogilev,-9.140
2007,Vitebsk,-10.380
2008,Brest,1.460
2008,Gomel,0.261
2008,Grodno,1.136
2008,Minsk,0.491
2008,Mogilev,-0.546
2008,Vitebsk,0.063
2009,Brest,-1.878
2009,Gomel,-2.841
2009,Grodno,-3.160
2009,Minsk,-3.822
2009,Mogilev,-3.953
2009,Vitebsk,-4.582
2010,Brest,-3.807
2010,Gomel,-4.103
2010,Grodno,-4.332
2010,Minsk,-4.782
2010,Mogilev,-5.127
2010,Vitebsk,-5.573
2011,Brest,-5.772
2011,Gomel,-7.479
2011,Grodno,-7.257
2011,Minsk,-8.052
2011,Mogilev,-9.233
2011,Vitebsk,-9.974
2012,Brest,-9.457
2012,Gomel,-11.417
2012,Grodno,-9.790
2012,Minsk,-10.969
2012,Mogilev,-12.227
2012,Vitebsk,-11.711
2013,Brest,-0.819
2013,Gomel,-1.182
2013,Grodno,-1.604
2013,Minsk,-1.900
2013,Mogilev,-2.252
2013,Vitebsk,-2.779
2014,Brest,0.098
2014,Gomel,-0.903
2014,Grodno,-0.438
2014,Minsk,-0.898
2014,Mogilev,-1.470
2014,Vitebsk,-0.950
2015,Brest,-0.173
2015,Gomel,-1.075
2015,Grodno,-0.540
2015,Minsk,-1.090
2015,Mogilev,-1.702
2015,Vitebsk,-1.612
2016,Brest,2.194
2016,Gomel,1.050
2016,Grodno,1.481
2016,Minsk,0.838
2016,Mogilev,0.239
2016,Vitebsk,0.471
2017,Brest,-2.451
2017,Gomel,-3.202
2017,Grodno,-2.606
2017,Minsk,-3.245
2017,Mogilev,-3.652
2017,Vitebsk,-3.509
2018,Brest,-4.538
2018,Gomel,-5.288
2018,Grodno,-5.552
2018,Minsk,-6.179
2018,Mogilev,-6.852
2018,Vitebsk,-7.679
2019,Brest,1.506
2019,Gomel,0.181
2019,Grodno,0.841
2019,Minsk,0.057
2019,Mogilev,-0.774
2019,Vitebsk,-0.299
2020,Brest,2.346
2020,Gomel,1.751
2020,Grodno,1.929
2020,Minsk,1.504
2020,Mogilev,1.000
2020,Vitebsk,1.176
