year,region,t2m_Jan
1955,Brest,-4.133
1955,Gomel,-4.893
1955,Grodno,-4.762
1955,Minsk,-5.323
1955,Mogilev,-5.784
1955,Vitebsk,-5.601
1956,Brest,-3.481
1956,Gomel,-5.353
1956,Grodno,-4.380
1956,Minsk,-5.656
1956,Mogilev,-7.032
1956,Vitebsk,-7.442
1957,Brest,-2.660
1957,Gomel,-4.377
1957,Grodno,-2.359
1957,Minsk,-3.259
1957,Mogilev,-4.770
1957,Vitebsk,-3.507
1958,Brest,-4.481
1958,Gomel,-4.661
1958,Grodno,-4.635
1958,Minsk,-5.224
1958,Mogilev,-5.788
1958,Vitebsk,-5.834
1959,Brest,-1.971
1959,Gomel,-2.294
1959,Grodno,-2.012
1959,Minsk,-2.665
1959,Mogilev,-2.679
1959,Vitebsk,-3.106
1960,Brest,-5.152
1960,Gomel,-5.787
1960,Grodno,-5.607
1960,Minsk,-6.393
1960,Mogilev,-6.841
1960,Vitebsk,-7.745
1961,Brest,-4.815
1961,Gomel,-4.986
1961,Grodno,-4.366
1961,Minsk,-4.820
1961,Mogilev,-5.649
1961,Vitebsk,-4.767
1962,Brest,-1.835
1962,Gomel,-2.293
1962,Grodno,-1.865
1962,Minsk,-2.598
1962,Mogilev,-2.915
1962,Vitebsk,-2.643
1963,Brest,-14.145
1963,Gomel,-14.898
1963,Grodno,-13.229
1963,Minsk,-13.686
1963,Mogilev,-14.419
1963,Vitebsk,-13.911
1964,Brest,-5.745
1964,Gomel,-6.707
1964,Grodno,-5.236
1964,Minsk,-6.056
1964,Mogilev,-7.171
1964,Vitebsk,-5.823
1965,Brest,-4.129
1965,Gomel,-5.972
1965,Grodno,-4.347
1965,Minsk,-5.777
1965,Mogilev,-7.402
1965,Vitebsk,-6.740
1966,Brest,-6.109
1966,Gomel,-5.650
1966,Grodno,-6.993
1966,Minsk,-7.176
1966,Mogilev,-7.010
1966,Vitebsk,-8.628
1967,Brest,-9.049
1967,Gomel,-11.673
1967,Grodno,-9.397
1967,Minsk,-11.167
1967,Mogilev,-13.450
1967,Vitebsk,-13.002
1968,Brest,-8.372
1968,Gomel,-11.907
1968,Grodno,-9.493
1968,Minsk,-11.729
1968,Mogilev,-14.042
1968,Vitebsk,-13.767
1969,Brest,-10.326
1969,Gomel,-12.883
1969,Grodno,-11.077
1969,Minsk,-12.664
1969,Mogilev,-14.325
1969,Vitebsk,-13.994
1970,Brest,-7.468
1970,Gomel,-7.640
1970,Grodno,-8.541
1970,Minsk,-8.955
1970,Mogilev,-9.136
1970,Vitebsk,-10.391
1971,Brest,-5.039
1971,Gomel,-5.034
1971,Grodno,-4.507
1971,Minsk,-4.515
1971,Mogilev,-4.892
1971,Vitebsk,-3.874
1972,Brest,-10.609
1972,Gomel,-11.613
1972,Grodno,-10.737
1972,Minsk,-11.914
1972,Mogilev,-12.681
1972,Vitebsk,-12.939
1973,Brest,-5.061
1973,Gomel,-8.172
1973,Grodno,-4.965
1973,Minsk,-6.600
1973,Mogilev,-8.783
1973,Vitebsk,-7.073
1974,Brest,-3.995
1974,Gomel,-6.431
1974,Grodno,-4.229
1974,Minsk,-5.865
1974,Mogilev,-7.640
1974,Vitebsk,-6.711
1975,Brest,0.977
1975,Gomel,-0.393
1975,Grodno,0.359
1975,Minsk,-0.522
1975,Mogilev,-1.688
1975,Vitebsk,-1.529
1976,Brest,-5.793
1976,Gomel,-7.947
1976,Grodno,-6.479
1976,Minsk,-8.066
1976,Mogilev,-9.513
1976,Vitebsk,-9.674
1977,Brest,-4.691
1977,Gomel,-7.559
1977,Grodno,-5.468
1977,Minsk,-7.294
1977,Mogilev,-9.036
1977,Vitebsk,-8.639
1978,Brest,-4.855
1978,Gomel,-7.264
1978,Grodno,-4.761
1978,Minsk,-6.244
1978,Mogilev,-7.824
1978,Vitebsk,-6.928
1979,Brest,-7.101
1979,Gomel,-7.123
1979,Grodno,-8.348
1979,Minsk,-8.100
1979,Mogilev,-8.292
1979,Vitebsk,-8.921
1980,Brest,-7.898
1980,Gomel,-9.262
1980,Grodno,-8.072
1980,Minsk,-9.131
1980,Mogilev,-10.006
1980,Vitebsk,-9.734
1981,Brest,-5.371
1981,Gomel,-5.828
1981,Grodno,-5.548
1981,Minsk,-6.290
1981,Mogilev,-6.686
1981,Vitebsk,-6.190
1982,Brest,-4.632
1982,Gomel,-4.914
1982,Grodno,-5.713
1982,Minsk,-6.133
1982,Mogilev,-6.415
1982,Vitebsk,-7.781
1983,Brest,1.144
1983,Gomel,-1.123
1983,Grodno,0.645
1983,Minsk,-0.658
1983,Mogilev,-2.132
1983,Vitebsk,-1.305
1984,Brest,-1.706
1984,Gomel,-2.697
1984,Grodno,-2.241
1984,Minsk,-2.900
1984,Mogilev,-3.432
1984,Vitebsk,-3.561
1985,Brest,-11.369
1985,Gomel,-11.886
1985,Grodno,-11.634
1985,Minsk,-12.175
1985,Mogilev,-12.575
1985,Vitebsk,-12.339
1986,Brest,-2.729
1986,Gomel,-3.655
1986,Grodno,-3.691
1986,Minsk,-4.376
1986,Mogilev,-5.087
1986,Vitebsk,-5.410
1987,Brest,-15.311
1987,Gomel,-16.330
1987,Grodno,-15.520
1987,Minsk,-16.047
1987,Mogilev,-17.148
1987,Vitebsk,-16.952
1988,Brest,-2.742
1988,Gomel,-5.051
1988,Grodno,-3.578
1988,Minsk,-4.750
1988,Mogilev,-6.081
1988,Vitebsk,-5.034
1989,Brest,1.207
1989,Gomel,0.196
1989,Grodno,0.984
1989,Minsk,0.376
1989,Mogilev,-0.518
1989,Vitebsk,-0.000
1990,Brest,0.625
1990,Gomel,-0.508
1990,Grodno,0.089
1990,Minsk,-0.601
1990,Mogilev,-1.840
1990,Vitebsk,-1.840
1991,Brest,-1.585
1991,Gomel,-2.547
1991,Grodno,-2.085
1991,Minsk,-2.690
1991,Mogilev,-3.431
1991,Vitebsk,-3.143
1992,Brest,-2.052
1992,Gomel,-2.444
1992,Grodno,-2.058
1992,Minsk,-2.639
1992,Mogilev,-2.855
1992,Vitebsk,-2.622
1993,Brest,-1.287
1993,Gomel,-2.011
1993,Grodno,-1.774
1993,Minsk,-2.508
1993,Mogilev,-3.060
1993,Vitebsk,-3.042
1994,Brest,0.927
1994,Gomel,-0.200
1994,Grodno,0.021
1994,Minsk,-0.630
1994,Mogilev,-1.250
1994,Vitebsk,-1.608
1995,Brest,-3.358
1995,Gomel,-4.227
1995,Grodno,-3.966
1995,Minsk,-4.450
1995,Mogilev,-5.246
1995,Vitebsk,-5.237
1996,Brest,-9.159
1996,Gomel,-9.793
1996,Grodno,-8.942
1996,Minsk,-9.580
1996,Mogilev,-9.798
1996,Vitebsk,-9.181
1997,Brest,-5.579
1997,Gomel,-5.977
1997,Grodno,-5.780
1997,Minsk,-5.681
1997,Mogilev,-6.329
1997,Vitebsk,-5.331
1998,Brest,-0.531
1998,Gomel,-1.489
1998,Grodno,-0.675
1998,Minsk,-1.430
1998,Mogilev,-2.290
1998,Vitebsk,-1.654
1999,Brest,-1.703
1999,Gomel,-2.492
1999,Grodno,-2.460
1999,Minsk,-3.020
1999,Mogilev,-3.550
1999,Vitebsk,-3.744
2000,Brest,-3.193
2000,Gomel,-4.738
2000,Grodno,-2.987
2000,Minsk,-3.657
2000,Mogilev,-5.374
2000,Vitebsk,-4.116
2001,Brest,-2.020
2001,Gomel,-2.020
2001,Grodno,-2.020
2001,Minsk,-2.020
2001,Mogilev,-2.020
2001,Vitebsk,-2.020
2002,Brest,-2.862
2002,Gomel,-2.862
2002,Grodno,-2.862
2002,Minsk,-2.862
2002,Mogilev,-2.863
2002,Vitebsk,-2.862
2003,Brest,-4.601
2003,Gomel,-5.028
2003,Grodno,-5.410
2003,Minsk,-5.907
2003,Mogilev,-6.349
2003,Vitebsk,-6.314
2004,Brest,-6.069
2004,Gomel,-5.652
2004,Grodno,-7.124
2004,Minsk,-7.007
2004,Mogilev,-6.509
2004,Vitebsk,-7.605
2005,Brest,-0.595
2005,Gomel,-1.387
2005,Grodno,-0.716
2005,Minsk,-1.373
2005,Mogilev,-2.076
2005,Vitebsk,-1.730
2006,Brest,-8.273
2006,Gomel,-7.914
2006,Grodno,-8.186
2006,Minsk,-8.202
2006,Mogilev,-8.509
2006,Vitebsk,-8.319
2007,Brest,1.759
2007,Gomel,0.842
2007,Grodno,1.059
2007,Minsk,0.356
2007,Mogilev,-0.220
2007,Vitebsk,-0.391
2008,Brest,-1.517
2008,Gomel,-3.097
2008,Grodno,-1.694
2008,Minsk,-2.508
2008,Mogilev,-3.655
2008,Vitebsk,-2.908
2009,Brest,-3.718
2009,Gomel,-4.212
2009,Grodno,-4.144
2009,Minsk,-4.273
2009,Mogilev,-4.792
2009,Vitebsk,-4.001
2010,Brest,-9.981
2010,Gomel,-11.161
2010,Grodno,-10.703
2010,Minsk,-11.370
2010,Mogilev,-12.657
2010,Vitebsk,-12.755
2011,Brest,-2.557
2011,Gomel,-3.391
2011,Grodno,-3.244
2011,Minsk,-3.757
2011,Mogilev,-4.843
2011,Vitebsk,-4.579
2012,Brest,-3.346
2012,Gomel,-4.828
2012,Grodno,-3.753
2012,Minsk,-4.937
2012,Mogilev,-5.694
2012,Vitebsk,-5.740
2013,Brest,-5.240
2013,Gomel,-6.381
2013,Grodno,-6.424
2013,Minsk,-7.338
2013,Mogilev,-8.240
2013,Vitebsk,-8.559
2014,Brest,-5.184
2014,Gomel,-6.585
2014,Grodno,-6.335
2014,Minsk,-7.296
2014,Mogilev,-8.101
2014,Vitebsk,-8.069
2015,Brest,0.148
2015,Gomel,-1.057
2015,Grodno,-0.668
2015,Minsk,-1.150
2015,Mogilev,-1.848
2015,Vitebsk,-1.670
2016,Brest,-5.144
2016,Gomel,-6.895
2016,Grodno,-6.505
2016,Minsk,-7.584
2016,Mogilev,-8.229
2016,Vitebsk,-8.963
2017,Brest,-4.993
2017,Gomel,-5.296
2017,Grodno,-5.054
2017,Minsk,-5.802
2017,Mogilev,-6.174
2017,Vitebsk,-5.958
2018,Brest,-1.728
2018,Gomel,-2.888
2018,Grodno,-2.227
2018,Minsk,-2.806
2018,Mogilev,-3.421
2018,Vitebsk,-3.038
2019,Brest,-3.988
2019,Gomel,-5.025
2019,Grodno,-4.541
2019,Minsk,-5.103
2019,Mogilev,-5.847
2019,Vitebsk,-5.755
2020,Brest,1.265
2020,Gomel,0.711
2020,Grodno,1.470
2020,Minsk,1.047
2020,Mogilev,0.611
2020,Vitebsk,1.301
