year,region,t2m_Jul
1955,Brest,18.846
1955,Gomel,19.367
1955,Grodno,18.429
1955,Minsk,18.292
1955,Mogilev,18.423
1955,Vitebsk,17.688
1956,Brest,16.589
1956,Gomel,16.716
1956,Grodno,16.119
1956,Minsk,15.878
1956,Mogilev,15.921
1956,Vitebsk,15.379
1957,Brest,18.549
1957,Gomel,18.551
1957,Grodno,18.252
1957,Minsk,18.145
1957,Mogilev,17.939
1957,Vitebsk,17.682
1958,Brest,17.947
1958,Gomel,17.995
1958,Grodno,17.053
1958,Minsk,16.962
1958,Mogilev,17.426
1958,Vitebsk,16.970
1959,Brest,21.181
1959,Gomel,21.482
1959,Grodno,20.602
1959,Minsk,20.646
1959,Mogilev,20.709
1959,Vitebsk,19.894
1960,Brest,18.275
1960,Gomel,20.076
1960,Grodno,17.926
1960,Minsk,18.635
1960,Mogilev,19.670
1960,Vitebsk,18.519
1961,Brest,17.288
1961,Gomel,18.361
1961,Grodno,16.615
1961,Minsk,17.175
1961,Mogilev,17.942
1961,Vitebsk,16.865
1962,Brest,15.743
1962,Gomel,16.089
1962,Grodno,15.324
1962,Minsk,15.296
1962,Mogilev,15.428
1962,Vitebsk,14.967
1963,Brest,19.997
1963,Gomel,20.532
1963,Grodno,19.381
1963,Minsk,19.644
1963,Mogilev,19.711
1963,Vitebsk,18.792
1964,Brest,18.875
1964,Gomel,19.081
1964,Grodno,18.466
1964,Minsk,18.636
1964,Mogilev,18.836
1964,Vitebsk,18.343
1965,Brest,16.342
1965,Gomel,16.875
1965,Grodno,15.807
1965,Minsk,15.894
1965,Mogilev,16.399
1965,Vitebsk,15.404
1966,Brest,18.436
1966,Gomel,19.165
1966,Grodno,18.290
1966,Minsk,18.271
1966,Mogilev,18.703
1966,Vitebsk,17.986
1967,Brest,18.729
1967,Gomel,18.788
1967,Grodno,18.003
1967,Minsk,18.061
1967,Mogilev,18.114
1967,Vitebsk,17.502
1968,Brest,16.465
1968,Gomel,16.504
1968,Grodno,16.046
1968,Minsk,15.901
1968,Mogilev,15.866
1968,Vitebsk,15.336
1969,Brest,17.923
1969,Gomel,17.997
1969,Grodno,17.597
1969,Minsk,17.515
1969,Mogilev,17.491
1969,Vitebsk,17.048
1970,Brest,17.749
1970,Gomel,19.332
1970,Grodno,17.020
1970,Minsk,17.783
1970,Mogilev,18.868
1970,Vitebsk,17.512
1971,Brest,17.669
1971,Gomel,17.412
1971,Grodno,17.526
1971,Minsk,17.402
1971,Mogilev,17.177
1971,Vitebsk,16.873
1972,Brest,20.545
1972,Gomel,20.943
1972,Grodno,20.171
1972,Minsk,20.008
1972,Mogilev,20.128
1972,Vitebsk,20.092
1973,Brest,18.120
1973,Gomel,18.863
1973,Grodno,17.926
1973,Minsk,18.255
1973,Mogilev,18.069
1973,Vitebsk,18.240
1974,Brest,15.917
1974,Gomel,17.013
1974,Grodno,15.201
1974,Minsk,15.900
1974,Mogilev,16.490
1974,Vitebsk,16.089
1975,Brest,18.680
1975,Gomel,18.859
1975,Grodno,18.240
1975,Minsk,18.318
1975,Mogilev,18.142
1975,Vitebsk,18.126
1976,Brest,17.601
1976,Gomel,17.417
1976,Grodno,17.562
1976,Minsk,17.293
1976,Mogilev,16.729
1976,Vitebsk,16.809
1977,Brest,16.234
1977,Gomel,17.323
1977,Grodno,15.476
1977,Minsk,15.720
1977,Mogilev,16.753
1977,Vitebsk,15.851
1978,Brest,16.096
1978,Gomel,16.330
1978,Grodno,15.698
1978,Minsk,15.844
1978,Mogilev,15.827
1978,Vitebsk,15.549
1979,Brest,14.636
1979,Gomel,15.274
1979,Grodno,13.842
1979,Minsk,14.242
1979,Mogilev,14.759
1979,Vitebsk,14.168
1980,Brest,16.855
1980,Gomel,17.706
1980,Grodno,16.368
1980,Minsk,16.880
1980,Mogilev,17.049
1980,Vitebsk,16.696
1981,Brest,18.401
1981,Gomel,19.651
1981,Grodno,17.969
1981,Minsk,18.483
1981,Mogilev,19.306
1981,Vitebsk,18.471
1982,Brest,17.870
1982,Gomel,17.697
1982,Grodno,17.516
1982,Minsk,17.390
1982,Mogilev,17.058
1982,Vitebsk,17.062
1983,Brest,17.692
1983,Gomel,17.823
1983,Grodno,17.306
1983,Minsk,17.104
1983,Mogilev,16.946
1983,Vitebsk,16.839
1984,Brest,15.916
1984,Gomel,16.235
1984,Grodno,15.238
1984,Minsk,15.418
1984,Mogilev,15.602
1984,Vitebsk,15.484
1985,Brest,16.405
1985,Gomel,16.934
1985,Grodno,15.609
1985,Minsk,15.954
1985,Mogilev,16.146
1985,Vitebsk,15.909
1986,Brest,17.971
1986,Gomel,18.352
1986,Grodno,17.388
1986,Minsk,17.561
1986,Mogilev,17.748
1986,Vitebsk,17.378
1987,Brest,17.904
1987,Gomel,18.373
1987,Grodno,16.317
1987,Minsk,16.539
1987,Mogilev,16.727
1987,Vitebsk,15.828
1988,Brest,19.676
1988,Gomel,20.539
1988,Grodno,18.892
1988,Minsk,19.659
1988,Mogilev,19.779
1988,Vitebsk,19.683
1989,Brest,18.062
1989,Gomel,18.252
1989,Grodno,17.532
1989,Minsk,17.601
1989,Mogilev,17.539
1989,Vitebsk,17.478
1990,Brest,16.204
1990,Gomel,16.698
1990,Grodno,15.490
1990,Minsk,15.669
1990,Mogilev,15.959
1990,Vitebsk,15.584
1991,Brest,18.818
1991,Gomel,19.479
1991,Grodno,18.013
1991,Minsk,18.297
1991,Mogilev,18.250
1991,Vitebsk,17.853
1992,Brest,19.236
1992,Gomel,19.241
1992,Grodno,18.882
1992,Minsk,19.076
1992,Mogilev,18.407
1992,Vitebsk,18.402
1993,Brest,16.221
1993,Gomel,16.816
1993,Grodno,15.656
1993,Minsk,16.042
1993,Mogilev,16.201
1993,Vitebsk,15.915
1994,Brest,20.751
1994,Gomel,19.926
1994,Grodno,20.359
1994,Minsk,19.958
1994,Mogilev,18.953
1994,Vitebsk,19.405
1995,Brest,19.370
1995,Gomel,19.147
1995,Grodno,18.258
