year,region,t2m_Jun
1955,Brest,15.594
1955,Gomel,16.129
1955,Grodno,14.784
1955,Minsk,15.116
1955,Mogilev,15.582
1955,Vitebsk,14.418
1956,Brest,18.635
1956,Gomel,19.609
1956,Grodno,18.501
1956,Minsk,18.774
1956,Mogilev,19.451
1956,Vitebsk,18.589
1957,Brest,17.288
1957,Gomel,17.201
1957,Grodno,16.225
1957,Minsk,16.045
1957,Mogilev,15.977
1957,Vitebsk,15.035
1958,Brest,15.085
1958,Gomel,15.244
1958,Grodno,14.598
1958,Minsk,14.551
1958,Mogilev,14.636
1958,Vitebsk,14.143
1959,Brest,17.103
1959,Gomel,17.714
1959,Grodno,16.750
1959,Minsk,16.961
1959,Mogilev,17.258
1959,Vitebsk,16.480
1960,Brest,17.422
1960,Gomel,18.068
1960,Grodno,16.735
1960,Minsk,17.020
1960,Mogilev,17.703
1960,Vitebsk,16.759
1961,Brest,17.851
1961,Gomel,18.544
1961,Grodno,17.412
1961,Minsk,17.583
1961,Mogilev,18.085
1961,Vitebsk,17.357
1962,Brest,14.308
1962,Gomel,14.787
1962,Grodno,13.516
1962,Minsk,13.737
1962,Mogilev,13.854
1962,Vitebsk,13.154
1963,Brest,16.322
1963,Gomel,16.225
1963,Grodno,15.465
1963,Minsk,15.276
1963,Mogilev,14.856
1963,Vitebsk,14.080
1964,Brest,20.395
1964,Gomel,20.846
1964,Grodno,19.434
1964,Minsk,19.884
1964,Mogilev,20.341
1964,Vitebsk,18.952
1965,Brest,15.533
1965,Gomel,16.234
1965,Grodno,14.987
1965,Minsk,15.296
1965,Mogilev,15.677
1965,Vitebsk,15.121
1966,Brest,16.780
1966,Gomel,16.759
1966,Grodno,16.944
1966,Minsk,16.968
1966,Mogilev,16.780
1966,Vitebsk,16.883
1967,Brest,16.829
1967,Gomel,17.164
1967,Grodno,16.252
1967,Minsk,16.533
1967,Mogilev,16.553
1967,Vitebsk,15.834
1968,Brest,18.356
1968,Gomel,18.700
1968,Grodno,17.845
1968,Minsk,17.923
1968,Mogilev,18.072
1968,Vitebsk,17.190
1969,Brest,16.225
1969,Gomel,15.982
1969,Grodno,15.463
1969,Minsk,15.301
1969,Mogilev,15.177
1969,Vitebsk,14.886
1970,Brest,16.523
1970,Gomel,16.779
1970,Grodno,16.232
1970,Minsk,16.322
1970,Mogilev,16.473
1970,Vitebsk,16.165
1971,Brest,15.892
1971,Gomel,16.613
1971,Grodno,15.404
1971,Minsk,15.705
1971,Mogilev,16.053
1971,Vitebsk,15.727
1972,Brest,17.594
1972,Gomel,18.440
1972,Grodno,17.399
1972,Minsk,17.996
1972,Mogilev,18.248
1972,Vitebsk,17.995
1973,Brest,16.192
1973,Gomel,16.961
1973,Grodno,16.061
1973,Minsk,16.389
1973,Mogilev,16.396
1973,Vitebsk,16.542
1974,Brest,14.508
1974,Gomel,15.578
1974,Grodno,14.115
1974,Minsk,14.562
1974,Mogilev,14.915
1974,Vitebsk,14.912
1975,Brest,16.701
1975,Gomel,18.406
1975,Grodno,16.036
1975,Minsk,16.228
1975,Mogilev,17.120
1975,Vitebsk,15.745
1976,Brest,14.364
1976,Gomel,14.904
1976,Grodno,13.631
1976,Minsk,13.801
