year,region,t2m_May
1955,Brest,11.034
1955,Gomel,11.648
1955,Grodno,9.964
1955,Minsk,10.184
1955,Mogilev,10.762
1955,Vitebsk,9.643
1956,Brest,12.728
1956,Gomel,12.458
1956,Grodno,12.006
1956,Minsk,11.726
1956,Mogilev,11.393
1956,Vitebsk,10.853
1957,Brest,11.989
1957,Gomel,13.420
1957,Grodno,11.550
1957,Minsk,11.937
1957,Mogilev,12.847
1957,Vitebsk,11.773
1958,Brest,14.930
1958,Gomel,15.490
1958,Grodno,13.685
1958,Minsk,13.888
1958,Mogilev,14.199
1958,Vitebsk,12.850
1959,Brest,12.502
1959,Gomel,12.612
1959,Grodno,11.855
1959,Minsk,11.776
1959,Mogilev,11.839
1959,Vitebsk,11.145
1960,Brest,13.234
1960,Gomel,13.566
1960,Grodno,12.922
1960,Minsk,12.821
1960,Mogilev,13.043
1960,Vitebsk,12.236
1961,Brest,12.175
1961,Gomel,12.491
1961,Grodno,11.781
1961,Minsk,11.821
1961,Mogilev,11.918
1961,Vitebsk,11.504
1962,Brest,11.940
1962,Gomel,13.472
1962,Grodno,10.742
1962,Minsk,11.760
1962,Mogilev,12.931
1962,Vitebsk,11.451
1963,Brest,16.694
1963,Gomel,17.351
1963,Grodno,16.281
1963,Minsk,16.671
1963,Mogilev,16.865
1963,Vitebsk,16.264
1964,Brest,12.109
1964,Gomel,12.122
1964,Grodno,11.659
1964,Minsk,11.548
1964,Mogilev,11.529
1964,Vitebsk,11.273
1965,Brest,9.893
1965,Gomel,10.756
1965,Grodno,8.790
1965,Minsk,9.135
1965,Mogilev,9.783
1965,Vitebsk,8.465
1966,Brest,14.852
1966,Gomel,15.785
1966,Grodno,14.283
1966,Minsk,14.881
1966,Mogilev,15.378
1966,Vitebsk,14.434
1967,Brest,14.899
1967,Gomel,16.402
1967,Grodno,14.337
1967,Minsk,15.269
1967,Mogilev,16.011
1967,Vitebsk,15.038
1968,Brest,12.422
1968,Gomel,13.288
1968,Grodno,11.336
1968,Minsk,11.875
1968,Mogilev,12.568
1968,Vitebsk,11.163
1969,Brest,13.742
1969,Gomel,13.405
1969,Grodno,12.670
1969,Minsk,12.390
1969,Mogilev,12.390
1969,Vitebsk,11.605
1970,Brest,12.999
1970,Gomel,14.072
1970,Grodno,12.567
1970,Minsk,13.101
1970,Mogilev,13.525
1970,Vitebsk,12.886
1971,Brest,14.718
1971,Gomel,14.894
1971,Grodno,14.393
1971,Minsk,14.079
1971,Mogilev,13.875
1971,Vitebsk,13.209
1972,Brest,14.183
1972,Gomel,14.840
1972,Grodno,13.586
1972,Minsk,13.740
1972,Mogilev,13.746
1972,Vitebsk,12.302
1973,Brest,12.489
1973,Gomel,13.494
1973,Grodno,11.878
1973,Minsk,12.218
1973,Mogilev,12.612
1973,Vitebsk,11.808
1974,Brest,11.008
1974,Gomel,11.088
1974,Grodno,10.250
1974,Minsk,10.169
1974,Mogilev,9.839
1974,Vitebsk,9.314
1975,Brest,15.894
1975,Gomel,17.329
1975,Grodno,15.155
1975,Minsk,15.996
1975,Mogilev,16.427
1975,Vitebsk,15.493
1976,Brest,11.536
1976,Gomel,11.672
1976,Grodno,10.939
1976,Minsk,11.040
1976,Mogilev,10.724
1976,Vitebsk,10.676
1977,Brest,13.287
1977,Gomel,14.121
1977,Grodno,12.842
1977,Minsk,13.105
1977,Mogilev,13.463
1977,Vitebsk,13.013
1978,Brest,11.065
1978,Gomel,11.541
1978,Grodno,10.483
1978,Minsk,10.451
1978,Mogilev,10.857
1978,Vitebsk,10.287
1979,Brest,14.751
1979,Gomel,16.324
1979,Grodno,13.965
1979,Minsk,14.587
1979,Mogilev,15.267
1979,Vitebsk,14.138
1980,Brest,9.100
1980,Gomel,9.320
1980,Grodno,8.022
1980,Minsk,8.140
1980,Mogilev,8.168
1980,Vitebsk,7.664
1981,Brest,14.599
1981,Gomel,15.011
1981,Grodno,14.252
1981,Minsk,14.616
1981,Mogilev,14.282
1981,Vitebsk,14.260
1982,Brest,13.523
1982,Gomel,13.509
1982,Grodno,12.568
1982,Minsk,12.372
1982,Mogilev,12.335
1982,Vitebsk,11.648
1983,Brest,15.975
1983,Gomel,16.897
1983,Grodno,15.442
1983,Minsk,16.044
1983,Mogilev,16.105
1983,Vitebsk,15.549
1984,Brest,14.033
1984,Gomel,15.277
1984,Grodno,13.561
1984,Minsk,14.429
1984,Mogilev,14.835
1984,Vitebsk,14.348
1985,Brest,14.741
1985,Gomel,15.533
1985,Grodno,13.708
1985,Minsk,13.937
1985,Mogilev,13.993
1985,Vitebsk,13.090
1986,Brest,14.352
1986,Gomel,15.386
1986,Grodno,13.582
1986,Minsk,13.861
1986,Mogilev,14.246
1986,Vitebsk,13.417
1987,Brest,12.612
1987,Gomel,13.321
1987,Grodno,11.659
1987,Minsk,12.121
1987,Mogilev,12.331
1987,Vitebsk,11.283
1988,Brest,15.142
1988,Gomel,15.197
1988,Grodno,14.630
1988,Minsk,14.859
1988,Mogilev,14.458
1988,Vitebsk,14.659
1989,Brest,14.067
1989,Gomel,14.344
1989,Grodno,13.434
1989,Minsk,13.862
1989,Mogilev,13.855
1989,Vitebsk,13.604
1990,Brest,13.052
1990,Gomel,12.859
1990,Grodno,12.204
1990,Minsk,12.128
1990,Mogilev,11.783
1990,Vitebsk,11.363
1991,Brest,11.298
1991,Gomel,11.796
1991,Grodno,10.576
1991,Minsk,10.805
