year,region,t2m_Nov
1955,Brest,1.160
1955,Gomel,-0.792
1955,Grodno,0.987
1955,Minsk,-0.290
1955,Mogilev,-1.556
1955,Vitebsk,-0.890
1956,Brest,-2.316
1956,Gomel,-3.463
1956,Grodno,-2.758
1956,Minsk,-3.395
1956,Mogilev,-4.236
1956,Vitebsk,-3.544
1957,Brest,2.724
1957,Gomel,1.646
1957,Grodno,2.766
1957,Minsk,1.708
1957,Mogilev,0.641
1957,Vitebsk,1.028
1958,Brest,2.640
1958,Gomel,1.076
1958,Grodno,2.364
1958,Minsk,1.430
1958,Mogilev,0.576
1958,Vitebsk,1.170
1959,Brest,0.897
1959,Gomel,-0.967
1959,Grodno,0.777
1959,Minsk,-0.416
1959,Mogilev,-1.584
1959,Vitebsk,-1.060
1960,Brest,3.222
1960,Gomel,2.712
1960,Grodno,2.447
1960,Minsk,2.041
1960,Mogilev,1.389
1960,Vitebsk,1.042
1961,Brest,2.368
1961,Gomel,1.529
1961,Grodno,2.136
1961,Minsk,1.501
1961,Mogilev,0.582
1961,Vitebsk,1.182
1962,Brest,3.768
1962,Gomel,3.279
1962,Grodno,2.941
1962,Minsk,2.689
1962,Mogilev,2.340
1962,Vitebsk,1.963
1963,Brest,4.370
1963,Gomel,3.007
1963,Grodno,3.342
1963,Minsk,2.399
1963,Mogilev,1.521
1963,Vitebsk,1.077
1964,Brest,1.943
1964,Gomel,1.030
1964,Grodno,1.388
1964,Minsk,0.529
1964,Mogilev,-0.256
1964,Vitebsk,-0.215
1965,Brest,-2.717
1965,Gomel,-2.823
1965,Grodno,-3.060
1965,Minsk,-3.510
1965,Mogilev,-3.685
1965,Vitebsk,-4.647
1966,Brest,1.277
1966,Gomel,0.591
1966,Grodno,0.613
1966,Minsk,0.284
1966,Mogilev,-0.031
1966,Vitebsk,-0.409
1967,Brest,3.974
1967,Gomel,3.508
1967,Grodno,3.498
1967,Minsk,3.365
1967,Mogilev,2.596
1967,Vitebsk,2.927
1968,Brest,1.489
1968,Gomel,0.433
1968,Grodno,0.457
1968,Minsk,-0.460
1968,Mogilev,-1.086
1968,Vitebsk,-1.649
1969,Brest,4.638
1969,Gomel,4.242
1969,Grodno,3.791
1969,Minsk,3.540
1969,Mogilev,3.401
1969,Vitebsk,2.685
1970,Brest,2.936
1970,Gomel,2.318
1970,Grodno,2.183
1970,Minsk,1.662
1970,Mogilev,1.097
1970,Vitebsk,0.753
1971,Brest,1.132
1971,Gomel,0.743
1971,Grodno,0.462
1971,Minsk,0.059
1971,Mogilev,0.019
1971,Vitebsk,-0.707
1972,Brest,2.930
1972,Gomel,2.359
1972,Grodno,2.597
1972,Minsk,2.143
1972,Mogilev,1.413
1972,Vitebsk,1.539
1973,Brest,0.418
1973,Gomel,0.046
1973,Grodno,-0.069
1973,Minsk,-0.392
1973,Mogilev,-0.840
1973,Vitebsk,-0.906
1974,Brest,2.301
1974,Gomel,2.116
1974,Grodno,2.173
1974,Minsk,1.726
1974,Mogilev,1.523
1974,Vitebsk,1.762
1975,Brest,-0.094
1975,Gomel,-1.416
1975,Grodno,-0.220
1975,Minsk,-1.240
1975,Mogilev,-2.215
1975,Vitebsk,-1.808
1976,Brest,3.222
1976,Gomel,1.956
1976,Grodno,2.763
1976,Minsk,1.781
1976,Mogilev,0.889
1976,Vitebsk,1.065
1977,Brest,3.315
1977,Gomel,2.710
1977,Grodno,2.838
1977,Minsk,2.170
1977,Mogilev,1.918
1977,Vitebsk,2.043
1978,Brest,4.620
1978,Gomel,4.464
1978,Grodno,4.832
1978,Minsk,4.522
1978,Mogilev,4.106
1978,Vitebsk,4.223
1979,Brest,1.198
1979,Gomel,0.340
1979,Grodno,0.806
1979,Minsk,0.215
1979,Mogilev,-0.348
1979,Vitebsk,0.018
1980,Brest,0.537
1980,Gomel,0.150
1980,Grodno,-0.490
1980,Minsk,-0.826
1980,Mogilev,-1.117
1980,Vitebsk,-1.545
1981,Brest,1.899
1981,Gomel,0.968
1981,Grodno,1.191
1981,Minsk,0.680
1981,Mogilev,0.038
1981,Vitebsk,0.009
1982,Brest,3.431
1982,Gomel,2.805
1982,Grodno,3.240
1982,Minsk,2.811
1982,Mogilev,2.393
1982,Vitebsk,2.956
1983,Brest,1.041
1983,Gomel,0.207
1983,Grodno,0.727
1983,Minsk,0.024
1983,Mogilev,-0.723
1983,Vitebsk,-0.138
1984,Brest,0.680
1984,Gomel,-0.314
1984,Grodno,0.198
1984,Minsk,-0.434
1984,Mogilev,-1.080
1984,Vitebsk,-0.841
1985,Brest,-0.456
1985,Gomel,-2.059
1985,Grodno,-0.805
1985,Minsk,-1.594
1985,Mogilev,-2.740
1985,Vitebsk,-2.057
1986,Brest,3.329
1986,Gomel,1.755
1986,Grodno,3.087
1986,Minsk,2.323
1986,Mogilev,1.130
1986,Vitebsk,2.009
1987,Brest,2.409
1987,Gomel,1.065
