year,region,t2m_Oct
1955,Brest,8.011
1955,Gomel,8.299
1955,Grodno,7.871
1955,Minsk,7.598
1955,Mogilev,7.785
1955,Vitebsk,7.283
1956,Brest,7.320
1956,Gomel,6.878
1956,Grodno,6.607
1956,Minsk,6.212
1956,Mogilev,5.841
1956,Vitebsk,5.656
1957,Brest,7.475
1957,Gomel,6.959
1957,Grodno,7.395
1957,Minsk,6.859
1957,Mogilev,6.361
1957,Vitebsk,6.560
1958,Brest,8.597
1958,Gomel,7.557
1958,Grodno,8.503
1958,Minsk,7.816
1958,Mogilev,6.946
1958,Vitebsk,7.375
1959,Brest,5.420
1959,Gomel,4.523
1959,Grodno,5.426
1959,Minsk,4.694
1959,Mogilev,4.051
1959,Vitebsk,4.333
1960,Brest,7.665
1960,Gomel,6.815
1960,Grodno,6.702
1960,Minsk,6.100
1960,Mogilev,5.491
1960,Vitebsk,5.054
1961,Brest,8.183
1961,Gomel,6.685
1961,Grodno,8.365
1961,Minsk,7.214
1961,Mogilev,6.203
1961,Vitebsk,6.737
1962,Brest,7.155
1962,Gomel,7.407
1962,Grodno,7.151
1962,Minsk,7.131
1962,Mogilev,7.143
1962,Vitebsk,6.999
1963,Brest,7.374
1963,Gomel,6.959
1963,Grodno,6.992
1963,Minsk,6.562
1963,Mogilev,6.294
1963,Vitebsk,6.141
1964,Brest,7.257
1964,Gomel,7.463
1964,Grodno,6.724
1964,Minsk,6.823
1964,Mogilev,6.937
1964,Vitebsk,6.675
1965,Brest,6.003
1965,Gomel,5.449
1965,Grodno,6.213
1965,Minsk,5.545
1965,Mogilev,5.015
1965,Vitebsk,5.094
1966,Brest,9.889
1966,Gomel,9.560
1966,Grodno,8.740
1966,Minsk,8.247
1966,Mogilev,7.813
1966,Vitebsk,6.719
1967,Brest,10.076
1967,Gomel,9.584
1967,Grodno,10.092
1967,Minsk,9.666
1967,Mogilev,6.434
1967,Vitebsk,9.114
1968,Brest,6.601
1968,Gomel,5.907
1968,Grodno,5.765
1968,Minsk,5.157
1968,Mogilev,4.793
1968,Vitebsk,4.417
1969,Brest,6.727
1969,Gomel,6.083
1969,Grodno,6.471
1969,Minsk,5.767
1969,Mogilev,5.320
1969,Vitebsk,5.219
1970,Brest,6.065
1970,Gomel,5.585
1970,Grodno,5.624
1970,Minsk,5.137
1970,Mogilev,4.945
1970,Vitebsk,4.732
1971,Brest,7.137
1971,Gomel,6.302
1971,Grodno,6.740
1971,Minsk,6.051
1971,Mogilev,5.384
1971,Vitebsk,5.512
1972,Brest,5.124
1972,Gomel,5.471
1972,Grodno,4.590
1972,Minsk,4.779
1972,Mogilev,4.852
1972,Vitebsk,4.300
1973,Brest,5.418
1973,Gomel,5.366
1973,Grodno,4.915
1973,Minsk,4.419
1973,Mogilev,4.093
1973,Vitebsk,3.863
1974,Brest,7.271
1974,Gomel,8.464
1974,Grodno,6.643
1974,Minsk,7.389
1974,Mogilev,7.946
1974,Vitebsk,7.280
1975,Brest,6.968
1975,Gomel,6.334
1975,Grodno,6.687
1975,Minsk,6.130
1975,Mogilev,5.459
1975,Vitebsk,5.605
1976,Brest,4.260
1976,Gomel,2.624
1976,Grodno,3.148
1976,Minsk,2.103
1976,Mogilev,1.054
1976,Vitebsk,0.564
1977,Brest,7.202
1977,Gomel,6.077
1977,Grodno,6.788
1977,Minsk,5.908
1977,Mogilev,5.144
1977,Vitebsk,5.330
1978,Brest,7.334
1978,Gomel,6.600
1978,Grodno,6.507
1978,Minsk,6.030
1978,Mogilev,5.384
1978,Vitebsk,4.798
1979,Brest,4.843
1979,Gomel,4.338
1979,Grodno,4.580
1979,Minsk,4.034
1979,Mogilev,3.756
1979,Vitebsk,3.815
1980,Brest,8.004
1980,Gomel,8.042
1980,Grodno,7.123
1980,Minsk,7.107
1980,Mogilev,6.963
1980,Vitebsk,6.393
1981,Brest,8.349
1981,Gomel,8.398
1981,Grodno,7.936
1981,Minsk,7.823
1981,Mogilev,7.518
1981,Vitebsk,7.478
1982,Brest,7.525
1982,Gomel,7.197
1982,Grodno,6.965
1982,Minsk,6.800
1982,Mogilev,6.161
1982,Vitebsk,6.024
1983,Brest,7.807
1983,Gomel,6.980
1983,Grodno,7.350
1983,Minsk,6.904
1983,Mogilev,6.331
1983,Vitebsk,6.635
1984,Brest,9.241
1984,Gomel,8.653
