year,region,t2m_Sep
1955,Brest,14.382
1955,Gomel,14.767
1955,Grodno,14.465
1955,Minsk,14.064
1955,Mogilev,14.142
1955,Vitebsk,13.535
1956,Brest,11.247
1956,Gomel,10.756
1956,Grodno,10.818
1956,Minsk,10.243
1956,Mogilev,9.837
1956,Vitebsk,9.186
1957,Brest,11.583
1957,Gomel,11.722
1957,Grodno,10.949
1957,Minsk,10.929
1957,Mogilev,11.031
1957,Vitebsk,10.602
1958,Brest,11.895
1958,Gomel,11.145
1958,Grodno,11.664
1958,Minsk,10.948
1958,Mogilev,10.381
1958,Vitebsk,10.180
1959,Brest,10.275
1959,Gomel,9.783
1959,Grodno,9.886
1959,Minsk,9.398
1959,Mogilev,9.006
1959,Vitebsk,8.850
1960,Brest,10.702
1960,Gomel,10.426
1960,Grodno,10.639
1960,Minsk,10.205
1960,Mogilev,9.908
1960,Vitebsk,9.462
1961,Brest,13.026
1961,Gomel,12.255
1961,Grodno,12.545
1961,Minsk,12.129
1961,Mogilev,11.458
1961,Vitebsk,11.024
1962,Brest,11.872
1962,Gomel,11.793
1962,Grodno,11.218
1962,Minsk,11.149
1962,Mogilev,10.998
1962,Vitebsk,10.559
1963,Brest,14.008
1963,Gomel,14.142
1963,Grodno,13.796
1963,Minsk,13.489
1963,Mogilev,13.436
1963,Vitebsk,12.863
1964,Brest,12.234
1964,Gomel,12.508
1964,Grodno,11.860
1964,Minsk,11.749
1964,Mogilev,11.752
1964,Vitebsk,11.504
1965,Brest,13.890
1965,Gomel,13.500
1965,Grodno,13.592
1965,Minsk,13.175
1965,Mogilev,12.865
1965,Vitebsk,12.692
1966,Brest,11.369
1966,Gomel,11.440
1966,Grodno,11.051
1966,Minsk,10.739
1966,Mogilev,10.535
1966,Vitebsk,9.980
1967,Brest,15.362
1967,Gomel,14.222
1967,Grodno,14.774
1967,Minsk,13.860
1967,Mogilev,13.335
1967,Vitebsk,12.900
1968,Brest,12.643
1968,Gomel,12.479
1968,Grodno,12.235
1968,Minsk,11.977
1968,Mogilev,11.843
1968,Vitebsk,11.419
1969,Brest,12.364
1969,Gomel,11.549
1969,Grodno,11.858
1969,Minsk,11.237
1969,Mogilev,10.624
1969,Vitebsk,10.311
1970,Brest,11.781
1970,Gomel,12.113
1970,Grodno,11.305
1970,Minsk,11.484
1970,Mogilev,11.568
1970,Vitebsk,10.995
1971,Brest,10.847
1971,Gomel,11.191
1971,Grodno,10.452
1971,Minsk,10.460
1971,Mogilev,10.708
1971,Vitebsk,10.293
1972,Brest,11.899
1972,Gomel,12.357
1972,Grodno,11.472
1972,Minsk,11.686
1972,Mogilev,11.540
1972,Vitebsk,11.008
1973,Brest,11.209
1973,Gomel,10.124
1973,Grodno,10.131
1973,Minsk,9.372
1973,Mogilev,8.696
1973,Vitebsk,8.315
1974,Brest,13.656
1974,Gomel,14.014
1974,Grodno,13.028
1974,Minsk,13.245
1974,Mogilev,13.070
1974,Vitebsk,12.617
1975,Brest,14.906
1975,Gomel,14.874
1975,Grodno,14.760
1975,Minsk,14.583
1975,Mogilev,14.165
1975,Vitebsk,13.807
1976,Brest,12.378
1976,Gomel,12.188
1976,Grodno,11.773
1976,Minsk,11.457
1976,Mogilev,11.067
1976,Vitebsk,10.814
1977,Brest,10.341
1977,Gomel,10.358
1977,Grodno,9.704
1977,Minsk,9.504
1977,Mogilev,9.463
1977,Vitebsk,9.160
1978,Brest,10.174
1978,Gomel,10.527
1978,Grodno,9.702
1978,Minsk,9.440
1978,Mogilev,9.675
1978,Vitebsk,8.995
1979,Brest,12.975
1979,Gomel,12.964
1979,Grodno,12.218
1979,Minsk,12.115
1979,Mogilev,11.967
1979,Vitebsk,11.505
1980,Brest,12.417
1980,Gomel,12.836
1980,Grodno,11.743
1980,Minsk,11.943
1980,Mogilev,12.002
1980,Vitebsk,11.367
1981,Brest,13.134
1981,Gomel,12.655
1981,Grodno,12.586
1981,Minsk,12.152
1981,Mogilev,11.741
1981,Vitebsk,11.345
1982,Brest,14.163
1982,Gomel,13.720
1982,Grodno,13.290
1982,Minsk,12.922
1982,Mogilev,12.771
1982,Vitebsk,11.758
1983,Brest,14.197
1983,Gomel,14.410
1983,Grodno,13.921
1983,Minsk,13.940
1983,Mogilev,13.621
1983,Vitebsk,13.157
1984,Brest,13.054
1984,Gomel,13.548
1984,Grodno,12.033
1984,Minsk,12.217
1984,Mogilev,12.470
1984,Vitebsk,11.543
1985,Brest,10.973
1985,Gomel,11.067
1985,Grodno,10.205
1985,Minsk,10.104
1985,Mogilev,9.983
1985,Vitebsk,9.633
1986,Brest,10.065
1986,Gomel,10.282
1986,Grodno,9.122
1986,Minsk,8.979
1986,Mogilev,9.092
1986,Vitebsk,8.277
1987,Brest,11.694
1987,Gomel,11.462
1987,Grodno,10.839
1987,Minsk,10.539
1987,Mogilev,10.218
1987,Vitebsk,9.919
1988,Brest,13.050
1988,Gomel,12.899
1988,Grodno,12.438
1988,Minsk,12.201
1988,Mogilev,11.990
1988,Vitebsk,11.896
1989,Brest,13.550
1989,Gomel,13.593
1989,Grodno,13.048
