year,region,t2m_annual
1955,Brest,6.575
1955,Gomel,6.311
1955,Grodno,5.996
1955,Minsk,5.568
1955,Mogilev,5.345
1955,Vitebsk,4.788
1956,Brest,5.187
1956,Gomel,4.834
1956,Grodno,4.651
1956,Minsk,4.232
1956,Mogilev,3.899
1956,Vitebsk,3.426
1957,Brest,7.315
1957,Gomel,7.003
1957,Grodno,6.953
1957,Minsk,6.521
1957,Mogilev,6.196
1957,Vitebsk,5.982
1958,Brest,6.777
1958,Gomel,6.481
1958,Grodno,6.131
1958,Minsk,5.758
1958,Mogilev,5.454
1958,Vitebsk,5.066
1959,Brest,7.300
1959,Gomel,6.734
1959,Grodno,6.945
1959,Minsk,6.397
1959,Mogilev,5.972
1959,Vitebsk,5.675
1960,Brest,6.986
1960,Gomel,6.901
1960,Grodno,6.398
1960,Minsk,6.185
1960,Mogilev,6.055
1960,Vitebsk,5.412
1961,Brest,7.444
1961,Gomel,7.115
1961,Grodno,7.077
1961,Minsk,6.696
1961,Mogilev,6.351
1961,Vitebsk,6.254
1962,Brest,6.260
1962,Gomel,6.403
1962,Grodno,5.628
1962,Minsk,5.586
1962,Mogilev,5.577
1962,Vitebsk,4.974
1963,Brest,5.942
1963,Gomel,5.550
1963,Grodno,5.488
1963,Minsk,5.124
1963,Mogilev,4.757
1963,Vitebsk,4.224
1964,Brest,6.189
1964,Gomel,6.051
1964,Grodno,5.771
1964,Minsk,5.594
1964,Mogilev,5.333
1964,Vitebsk,5.151
1965,Brest,5.535
1965,Gomel,5.356
1965,Grodno,5.042
1965,Minsk,4.743
1965,Mogilev,4.478
1965,Vitebsk,4.045
1966,Brest,7.316
1966,Gomel,7.437
1966,Grodno,6.545
1966,Minsk,6.405
1966,Mogilev,6.489
1966,Vitebsk,5.436
1967,Brest,7.604
1967,Gomel,6.892
1967,Grodno,7.092
1967,Minsk,6.628
1967,Mogilev,5.764
1967,Vitebsk,5.805
1968,Brest,6.519
1968,Gomel,6.003
1968,Grodno,5.849
1968,Minsk,5.363
1968,Mogilev,4.998
1968,Vitebsk,4.533
1969,Brest,5.357
1969,Gomel,4.765
1969,Grodno,4.717
1969,Minsk,4.363
1969,Mogilev,3.935
1969,Vitebsk,3.726
1970,Brest,6.222
1970,Gomel,6.320
1970,Grodno,5.556
1970,Minsk,5.434
1970,Mogilev,5.482
1970,Vitebsk,4.827
1971,Brest,7.034
1971,Gomel,6.575
1971,Grodno,6.669
1971,Minsk,6.231
1971,Mogilev,5.801
1971,Vitebsk,5.658
1972,Brest,7.059
1972,Gomel,7.075
1972,Grodno,6.672
1972,Minsk,6.474
1972,Mogilev,6.246
1972,Vitebsk,5.941
1973,Brest,6.811
1973,Gomel,6.551
1973,Grodno,6.254
1973,Minsk,5.929
1973,Mogilev,5.525
1973,Vitebsk,5.396
1974,Brest,7.330
1974,Gomel,7.178
1974,Grodno,6.762
1974,Minsk,6.594
1974,Mogilev,6.292
1974,Vitebsk,6.130
1975,Brest,8.459
1975,Gomel,8.375
1975,Grodno,8.062
1975,Minsk,7.815
1975,Mogilev,7.414
1975,Vitebsk,7.177
1976,Brest,5.647
1976,Gomel,5.182
1976,Grodno,5.117
1976,Minsk,4.707
1976,Mogilev,4.157
1976,Vitebsk,3.926
1977,Brest,6.812
1977,Gomel,6.371
1977,Grodno,6.155
1977,Minsk,5.665
1977,Mogilev,5.395
1977,Vitebsk,5.085
1978,Brest,5.893
1978,Gomel,5.599
1978,Grodno,5.295
1978,Minsk,4.980
1978,Mogilev,4.666
1978,Vitebsk,4.277
1979,Brest,6.368
1979,Gomel,6.388
1979,Grodno,5.742
1979,Minsk,5.681
1979,Mogilev,5.534
1979,Vitebsk,5.087
1980,Brest,5.533
1980,Gomel,5.426
1980,Grodno,4.871
1980,Minsk,4.743
1980,Mogilev,4.420
1980,Vitebsk,4.187
1981,Brest,7.098
1981,Gomel,7.172
1981,Grodno,6.490
1981,Minsk,6.368
1981,Mogilev,6.269
1981,Vitebsk,5.843
1982,Brest,7.420
1982,Gomel,7.117
1982,Grodno,6.713
1982,Minsk,6.418
1982,Mogilev,6.155
1982,Vitebsk,5.796
1983,Brest,8.190
1983,Gomel,7.848
1983,Grodno,7.624
1983,Minsk,7.321
1983,Mogilev,6.938
1983,Vitebsk,6.758
1984,Brest,7.031
1984,Gomel,6.567
1984,Grodno,6.457
1984,Minsk,6.052
1984,Mogilev,5.642
1984,Vitebsk,5.487
1985,Brest,5.488
1985,Gomel,5.073
1985,Grodno,4.798
1985,Minsk,4.537
1985,Mogilev,4.097
1985,Vitebsk,3.983
1986,Brest,6.724
1986,Gomel,6.580
1986,Grodno,5.938
1986,Minsk,5.811
1986,Mogilev,5.505
1986,Vitebsk,5.182
1987,Brest,5.285
1987,Gomel,4.631
1987,Grodno,4.509
1987,Minsk,4.154
1987,Mogilev,3.582
1987,Vitebsk,3.446
1988,Brest,7.123
1988,Gomel,6.699
1988,Grodno,6.386
1988,Minsk,6.230
1988,Mogilev,5.833
1988,Vitebsk,5.840
1989,Brest,8.746
1989,Gomel,8.577
1989,Grodno,8.054
1989,Minsk,7.890
1989,Mogilev,7.669
1989,Vitebsk,7.480
1990,Brest,8.519
1990,Gomel,8.123
1990,Grodno,7.847
1990,Minsk,7.594
1990,Mogilev,7.150
1990,Vitebsk,7.025
1991,Brest,7.451
1991,Gomel,7.268
1991,Grodno,6.889
1991,Minsk,6.802
1991,Mogilev,6.493
1991,Vitebsk,6.439
1992,Brest,7.850
1992,Gomel,7.469
1992,Grodno,7.306
1992,Minsk,7.012
1992,Mogilev,6.549
1992,Vitebsk,6.472
1993,Brest,6.864
1993,Gomel,6.369
1993,Grodno,6.203
1993,Minsk,5.870
1993,Mogilev,5.436
1993,Vitebsk,5.290
1994,Brest,7.892
1994,Gomel,7.216
1994,Grodno,7.008
1994,Minsk,6.629
1994,Mogilev,6.071
1994,Vitebsk,5.857
1995,Brest,7.576
1995,Gomel,7.515
1995,Grodno,6.951
1995,Minsk,6.894
1995,Mogilev,6.636
1995,Vitebsk,6.346
1996,Brest,6.079
1996,Gomel,6.258
1996,Grodno,5.488
1996,Minsk,5.526
1996,Mogilev,5.486
1996,Vitebsk,5.075
1997,Brest,7.043
1997,Gomel,6.655
1997,Grodno,6.496
1997,Minsk,6.196
1997,Mogilev,5.772
1997,Vitebsk,5.739
1998,Brest,7.324
1998,Gomel,6.966
1998,Grodno,6.660
1998,Minsk,6.350
1998,Mogilev,5.888
1998,Vitebsk,5.762
1999,Brest,8.364
1999,Gomel,8.236
1999,Grodno,7.623
1999,Minsk,7.454
1999,Mogilev,7.299
1999,Vitebsk,6.972
2000,Brest,8.704
2000,Gomel,8.236
2000,Grodno,8.052
2000,Minsk,7.731
2000,Mogilev,7.288
2000,Vitebsk,7.072
2001,Brest,7.842
2001,Gomel,7.624
2001,Grodno,7.187
2001,Minsk,7.005
2001,Mogilev,6.689
2001,Vitebsk,6.294
2002,Brest,8.456
2002,Gomel,8.190
2002,Grodno,7.984
2002,Minsk,7.872
2002,Mogilev,7.183
2002,Vitebsk,6.946
2003,Brest,7.406
2003,Gomel,7.123
2003,Grodno,6.883
2003,Minsk,6.637
2003,Mogilev,6.170
2003,Vitebsk,6.096
2004,Brest,7.538
2004,Gomel,7.324
2004,Grodno,6.847
2004,Minsk,6.594
2004,Mogilev,6.365
2004,Vitebsk,6.054
