year,region,t2m_cold
1955,Brest,-4.245
1955,Gomel,-5.720
1955,Grodno,-4.831
1955,Minsk,-5.908
1955,Mogilev,-7.016
1955,Vitebsk,-7.299
1956,Brest,-1.587
1956,Gomel,-2.629
1956,Grodno,-1.861
1956,Minsk,-2.611
1956,Mogilev,-3.450
1956,Vitebsk,-3.084
1957,Brest,-2.220
1957,Gomel,-2.656
1957,Grodno,-2.582
1957,Minsk,-3.246
1957,Mogilev,-3.898
1957,Vitebsk,-4.057
1958,Brest,-0.025
1958,Gomel,-0.969
1958,Grodno,-0.334
1958,Minsk,-1.191
1958,Mogilev,-1.836
1958,Vitebsk,-2.015
1959,Brest,-2.996
1959,Gomel,-4.444
1959,Grodno,-3.774
1959,Minsk,-4.759
1959,Mogilev,-5.720
1959,Vitebsk,-6.026
1960,Brest,0.752
1960,Gomel,0.407
1960,Grodno,0.422
1960,Minsk,-0.044
1960,Mogilev,-0.431
1960,Vitebsk,-0.413
1961,Brest,-2.702
1961,Gomel,-3.109
1961,Grodno,-2.973
1961,Minsk,-3.511
1961,Mogilev,-4.014
1961,Vitebsk,-3.883
1962,Brest,-5.906
1962,Gomel,-6.157
1962,Grodno,-6.255
1962,Minsk,-6.562
1962,Mogilev,-6.846
1962,Vitebsk,-7.471
1963,Brest,-4.138
1963,Gomel,-5.336
1963,Grodno,-4.418
1963,Minsk,-5.197
1963,Mogilev,-6.239
1963,Vitebsk,-5.877
1964,Brest,-2.491
1964,Gomel,-3.116
1964,Grodno,-2.983
1964,Minsk,-3.527
1964,Mogilev,-4.364
1964,Vitebsk,-4.323
1965,Brest,-2.253
1965,Gomel,-2.340
1965,Grodno,-3.188
1965,Minsk,-3.569
1965,Mogilev,-3.490
1965,Vitebsk,-4.755
1966,Brest,-2.486
1966,Gomel,-4.323
1966,Grodno,-2.929
1966,Minsk,-4.111
1966,Mogilev,-5.436
1966,Vitebsk,-5.125
1967,Brest,-2.187
1967,Gomel,-4.087
1967,Grodno,-2.967
1967,Minsk,-4.175
1967,Mogilev,-5.548
1967,Vitebsk,-5.588
1968,Brest,-4.914
1968,Gomel,-6.060
1968,Grodno,-5.554
1968,Minsk,-6.289
1968,Mogilev,-7.147
1968,Vitebsk,-7.045
1969,Brest,-4.051
1969,Gomel,-4.137
1969,Grodno,-4.821
1969,Minsk,-4.962
1969,Mogilev,-5.033
1969,Vitebsk,-5.675
1970,Brest,-1.722
1970,Gomel,-2.650
1970,Grodno,-2.113
1970,Minsk,-2.911
1970,Mogilev,-3.579
1970,Vitebsk,-3.516
1971,Brest,-1.978
1971,Gomel,-3.168
1971,Grodno,-2.342
1971,Minsk,-3.367
1971,Mogilev,-4.186
1971,Vitebsk,-4.246
1972,Brest,-0.372
1972,Gomel,-1.377
1972,Grodno,-0.603
1972,Minsk,-1.326
1972,Mogilev,-2.241
1972,Vitebsk,-1.796
1973,Brest,-0.715
1973,Gomel,-1.754
1973,Grodno,-1.325
1973,Minsk,-2.053
1973,Mogilev,-2.711
1973,Vitebsk,-2.818
1974,Brest,1.319
1974,Gomel,0.474
1974,Grodno,0.938
1974,Minsk,0.312
1974,Mogilev,-0.585
1974,Vitebsk,-0.395
1975,Brest,-3.401
1975,Gomel,-4.593
1975,Grodno,-3.645
1975,Minsk,-4.460
1975,Mogilev,-5.508
1975,Vitebsk,-5.231
1976,Brest,-0.880
1976,Gomel,-2.234
1976,Grodno,-1.684
1976,Minsk,-2.982
1976,Mogilev,-3.703
1976,Vitebsk,-4.010
1977,Brest,-1.923
1977,Gomel,-3.087
1977,Grodno,-2.295
1977,Minsk,-3.217
1977,Mogilev,-4.005
1977,Vitebsk,-3.812
1978,Brest,-3.373
1978,Gomel,-3.883
1978,Grodno,-4.208
1978,Minsk,-4.477
1978,Mogilev,-4.917
1978,Vitebsk,-5.466
1979,Brest,-3.155
1979,Gomel,-4.138
1979,Grodno,-3.799
1979,Minsk,-4.506
1979,Mogilev,-5.310
1979,Vitebsk,-5.417
1980,Brest,-1.587
1980,Gomel,-2.201
1980,Grodno,-2.293
1980,Minsk,-2.855
1980,Mogilev,-3.450
1980,Vitebsk,-3.632
1981,Brest,-1.764
1981,Gomel,-2.336
1981,Grodno,-2.588
1981,Minsk,-3.108
1981,Mogilev,-3.444
1981,Vitebsk,-3.904
1982,Brest,0.855
1982,Gomel,-0.050
1982,Grodno,0.108
1982,Minsk,-0.513
1982,Mogilev,-1.088
1982,Vitebsk,-1.168
1983,Brest,-1.491
1983,Gomel,-2.472
1983,Grodno,-2.000
1983,Minsk,-2.800
1983,Mogilev,-3.496
1983,Vitebsk,-3.429
1984,Brest,-5.333
1984,Gomel,-6.634
1984,Grodno,-5.640
1984,Minsk,-6.551
1984,Mogilev,-7.823
1984,Vitebsk,-7.208
1985,Brest,-2.955
1985,Gomel,-3.838
1985,Grodno,-3.802
1985,Minsk,-4.291
1985,Mogilev,-5.086
1985,Vitebsk,-5.065
1986,Brest,-4.564
1986,Gomel,-6.202
1986,Grodno,-5.044
1986,Minsk,-5.788
1986,Mogilev,-6.823
1986,Vitebsk,-6.495
1987,Brest,-0.824
1987,Gomel,-2.252
1987,Grodno,-1.591
1987,Minsk,-2.308
1987,Mogilev,-3.270
1987,Vitebsk,-2.982
1988,Brest,0.744
1988,Gomel,-0.271
1988,Grodno,0.177
1988,Minsk,-0.457
1988,Mogilev,-1.226
1988,Vitebsk,-0.983
1989,Brest,1.909
1989,Gomel,0.964
1989,Grodno,1.201
1989,Minsk,0.574
1989,Mogilev,-0.338
1989,Vitebsk,-0.285
1990,Brest,-0.276
1990,Gomel,-1.188
1990,Grodno,-0.856
1990,Minsk,-1.371
1990,Mogilev,-2.130
1990,Vitebsk,-1.780
1991,Brest,0.134
1991,Gomel,-0.446
1991,Grodno,-0.155
1991,Minsk,-0.545
1991,Mogilev,-1.058
1991,Vitebsk,-0.751
1992,Brest,-0.646
1992,Gomel,-1.550
1992,Grodno,-1.098
1992,Minsk,-1.832
1992,Mogilev,-2.521
1992,Vitebsk,-2.379
1993,Brest,-1.249
1993,Gomel,-2.853
1993,Grodno,-2.171
1993,Minsk,-3.086
1993,Mogilev,-4.047
1993,Vitebsk,-4.235
1994,Brest,0.091
1994,Gomel,-0.799
1994,Grodno,-0.526
1994,Minsk,-1.113
1994,Mogilev,-1.917
1994,Vitebsk,-1.675
1995,Brest,-5.630
1995,Gomel,-5.900
1995,Grodno,-5.929
1995,Minsk,-6.381
1995,Mogilev,-6.679
1995,Vitebsk,-6.867
1996,Brest,-0.989
1996,Gomel,-1.453
1996,Grodno,-1.643
1996,Minsk,-1.907
1996,Mogilev,-2.297
1996,Vitebsk,-2.175
1997,Brest,0.053
1997,Gomel,-1.021
1997,Grodno,-0.581
1997,Minsk,-1.286
1997,Mogilev,-2.117
1997,Vitebsk,-2.062
1998,Brest,-1.890
1998,Gomel,-2.673
1998,Grodno,-2.625
1998,Minsk,-3.319
1998,Mogilev,-4.089
1998,Vitebsk,-4.312
1999,Brest,-0.196
1999,Gomel,-1.235
1999,Grodno,-0.273
1999,Minsk,-0.777
1999,Mogilev,-1.988
1999,Vitebsk,-1.291
