year,region,t2m_fall
1955,Brest,7.852
1955,Gomel,7.432
1955,Grodno,7.775
1955,Minsk,7.129
1955,Mogilev,6.799
1955,Vitebsk,6.649
1956,Brest,5.435
1956,Gomel,4.743
1956,Grodno,4.905
1956,Minsk,4.373
1956,Mogilev,3.832
1956,Vitebsk,3.784
1957,Brest,7.263
1957,Gomel,6.778
1957,Grodno,7.040
1957,Minsk,6.503
1957,Mogilev,6.014
1957,Vitebsk,6.068
1958,Brest,7.720
1958,Gomel,6.602
1958,Grodno,7.519
1958,Minsk,6.743
1958,Mogilev,5.977
1958,Vitebsk,6.253
1959,Brest,5.529
1959,Gomel,4.447
1959,Grodno,5.364
1959,Minsk,4.560
1959,Mogilev,3.826
1959,Vitebsk,4.044
1960,Brest,7.200
1960,Gomel,6.652
1960,Grodno,6.597
1960,Minsk,6.115
1960,Mogilev,5.595
1960,Vitebsk,5.185
1961,Brest,7.862
1961,Gomel,6.822
1961,Grodno,7.688
1961,Minsk,6.951
1961,Mogilev,6.082
1961,Vitebsk,6.318
1962,Brest,7.594
1962,Gomel,7.492
1962,Grodno,7.104
1962,Minsk,6.991
1962,Mogilev,6.830
1962,Vitebsk,6.512
1963,Brest,8.573
1963,Gomel,8.026
1963,Grodno,8.033
1963,Minsk,7.473
1963,Mogilev,7.076
1963,Vitebsk,6.688
1964,Brest,7.146
1964,Gomel,7.005
1964,Grodno,6.658
1964,Minsk,6.372
1964,Mogilev,6.151
1964,Vitebsk,5.995
1965,Brest,5.728
1965,Gomel,5.376
1965,Grodno,5.587
1965,Minsk,5.075
1965,Mogilev,4.735
1965,Vitebsk,4.386
1966,Brest,7.534
1966,Gomel,7.218
1966,Grodno,6.820
1966,Minsk,6.443
1966,Mogilev,6.122
1966,Vitebsk,5.442
1967,Brest,9.808
1967,Gomel,9.112
1967,Grodno,9.459
1967,Minsk,8.971
1967,Mogilev,7.463
1967,Vitebsk,8.323
1968,Brest,6.908
1968,Gomel,6.270
1968,Grodno,6.149
1968,Minsk,5.554
1968,Mogilev,5.180
1968,Vitebsk,4.726
1969,Brest,7.898
1969,Gomel,7.280
1969,Grodno,7.365
1969,Minsk,6.836
1969,Mogilev,6.438
1969,Vitebsk,6.064
1970,Brest,6.919
1970,Gomel,6.663
1970,Grodno,6.363
1970,Minsk,6.084
1970,Mogilev,5.861
1970,Vitebsk,5.486
1971,Brest,6.380
1971,Gomel,6.080
1971,Grodno,5.892
1971,Minsk,5.529
1971,Mogilev,5.371
1971,Vitebsk,5.037
1972,Brest,6.637
1972,Gomel,6.718
1972,Grodno,6.204
1972,Minsk,6.188
1972,Mogilev,5.924
1972,Vitebsk,5.603
1973,Brest,5.680
1973,Gomel,5.180
1973,Grodno,4.991
1973,Minsk,4.466
1973,Mogilev,3.984
1973,Vitebsk,3.758
1974,Brest,7.736
1974,Gomel,8.196
1974,Grodno,7.279
1974,Minsk,7.455
1974,Mogilev,7.517
1974,Vitebsk,7.223
1975,Brest,7.257
1975,Gomel,6.595
1975,Grodno,7.072
1975,Minsk,6.487
1975,Mogilev,5.800
1975,Vitebsk,5.866
1976,Brest,6.596
1976,Gomel,5.563
1976,Grodno,5.869
1976,Minsk,5.082
1976,Mogilev,4.307
1976,Vitebsk,4.113
1977,Brest,6.955
1977,Gomel,6.379
1977,Grodno,6.447
1977,Minsk,5.861
1977,Mogilev,5.505
1977,Vitebsk,5.509
1978,Brest,7.375
1978,Gomel,7.191
1978,Grodno,7.009
1978,Minsk,6.657
1978,Mogilev,6.378
1978,Vitebsk,5.993
1979,Brest,6.324
1979,Gomel,5.866
1979,Grodno,5.855
1979,Minsk,5.439
1979,Mogilev,5.111
1979,Vitebsk,5.099
1980,Brest,6.996
1980,Gomel,7.020
1980,Grodno,6.135
1980,Minsk,6.086
1980,Mogilev,5.960
1980,Vitebsk,5.415
1981,Brest,7.800
1981,Gomel,7.351
1981,Grodno,7.245
1981,Minsk,6.896
1981,Mogilev,6.443
1981,Vitebsk,6.289
1982,Brest,8.365
1982,Gomel,7.900
1982,Grodno,7.822
1982,Minsk,7.503
1982,Mogilev,7.099
1982,Vitebsk,6.903
1983,Brest,7.683
1983,Gomel,7.197
1983,Grodno,7.333
1983,Minsk,6.955
1983,Mogilev,6.409
1983,Vitebsk,6.552
1984,Brest,7.674
1984,Gomel,7.309
1984,Grodno,7.032
1984,Minsk,6.717
1984,Mogilev,6.419
1984,Vitebsk,6.217
1985,Brest,6.071
1985,Gomel,5.476
1985,Grodno,5.692
1985,Minsk,5.315
1985,Mogilev,4.731
1985,Vitebsk,4.987
1986,Brest,6.755
1986,Gomel,5.874
1986,Grodno,6.224
1986,Minsk,5.661
1986,Mogilev,4.997
1986,Vitebsk,5.126
1987,Brest,6.951
1987,Gomel,6.046
1987,Grodno,6.295
1987,Minsk,5.661
1987,Mogilev,4.907
1987,Vitebsk,4.932
1988,Brest,5.796
1988,Gomel,5.189
1988,Grodno,5.353
1988,Minsk,4.887
1988,Mogilev,4.350
1988,Vitebsk,4.487
1989,Brest,7.440
1989,Gomel,6.735
1989,Grodno,6.883
1989,Minsk,6.348
1989,Mogilev,5.799
1989,Vitebsk,5.814
1990,Brest,7.515
1990,Gomel,7.063
1990,Grodno,6.811
1990,Minsk,6.568
1990,Mogilev,6.131
1990,Vitebsk,6.031
1991,Brest,8.082
1991,Gomel,7.713
1991,Grodno,7.461
1991,Minsk,7.341
1991,Mogilev,6.978
1991,Vitebsk,6.891
1992,Brest,6.273
1992,Gomel,5.776
1992,Grodno,5.641
1992,Minsk,5.058
1992,Mogilev,4.625
1992,Vitebsk,4.285
1993,Brest,4.671
1993,Gomel,3.485
1993,Grodno,3.779
1993,Minsk,3.083
1993,Mogilev,2.259
1993,Vitebsk,2.271
1994,Brest,7.608
1994,Gomel,7.472
1994,Grodno,6.891
1994,Minsk,6.701
1994,Mogilev,6.443
1994,Vitebsk,6.132
1995,Brest,6.733
1995,Gomel,6.326
1995,Grodno,6.333
1995,Minsk,5.950
1995,Mogilev,5.568
1995,Vitebsk,5.526
1996,Brest,7.940
1996,Gomel,7.893
1996,Grodno,7.466
1996,Minsk,7.350
1996,Mogilev,7.136
1996,Vitebsk,6.766
1997,Brest,6.716
1997,Gomel,6.292
1997,Grodno,6.186
1997,Minsk,5.859
1997,Mogilev,5.376
1997,Vitebsk,5.336
1998,Brest,5.322
1998,Gomel,4.843
1998,Grodno,4.660
1998,Minsk,4.239
1998,Mogilev,3.730
1998,Vitebsk,3.449
1999,Brest,7.273
1999,Gomel,6.615
1999,Grodno,6.759
1999,Minsk,6.347
1999,Mogilev,6.045
1999,Vitebsk,6.031
2000,Brest,8.485
2000,Gomel,7.733
2000,Grodno,7.827
2000,Minsk,7.314
2000,Mogilev,7.083
2000,Vitebsk,6.778
2001,Brest,7.832
2001,Gomel,7.352
2001,Grodno,7.196
2001,Minsk,6.764
2001,Mogilev,6.638
2001,Vitebsk,6.194
2002,Brest,7.381
2002,Gomel,6.821
2002,Grodno,6.432
2002,Minsk,5.902
2002,Mogilev,5.440
2002,Vitebsk,4.821
2003,Brest,7.382
2003,Gomel,6.942
2003,Grodno,6.777
2003,Minsk,6.388
2003,Mogilev,6.156
2003,Vitebsk,5.904
2004,Brest,7.999
2004,Gomel,7.355
2004,Grodno,7.388
2004,Minsk,6.894
2004,Mogilev,6.357
2004,Vitebsk,6.267
2005,Brest,8.133
2005,Gomel,7.841
2005,Grodno,7.917
2005,Minsk,7.532
2005,Mogilev,7.175
2005,Vitebsk,7.138
2006,Brest,9.234
2006,Gomel,8.391
2006,Grodno,8.985
2006,Minsk,8.240
2006,Mogilev,7.654
2006,Vitebsk,7.881
2007,Brest,7.062
2007,Gomel,7.049
2007,Grodno,6.701
2007,Minsk,6.477
2007,Mogilev,6.179
2007,Vitebsk,5.877
2008,Brest,8.327
2008,Gomel,8.195
2008,Grodno,7.698
2008,Minsk,7.463
2008,Mogilev,7.381
2008,Vitebsk,6.987
2009,Brest,8.285
2009,Gomel,8.631
2009,Grodno,7.566
2009,Minsk,7.618
2009,Mogilev,7.830
2009,Vitebsk,7.188
2010,Brest,7.456
2010,Gomel,7.851
2010,Grodno,6.698
2010,Minsk,6.786
2010,Mogilev,6.846
2010,Vitebsk,6.290
2011,Brest,7.782
2011,Gomel,7.343
2011,Grodno,7.606
2011,Minsk,7.243
2011,Mogilev,6.896
2011,Vitebsk,7.123
2012,Brest,8.828
2012,Gomel,8.709
2012,Grodno,8.190
2012,Minsk,8.002
2012,Mogilev,7.737
2012,Vitebsk,7.451
2013,Brest,8.907
2013,Gomel,8.694
2013,Grodno,8.282
2013,Minsk,8.100
2013,Mogilev,7.785
2013,Vitebsk,7.578
2014,Brest,7.764
2014,Gomel,6.930
2014,Grodno,7.216
2014,Minsk,6.605
2014,Mogilev,6.001
2014,Vitebsk,5.944
2015,Brest,8.477
2015,Gomel,8.206
2015,Grodno,7.995
2015,Minsk,7.579
2015,Mogilev,7.263
2015,Vitebsk,6.835
2016,Brest,7.410
2016,Gomel,6.629
2016,Grodno,6.574
2016,Minsk,6.123
2016,Mogilev,5.526
2016,Vitebsk,5.315
2017,Brest,8.485
2017,Gomel,8.159
2017,Grodno,7.945
2017,Minsk,7.711
2017,Mogilev,7.303
2017,Vitebsk,6.962
2018,Brest,8.822
2018,Gomel,8.165
2018,Grodno,8.413
2018,Minsk,7.526
2018,Mogilev,7.257
2018,Vitebsk,7.243
2019,Brest,9.778
2019,Gomel,9.241
2019,Grodno,9.149
2019,Minsk,8.650
2019,Mogilev,8.281
2019,Vitebsk,8.085
2020,Brest,10.227
2020,Gomel,10.817
2020,Grodno,9.833
2020,Minsk,9.561
2020,Mogilev,9.201
2020,Vitebsk,9.466
