year,region,t2m_spring
1955,Brest,4.055
1955,Gomel,4.154
1955,Grodno,3.084
1955,Minsk,2.853
1955,Mogilev,2.951
1955,Vitebsk,1.906
1956,Brest,4.953
1956,Gomel,4.817
1956,Grodno,4.143
1956,Minsk,3.820
1956,Mogilev,3.765
1956,Vitebsk,2.675
1957,Brest,6.394
1957,Gomel,6.479
1957,Grodno,5.758
1957,Minsk,5.450
1957,Mogilev,5.491
1957,Vitebsk,4.640
1958,Brest,5.087
1958,Gomel,5.721
1958,Grodno,4.111
1958,Minsk,4.270
1958,Mogilev,4.323
1958,Vitebsk,3.467
1959,Brest,7.504
1959,Gomel,6.958
1959,Grodno,6.910
1959,Minsk,6.443
1959,Mogilev,6.041
1959,Vitebsk,5.416
1960,Brest,5.948
1960,Gomel,5.452
1960,Grodno,5.162
1960,Minsk,4.797
1960,Mogilev,4.448
1960,Vitebsk,3.768
1961,Brest,8.051
1961,Gomel,7.669
1961,Grodno,7.271
1961,Minsk,6.903
1961,Mogilev,6.643
1961,Vitebsk,6.143
1962,Brest,5.637
1962,Gomel,6.141
1962,Grodno,4.683
1962,Minsk,4.890
1962,Mogilev,5.118
1962,Vitebsk,3.994
1963,Brest,6.121
1963,Gomel,5.463
1963,Grodno,5.281
1963,Minsk,4.835
1963,Mogilev,4.578
1963,Vitebsk,3.758
1964,Brest,4.438
1964,Gomel,4.433
1964,Grodno,3.828
1964,Minsk,3.744
1964,Mogilev,3.562
1964,Vitebsk,3.131
1965,Brest,4.524
1965,Gomel,4.442
1965,Grodno,3.632
1965,Minsk,3.454
1965,Mogilev,3.195
1965,Vitebsk,2.516
1966,Brest,8.459
1966,Gomel,9.345
1966,Grodno,7.357
1966,Minsk,7.769
1966,Mogilev,8.456
1966,Vitebsk,6.879
1967,Brest,8.491
1967,Gomel,8.695
1967,Grodno,7.681
1967,Minsk,7.809
1967,Mogilev,7.773
1967,Vitebsk,7.269
1968,Brest,7.229
1968,Gomel,7.052
