year,region,t2m_summer
1955,Brest,17.814
1955,Gomel,18.168
1955,Grodno,17.410
1955,Minsk,17.398
1955,Mogilev,17.537
1955,Vitebsk,16.801
1956,Brest,16.831
1956,Gomel,17.476
1956,Grodno,16.343
1956,Minsk,16.381
1956,Mogilev,16.739
1956,Vitebsk,15.918
1957,Brest,17.336
1957,Gomel,17.607
1957,Grodno,16.760
1957,Minsk,16.696
1957,Mogilev,16.732
1957,Vitebsk,16.122
1958,Brest,16.587
1958,Gomel,16.561
1958,Grodno,15.926
1958,Minsk,15.765
1958,Mogilev,15.940
1958,Vitebsk,15.484
1959,Brest,18.828
1959,Gomel,19.195
1959,Grodno,18.461
1959,Minsk,18.517
1959,Mogilev,18.669
1959,Vitebsk,18.030
1960,Brest,17.391
1960,Gomel,18.361
1960,Grodno,16.977
1960,Minsk,17.326
1960,Mogilev,17.921
1960,Vitebsk,17.057
1961,Brest,17.234
1961,Gomel,17.870
1961,Grodno,16.567
1961,Minsk,16.778
1961,Mogilev,17.318
1961,Vitebsk,16.344
1962,Brest,15.551
1962,Gomel,15.915
1962,Grodno,14.827
1962,Minsk,14.909
1962,Mogilev,15.015
1962,Vitebsk,14.290
1963,Brest,18.702
1963,Gomel,18.829
1963,Grodno,18.091
1963,Minsk,18.047
1963,Mogilev,17.819
1963,Vitebsk,16.988
1964,Brest,18.120
1964,Gomel,18.388
1964,Grodno,17.633
1964,Minsk,17.765
1964,Mogilev,17.991
1964,Vitebsk,17.268
1965,Brest,15.811
1965,Gomel,16.368
1965,Grodno,15.276
1965,Minsk,15.438
1965,Mogilev,15.825
1965,Vitebsk,15.032
1966,Brest,17.249
1966,Gomel,17.848
1966,Grodno,17.126
1966,Minsk,17.224
1966,Mogilev,17.488
1966,Vitebsk,16.906
1967,Brest,17.546
1967,Gomel,17.748
1967,Grodno,16.970
1967,Minsk,17.130
1967,Mogilev,17.216
1967,Vitebsk,16.541
1968,Brest,17.303
1968,Gomel,17.837
1968,Grodno,16.974
1968,Minsk,16.958
1968,Mogilev,17.279
1968,Vitebsk,16.542
1969,Brest,16.869
1969,Gomel,16.897
1969,Grodno,16.371
1969,Minsk,16.259
1969,Mogilev,16.261
1969,Vitebsk,15.848
1970,Brest,16.952
1970,Gomel,17.625
1970,Grodno,16.490
1970,Minsk,16.748
1970,Mogilev,17.192
1970,Vitebsk,16.503
1971,Brest,17.340
1971,Gomel,17.332
1971,Grodno,17.089
1971,Minsk,17.070
1971,Mogilev,16.958
1971,Vitebsk,16.637
1972,Brest,18.554
1972,Gomel,19.565
1972,Grodno,18.295
1972,Minsk,18.704
1972,Mogilev,19.044
1972,Vitebsk,18.743
1973,Brest,17.009
1973,Gomel,17.553
1973,Grodno,16.769
1973,Minsk,16.973
1973,Mogilev,16.771
1973,Vitebsk,16.788
1974,Brest,15.918
1974,Gomel,16.640
1974,Grodno,15.277
1974,Minsk,15.623
1974,Mogilev,15.866
1974,Vitebsk,15.545
1975,Brest,17.805
1975,Gomel,18.312
1975,Grodno,17.422
1975,Minsk,17.426
1975,Mogilev,17.379
1975,Vitebsk,16.957
1976,Brest,15.709
1976,Gomel,15.928
1976,Grodno,15.409
1976,Minsk,15.379
1976,Mogilev,15.152
1976,Vitebsk,14.815
1977,Brest,16.207
1977,Gomel,16.601
1977,Grodno,15.703
1977,Minsk,15.676
1977,Mogilev,16.029
1977,Vitebsk,15.480
1978,Brest,15.632
1978,Gomel,16.016
1978,Grodno,15.197
1978,Minsk,15.288
1978,Mogilev,15.244
1978,Vitebsk,14.913
1979,Brest,16.971
1979,Gomel,17.511
1979,Grodno,16.471
1979,Minsk,16.684
1979,Mogilev,16.710
1979,Vitebsk,16.184
1980,Brest,16.125
1980,Gomel,16.756
1980,Grodno,15.737
1980,Minsk,16.088
1980,Mogilev,16.233
1980,Vitebsk,16.139
1981,Brest,17.369
1981,Gomel,18.510
1981,Grodno,16.830
1981,Minsk,17.166
1981,Mogilev,17.867
1981,Vitebsk,16.969
1982,Brest,16.843
1982,Gomel,16.919
1982,Grodno,16.192
1982,Minsk,16.094
1982,Mogilev,16.027
1982,Vitebsk,15.566
1983,Brest,17.150
1983,Gomel,17.362
1983,Grodno,16.720
1983,Minsk,16.594
1983,Mogilev,16.443
1983,Vitebsk,16.082
1984,Brest,15.809
1984,Gomel,15.956
1984,Grodno,15.185
1984,Minsk,15.182
1984,Mogilev,15.188
1984,Vitebsk,14.985
1985,Brest,16.690
1985,Gomel,17.398
1985,Grodno,16.092
1985,Minsk,16.532
1985,Mogilev,16.643
1985,Vitebsk,16.306
1986,Brest,17.512
1986,Gomel,18.232
1986,Grodno,16.772
1986,Minsk,17.207
1986,Mogilev,17.393
1986,Vitebsk,16.846
1987,Brest,16.388
1987,Gomel,16.808
1987,Grodno,15.292
1987,Minsk,15.584
1987,Mogilev,15.708
1987,Vitebsk,15.143
1988,Brest,17.702
