year,region,t2m_warm
1955,Brest,15.768
1955,Gomel,16.181
1955,Grodno,15.325
1955,Minsk,15.283
1955,Mogilev,15.499
1955,Vitebsk,14.711
1956,Brest,14.903
1956,Gomel,15.139
1956,Grodno,14.379
1956,Minsk,14.234
1956,Mogilev,14.300
1956,Vitebsk,13.570
1957,Brest,15.124
1957,Gomel,15.603
1957,Grodno,14.563
1957,Minsk,14.601
1957,Mogilev,14.825
1957,Vitebsk,14.157
1958,Brest,15.329
1958,Gomel,15.279
1958,Grodno,14.635
1958,Minsk,14.440
1958,Mogilev,14.494
1958,Vitebsk,13.908
1959,Brest,15.867
1959,Gomel,16.013
1959,Grodno,15.439
1959,Minsk,15.363
1959,Mogilev,15.387
1959,Vitebsk,14.833
1960,Brest,15.235
1960,Gomel,15.831
1960,Grodno,14.910
1960,Minsk,15.017
1960,Mogilev,15.358
1960,Vitebsk,14.589
1961,Brest,15.384
1961,Gomel,15.679
1961,Grodno,14.808
1961,Minsk,14.862
1961,Mogilev,15.073
1961,Vitebsk,14.319
1962,Brest,14.098
1962,Gomel,14.610
1962,Grodno,13.291
1962,Minsk,13.534
1962,Mogilev,13.803
1962,Vitebsk,12.983
1963,Brest,17.375
1963,Gomel,17.610
1963,Grodno,16.880
1963,Minsk,16.874
1963,Mogilev,16.765
1963,Vitebsk,16.030
1964,Brest,15.747
1964,Gomel,15.964
1964,Grodno,15.290
1964,Minsk,15.326
1964,Mogilev,15.457
1964,Vitebsk,14.923
1965,Brest,14.237
1965,Gomel,14.669
1965,Grodno,13.633
1965,Minsk,13.718
1965,Mogilev,14.021
1965,Vitebsk,13.244
1966,Brest,15.608
1966,Gomel,16.170
1966,Grodno,15.356
1966,Minsk,15.477
1966,Mogilev,15.694
1966,Vitebsk,15.044
1967,Brest,16.582
1967,Gomel,16.782
1967,Grodno,16.005
1967,Minsk,16.112
1967,Mogilev,16.208
1967,Vitebsk,15.521
1968,Brest,15.399
1968,Gomel,15.863
1968,Grodno,14.902
1968,Minsk,14.951
1968,Mogilev,15.257
1968,Vitebsk,14.447
1969,Brest,15.351
1969,Gomel,15.138
1969,Grodno,14.735
1969,Minsk,14.490
1969,Mogilev,14.369
1969,Vitebsk,13.901
1970,Brest,15.136
1970,Gomel,15.821
1970,Grodno,14.678
1970,Minsk,14.977
1970,Mogilev,15.344
1970,Vitebsk,14.689
1971,Brest,15.533
1971,Gomel,15.631
1971,Grodno,15.239
1971,Minsk,15.167
1971,Mogilev,15.105
1971,Vitebsk,14.697
1972,Brest,16.362
1972,Gomel,17.192
1972,Grodno,16.001
1972,Minsk,16.322
1972,Mogilev,16.496
1972,Vitebsk,15.919
1973,Brest,14.955
1973,Gomel,15.275
1973,Grodno,14.473
1973,Minsk,14.519
1973,Mogilev,14.339
1973,Vitebsk,14.114
1974,Brest,14.479
1974,Gomel,15.002
1974,Grodno,13.816
1974,Minsk,14.050
1974,Mogilev,14.097
1974,Vitebsk,13.709
1975,Brest,16.849
1975,Gomel,17.437
1975,Grodno,16.440
1975,Minsk,16.579
1975,Mogilev,16.554
1975,Vitebsk,16.042
1976,Brest,14.210
1976,Gomel,14.332
1976,Grodno,13.790
1976,Minsk,13.730
1976,Mogilev,13.453
1976,Vitebsk,13.191
1977,Brest,14.464
1977,Gomel,14.873
1977,Grodno,13.946
1977,Minsk,13.945
1977,Mogilev,14.220
1977,Vitebsk,13.739
1978,Brest,13.636
1978,Gomel,14.032
1978,Grodno,13.164
1978,Minsk,13.161
1978,Mogilev,13.262
1978,Vitebsk,12.815
1979,Brest,15.737
1979,Gomel,16.378
1979,Grodno,15.128
1979,Minsk,15.363
1979,Mogilev,15.486
1979,Vitebsk,14.851
1980,Brest,13.974
1980,Gomel,14.481
1980,Grodno,13.392
1980,Minsk,13.665
1980,Mogilev,13.770
1980,Vitebsk,13.486
1981,Brest,15.977
1981,Gomel,16.652
1981,Grodno,15.475
1981,Minsk,15.666
1981,Mogilev,15.938
1981,Vitebsk,15.317
1982,Brest,15.645
1982,Gomel,15.601
1982,Grodno,14.889
1982,Minsk,14.718
1982,Mogilev,14.640
1982,Vitebsk,14.025
1983,Brest,16.332
1983,Gomel,16.688
1983,Grodno,15.912
1983,Minsk,15.962
1983,Mogilev,15.820
1983,Vitebsk,15.400
1984,Brest,14.908
1984,Gomel,15.345
1984,Grodno,14.238
1984,Minsk,14.448
1984,Mogilev,14.583
1984,Vitebsk,14.180
1985,Brest,15.173
1985,Gomel,15.777
1985,Grodno,14.453
1985,Minsk,14.746
1985,Mogilev,14.798
1985,Vitebsk,14.345
1986,Brest,15.410
1986,Gomel,16.094
1986,Grodno,14.624
1986,Minsk,14.916
1986,Mogilev,15.125
1986,Vitebsk,14.469
1987,Brest,14.702
1987,Gomel,15.052
1987,Grodno,13.682
1987,Minsk,13.894
1987,Mogilev,13.946
1987,Vitebsk,13.336
1988,Brest,16.271
1988,Gomel,16.666
1988,Grodno,15.633
1988,Minsk,15.944
1988,Mogilev,15.947
1988,Vitebsk,15.823
1989,Brest,15.812
1989,Gomel,16.457
1989,Grodno,15.186
1989,Minsk,15.478
1989,Mogilev,15.793
1989,Vitebsk,15.344
1990,Brest,14.564
1990,Gomel,14.504
1990,Grodno,13.851
1990,Minsk,13.791
1990,Mogilev,13.647
1990,Vitebsk,13.353
1991,Brest,15.593
1991,Gomel,16.031
1991,Grodno,14.862
1991,Minsk,15.107
1991,Mogilev,15.150
1991,Vitebsk,14.585
1992,Brest,16.485
1992,Gomel,16.598
1992,Grodno,16.015
1992,Minsk,16.106
1992,Mogilev,15.726
1992,Vitebsk,15.603
1993,Brest,14.818
1993,Gomel,14.761
1993,Grodno,14.016
1993,Minsk,14.012
1993,Mogilev,13.839
1993,Vitebsk,13.479
1994,Brest,16.382
1994,Gomel,16.231
1994,Grodno,15.470
1994,Minsk,15.441
1994,Mogilev,15.231
1994,Vitebsk,14.869
1995,Brest,16.213
1995,Gomel,16.576
1995,Grodno,15.539
1995,Minsk,15.837
1995,Mogilev,15.731
1995,Vitebsk,15.295
1996,Brest,15.577
1996,Gomel,16.066
1996,Grodno,14.731
1996,Minsk,15.001
1996,Mogilev,15.280
1996,Vitebsk,14.490
1997,Brest,15.751
1997,Gomel,15.758
1997,Grodno,15.202
1997,Minsk,15.093
1997,Mogilev,14.806
1997,Vitebsk,14.665
1998,Brest,15.604
1998,Gomel,16.105
1998,Grodno,14.788
1998,Minsk,15.022
1998,Mogilev,15.198
1998,Vitebsk,14.694
1999,Brest,16.259
1999,Gomel,16.259
1999,Grodno,16.259
1999,Minsk,16.258
1999,Mogilev,16.258
1999,Vitebsk,16.258
2000,Brest,14.965
2000,Gomel,15.080
2000,Grodno,14.445
2000,Minsk,14.346
2000,Mogilev,14.554
2000,Vitebsk,14.073
2001,Brest,15.858
2001,Gomel,15.858
2001,Grodno,15.858
2001,Minsk,15.858
2001,Mogilev,15.858
2001,Vitebsk,15.858
2002,Brest,17.469
2002,Gomel,17.548
2002,Grodno,17.153
2002,Minsk,17.093
2002,Mogilev,16.688
2002,Vitebsk,16.319
2003,Brest,16.654
2003,Gomel,16.726
2003,Grodno,15.871
2003,Minsk,15.746
2003,Mogilev,15.754
2003,Vitebsk,15.177
2004,Brest,15.339
2004,Gomel,15.705
2004,Grodno,14.656
2004,Minsk,14.831
2004,Mogilev,15.001
2004,Vitebsk,14.557
2005,Brest,16.130
2005,Gomel,16.680
2005,Grodno,15.559
2005,Minsk,15.725
2005,Mogilev,15.815
2005,Vitebsk,15.317
2006,Brest,16.708
2006,Gomel,16.681
2006,Grodno,16.358
2006,Minsk,16.120
2006,Mogilev,15.908
2006,Vitebsk,15.598
2007,Brest,17.006
2007,Gomel,17.574
2007,Grodno,16.297
2007,Minsk,16.554
2007,Mogilev,16.481
2007,Vitebsk,15.734
2008,Brest,15.817
2008,Gomel,16.341
2008,Grodno,15.057
2008,Minsk,15.148
2008,Mogilev,15.361
2008,Vitebsk,14.498
2009,Brest,16.097
2009,Gomel,16.470
2009,Grodno,15.365
2009,Minsk,15.372
2009,Mogilev,15.462
2009,Vitebsk,14.783
2010,Brest,17.699
2010,Gomel,19.039
2010,Grodno,16.986
2010,Minsk,17.594
2010,Mogilev,18.299
2010,Vitebsk,17.427
2011,Brest,17.048
2011,Gomel,17.400
2011,Grodno,16.450
2011,Minsk,16.696
2011,Mogilev,16.747
2011,Vitebsk,16.466
2012,Brest,17.137
2012,Gomel,17.492
2012,Grodno,16.161
2012,Minsk,16.415
2012,Mogilev,16.394
2012,Vitebsk,15.696
2013,Brest,17.002
2013,Gomel,17.581
2013,Grodno,16.555
2013,Minsk,16.744
2013,Mogilev,16.819
2013,Vitebsk,16.464
2014,Brest,16.789
2014,Gomel,17.468
2014,Grodno,15.981
2014,Minsk,16.453
2014,Mogilev,16.592
2014,Vitebsk,15.972
2015,Brest,17.333
2015,Gomel,17.905
2015,Grodno,16.219
2015,Minsk,16.497
2015,Mogilev,16.642
2015,Vitebsk,15.609
2016,Brest,17.428
2016,Gomel,17.798
2016,Grodno,16.572
2016,Minsk,16.865
2016,Mogilev,16.767
2016,Vitebsk,16.259
2017,Brest,16.576
2017,Gomel,16.721
2017,Grodno,15.523
2017,Minsk,15.644
2017,Mogilev,15.713
2017,Vitebsk,14.784
2018,Brest,18.328
2018,Gomel,18.466
2018,Grodno,17.792
2018,Minsk,17.605
2018,Mogilev,17.443
2018,Vitebsk,16.813
2019,Brest,17.330
2019,Gomel,17.437
2019,Grodno,16.648
2019,Minsk,16.384
2019,Mogilev,16.352
2019,Vitebsk,15.517
2020,Brest,16.907
2020,Gomel,17.423
2020,Grodno,16.355
2020,Minsk,16.169
