year,region,t2m_winter
1955,Brest,-6.446
1955,Gomel,-8.144
1955,Grodno,-7.262
1955,Minsk,-8.454
1955,Mogilev,-9.828
1955,Vitebsk,-10.154
1956,Brest,-1.625
1956,Gomel,-2.674
1956,Grodno,-1.647
1956,Minsk,-2.379
1956,Mogilev,-3.281
1956,Vitebsk,-2.623
1957,Brest,-3.364
1957,Gomel,-4.048
1957,Grodno,-3.767
1957,Minsk,-4.566
1957,Mogilev,-5.208
1957,Vitebsk,-5.383
1958,Brest,-1.812
1958,Gomel,-2.329
1958,Grodno,-2.069
1958,Minsk,-2.814
1958,Mogilev,-3.161
1958,Vitebsk,-3.500
1959,Brest,-4.802
1959,Gomel,-5.934
1959,Grodno,-5.529
1959,Minsk,-6.449
1959,Mogilev,-7.224
1959,Vitebsk,-7.796
1960,Brest,-1.044
1960,Gomel,-1.184
1960,Grodno,-1.019
1960,Minsk,-1.512
1960,Mogilev,-1.798
1960,Vitebsk,-1.552
1961,Brest,-3.805
1961,Gomel,-4.225
1961,Grodno,-3.983
1961,Minsk,-4.577
1961,Mogilev,-4.948
1961,Vitebsk,-4.653
1962,Brest,-9.514
1962,Gomel,-9.338
1962,Grodno,-9.501
1962,Minsk,-9.587
1962,Mogilev,-9.731
1962,Vitebsk,-10.292
1963,Brest,-6.687
1963,Gomel,-8.075
1963,Grodno,-6.664
1963,Minsk,-7.554
1963,Mogilev,-8.786
1963,Vitebsk,-7.958
1964,Brest,-4.327
1964,Gomel,-4.925
1964,Grodno,-4.656
1964,Minsk,-5.160
1964,Mogilev,-6.039
1964,Vitebsk,-5.873
1965,Brest,-3.453
1965,Gomel,-3.660
1965,Grodno,-4.521
1965,Minsk,-4.959
1965,Mogilev,-4.888
1965,Vitebsk,-6.320
1966,Brest,-5.484
1966,Gomel,-7.930
1966,Grodno,-5.782
1966,Minsk,-7.441
1966,Mogilev,-9.297
1966,Vitebsk,-8.809
1967,Brest,-5.253
1967,Gomel,-7.878
1967,Grodno,-6.222
1967,Minsk,-7.947
1967,Mogilev,-9.634
1967,Vitebsk,-9.723
1968,Brest,-7.343
1968,Gomel,-8.359
1968,Grodno,-7.857
1968,Minsk,-8.483
1968,Mogilev,-9.325
1968,Vitebsk,-9.027
1969,Brest,-8.080
1969,Gomel,-8.035
1969,Grodno,-8.892
1969,Minsk,-8.953
1969,Mogilev,-8.966
1969,Vitebsk,-9.765
1970,Brest,-3.047
1970,Gomel,-4.167
1970,Grodno,-3.220
1970,Minsk,-4.102
1970,Mogilev,-4.899
1970,Vitebsk,-4.611
1971,Brest,-4.115
1971,Gomel,-5.532
1971,Grodno,-4.234
1971,Minsk,-5.444
1971,Mogilev,-6.543
1971,Vitebsk,-6.318
1972,Brest,-2.131
1972,Gomel,-3.379
1972,Grodno,-2.217
1972,Minsk,-2.947
1972,Mogilev,-3.975
1972,Vitebsk,-3.270
1973,Brest,-2.170
1973,Gomel,-3.475
1973,Grodno,-2.776
1973,Minsk,-3.690
1973,Mogilev,-4.466
1973,Vitebsk,-4.442
1974,Brest,0.285
1974,Gomel,-0.876
1974,Grodno,-0.127
1974,Minsk,-0.828
1974,Mogilev,-2.003
1974,Vitebsk,-1.661
1975,Brest,-4.782
1975,Gomel,-6.568
1975,Grodno,-4.953
1975,Minsk,-6.042
1975,Mogilev,-7.496
1975,Vitebsk,-7.020
1976,Brest,-3.137
1976,Gomel,-4.597
1976,Grodno,-3.930
1976,Minsk,-5.167
1976,Mogilev,-6.051
1976,Vitebsk,-6.209
1977,Brest,-5.053
1977,Gomel,-6.622
1977,Grodno,-5.240
1977,Minsk,-6.504
1977,Mogilev,-7.623
1977,Vitebsk,-7.232
1978,Brest,-7.322
1978,Gomel,-8.163
1978,Grodno,-8.517
1978,Minsk,-8.938
1978,Mogilev,-9.480
1978,Vitebsk,-10.361
1979,Brest,-4.271
1979,Gomel,-5.420
1979,Grodno,-4.981
1979,Minsk,-5.791
1979,Mogilev,-6.588
1979,Vitebsk,-6.833
1980,Brest,-3.390
1980,Gomel,-3.860
1980,Grodno,-3.821
1980,Minsk,-4.410
1980,Mogilev,-4.944
1980,Vitebsk,-4.834
1981,Brest,-4.200
1981,Gomel,-4.567
1981,Grodno,-5.101
1981,Minsk,-5.565
1981,Mogilev,-5.770
1981,Vitebsk,-6.505
1982,Brest,-0.467
1982,Gomel,-1.394
1982,Grodno,-1.175
1982,Minsk,-1.834
1982,Mogilev,-2.368
1982,Vitebsk,-2.479
1983,Brest,-2.791
1983,Gomel,-4.036
1983,Grodno,-3.263
1983,Minsk,-4.074
1983,Mogilev,-4.936
1983,Vitebsk,-4.731
1984,Brest,-8.780
1984,Gomel,-10.159
1984,Grodno,-8.976
1984,Minsk,-10.054
1984,Mogilev,-11.500
1984,Vitebsk,-10.881
1985,Brest,-4.916
1985,Gomel,-5.682
1985,Grodno,-6.028
1985,Minsk,-6.532
1985,Mogilev,-7.259
1985,Vitebsk,-7.545
1986,Brest,-7.141
1986,Gomel,-8.570
1986,Grodno,-7.619
1986,Minsk,-8.358
1986,Mogilev,-9.368
1986,Vitebsk,-9.216
1987,Brest,-2.200
1987,Gomel,-4.273
