year,region,tp_Apr
1955,Brest,27.606
1955,Gomel,25.510
1955,Grodno,51.125
1955,Minsk,43.712
1955,Mogilev,27.998
1955,Vitebsk,56.981
1956,Brest,36.591
1956,Gomel,59.599
1956,Grodno,53.184
1956,Minsk,64.549
1956,Mogilev,70.503
1956,Vitebsk,88.912
1957,Brest,13.093
1957,Gomel,15.036
1957,Grodno,19.464
1957,Minsk,17.453
1957,Mogilev,18.082
1957,Vitebsk,20.757
1958,Brest,42.095
1958,Gomel,48.652
1958,Grodno,47.310
1958,Minsk,38.392
1958,Mogilev,45.972
1958,Vitebsk,33.747
1959,Brest,43.427
1959,Gomel,31.287
1959,Grodno,51.098
1959,Minsk,47.149
1959,Mogilev,37.754
1959,Vitebsk,42.916
1960,Brest,34.669
1960,Gomel,27.369
1960,Grodno,36.707
1960,Minsk,36.428
1960,Mogilev,27.629
1960,Vitebsk,36.482
1961,Brest,29.798
1961,Gomel,39.310
1961,Grodno,33.389
1961,Minsk,34.032
1961,Mogilev,31.450
1961,Vitebsk,29.962
1962,Brest,49.418
1962,Gomel,40.734
1962,Grodno,52.149
1962,Minsk,44.048
1962,Mogilev,38.751
1962,Vitebsk,39.663
1963,Brest,18.141
1963,Gomel,18.136
1963,Grodno,18.142
1963,Minsk,18.138
1963,Mogilev,18.136
1963,Vitebsk,18.136
1964,Brest,26.982
1964,Gomel,27.171
1964,Grodno,41.277
1964,Minsk,42.744
1964,Mogilev,43.197
1964,Vitebsk,36.156
1965,Brest,24.825
1965,Gomel,31.380
1965,Grodno,19.670
1965,Minsk,23.160
1965,Mogilev,26.173
1965,Vitebsk,17.317
1966,Brest,49.485
1966,Gomel,34.839
1966,Grodno,61.138
1966,Minsk,49.846
1966,Mogilev,31.151
1966,Vitebsk,59.598
1967,Brest,53.762
1967,Gomel,69.410
1967,Grodno,47.185
1967,Minsk,50.536
1967,Mogilev,60.534
1967,Vitebsk,52.917
1968,Brest,58.200
1968,Gomel,40.261
1968,Grodno,47.851
1968,Minsk,54.736
1968,Mogilev,53.254
1968,Vitebsk,49.801
1969,Brest,51.986
1969,Gomel,77.851
1969,Grodno,60.235
1969,Minsk,62.135
1969,Mogilev,59.284
1969,Vitebsk,41.728
1970,Brest,54.409
1970,Gomel,46.803
1970,Grodno,65.561
1970,Minsk,49.730
1970,Mogilev,57.586
1970,Vitebsk,73.132
1971,Brest,40.888
1971,Gomel,30.312
1971,Grodno,40.535
1971,Minsk,30.586
1971,Mogilev,28.525
1971,Vitebsk,24.296
1972,Brest,39.375
1972,Gomel,42.716
1972,Grodno,59.050
1972,Minsk,48.444
1972,Mogilev,45.574
1972,Vitebsk,50.300
1973,Brest,25.306
1973,Gomel,35.977
1973,Grodno,41.106
1973,Minsk,40.785
1973,Mogilev,41.020
1973,Vitebsk,37.011
1974,Brest,11.536
1974,Gomel,8.921
1974,Grodno,10.009
1974,Minsk,9.060
1974,Mogilev,9.112
1974,Vitebsk,6.890
1975,Brest,91.155
1975,Gomel,85.122
1975,Grodno,87.791
1975,Minsk,93.178
1975,Mogilev,60.032
1975,Vitebsk,80.669
1976,Brest,33.617
1976,Gomel,60.336
1976,Grodno,38.244
1976,Minsk,43.375
1976,Mogilev,58.571
1976,Vitebsk,50.686
1977,Brest,72.382
1977,Gomel,64.509
1977,Grodno,90.011
1977,Minsk,86.656
1977,Mogilev,47.222
1977,Vitebsk,59.817
