year,region,tp_Apr
1940,Brest,25.370
1940,Gomel,30.976
1940,Grodno,21.642
1940,Minsk,18.553
1940,Mogilev,24.373
1940,Vitebsk,19.216
1941,Brest,90.377
1941,Gomel,58.020
1941,Grodno,101.718
1941,Minsk,64.309
1941,Mogilev,48.178
1941,Vitebsk,60.116
1942,Brest,53.822
1942,Gomel,38.560
1942,Grodno,61.536
1942,Minsk,54.069
1942,Mogilev,40.492
1942,Vitebsk,44.394
1943,Brest,27.435
1943,Gomel,29.921
1943,Grodno,44.026
1943,Minsk,37.300
1943,Mogilev,37.990
1943,Vitebsk,60.331
1944,Brest,34.879
1944,Gomel,44.312
1944,Grodno,38.206
1944,Minsk,33.290
1944,Mogilev,41.197
1944,Vitebsk,35.630
1945,Brest,64.297
1945,Gomel,36.985
1945,Grodno,76.417
1945,Minsk,55.232
1945,Mogilev,36.201
1945,Vitebsk,50.414
1946,Brest,34.512
1946,Gomel,33.945
1946,Grodno,38.872
1946,Minsk,36.568
1946,Mogilev,34.366
1946,Vitebsk,32.702
1947,Brest,57.298
1947,Gomel,58.400
1947,Grodno,51.480
1947,Minsk,61.725
1947,Mogilev,70.227
1947,Vitebsk,60.707
1948,Brest,33.733
1948,Gomel,16.356
1948,Grodno,38.431
1948,Minsk,32.031
1948,Mogilev,18.208
1948,Vitebsk,36.820
1949,Brest,50.685
1949,Gomel,41.654
1949,Grodno,56.556
1949,Minsk,47.225
1949,Mogilev,45.422
1949,Vitebsk,43.311
1950,Brest,54.109
1950,Gomel,41.428
1950,Grodno,65.911
1950,Minsk,50.467
1950,Mogilev,49.327
1950,Vitebsk,63.402
1951,Brest,47.623
1951,Gomel,56.540
1951,Grodno,47.501
1951,Minsk,55.302
1951,Mogilev,55.248
1951,Vitebsk,58.604
1952,Brest,27.655
1952,Gomel,13.306
1952,Grodno,25.148
1952,Minsk,21.307
1952,Mogilev,16.825
1952,Vitebsk,21.643
1953,Brest,23.607
1953,Gomel,64.000
1953,Grodno,17.414
1953,Minsk,33.765
1953,Mogilev,66.165
1953,Vitebsk,52.810
1954,Brest,67.774
1954,Gomel,57.508
1954,Grodno,61.969
1954,Minsk,50.677
1954,Mogilev,41.328
1954,Vitebsk,48.266
1955,Brest,37.674
1955,Gomel,32.420
1955,Grodno,53.272
1955,Minsk,45.186
1955,Mogilev,36.786
1955,Vitebsk,67.356
1956,Brest,50.401
1956,Gomel,64.310
1956,Grodno,69.451
1956,Minsk,72.506
1956,Mogilev,69.178
1956,Vitebsk,103.714
1957,Brest,17.681
1957,Gomel,23.794
1957,Grodno,23.434
1957,Minsk,20.006
1957,Mogilev,29.442
1957,Vitebsk,25.530
1958,Brest,46.818
1958,Gomel,60.659
1958,Grodno,52.765
1958,Minsk,43.690
1958,Mogilev,54.958
1958,Vitebsk,40.646
1959,Brest,50.143
1959,Gomel,45.272
1959,Grodno,57.700
1959,Minsk,50.171
1959,Mogilev,47.723
1959,Vitebsk,48.589
1960,Brest,47.498
1960,Gomel,38.053
1960,Grodno,54.663
1960,Minsk,41.926
1960,Mogilev,39.262
1960,Vitebsk,42.618
1961,Brest,37.916
1961,Gomel,51.281
1961,Grodno,43.563
1961,Minsk,44.785
1961,Mogilev,44.904
1961,Vitebsk,42.759
1962,Brest,59.878
1962,Gomel,59.246
1962,Grodno,62.348
1962,Minsk,55.808
1962,Mogilev,53.675
1962,Vitebsk,55.958
1963,Brest,26.556
1963,Gomel,21.130
1963,Grodno,38.813
1963,Minsk,23.468
1963,Mogilev,19.722
1963,Vitebsk,25.135
1964,Brest,42.259
1964,Gomel,43.203
1964,Grodno,59.395
1964,Minsk,49.435
1964,Mogilev,49.108
1964,Vitebsk,42.533
1965,Brest,36.057
1965,Gomel,36.684
1965,Grodno,31.847
1965,Minsk,34.472
1965,Mogilev,37.737
1965,Vitebsk,23.791
1966,Brest,59.392
1966,Gomel,46.927
1966,Grodno,62.768
1966,Minsk,63.067
1966,Mogilev,46.937
1966,Vitebsk,75.170
1967,Brest,72.469
1967,Gomel,82.835
1967,Grodno,70.035
1967,Minsk,63.890
1967,Mogilev,78.605
1967,Vitebsk,65.897
1968,Brest,87.121
1968,Gomel,81.325
1968,Grodno,59.521
1968,Minsk,75.007
1968,Mogilev,80.206
1968,Vitebsk,67.731
1969,Brest,60.974
1969,Gomel,86.515
1969,Grodno,69.202
1969,Minsk,65.260
1969,Mogilev,70.962
1969,Vitebsk,52.060
1970,Brest,66.473
1970,Gomel,64.065
1970,Grodno,83.312
1970,Minsk,63.786
1970,Mogilev,73.491
1970,Vitebsk,90.693
1971,Brest,49.051
1971,Gomel,39.153
1971,Grodno,54.407
1971,Minsk,41.048
1971,Mogilev,38.641
1971,Vitebsk,40.295
1972,Brest,63.243
1972,Gomel,63.926
1972,Grodno,80.271
1972,Minsk,57.478
1972,Mogilev,64.686
1972,Vitebsk,55.320
1973,Brest,44.570
1973,Gomel,51.791
1973,Grodno,53.527
1973,Minsk,53.485
1973,Mogilev,63.247
1973,Vitebsk,53.146
1974,Brest,21.897
1974,Gomel,19.315
1974,Grodno,16.655
1974,Minsk,16.622
1974,Mogilev,23.005
1974,Vitebsk,16.741
1975,Brest,102.453
1975,Gomel,94.148
1975,Grodno,77.546
1975,Minsk,100.426
1975,Mogilev,79.457
1975,Vitebsk,97.932
1976,Brest,42.894
1976,Gomel,72.373
1976,Grodno,47.390
1976,Minsk,54.896
1976,Mogilev,74.777
1976,Vitebsk,64.498
1977,Brest,85.072
1977,Gomel,79.962
1977,Grodno,96.388
1977,Minsk,102.092
1977,Mogilev,60.427
1977,Vitebsk,81.768
1978,Brest,61.754
1978,Gomel,43.119
1978,Grodno,71.316
1978,Minsk,65.479
1978,Mogilev,46.552
1978,Vitebsk,66.034
1979,Brest,52.345
1979,Gomel,55.499
