year,region,tp_Aug
1955,Brest,34.067
1955,Gomel,39.401
1955,Grodno,28.630
1955,Minsk,38.645
1955,Mogilev,37.207
1955,Vitebsk,23.712
1956,Brest,111.682
1956,Gomel,117.016
1956,Grodno,120.165
1956,Minsk,117.893
1956,Mogilev,126.114
1956,Vitebsk,115.278
1957,Brest,93.994
1957,Gomel,98.654
1957,Grodno,105.320
1957,Minsk,116.199
1957,Mogilev,119.849
1957,Vitebsk,141.691
1958,Brest,72.628
1958,Gomel,125.852
1958,Grodno,81.259
1958,Minsk,85.738
1958,Mogilev,92.291
1958,Vitebsk,70.553
1959,Brest,91.316
1959,Gomel,65.679
1959,Grodno,76.845
1959,Minsk,80.243
1959,Mogilev,66.717
1959,Vitebsk,53.028
1960,Brest,83.863
1960,Gomel,66.692
1960,Grodno,93.253
1960,Minsk,79.881
1960,Mogilev,70.116
1960,Vitebsk,68.240
1961,Brest,54.449
1961,Gomel,99.873
1961,Grodno,62.244
1961,Minsk,99.114
1961,Mogilev,103.196
1961,Vitebsk,117.835
1962,Brest,71.730
1962,Gomel,86.517
1962,Grodno,99.095
1962,Minsk,117.966
1962,Mogilev,113.211
1962,Vitebsk,100.193
1963,Brest,65.809
1963,Gomel,65.083
1963,Grodno,73.945
1963,Minsk,81.246
1963,Mogilev,78.308
1963,Vitebsk,84.521
1964,Brest,79.920
1964,Gomel,81.288
1964,Grodno,71.095
1964,Minsk,75.211
1964,Mogilev,79.359
1964,Vitebsk,69.851
1965,Brest,60.009
1965,Gomel,101.832
1965,Grodno,78.033
1965,Minsk,89.224
1965,Mogilev,98.030
1965,Vitebsk,96.604
1966,Brest,45.115
1966,Gomel,29.183
1966,Grodno,49.138
1966,Minsk,68.450
1966,Mogilev,32.298
1966,Vitebsk,62.724
1967,Brest,76.960
1967,Gomel,84.309
1967,Grodno,100.827
1967,Minsk,93.874
1967,Mogilev,83.318
1967,Vitebsk,81.522
1968,Brest,75.746
1968,Gomel,38.182
1968,Grodno,75.730
1968,Minsk,73.104
1968,Mogilev,67.688
1968,Vitebsk,58.221
1969,Brest,109.401
1969,Gomel,73.453
1969,Grodno,85.864
1969,Minsk,78.488
1969,Mogilev,89.784
1969,Vitebsk,56.568
1970,Brest,82.780
1970,Gomel,82.783
1970,Grodno,82.789
1970,Minsk,82.783
1970,Mogilev,82.778
1970,Vitebsk,82.777
1971,Brest,33.262
1971,Gomel,29.085
1971,Grodno,24.954
1971,Minsk,25.297
1971,Mogilev,20.069
1971,Vitebsk,25.580
1972,Brest,81.373
1972,Gomel,38.669
1972,Grodno,80.790
1972,Minsk,38.764
1972,Mogilev,24.829
1972,Vitebsk,26.170
1973,Brest,17.057
1973,Gomel,16.340
1973,Grodno,14.463
1973,Minsk,14.753
1973,Mogilev,25.108
1973,Vitebsk,13.975
1974,Brest,52.480
1974,Gomel,53.243
1974,Grodno,51.981
1974,Minsk,58.884
1974,Mogilev,36.897
1974,Vitebsk,49.337
1975,Brest,45.886
1975,Gomel,45.904
1975,Grodno,45.876
1975,Minsk,45.893
1975,Mogilev,45.921
1975,Vitebsk,45.889
1976,Brest,54.942
1976,Gomel,53.747
1976,Grodno,52.493
1976,Minsk,54.955
1976,Mogilev,51.976
1976,Vitebsk,58.103
1977,Brest,144.080
1977,Gomel,115.621
1977,Grodno,97.159
1977,Minsk,96.313
1977,Mogilev,89.174
1977,Vitebsk,69.263
1978,Brest,67.693
1978,Gomel,48.270
1978,Grodno,70.997
1978,Minsk,68.388
1978,Mogilev,55.599
1978,Vitebsk,64.488
1979,Brest,113.678
1979,Gomel,86.638
1979,Grodno,103.056
1979,Minsk,132.361
1979,Mogilev,80.954
1979,Vitebsk,116.481
1980,Brest,75.242
1980,Gomel,110.030
