year,region,tp_Aug
1940,Brest,87.046
1940,Gomel,89.130
1940,Grodno,80.525
1940,Minsk,82.155
1940,Mogilev,88.746
1940,Vitebsk,90.083
1941,Brest,64.504
1941,Gomel,47.299
1941,Grodno,89.486
1941,Minsk,70.941
1941,Mogilev,51.590
1941,Vitebsk,84.990
1942,Brest,39.012
1942,Gomel,5.370
1942,Grodno,39.922
1942,Minsk,27.841
1942,Mogilev,9.408
1942,Vitebsk,29.132
1943,Brest,43.670
1943,Gomel,31.064
1943,Grodno,51.009
1943,Minsk,50.987
1943,Mogilev,45.957
1943,Vitebsk,70.400
1944,Brest,28.001
1944,Gomel,10.045
1944,Grodno,24.590
1944,Minsk,18.551
1944,Mogilev,14.734
1944,Vitebsk,20.666
1945,Brest,79.956
1945,Gomel,87.558
1945,Grodno,95.085
1945,Minsk,93.273
1945,Mogilev,110.271
1945,Vitebsk,113.853
1946,Brest,37.074
1946,Gomel,25.921
1946,Grodno,47.790
1946,Minsk,51.496
1946,Mogilev,49.800
1946,Vitebsk,87.059
1947,Brest,105.187
1947,Gomel,164.827
1947,Grodno,97.788
1947,Minsk,123.721
1947,Mogilev,156.922
1947,Vitebsk,131.343
1948,Brest,64.542
1948,Gomel,44.532
1948,Grodno,77.846
1948,Minsk,66.149
1948,Mogilev,54.551
1948,Vitebsk,88.681
1949,Brest,83.431
1949,Gomel,80.545
1949,Grodno,102.535
1949,Minsk,96.860
1949,Mogilev,79.690
1949,Vitebsk,107.695
1950,Brest,62.077
1950,Gomel,68.241
1950,Grodno,107.212
1950,Minsk,104.158
1950,Mogilev,71.954
1950,Vitebsk,86.136
1951,Brest,37.748
1951,Gomel,46.265
1951,Grodno,21.911
1951,Minsk,41.770
1951,Mogilev,47.807
1951,Vitebsk,57.603
1952,Brest,70.899
1952,Gomel,50.426
1952,Grodno,55.421
1952,Minsk,92.082
1952,Mogilev,107.401
1952,Vitebsk,95.223
1953,Brest,47.680
1953,Gomel,92.458
1953,Grodno,49.887
1953,Minsk,49.198
1953,Mogilev,92.265
1953,Vitebsk,58.730
1954,Brest,87.349
1954,Gomel,93.579
1954,Grodno,100.791
1954,Minsk,97.979
1954,Mogilev,72.765
1954,Vitebsk,117.166
1955,Brest,26.037
1955,Gomel,24.246
1955,Grodno,12.263
1955,Minsk,16.277
1955,Mogilev,24.032
1955,Vitebsk,12.947
1956,Brest,91.145
1956,Gomel,107.998
1956,Grodno,108.043
1956,Minsk,101.438
1956,Mogilev,99.974
1956,Vitebsk,110.499
1957,Brest,90.013
1957,Gomel,115.471
1957,Grodno,101.055
1957,Minsk,112.327
1957,Mogilev,127.059
1957,Vitebsk,138.753
1958,Brest,75.710
1958,Gomel,113.444
1958,Grodno,70.852
1958,Minsk,83.432
1958,Mogilev,90.799
1958,Vitebsk,70.272
1959,Brest,79.361
1959,Gomel,45.091
1959,Grodno,86.050
1959,Minsk,49.106
1959,Mogilev,51.895
1959,Vitebsk,48.675
1960,Brest,96.691
1960,Gomel,93.624
1960,Grodno,123.910
1960,Minsk,95.529
1960,Mogilev,98.949
