year,region,tp_Dec
1955,Brest,68.213
1955,Gomel,56.481
1955,Grodno,81.883
1955,Minsk,71.222
1955,Mogilev,70.372
1955,Vitebsk,55.691
1956,Brest,40.892
1956,Gomel,41.567
1956,Grodno,33.808
1956,Minsk,29.913
1956,Mogilev,32.971
1956,Vitebsk,22.031
1957,Brest,31.085
1957,Gomel,32.911
1957,Grodno,38.575
1957,Minsk,35.785
1957,Mogilev,40.384
1957,Vitebsk,32.980
1958,Brest,39.899
1958,Gomel,42.046
1958,Grodno,55.728
1958,Minsk,61.099
1958,Mogilev,45.646
1958,Vitebsk,56.101
1959,Brest,49.854
1959,Gomel,45.726
1959,Grodno,40.283
1959,Minsk,41.795
1959,Mogilev,45.363
1959,Vitebsk,34.229
1960,Brest,42.484
1960,Gomel,54.462
1960,Grodno,45.288
1960,Minsk,46.175
1960,Mogilev,61.276
1960,Vitebsk,50.448
1961,Brest,35.890
1961,Gomel,32.695
1961,Grodno,37.496
1961,Minsk,40.410
1961,Mogilev,38.812
1961,Vitebsk,44.839
1962,Brest,23.745
1962,Gomel,24.120
1962,Grodno,21.258
1962,Minsk,20.354
1962,Mogilev,18.345
1962,Vitebsk,25.792
1963,Brest,15.569
1963,Gomel,21.034
1963,Grodno,21.647
1963,Minsk,20.387
1963,Mogilev,21.527
1963,Vitebsk,15.121
1964,Brest,52.557
1964,Gomel,63.832
1964,Grodno,46.627
1964,Minsk,56.988
1964,Mogilev,62.585
1964,Vitebsk,54.115
1965,Brest,34.013
1965,Gomel,56.579
1965,Grodno,47.227
1965,Minsk,44.865
1965,Mogilev,55.996
1965,Vitebsk,48.544
1966,Brest,49.752
1966,Gomel,72.960
1966,Grodno,51.898
1966,Minsk,60.524
1966,Mogilev,72.016
1966,Vitebsk,55.833
1967,Brest,62.638
1967,Gomel,69.942
1967,Grodno,65.175
1967,Minsk,62.827
1967,Mogilev,69.789
1967,Vitebsk,53.040
1968,Brest,29.236
1968,Gomel,48.997
1968,Grodno,34.094
1968,Minsk,39.054
1968,Mogilev,47.434
1968,Vitebsk,46.800
1969,Brest,37.938
1969,Gomel,55.675
1969,Grodno,34.643
1969,Minsk,41.176
1969,Mogilev,45.414
1969,Vitebsk,38.948
1970,Brest,54.174
1970,Gomel,57.055
1970,Grodno,53.574
1970,Minsk,47.638
1970,Mogilev,48.375
1970,Vitebsk,43.856
1971,Brest,35.355
1971,Gomel,54.689
1971,Grodno,44.637
1971,Minsk,44.638
1971,Mogilev,40.490
1971,Vitebsk,43.619
1972,Brest,7.395
1972,Gomel,10.421
1972,Grodno,15.986
1972,Minsk,17.511
1972,Mogilev,19.075
1972,Vitebsk,25.251
1973,Brest,39.428
1973,Gomel,41.855
1973,Grodno,42.492
1973,Minsk,41.169
1973,Mogilev,41.467
1973,Vitebsk,45.267
1974,Brest,72.213
1974,Gomel,69.204
1974,Grodno,74.146
1974,Minsk,79.437
1974,Mogilev,60.341
1974,Vitebsk,71.367
1975,Brest,34.943
1975,Gomel,33.218
1975,Grodno,42.202
1975,Minsk,35.489
1975,Mogilev,32.478
1975,Vitebsk,43.831
1976,Brest,49.361
1976,Gomel,36.197
1976,Grodno,62.378
1976,Minsk,57.836
1976,Mogilev,46.457
1976,Vitebsk,66.285
1977,Brest,38.713
1977,Gomel,29.247
1977,Grodno,46.020
1977,Minsk,44.232
1977,Mogilev,35.445
1977,Vitebsk,48.922
1978,Brest,49.672
1978,Gomel,44.307
1978,Grodno,42.206
1978,Minsk,45.424
1978,Mogilev,35.427
1978,Vitebsk,34.384
1979,Brest,46.673
1979,Gomel,40.790
1979,Grodno,53.482
1979,Minsk,49.701
1979,Mogilev,49.096
1979,Vitebsk,47.905
1980,Brest,43.090
1980,Gomel,53.106
1980,Grodno,53.340
1980,Minsk,48.829
1980,Mogilev,43.743
1980,Vitebsk,46.211
1981,Brest,84.110
1981,Gomel,73.940
1981,Grodno,78.864
1981,Minsk,80.099
1981,Mogilev,65.950
1981,Vitebsk,74.335
1982,Brest,75.489
1982,Gomel,45.763
1982,Grodno,76.420
1982,Minsk,72.625
1982,Mogilev,55.359
1982,Vitebsk,70.072
1983,Brest,29.468
1983,Gomel,22.437
1983,Grodno,41.088
1983,Minsk,35.513
1983,Mogilev,27.671
1983,Vitebsk,48.678
1984,Brest,28.947
1984,Gomel,33.356
1984,Grodno,32.966
1984,Minsk,35.354
1984,Mogilev,33.104
1984,Vitebsk,37.100
1985,Brest,51.543
1985,Gomel,38.556
1985,Grodno,52.477
1985,Minsk,45.440
1985,Mogilev,47.491
1985,Vitebsk,51.063
1986,Brest,28.685
1986,Gomel,40.649
1986,Grodno,38.837
1986,Minsk,37.029
1986,Mogilev,38.895
1986,Vitebsk,52.667
1987,Brest,59.724
1987,Gomel,56.991
1987,Grodno,62.847
1987,Minsk,57.339
1987,Mogilev,49.381
1987,Vitebsk,59.622
1988,Brest,46.594
1988,Gomel,53.071
1988,Grodno,59.960
1988,Minsk,52.961
1988,Mogilev,49.794
1988,Vitebsk,57.682
1989,Brest,46.015
1989,Gomel,40.727
1989,Grodno,66.423
1989,Minsk,60.696
1989,Mogilev,58.308
1989,Vitebsk,71.947
1990,Brest,33.717
1990,Gomel,43.566
1990,Grodno,36.914
1990,Minsk,45.449
1990,Mogilev,35.617
1990,Vitebsk,46.641
1991,Brest,27.057
1991,Gomel,17.530
1991,Grodno,32.881
1991,Minsk,24.422
1991,Mogilev,20.961
1991,Vitebsk,35.221
1992,Brest,21.295
1992,Gomel,18.170
1992,Grodno,30.669
1992,Minsk,26.278
1992,Mogilev,18.862
1992,Vitebsk,37.977
1993,Brest,63.737
1993,Gomel,54.894
1993,Grodno,73.562
1993,Minsk,69.876
1993,Mogilev,52.479
1993,Vitebsk,69.699
1994,Brest,61.441
1994,Gomel,49.648
1994,Grodno,53.329
1994,Minsk,47.062
1994,Mogilev,36.687
1994,Vitebsk,43.164
1995,Brest,20.466
1995,Gomel,22.052
1995,Grodno,27.376
1995,Minsk,28.424
1995,Mogilev,20.962
1995,Vitebsk,35.071
1996,Brest,41.779
1996,Gomel,42.194
1996,Grodno,52.681
1996,Minsk,55.519
1996,Mogilev,38.496
1996,Vitebsk,45.343
1997,Brest,61.353
1997,Gomel,57.362
1997,Grodno,49.766
1997,Minsk,43.427
1997,Mogilev,31.995
1997,Vitebsk,37.606
1998,Brest,38.523
1998,Gomel,35.123
1998,Grodno,48.474
1998,Minsk,45.429
1998,Mogilev,36.763
1998,Vitebsk,42.305
1999,Brest,37.530
1999,Gomel,47.420
1999,Grodno,51.361
1999,Minsk,49.848
1999,Mogilev,53.397
1999,Vitebsk,62.593
2000,Brest,59.911
2000,Gomel,76.047
2000,Grodno,45.707
2000,Minsk,56.495
2000,Mogilev,74.774
2000,Vitebsk,56.927
2001,Brest,28.983
2001,Gomel,36.902
2001,Grodno,33.510
2001,Minsk,32.428
2001,Mogilev,32.727
2001,Vitebsk,34.172
2002,Brest,21.286
2002,Gomel,20.679
2002,Grodno,20.334
2002,Minsk,18.051
2002,Mogilev,20.106
2002,Vitebsk,19.659
2003,Brest,37.280
2003,Gomel,33.504
2003,Grodno,48.346
2003,Minsk,40.352
2003,Mogilev,25.268
2003,Vitebsk,46.886
2004,Brest,28.654
2004,Gomel,33.370
2004,Grodno,44.450
2004,Minsk,40.282
2004,Mogilev,45.154
2004,Vitebsk,58.386
2005,Brest,71.734
2005,Gomel,55.418
2005,Grodno,67.571
2005,Minsk,52.012
2005,Mogilev,47.535
2005,Vitebsk,42.945
2006,Brest,24.486
2006,Gomel,11.629
2006,Grodno,27.761
2006,Minsk,18.980
2006,Mogilev,17.693
2006,Vitebsk,24.125
2007,Brest,14.798
2007,Gomel,24.495
2007,Grodno,19.315
2007,Minsk,20.321
2007,Mogilev,25.925
2007,Vitebsk,21.314
2008,Brest,25.812
2008,Gomel,43.454
2008,Grodno,33.308
2008,Minsk,25.476
2008,Mogilev,40.184
2008,Vitebsk,26.918
2009,Brest,66.205
2009,Gomel,73.398
2009,Grodno,67.451
2009,Minsk,70.130
2009,Mogilev,69.970
2009,Vitebsk,69.877
