year,region,tp_Dec
1940,Brest,24.282
1940,Gomel,27.170
1940,Grodno,29.069
1940,Minsk,27.000
1940,Mogilev,30.039
1940,Vitebsk,38.101
1941,Brest,55.968
1941,Gomel,39.383
1941,Grodno,50.760
1941,Minsk,39.988
1941,Mogilev,43.263
1941,Vitebsk,50.987
1942,Brest,34.853
1942,Gomel,39.458
1942,Grodno,38.281
1942,Minsk,36.032
1942,Mogilev,35.348
1942,Vitebsk,32.290
1943,Brest,28.711
1943,Gomel,29.117
1943,Grodno,32.936
1943,Minsk,36.101
1943,Mogilev,39.113
1943,Vitebsk,40.989
1944,Brest,16.390
1944,Gomel,16.309
1944,Grodno,18.833
1944,Minsk,22.257
1944,Mogilev,21.185
1944,Vitebsk,24.298
1945,Brest,37.955
1945,Gomel,39.427
1945,Grodno,43.541
1945,Minsk,40.385
1945,Mogilev,44.650
1945,Vitebsk,41.934
1946,Brest,8.930
1946,Gomel,7.508
1946,Grodno,12.106
1946,Minsk,9.510
1946,Mogilev,7.923
1946,Vitebsk,11.142
1947,Brest,57.867
1947,Gomel,63.596
1947,Grodno,73.388
1947,Minsk,65.822
1947,Mogilev,65.733
1947,Vitebsk,79.324
1948,Brest,18.844
1948,Gomel,11.264
1948,Grodno,23.940
1948,Minsk,15.982
1948,Mogilev,11.205
1948,Vitebsk,17.798
1949,Brest,56.740
1949,Gomel,54.919
1949,Grodno,54.358
1949,Minsk,47.532
1949,Mogilev,46.886
1949,Vitebsk,45.477
1950,Brest,33.938
1950,Gomel,31.917
1950,Grodno,28.391
1950,Minsk,30.560
1950,Mogilev,34.609
1950,Vitebsk,38.099
1951,Brest,28.805
1951,Gomel,34.704
1951,Grodno,39.083
1951,Minsk,38.332
1951,Mogilev,38.773
1951,Vitebsk,46.899
1952,Brest,31.906
1952,Gomel,33.398
1952,Grodno,37.649
1952,Minsk,37.840
1952,Mogilev,38.274
1952,Vitebsk,46.502
1953,Brest,13.737
1953,Gomel,7.774
1953,Grodno,15.750
1953,Minsk,12.652
1953,Mogilev,10.572
1953,Vitebsk,10.901
1954,Brest,74.604
1954,Gomel,57.344
1954,Grodno,81.155
1954,Minsk,74.716
1954,Mogilev,56.215
1954,Vitebsk,58.868
1955,Brest,80.712
1955,Gomel,70.059
1955,Grodno,85.721
1955,Minsk,77.915
1955,Mogilev,78.703
1955,Vitebsk,71.490
1956,Brest,46.504
1956,Gomel,42.560
1956,Grodno,38.771
1956,Minsk,32.721
1956,Mogilev,33.786
1956,Vitebsk,30.900
1957,Brest,38.015
1957,Gomel,42.005
1957,Grodno,47.622
1957,Minsk,46.192
1957,Mogilev,47.614
1957,Vitebsk,55.066
1958,Brest,45.050
1958,Gomel,50.476
1958,Grodno,57.048
1958,Minsk,57.405
1958,Mogilev,56.871
1958,Vitebsk,65.169
1959,Brest,54.554
1959,Gomel,53.758
1959,Grodno,46.869
1959,Minsk,55.258
1959,Mogilev,62.271
1959,Vitebsk,45.891
1960,Brest,49.026
1960,Gomel,65.612
1960,Grodno,44.195
1960,Minsk,55.578
1960,Mogilev,68.817
1960,Vitebsk,58.093
1961,Brest,41.073
1961,Gomel,45.575
1961,Grodno,40.262
1961,Minsk,41.994
1961,Mogilev,53.320
1961,Vitebsk,56.063
1962,Brest,32.037
1962,Gomel,27.466
1962,Grodno,30.631
1962,Minsk,26.847
1962,Mogilev,26.513
1962,Vitebsk,37.248
1963,Brest,26.303
1963,Gomel,29.358
1963,Grodno,24.196
1963,Minsk,24.005
1963,Mogilev,28.352
1963,Vitebsk,24.978
1964,Brest,64.748
1964,Gomel,73.981
1964,Grodno,59.188
1964,Minsk,69.873
1964,Mogilev,73.038
1964,Vitebsk,76.760
1965,Brest,40.884
1965,Gomel,65.806
1965,Grodno,49.070
1965,Minsk,51.801
1965,Mogilev,70.087
1965,Vitebsk,70.346
1966,Brest,52.049
1966,Gomel,66.457
1966,Grodno,57.750
1966,Minsk,58.047
1966,Mogilev,69.055
1966,Vitebsk,58.117
1967,Brest,76.643
1967,Gomel,86.614
1967,Grodno,73.280
1967,Minsk,69.493
1967,Mogilev,83.119
1967,Vitebsk,60.172
1968,Brest,29.548
1968,Gomel,60.330
1968,Grodno,29.925
1968,Minsk,46.099
1968,Mogilev,64.033
1968,Vitebsk,58.235
1969,Brest,50.428
1969,Gomel,67.048
1969,Grodno,41.950
1969,Minsk,49.655
1969,Mogilev,59.228
1969,Vitebsk,42.698
1970,Brest,74.101
1970,Gomel,65.673
1970,Grodno,76.228
1970,Minsk,58.204
1970,Mogilev,63.720
1970,Vitebsk,58.154
1971,Brest,63.143
1971,Gomel,69.681
1971,Grodno,64.398
1971,Minsk,60.708
1971,Mogilev,57.791
1971,Vitebsk,59.848
1972,Brest,18.124
1972,Gomel,18.654
1972,Grodno,29.287
1972,Minsk,29.012
1972,Mogilev,27.451
1972,Vitebsk,43.359
1973,Brest,45.066
1973,Gomel,58.335
1973,Grodno,55.408
1973,Minsk,50.417
1973,Mogilev,58.974
1973,Vitebsk,59.880
1974,Brest,77.044
1974,Gomel,74.069
1974,Grodno,88.865
1974,Minsk,83.579
1974,Mogilev,78.770
1974,Vitebsk,90.925
1975,Brest,44.559
1975,Gomel,50.179
1975,Grodno,50.116
1975,Minsk,48.163
1975,Mogilev,53.510
1975,Vitebsk,68.341
1976,Brest,61.934
1976,Gomel,50.564
1976,Grodno,72.565
1976,Minsk,71.765
1976,Mogilev,70.493
1976,Vitebsk,81.825
1977,Brest,45.650
1977,Gomel,38.114
1977,Grodno,57.737
1977,Minsk,51.271
1977,Mogilev,49.422
1977,Vitebsk,59.217
1978,Brest,60.891
1978,Gomel,58.654
1978,Grodno,54.615
1978,Minsk,53.379
1978,Mogilev,50.016
1978,Vitebsk,38.878
1979,Brest,53.266
1979,Gomel,52.633
1979,Grodno,60.954
1979,Minsk,61.094
1979,Mogilev,61.648
1979,Vitebsk,61.352
1980,Brest,56.088
1980,Gomel,63.676
1980,Grodno,68.689
1980,Minsk,62.154
1980,Mogilev,60.577
1980,Vitebsk,66.482
1981,Brest,86.073
1981,Gomel,85.136
1981,Grodno,87.897
1981,Minsk,88.517
1981,Mogilev,87.238
1981,Vitebsk,86.521
1982,Brest,77.720
1982,Gomel,58.861
1982,Grodno,84.173
1982,Minsk,86.554
1982,Mogilev,72.295
1982,Vitebsk,89.055
1983,Brest,43.279
1983,Gomel,37.972
1983,Grodno,44.742
1983,Minsk,48.008
1983,Mogilev,52.631
1983,Vitebsk,65.219
1984,Brest,34.098
1984,Gomel,38.441
1984,Grodno,38.725
1984,Minsk,42.333
1984,Mogilev,41.937
1984,Vitebsk,47.285
1985,Brest,64.066
1985,Gomel,51.965
1985,Grodno,59.136
1985,Minsk,54.007
1985,Mogilev,55.000
1985,Vitebsk,62.293
1986,Brest,35.990
1986,Gomel,47.580
1986,Grodno,47.281
1986,Minsk,45.641
1986,Mogilev,54.692
1986,Vitebsk,64.241
1987,Brest,63.180
1987,Gomel,61.528
1987,Grodno,66.351
1987,Minsk,65.250
1987,Mogilev,63.771
1987,Vitebsk,72.742
1988,Brest,56.413
1988,Gomel,60.123
1988,Grodno,61.862
1988,Minsk,58.898
1988,Mogilev,61.839
1988,Vitebsk,67.720
1989,Brest,57.124
1989,Gomel,53.432
1989,Grodno,80.396
1989,Minsk,75.065
1989,Mogilev,80.095
1989,Vitebsk,75.303
1990,Brest,36.773
1990,Gomel,47.144
1990,Grodno,42.830
1990,Minsk,48.846
1990,Mogilev,49.663
1990,Vitebsk,49.503
1991,Brest,37.468
1991,Gomel,26.026
1991,Grodno,43.166
1991,Minsk,33.585
1991,Mogilev,31.786
1991,Vitebsk,41.802
1992,Brest,23.663
1992,Gomel,19.918
1992,Grodno,44.463
1992,Minsk,31.464
1992,Mogilev,24.267
1992,Vitebsk,50.463
1993,Brest,66.105
1993,Gomel,65.946
1993,Grodno,81.249
1993,Minsk,76.610
1993,Mogilev,75.516
1993,Vitebsk,80.408
1994,Brest,68.812
1994,Gomel,60.977
1994,Grodno,65.708
