year,region,tp_Feb
1955,Brest,38.649
1955,Gomel,38.096
1955,Grodno,39.489
1955,Minsk,41.620
1955,Mogilev,39.087
1955,Vitebsk,40.183
1956,Brest,37.397
1956,Gomel,40.453
1956,Grodno,35.999
1956,Minsk,42.160
1956,Mogilev,42.020
1956,Vitebsk,38.678
1957,Brest,45.428
1957,Gomel,37.500
1957,Grodno,53.831
1957,Minsk,40.477
1957,Mogilev,39.347
1957,Vitebsk,40.032
1958,Brest,41.678
1958,Gomel,40.699
1958,Grodno,52.410
1958,Minsk,47.125
1958,Mogilev,50.656
1958,Vitebsk,43.071
1959,Brest,12.228
1959,Gomel,13.296
1959,Grodno,16.380
1959,Minsk,16.274
1959,Mogilev,16.666
1959,Vitebsk,19.852
1960,Brest,19.397
1960,Gomel,21.122
1960,Grodno,34.976
1960,Minsk,33.155
1960,Mogilev,32.942
1960,Vitebsk,37.885
1961,Brest,18.559
1961,Gomel,23.593
1961,Grodno,26.193
1961,Minsk,31.384
1961,Mogilev,26.939
1961,Vitebsk,32.210
1962,Brest,35.671
1962,Gomel,39.306
1962,Grodno,33.378
1962,Minsk,29.460
1962,Mogilev,31.230
1962,Vitebsk,25.254
1963,Brest,48.789
1963,Gomel,46.322
1963,Grodno,41.037
1963,Minsk,54.571
1963,Mogilev,38.004
1963,Vitebsk,40.567
1964,Brest,45.261
1964,Gomel,27.947
1964,Grodno,43.603
1964,Minsk,44.896
1964,Mogilev,35.534
1964,Vitebsk,36.327
1965,Brest,28.200
1965,Gomel,19.965
1965,Grodno,31.126
1965,Minsk,28.549
1965,Mogilev,24.236
1965,Vitebsk,28.339
1966,Brest,58.776
1966,Gomel,60.597
1966,Grodno,53.417
1966,Minsk,64.230
1966,Mogilev,54.460
1966,Vitebsk,56.294
1967,Brest,38.835
1967,Gomel,31.181
1967,Grodno,41.340
1967,Minsk,33.864
1967,Mogilev,31.481
1967,Vitebsk,26.453
1968,Brest,26.550
1968,Gomel,27.149
1968,Grodno,23.572
1968,Minsk,24.185
1968,Mogilev,21.330
1968,Vitebsk,27.469
1969,Brest,28.728
1969,Gomel,38.039
