year,region,tp_Feb
1940,Brest,42.097
1940,Gomel,77.890
1940,Grodno,28.351
1940,Minsk,52.146
1940,Mogilev,71.358
1940,Vitebsk,45.235
1941,Brest,48.319
1941,Gomel,47.237
1941,Grodno,49.960
1941,Minsk,44.923
1941,Mogilev,45.367
1941,Vitebsk,41.816
1942,Brest,11.833
1942,Gomel,12.038
1942,Grodno,26.673
1942,Minsk,19.417
1942,Mogilev,17.363
1942,Vitebsk,27.717
1943,Brest,40.611
1943,Gomel,36.146
1943,Grodno,52.734
1943,Minsk,45.127
1943,Mogilev,41.119
1943,Vitebsk,47.535
1944,Brest,47.055
1944,Gomel,56.948
1944,Grodno,37.974
1944,Minsk,46.173
1944,Mogilev,44.434
1944,Vitebsk,40.596
1945,Brest,44.944
1945,Gomel,33.972
1945,Grodno,45.093
1945,Minsk,42.412
1945,Mogilev,41.858
1945,Vitebsk,42.243
1946,Brest,61.865
1946,Gomel,52.233
1946,Grodno,64.492
1946,Minsk,51.984
1946,Mogilev,41.535
1946,Vitebsk,49.578
1947,Brest,68.704
1947,Gomel,61.774
1947,Grodno,48.173
1947,Minsk,62.784
1947,Mogilev,72.249
1947,Vitebsk,47.022
1948,Brest,37.043
1948,Gomel,29.548
1948,Grodno,20.171
1948,Minsk,15.909
1948,Mogilev,16.717
1948,Vitebsk,12.526
1949,Brest,44.036
1949,Gomel,36.863
1949,Grodno,41.959
1949,Minsk,34.369
1949,Mogilev,31.559
1949,Vitebsk,27.809
1950,Brest,33.589
1950,Gomel,37.852
1950,Grodno,48.054
1950,Minsk,41.488
1950,Mogilev,44.536
1950,Vitebsk,61.623
1951,Brest,49.259
1951,Gomel,44.312
1951,Grodno,48.633
1951,Minsk,47.397
1951,Mogilev,44.500
1951,Vitebsk,44.268
1952,Brest,53.924
1952,Gomel,32.605
1952,Grodno,58.274
1952,Minsk,47.253
1952,Mogilev,39.823
1952,Vitebsk,51.108
1953,Brest,49.958
1953,Gomel,44.814
1953,Grodno,50.079
1953,Minsk,38.804
1953,Mogilev,41.141
1953,Vitebsk,41.773
1954,Brest,20.259
1954,Gomel,18.763
1954,Grodno,25.185
1954,Minsk,22.702
1954,Mogilev,22.720
1954,Vitebsk,21.614
1955,Brest,38.800
1955,Gomel,46.779
1955,Grodno,38.545
1955,Minsk,43.152
1955,Mogilev,44.976
1955,Vitebsk,44.437
1956,Brest,44.042
1956,Gomel,46.959
1956,Grodno,39.458
1956,Minsk,46.741
1956,Mogilev,58.268
1956,Vitebsk,52.511
1957,Brest,49.923
1957,Gomel,39.763
1957,Grodno,59.267
1957,Minsk,47.250
1957,Mogilev,43.834
1957,Vitebsk,51.784
1958,Brest,60.388
1958,Gomel,58.611
1958,Grodno,68.760
1958,Minsk,57.884
1958,Mogilev,62.670
1958,Vitebsk,55.909
1959,Brest,21.921
1959,Gomel,27.220
1959,Grodno,20.237
1959,Minsk,23.562
1959,Mogilev,28.641
1959,Vitebsk,30.358
1960,Brest,27.595
1960,Gomel,34.486
1960,Grodno,43.335
1960,Minsk,42.053
1960,Mogilev,50.650
1960,Vitebsk,54.121
1961,Brest,29.546
1961,Gomel,30.210
1961,Grodno,32.403
1961,Minsk,41.385
1961,Mogilev,34.077
1961,Vitebsk,44.728
1962,Brest,56.581
1962,Gomel,66.780
1962,Grodno,55.329
1962,Minsk,46.508
1962,Mogilev,55.399
1962,Vitebsk,44.772
1963,Brest,51.229
1963,Gomel,50.533
1963,Grodno,49.250
1963,Minsk,52.106
1963,Mogilev,52.006
1963,Vitebsk,47.164
1964,Brest,58.248
1964,Gomel,43.486
1964,Grodno,56.392
1964,Minsk,53.366
1964,Mogilev,54.112
1964,Vitebsk,44.735
1965,Brest,44.732
1965,Gomel,33.675
1965,Grodno,42.263
1965,Minsk,36.714
1965,Mogilev,36.895
1965,Vitebsk,39.773
1966,Brest,67.629
1966,Gomel,59.376
1966,Grodno,49.161
1966,Minsk,61.611
1966,Mogilev,62.352
1966,Vitebsk,49.640
1967,Brest,55.387
1967,Gomel,36.873
1967,Grodno,55.143
1967,Minsk,42.158
1967,Mogilev,39.108
1967,Vitebsk,40.169
1968,Brest,42.803
1968,Gomel,40.415
1968,Grodno,35.097
1968,Minsk,34.147
1968,Mogilev,33.518
1968,Vitebsk,32.375
1969,Brest,37.587
1969,Gomel,45.084
1969,Grodno,36.698
1969,Minsk,41.761
1969,Mogilev,44.607
1969,Vitebsk,36.677
1970,Brest,45.278
1970,Gomel,58.639
1970,Grodno,42.950
1970,Minsk,44.939
1970,Mogilev,55.226
1970,Vitebsk,45.020
1971,Brest,44.881
1971,Gomel,48.964
1971,Grodno,45.332
1971,Minsk,57.542
1971,Mogilev,56.448
1971,Vitebsk,66.504
1972,Brest,15.326
1972,Gomel,19.464
1972,Grodno,14.151
1972,Minsk,19.119
1972,Mogilev,18.066
1972,Vitebsk,22.875
1973,Brest,77.721
1973,Gomel,81.385
1973,Grodno,71.130
1973,Minsk,79.950
1973,Mogilev,77.033
1973,Vitebsk,79.274
1974,Brest,29.766
1974,Gomel,22.034
1974,Grodno,43.718
1974,Minsk,33.898
1974,Mogilev,26.567
1974,Vitebsk,45.716
1975,Brest,20.820
1975,Gomel,28.597
1975,Grodno,24.111
1975,Minsk,29.072
1975,Mogilev,30.945
1975,Vitebsk,36.300
1976,Brest,8.129
1976,Gomel,12.289
1976,Grodno,10.394
1976,Minsk,17.515
1976,Mogilev,12.765
1976,Vitebsk,24.195
1977,Brest,60.910
1977,Gomel,64.549
1977,Grodno,61.771
1977,Minsk,61.703
1977,Mogilev,72.710
1977,Vitebsk,60.229
1978,Brest,47.044
1978,Gomel,35.804
1978,Grodno,48.505
1978,Minsk,43.371
1978,Mogilev,43.268
1978,Vitebsk,46.865
1979,Brest,21.451
1979,Gomel,27.371
1979,Grodno,23.792
1979,Minsk,19.047
1979,Mogilev,23.270
1979,Vitebsk,21.319
1980,Brest,32.194
1980,Gomel,20.127
1980,Grodno,31.341
1980,Minsk,30.619
1980,Mogilev,27.047
1980,Vitebsk,34.960
1981,Brest,38.579
1981,Gomel,44.506
1981,Grodno,37.659
1981,Minsk,39.516
1981,Mogilev,48.311
1981,Vitebsk,44.643
1982,Brest,25.317
1982,Gomel,28.743
1982,Grodno,19.463
1982,Minsk,21.908
1982,Mogilev,21.205
1982,Vitebsk,16.960
1983,Brest,43.103
1983,Gomel,43.432
1983,Grodno,33.672
1983,Minsk,31.148
1983,Mogilev,33.589
1983,Vitebsk,29.216
1984,Brest,28.515
1984,Gomel,37.287
1984,Grodno,31.231
1984,Minsk,34.850
1984,Mogilev,32.387
1984,Vitebsk,34.215
1985,Brest,28.714
1985,Gomel,25.186
1985,Grodno,26.653
1985,Minsk,23.818
1985,Mogilev,25.853
1985,Vitebsk,26.843
1986,Brest,26.150
1986,Gomel,24.805
1986,Grodno,21.130
1986,Minsk,22.513
1986,Mogilev,25.181
1986,Vitebsk,15.714
1987,Brest,27.910
1987,Gomel,30.311
1987,Grodno,30.548
1987,Minsk,33.109
1987,Mogilev,34.817
1987,Vitebsk,46.787
1988,Brest,37.851
1988,Gomel,18.945
1988,Grodno,41.308
1988,Minsk,35.080
1988,Mogilev,28.728
1988,Vitebsk,40.471
1989,Brest,35.668
1989,Gomel,35.899
1989,Grodno,44.012
1989,Minsk,41.194
1989,Mogilev,39.497
1989,Vitebsk,51.181
1990,Brest,31.248
1990,Gomel,35.209
1990,Grodno,34.294
1990,Minsk,32.683
1990,Mogilev,43.103
1990,Vitebsk,44.150
1991,Brest,50.082
1991,Gomel,44.946
1991,Grodno,50.322
1991,Minsk,43.350
1991,Mogilev,45.497
1991,Vitebsk,45.002
1992,Brest,45.887
1992,Gomel,43.003
1992,Grodno,53.095
1992,Minsk,50.506
1992,Mogilev,49.485
1992,Vitebsk,54.115
1993,Brest,33.784
1993,Gomel,33.287
1993,Grodno,34.093
1993,Minsk,34.448
1993,Mogilev,39.125
1993,Vitebsk,44.387
1994,Brest,29.054
1994,Gomel,23.938
1994,Grodno,32.519
1994,Minsk,28.426
1994,Mogilev,22.269
1994,Vitebsk,32.501
1995,Brest,62.990
1995,Gomel,64.064
1995,Grodno,61.897
1995,Minsk,61.604
1995,Mogilev,67.858
1995,Vitebsk,65.364
1996,Brest,48.386
1996,Gomel,36.283
1996,Grodno,52.051
1996,Minsk,43.429
1996,Mogilev,41.295
1996,Vitebsk,44.464
1997,Brest,31.053
1997,Gomel,32.958
1997,Grodno,40.805
1997,Minsk,35.841
1997,Mogilev,37.360
1997,Vitebsk,47.030
1998,Brest,37.978
1998,Gomel,34.192
1998,Grodno,48.502
1998,Minsk,47.048
1998,Mogilev,43.638
1998,Vitebsk,62.045
1999,Brest,61.548
1999,Gomel,65.701
1999,Grodno,60.556
1999,Minsk,64.227
1999,Mogilev,69.358
1999,Vitebsk,64.655
2000,Brest,45.618
2000,Gomel,41.926
2000,Grodno,56.586
2000,Minsk,53.077
2000,Mogilev,48.826
2000,Vitebsk,53.482
2001,Brest,24.975
2001,Gomel,44.694
2001,Grodno,31.625
2001,Minsk,37.075
2001,Mogilev,46.763
2001,Vitebsk,54.974
2002,Brest,57.279
2002,Gomel,50.164
2002,Grodno,67.083
2002,Minsk,56.703
2002,Mogilev,55.198
2002,Vitebsk,66.670
2003,Brest,38.742
2003,Gomel,27.780
2003,Grodno,34.717
2003,Minsk,34.123
2003,Mogilev,30.962
2003,Vitebsk,30.282
2004,Brest,76.881
2004,Gomel,79.433
2004,Grodno,77.402
2004,Minsk,85.655
2004,Mogilev,84.337
2004,Vitebsk,72.114
2005,Brest,46.979
2005,Gomel,44.570
2005,Grodno,38.100
2005,Minsk,31.587
2005,Mogilev,38.023
2005,Vitebsk,27.600
2006,Brest,44.571
2006,Gomel,40.997
2006,Grodno,42.665
2006,Minsk,28.897
2006,Mogilev,31.487
2006,Vitebsk,24.286
2007,Brest,46.654
2007,Gomel,45.762
2007,Grodno,44.016
2007,Minsk,45.569
2007,Mogilev,46.667
2007,Vitebsk,42.251
2008,Brest,28.231
2008,Gomel,33.678
2008,Grodno,47.863
2008,Minsk,44.880
2008,Mogilev,49.616
2008,Vitebsk,48.295
2009,Brest,32.309
2009,Gomel,40.012
2009,Grodno,39.287
2009,Minsk,47.385
2009,Mogilev,53.202
2009,Vitebsk,53.478
2010,Brest,36.762
2010,Gomel,54.119
2010,Grodno,42.017
2010,Minsk,46.449
2010,Mogilev,66.873
2010,Vitebsk,67.186
2011,Brest,40.355
2011,Gomel,39.401
2011,Grodno,41.353
2011,Minsk,34.549
2011,Mogilev,37.862
2011,Vitebsk,38.795
2012,Brest,33.278
2012,Gomel,46.624
2012,Grodno,39.242
2012,Minsk,41.008
2012,Mogilev,48.004
2012,Vitebsk,46.092
2013,Brest,42.285
2013,Gomel,47.559
2013,Grodno,46.388
2013,Minsk,43.877
2013,Mogilev,44.932
2013,Vitebsk,43.108
2014,Brest,20.210
2014,Gomel,27.179
2014,Grodno,31.849
2014,Minsk,28.020
2014,Mogilev,37.525
2014,Vitebsk,38.660
2015,Brest,17.812
2015,Gomel,21.806
2015,Grodno,19.709
2015,Minsk,25.597
2015,Mogilev,24.546
2015,Vitebsk,26.578
2016,Brest,66.240
2016,Gomel,67.052
2016,Grodno,61.284
2016,Minsk,58.043
2016,Mogilev,58.746
2016,Vitebsk,53.800
2017,Brest,51.130
2017,Gomel,39.569
2017,Grodno,44.820
2017,Minsk,36.422
2017,Mogilev,31.421
2017,Vitebsk,42.690
2018,Brest,29.909
2018,Gomel,48.887
2018,Grodno,30.126
2018,Minsk,35.491
2018,Mogilev,45.238
2018,Vitebsk,34.185
2019,Brest,18.014
2019,Gomel,17.785
2019,Grodno,24.503
2019,Minsk,24.665
2019,Mogilev,21.992
2019,Vitebsk,32.292
2020,Brest,51.982
2020,Gomel,44.277
2020,Grodno,51.293
2020,Minsk,47.559
2020,Mogilev,49.960
2020,Vitebsk,51.346
2021,Brest,47.920
2021,Gomel,60.327
2021,Grodno,34.592
2021,Minsk,39.992
2021,Mogilev,60.130
2021,Vitebsk,28.237
2022,Brest,45.571
2022,Gomel,42.156
2022,Grodno,54.194
2022,Minsk,45.715
2022,Mogilev,43.265
2022,Vitebsk,48.842
