year,region,tp_Jan
1940,Brest,55.844
1940,Gomel,42.142
1940,Grodno,53.700
1940,Minsk,45.698
1940,Mogilev,36.035
1940,Vitebsk,39.612
1941,Brest,27.350
1941,Gomel,29.823
1941,Grodno,29.880
1941,Minsk,31.278
1941,Mogilev,28.654
1941,Vitebsk,37.207
1942,Brest,30.022
1942,Gomel,40.383
1942,Grodno,28.810
1942,Minsk,34.442
1942,Mogilev,36.339
1942,Vitebsk,30.508
1943,Brest,41.070
1943,Gomel,52.465
1943,Grodno,47.053
1943,Minsk,45.093
1943,Mogilev,38.484
1943,Vitebsk,35.663
1944,Brest,50.806
1944,Gomel,38.035
1944,Grodno,53.233
1944,Minsk,46.468
1944,Mogilev,48.858
1944,Vitebsk,52.080
1945,Brest,37.146
1945,Gomel,57.219
1945,Grodno,38.474
1945,Minsk,47.806
1945,Mogilev,62.979
1945,Vitebsk,55.978
1946,Brest,18.662
1946,Gomel,26.426
1946,Grodno,30.761
1946,Minsk,29.651
1946,Mogilev,31.936
1946,Vitebsk,34.683
1947,Brest,19.987
1947,Gomel,19.016
1947,Grodno,21.154
1947,Minsk,19.666
1947,Mogilev,19.312
1947,Vitebsk,19.571
1948,Brest,61.058
1948,Gomel,65.888
1948,Grodno,64.969
1948,Minsk,78.272
1948,Mogilev,73.540
1948,Vitebsk,92.410
1949,Brest,37.239
1949,Gomel,32.336
1949,Grodno,42.699
1949,Minsk,42.688
1949,Mogilev,40.104
1949,Vitebsk,50.746
1950,Brest,37.825
1950,Gomel,32.564
1950,Grodno,36.114
1950,Minsk,33.139
1950,Mogilev,30.075
1950,Vitebsk,25.456
1951,Brest,33.173
1951,Gomel,35.820
1951,Grodno,51.428
1951,Minsk,48.612
1951,Mogilev,48.834
1951,Vitebsk,54.076
1952,Brest,39.356
1952,Gomel,46.213
1952,Grodno,44.925
1952,Minsk,40.343
1952,Mogilev,47.924
1952,Vitebsk,40.521
1953,Brest,49.752
1953,Gomel,47.975
1953,Grodno,50.440
1953,Minsk,48.709
1953,Mogilev,47.013
1953,Vitebsk,47.135
1954,Brest,34.321
1954,Gomel,29.394
1954,Grodno,38.144
1954,Minsk,33.033
1954,Mogilev,26.287
1954,Vitebsk,32.797
1955,Brest,39.236
1955,Gomel,43.924
1955,Grodno,37.089
1955,Minsk,39.627
1955,Mogilev,47.353
1955,Vitebsk,40.205
1956,Brest,30.558
1956,Gomel,31.251
1956,Grodno,47.440
1956,Minsk,42.166
1956,Mogilev,47.525
1956,Vitebsk,59.332
1957,Brest,33.513
1957,Gomel,31.486
1957,Grodno,37.212
1957,Minsk,36.117
1957,Mogilev,39.110
1957,Vitebsk,45.635
1958,Brest,63.161
1958,Gomel,63.886
1958,Grodno,61.059
1958,Minsk,73.693
1958,Mogilev,77.361
1958,Vitebsk,74.199
1959,Brest,46.711
1959,Gomel,52.405
1959,Grodno,52.736
1959,Minsk,75.877
1959,Mogilev,62.402
1959,Vitebsk,81.664
1960,Brest,39.346
1960,Gomel,38.567
1960,Grodno,46.770
1960,Minsk,42.411
1960,Mogilev,42.367
1960,Vitebsk,41.313
1961,Brest,31.187
