year,region,tp_Jul
1940,Brest,90.022
1940,Gomel,49.680
1940,Grodno,144.309
1940,Minsk,88.725
1940,Mogilev,70.257
1940,Vitebsk,100.334
1941,Brest,57.429
1941,Gomel,108.279
1941,Grodno,47.732
1941,Minsk,66.743
1941,Mogilev,84.714
1941,Vitebsk,57.890
1942,Brest,63.840
1942,Gomel,34.121
1942,Grodno,87.042
1942,Minsk,66.260
1942,Mogilev,39.939
1942,Vitebsk,98.759
1943,Brest,120.777
1943,Gomel,135.168
1943,Grodno,135.857
1943,Minsk,125.978
1943,Mogilev,124.084
1943,Vitebsk,114.497
1944,Brest,89.562
1944,Gomel,84.259
1944,Grodno,99.328
1944,Minsk,88.518
1944,Mogilev,86.022
1944,Vitebsk,62.214
1945,Brest,98.540
1945,Gomel,83.760
1945,Grodno,109.891
1945,Minsk,125.790
1945,Mogilev,120.565
1945,Vitebsk,164.162
1946,Brest,74.700
1946,Gomel,57.730
1946,Grodno,98.971
1946,Minsk,91.986
1946,Mogilev,66.117
1946,Vitebsk,56.478
1947,Brest,66.795
1947,Gomel,59.715
1947,Grodno,80.094
1947,Minsk,83.595
1947,Mogilev,95.411
1947,Vitebsk,93.324
1948,Brest,110.110
1948,Gomel,129.668
1948,Grodno,79.720
1948,Minsk,98.117
1948,Mogilev,97.396
1948,Vitebsk,91.716
1949,Brest,85.037
1949,Gomel,106.637
1949,Grodno,81.834
1949,Minsk,83.636
1949,Mogilev,114.744
1949,Vitebsk,108.145
1950,Brest,57.894
1950,Gomel,58.788
1950,Grodno,54.159
1950,Minsk,83.055
1950,Mogilev,63.190
1950,Vitebsk,66.797
1951,Brest,37.142
1951,Gomel,29.314
1951,Grodno,42.476
1951,Minsk,40.249
1951,Mogilev,34.433
1951,Vitebsk,69.707
1952,Brest,30.245
1952,Gomel,40.441
1952,Grodno,22.499
1952,Minsk,29.388
1952,Mogilev,37.742
1952,Vitebsk,37.707
1953,Brest,56.198
1953,Gomel,87.541
1953,Grodno,61.764
1953,Minsk,59.304
1953,Mogilev,83.323
1953,Vitebsk,75.591
1954,Brest,118.661
1954,Gomel,132.157
1954,Grodno,121.057
1954,Minsk,153.925
1954,Mogilev,127.095
1954,Vitebsk,132.216
1955,Brest,137.453
1955,Gomel,73.651
1955,Grodno,82.921
1955,Minsk,66.729
1955,Mogilev,84.323
1955,Vitebsk,59.135
1956,Brest,72.342
1956,Gomel,86.521
1956,Grodno,68.327
1956,Minsk,77.116
1956,Mogilev,85.629
1956,Vitebsk,66.490
1957,Brest,62.168
1957,Gomel,84.195
1957,Grodno,77.363
1957,Minsk,84.822
1957,Mogilev,91.676
1957,Vitebsk,105.793
1958,Brest,65.435
1958,Gomel,79.985
1958,Grodno,88.250
1958,Minsk,83.908
1958,Mogilev,98.056
1958,Vitebsk,103.343
1959,Brest,72.012
1959,Gomel,29.194
1959,Grodno,83.779
1959,Minsk,37.265
1959,Mogilev,24.166
1959,Vitebsk,24.399
1960,Brest,104.770
1960,Gomel,54.562
1960,Grodno,129.092
1960,Minsk,93.699
1960,Mogilev,76.881
1960,Vitebsk,115.110
1961,Brest,72.062
1961,Gomel,65.086
1961,Grodno,79.426
1961,Minsk,79.721
1961,Mogilev,76.978
1961,Vitebsk,112.568
1962,Brest,71.462
1962,Gomel,151.636
