year,region,tp_Jun
1955,Brest,57.734
1955,Gomel,33.725
1955,Grodno,50.912
1955,Minsk,44.161
1955,Mogilev,31.460
1955,Vitebsk,46.978
1956,Brest,90.068
1956,Gomel,90.068
1956,Grodno,90.068
1956,Minsk,90.068
1956,Mogilev,90.068
1956,Vitebsk,90.068
1957,Brest,58.065
1957,Gomel,52.729
1957,Grodno,60.020
1957,Minsk,61.225
1957,Mogilev,73.451
1957,Vitebsk,75.159
1958,Brest,111.002
1958,Gomel,111.002
1958,Grodno,111.002
1958,Minsk,111.002
1958,Mogilev,111.002
1958,Vitebsk,111.002
1959,Brest,53.531
1959,Gomel,44.180
1959,Grodno,55.720
1959,Minsk,49.943
1959,Mogilev,33.170
1959,Vitebsk,38.674
1960,Brest,90.746
1960,Gomel,48.038
1960,Grodno,120.856
1960,Minsk,95.031
1960,Mogilev,60.367
1960,Vitebsk,86.721
1961,Brest,46.627
1961,Gomel,46.368
1961,Grodno,49.285
1961,Minsk,48.203
1961,Mogilev,46.073
1961,Vitebsk,45.916
1962,Brest,89.221
1962,Gomel,74.589
1962,Grodno,86.919
1962,Minsk,88.977
1962,Mogilev,92.192
1962,Vitebsk,95.222
1963,Brest,47.614
1963,Gomel,36.547
1963,Grodno,66.080
1963,Minsk,51.253
1963,Mogilev,61.897
1963,Vitebsk,67.339
1964,Brest,33.059
1964,Gomel,28.652
1964,Grodno,24.959
1964,Minsk,31.425
1964,Mogilev,30.510
1964,Vitebsk,31.717
1965,Brest,97.109
1965,Gomel,65.180
1965,Grodno,97.086
1965,Minsk,89.662
1965,Mogilev,79.352
1965,Vitebsk,67.388
1966,Brest,55.495
1966,Gomel,55.511
1966,Grodno,63.504
1966,Minsk,57.298
1966,Mogilev,62.741
1966,Vitebsk,57.282
1967,Brest,56.165
1967,Gomel,62.986
1967,Grodno,46.427
1967,Minsk,47.118
1967,Mogilev,48.452
1967,Vitebsk,53.146
1968,Brest,104.453
1968,Gomel,59.891
1968,Grodno,107.806
1968,Minsk,75.973
1968,Mogilev,39.615
1968,Vitebsk,66.789
1969,Brest,52.888
1969,Gomel,102.634
1969,Grodno,76.637
1969,Minsk,77.455
1969,Mogilev,88.453
1969,Vitebsk,77.119
1970,Brest,74.363
1970,Gomel,72.665
1970,Grodno,68.477
1970,Minsk,73.020
1970,Mogilev,58.218
1970,Vitebsk,56.570
1971,Brest,91.800
1971,Gomel,109.535
1971,Grodno,116.186
1971,Minsk,105.507
1971,Mogilev,114.651
1971,Vitebsk,125.199
1972,Brest,75.762
1972,Gomel,75.770
1972,Grodno,75.756
1972,Minsk,75.751
1972,Mogilev,75.748
1972,Vitebsk,75.749
1973,Brest,88.178
1973,Gomel,67.802
1973,Grodno,92.082
1973,Minsk,104.098
1973,Mogilev,93.426
1973,Vitebsk,68.981
1974,Brest,125.868
1974,Gomel,129.398
1974,Grodno,110.802
1974,Minsk,124.750
1974,Mogilev,135.156
1974,Vitebsk,96.148
1975,Brest,99.496
1975,Gomel,129.107
1975,Grodno,92.277
1975,Minsk,119.628
1975,Mogilev,106.799
1975,Vitebsk,95.081
1976,Brest,37.843
1976,Gomel,44.345
1976,Grodno,58.460
1976,Minsk,45.339
1976,Mogilev,46.656
1976,Vitebsk,61.057
1977,Brest,59.092
1977,Gomel,84.407
1977,Grodno,48.647
1977,Minsk,65.288
1977,Mogilev,67.095
1977,Vitebsk,56.137
1978,Brest,56.897
1978,Gomel,59.488
1978,Grodno,72.593
1978,Minsk,59.005
1978,Mogilev,82.804
1978,Vitebsk,67.117
1979,Brest,47.260
1979,Gomel,24.048
1979,Grodno,29.098
1979,Minsk,31.514
1979,Mogilev,19.596
1979,Vitebsk,35.303
1980,Brest,84.472
1980,Gomel,138.715
1980,Grodno,73.112
1980,Minsk,73.166
1980,Mogilev,99.560
1980,Vitebsk,75.718
1981,Brest,90.714
1981,Gomel,87.262
1981,Grodno,72.738
1981,Minsk,123.290
1981,Mogilev,77.999
1981,Vitebsk,109.928
1982,Brest,89.005
1982,Gomel,91.837
1982,Grodno,94.948
1982,Minsk,121.824
1982,Mogilev,70.179
1982,Vitebsk,93.914
1983,Brest,62.182
1983,Gomel,62.181
1983,Grodno,62.178
1983,Minsk,62.182
1983,Mogilev,62.181
1983,Vitebsk,62.182
1984,Brest,92.284
1984,Gomel,69.052
1984,Grodno,85.521
1984,Minsk,102.404
1984,Mogilev,90.417
1984,Vitebsk,83.146
1985,Brest,113.445
1985,Gomel,113.368
1985,Grodno,125.754
1985,Minsk,107.418
1985,Mogilev,117.586
1985,Vitebsk,111.113
1986,Brest,63.824
1986,Gomel,69.740
1986,Grodno,59.399
1986,Minsk,64.481
1986,Mogilev,63.851
1986,Vitebsk,71.886
1987,Brest,87.662
1987,Gomel,87.715
1987,Grodno,102.035
1987,Minsk,106.574
1987,Mogilev,92.844
1987,Vitebsk,135.295
1988,Brest,153.670
1988,Gomel,150.118
1988,Grodno,128.154
1988,Minsk,149.013
1988,Mogilev,148.575
1988,Vitebsk,148.390
1989,Brest,76.960
1989,Gomel,90.151
1989,Grodno,112.156
1989,Minsk,124.924
1989,Mogilev,130.721
1989,Vitebsk,132.762
1990,Brest,59.358
1990,Gomel,77.516
1990,Grodno,59.617
1990,Minsk,58.102
1990,Mogilev,62.059
1990,Vitebsk,80.155
1991,Brest,89.179
1991,Gomel,87.636
1991,Grodno,95.073
1991,Minsk,104.772
1991,Mogilev,94.352
1991,Vitebsk,111.220
1992,Brest,57.502
1992,Gomel,73.639
1992,Grodno,36.999
1992,Minsk,46.356
1992,Mogilev,57.144
1992,Vitebsk,35.113
1993,Brest,81.268
1993,Gomel,85.801
1993,Grodno,57.844
1993,Minsk,71.704
1993,Mogilev,70.701
1993,Vitebsk,80.099
1994,Brest,31.572
1994,Gomel,82.156
1994,Grodno,48.668
1994,Minsk,78.405
1994,Mogilev,76.955
1994,Vitebsk,83.758
1995,Brest,96.638
1995,Gomel,72.463
1995,Grodno,91.115
1995,Minsk,78.536
1995,Mogilev,72.651
1995,Vitebsk,80.519
1996,Brest,42.915
1996,Gomel,59.293
1996,Grodno,45.252
1996,Minsk,39.850
1996,Mogilev,47.619
1996,Vitebsk,59.332
1997,Brest,73.347
1997,Gomel,100.666
1997,Grodno,113.850
1997,Minsk,133.521
1997,Mogilev,97.525
1997,Vitebsk,139.465
1998,Brest,105.500
1998,Gomel,116.494
1998,Grodno,96.665
1998,Minsk,143.756
1998,Mogilev,91.230
1998,Vitebsk,138.419
1999,Brest,77.336
1999,Gomel,49.977
1999,Grodno,74.265
1999,Minsk,75.117
1999,Mogilev,60.232
1999,Vitebsk,62.604
2000,Brest,64.517
2000,Gomel,57.054
2000,Grodno,65.100
2000,Minsk,64.379
2000,Mogilev,63.239
2000,Vitebsk,65.843
2001,Brest,82.499
2001,Gomel,90.421
2001,Grodno,63.586
2001,Minsk,85.824
2001,Mogilev,79.678
2001,Vitebsk,95.648
2002,Brest,64.751
2002,Gomel,47.990
2002,Grodno,64.859
2002,Minsk,67.030
2002,Mogilev,52.878
2002,Vitebsk,84.059
2003,Brest,46.611
2003,Gomel,47.267
2003,Grodno,48.336
2003,Minsk,34.797
2003,Mogilev,39.484
2003,Vitebsk,59.545
2004,Brest,78.335
2004,Gomel,40.165
2004,Grodno,92.848
2004,Minsk,71.319
2004,Mogilev,53.076
2004,Vitebsk,81.293
2005,Brest,39.605
2005,Gomel,66.418
2005,Grodno,73.765
2005,Minsk,61.099
2005,Mogilev,97.605
2005,Vitebsk,79.547
2006,Brest,46.598
2006,Gomel,81.646
2006,Grodno,50.628
2006,Minsk,52.590
2006,Mogilev,60.722
2006,Vitebsk,41.349
2007,Brest,61.283
2007,Gomel,50.002
2007,Grodno,66.727
2007,Minsk,58.954
2007,Mogilev,79.391
2007,Vitebsk,55.683
2008,Brest,39.567
2008,Gomel,42.048
2008,Grodno,37.410
2008,Minsk,36.707
2008,Mogilev,45.317
2008,Vitebsk,33.353
2009,Brest,145.965
2009,Gomel,126.791
2009,Grodno,135.715
2009,Minsk,153.087
2009,Mogilev,134.564
2009,Vitebsk,122.478
2010,Brest,94.131
2010,Gomel,66.844
2010,Grodno,91.978
2010,Minsk,105.647
2010,Mogilev,62.244
2010,Vitebsk,88.931
2011,Brest,82.424
2011,Gomel,108.192
2011,Grodno,74.090
2011,Minsk,81.725
2011,Mogilev,103.591
2011,Vitebsk,55.878
2012,Brest,122.424
2012,Gomel,129.039
2012,Grodno,109.916
2012,Minsk,124.037
2012,Mogilev,139.871
2012,Vitebsk,114.578
2013,Brest,118.703
2013,Gomel,87.923
2013,Grodno,82.414
2013,Minsk,82.460
2013,Mogilev,60.146
