year,region,tp_Jun
1940,Brest,22.407
1940,Gomel,24.349
1940,Grodno,28.100
1940,Minsk,18.268
1940,Mogilev,22.409
1940,Vitebsk,40.985
1941,Brest,41.815
1941,Gomel,40.294
1941,Grodno,35.453
1941,Minsk,33.863
1941,Mogilev,35.965
1941,Vitebsk,38.296
1942,Brest,50.710
1942,Gomel,48.699
1942,Grodno,34.224
1942,Minsk,46.689
1942,Mogilev,42.655
1942,Vitebsk,43.974
1943,Brest,60.327
1943,Gomel,41.986
1943,Grodno,58.712
1943,Minsk,58.433
1943,Mogilev,47.266
1943,Vitebsk,61.465
1944,Brest,58.415
1944,Gomel,45.202
1944,Grodno,34.532
1944,Minsk,39.742
1944,Mogilev,51.057
1944,Vitebsk,40.876
1945,Brest,52.340
1945,Gomel,57.213
1945,Grodno,51.553
1945,Minsk,58.145
1945,Mogilev,43.274
1945,Vitebsk,46.759
1946,Brest,107.318
1946,Gomel,81.930
1946,Grodno,116.739
1946,Minsk,110.069
1946,Mogilev,87.997
1946,Vitebsk,101.761
1947,Brest,76.302
1947,Gomel,55.499
1947,Grodno,63.381
1947,Minsk,57.633
1947,Mogilev,62.808
1947,Vitebsk,72.740
1948,Brest,119.457
1948,Gomel,126.764
1948,Grodno,104.726
1948,Minsk,112.907
1948,Mogilev,111.472
1948,Vitebsk,122.911
1949,Brest,97.210
1949,Gomel,115.069
1949,Grodno,119.608
1949,Minsk,137.785
1949,Mogilev,117.942
1949,Vitebsk,109.745
1950,Brest,41.257
1950,Gomel,58.331
1950,Grodno,66.064
1950,Minsk,73.891
1950,Mogilev,84.614
1950,Vitebsk,118.099
1951,Brest,40.374
1951,Gomel,38.541
1951,Grodno,49.339
1951,Minsk,39.192
1951,Mogilev,40.333
1951,Vitebsk,44.322
1952,Brest,54.313
1952,Gomel,90.977
1952,Grodno,67.537
1952,Minsk,48.482
1952,Mogilev,84.246
1952,Vitebsk,73.178
1953,Brest,77.014
1953,Gomel,87.689
1953,Grodno,70.425
1953,Minsk,77.363
1953,Mogilev,77.157
1953,Vitebsk,77.809
1954,Brest,54.786
1954,Gomel,65.227
1954,Grodno,45.354
1954,Minsk,43.233
1954,Mogilev,67.902
1954,Vitebsk,49.566
1955,Brest,66.202
1955,Gomel,45.182
1955,Grodno,46.632
1955,Minsk,49.840
1955,Mogilev,44.792
1955,Vitebsk,51.791
1956,Brest,106.531
1956,Gomel,114.412
1956,Grodno,110.816
1956,Minsk,112.014
1956,Mogilev,108.685
1956,Vitebsk,102.501
1957,Brest,54.436
1957,Gomel,46.575
1957,Grodno,67.994
1957,Minsk,67.110
1957,Mogilev,58.458
1957,Vitebsk,72.390
1958,Brest,107.268
1958,Gomel,136.559
1958,Grodno,103.948
1958,Minsk,111.171
1958,Mogilev,103.047
1958,Vitebsk,85.785
1959,Brest,49.437
1959,Gomel,37.097
1959,Grodno,47.388
1959,Minsk,35.350
1959,Mogilev,29.592
1959,Vitebsk,39.013
1960,Brest,63.971
1960,Gomel,49.530
1960,Grodno,92.783
1960,Minsk,70.954
1960,Mogilev,63.039
1960,Vitebsk,84.115
1961,Brest,46.898
1961,Gomel,49.105
1961,Grodno,65.315
1961,Minsk,57.813
1961,Mogilev,44.601
1961,Vitebsk,57.617
1962,Brest,92.923
1962,Gomel,81.044
1962,Grodno,98.970
1962,Minsk,100.373
1962,Mogilev,100.799
1962,Vitebsk,109.434
1963,Brest,53.098
1963,Gomel,50.288
1963,Grodno,84.570
1963,Minsk,62.154
1963,Mogilev,84.140
1963,Vitebsk,79.409
1964,Brest,39.659
1964,Gomel,30.476
1964,Grodno,42.471
1964,Minsk,45.177
1964,Mogilev,39.821
1964,Vitebsk,38.987
1965,Brest,122.921
1965,Gomel,98.954
1965,Grodno,97.134
1965,Minsk,119.166
1965,Mogilev,99.226
1965,Vitebsk,87.919
1966,Brest,68.354
1966,Gomel,64.956
1966,Grodno,70.666
1966,Minsk,65.836
1966,Mogilev,68.715
1966,Vitebsk,55.715
1967,Brest,69.036
1967,Gomel,80.981
1967,Grodno,59.879
1967,Minsk,50.214
1967,Mogilev,61.769
1967,Vitebsk,55.125
1968,Brest,84.743
1968,Gomel,60.594
1968,Grodno,93.048
1968,Minsk,76.793
1968,Mogilev,53.666
1968,Vitebsk,91.961
1969,Brest,81.728
1969,Gomel,105.079
1969,Grodno,88.777
1969,Minsk,96.922
1969,Mogilev,105.445
1969,Vitebsk,94.232
1970,Brest,93.170
1970,Gomel,81.737
1970,Grodno,86.853
1970,Minsk,85.215
1970,Mogilev,60.816
1970,Vitebsk,76.059
1971,Brest,127.197
1971,Gomel,143.363
1971,Grodno,126.018
1971,Minsk,112.581
1971,Mogilev,157.453
1971,Vitebsk,132.554
1972,Brest,109.170
1972,Gomel,103.190
1972,Grodno,96.260
1972,Minsk,88.078
1972,Mogilev,83.289
1972,Vitebsk,68.220
1973,Brest,102.799
1973,Gomel,59.848
1973,Grodno,104.407
1973,Minsk,99.272
1973,Mogilev,99.666
1973,Vitebsk,85.571
1974,Brest,168.294
1974,Gomel,177.257
1974,Grodno,137.809
1974,Minsk,142.023
1974,Mogilev,144.858
1974,Vitebsk,107.911
1975,Brest,128.113
1975,Gomel,122.995
1975,Grodno,116.984
1975,Minsk,139.520
1975,Mogilev,109.055
1975,Vitebsk,114.500
1976,Brest,55.397
1976,Gomel,51.249
1976,Grodno,60.833
1976,Minsk,58.401
1976,Mogilev,60.044
1976,Vitebsk,69.830
1977,Brest,71.028
1977,Gomel,88.479
1977,Grodno,61.059
1977,Minsk,76.152
1977,Mogilev,69.307
1977,Vitebsk,68.520
1978,Brest,76.153
1978,Gomel,61.721
1978,Grodno,81.689
1978,Minsk,74.869
1978,Mogilev,77.612
1978,Vitebsk,72.847
1979,Brest,41.798
1979,Gomel,33.448
