year,region,tp_Mar
1955,Brest,27.604
1955,Gomel,34.440
1955,Grodno,30.035
1955,Minsk,33.954
1955,Mogilev,43.002
1955,Vitebsk,36.720
1956,Brest,28.596
1956,Gomel,26.309
1956,Grodno,27.561
1956,Minsk,27.868
1956,Mogilev,25.011
1956,Vitebsk,17.033
1957,Brest,24.312
1957,Gomel,25.866
1957,Grodno,27.833
1957,Minsk,28.016
1957,Mogilev,29.667
1957,Vitebsk,31.038
1958,Brest,77.673
1958,Gomel,55.396
1958,Grodno,91.913
1958,Minsk,85.230
1958,Mogilev,64.709
1958,Vitebsk,47.566
1959,Brest,25.609
1959,Gomel,27.306
1959,Grodno,23.216
1959,Minsk,23.946
1959,Mogilev,23.465
1959,Vitebsk,24.710
1960,Brest,6.082
1960,Gomel,4.898
1960,Grodno,18.312
1960,Minsk,14.355
1960,Mogilev,6.828
1960,Vitebsk,19.612
1961,Brest,32.094
1961,Gomel,32.291
1961,Grodno,56.193
1961,Minsk,51.141
1961,Mogilev,44.040
1961,Vitebsk,53.021
1962,Brest,55.417
1962,Gomel,50.052
1962,Grodno,44.871
1962,Minsk,51.799
1962,Mogilev,48.107
1962,Vitebsk,55.688
1963,Brest,19.435
1963,Gomel,32.612
1963,Grodno,29.612
1963,Minsk,36.364
1963,Mogilev,38.773
1963,Vitebsk,33.466
1964,Brest,47.130
1964,Gomel,51.611
1964,Grodno,30.828
1964,Minsk,40.432
1964,Mogilev,48.306
1964,Vitebsk,32.292
1965,Brest,26.999
1965,Gomel,22.256
1965,Grodno,32.930
1965,Minsk,31.615
1965,Mogilev,21.488
1965,Vitebsk,42.088
1966,Brest,42.653
1966,Gomel,44.189
1966,Grodno,54.093
1966,Minsk,49.173
1966,Mogilev,51.043
1966,Vitebsk,51.774
1967,Brest,46.540
1967,Gomel,54.332
1967,Grodno,53.238
1967,Minsk,50.586
1967,Mogilev,59.668
1967,Vitebsk,39.560
1968,Brest,20.711
1968,Gomel,15.264
1968,Grodno,30.723
1968,Minsk,26.636
1968,Mogilev,15.173
1968,Vitebsk,32.345
1969,Brest,20.718
1969,Gomel,25.728
1969,Grodno,11.249
1969,Minsk,10.341
1969,Mogilev,15.333
1969,Vitebsk,8.440
1970,Brest,38.354
1970,Gomel,45.635
1970,Grodno,41.191
1970,Minsk,43.102
1970,Mogilev,48.218
1970,Vitebsk,38.100
1971,Brest,26.366
1971,Gomel,34.594
1971,Grodno,34.416
1971,Minsk,39.008
1971,Mogilev,37.037
1971,Vitebsk,38.715
1972,Brest,27.994
1972,Gomel,22.883
1972,Grodno,36.360
1972,Minsk,37.490
1972,Mogilev,28.422
1972,Vitebsk,36.053
1973,Brest,16.730
1973,Gomel,17.322
1973,Grodno,17.479
1973,Minsk,16.939
1973,Mogilev,15.121
1973,Vitebsk,16.108
1974,Brest,3.656
1974,Gomel,4.341
1974,Grodno,7.854
1974,Minsk,8.105
1974,Mogilev,7.170
1974,Vitebsk,6.366
1975,Brest,16.889
1975,Gomel,26.930
1975,Grodno,27.765
1975,Minsk,33.710
1975,Mogilev,29.572
1975,Vitebsk,39.374
1976,Brest,43.549
1976,Gomel,54.303
1976,Grodno,43.598
1976,Minsk,52.619
1976,Mogilev,62.244
1976,Vitebsk,48.244
1977,Brest,28.467
1977,Gomel,26.308
1977,Grodno,26.268
1977,Minsk,24.976
1977,Mogilev,25.272
1977,Vitebsk,19.423
1978,Brest,19.195
1978,Gomel,29.950
1978,Grodno,31.803
1978,Minsk,24.698
1978,Mogilev,32.107
1978,Vitebsk,33.267
1979,Brest,40.073
1979,Gomel,47.424
1979,Grodno,52.494
1979,Minsk,42.677
