year,region,tp_May
1955,Brest,84.359
1955,Gomel,64.825
1955,Grodno,91.142
1955,Minsk,74.353
1955,Mogilev,64.610
1955,Vitebsk,75.172
1956,Brest,35.286
1956,Gomel,48.762
1956,Grodno,44.725
1956,Minsk,48.755
1956,Mogilev,64.260
1956,Vitebsk,46.458
1957,Brest,44.403
1957,Gomel,51.444
1957,Grodno,46.643
1957,Minsk,50.722
1957,Mogilev,55.653
1957,Vitebsk,65.998
1958,Brest,52.663
1958,Gomel,47.176
1958,Grodno,63.356
1958,Minsk,59.515
1958,Mogilev,61.642
1958,Vitebsk,49.944
1959,Brest,29.678
1959,Gomel,30.698
1959,Grodno,36.326
1959,Minsk,37.699
1959,Mogilev,31.096
1959,Vitebsk,36.316
1960,Brest,58.173
1960,Gomel,58.169
1960,Grodno,58.172
1960,Minsk,58.171
1960,Mogilev,58.164
1960,Vitebsk,58.165
1961,Brest,49.709
1961,Gomel,69.177
1961,Grodno,67.467
1961,Minsk,64.883
1961,Mogilev,63.583
1961,Vitebsk,56.533
1962,Brest,101.858
1962,Gomel,86.780
1962,Grodno,113.386
1962,Minsk,116.523
1962,Mogilev,94.284
1962,Vitebsk,106.551
1963,Brest,44.698
1963,Gomel,44.698
1963,Grodno,44.698
1963,Minsk,44.698
1963,Mogilev,44.698
1963,Vitebsk,44.698
1964,Brest,39.238
1964,Gomel,34.565
1964,Grodno,40.740
1964,Minsk,39.768
1964,Mogilev,35.597
1964,Vitebsk,40.428
1965,Brest,63.737
1965,Gomel,46.677
1965,Grodno,76.000
1965,Minsk,60.786
1965,Mogilev,48.554
1965,Vitebsk,68.901
1966,Brest,44.029
1966,Gomel,55.614
1966,Grodno,73.423
1966,Minsk,64.001
1966,Mogilev,50.349
1966,Vitebsk,64.476
1967,Brest,78.000
1967,Gomel,78.000
1967,Grodno,78.000
1967,Minsk,78.000
1967,Mogilev,78.000
1967,Vitebsk,78.000
1968,Brest,68.282
1968,Gomel,68.912
1968,Grodno,77.716
1968,Minsk,79.536
1968,Mogilev,69.403
1968,Vitebsk,80.406
1969,Brest,62.186
1969,Gomel,49.334
1969,Grodno,74.572
1969,Minsk,67.774
1969,Mogilev,47.192
1969,Vitebsk,59.849
1970,Brest,63.293
1970,Gomel,74.443
1970,Grodno,39.113
1970,Minsk,44.072
1970,Mogilev,33.088
1970,Vitebsk,27.271
1971,Brest,37.067
1971,Gomel,46.345
1971,Grodno,16.602
1971,Minsk,25.966
1971,Mogilev,36.864
1971,Vitebsk,19.799
1972,Brest,48.062
1972,Gomel,52.273
1972,Grodno,52.719
1972,Minsk,55.260
1972,Mogilev,53.100
1972,Vitebsk,74.588
1973,Brest,76.667
1973,Gomel,71.572
1973,Grodno,80.592
1973,Minsk,87.915
1973,Mogilev,78.009
1973,Vitebsk,79.424
1974,Brest,42.807
1974,Gomel,39.403
1974,Grodno,51.560
1974,Minsk,40.718
1974,Mogilev,58.789
1974,Vitebsk,45.896
1975,Brest,62.191
1975,Gomel,40.418
1975,Grodno,45.153
1975,Minsk,35.988
1975,Mogilev,26.689
1975,Vitebsk,21.189
1976,Brest,68.268
1976,Gomel,33.612
1976,Grodno,53.817
1976,Minsk,47.116
1976,Mogilev,41.082
1976,Vitebsk,42.893
1977,Brest,47.254
1977,Gomel,36.326
1977,Grodno,68.744
1977,Minsk,48.237
1977,Mogilev,51.266
1977,Vitebsk,39.924
1978,Brest,46.259
1978,Gomel,81.563
1978,Grodno,61.089
1978,Minsk,74.378
1978,Mogilev,75.943
1978,Vitebsk,104.922
1979,Brest,51.390
1979,Gomel,24.869
1979,Grodno,43.710
1979,Minsk,35.844
1979,Mogilev,30.481
1979,Vitebsk,50.751
1980,Brest,28.716
1980,Gomel,49.109
1980,Grodno,34.470
1980,Minsk,35.646
1980,Mogilev,44.189
1980,Vitebsk,43.416
1981,Brest,36.140
1981,Gomel,36.140
1981,Grodno,36.140
1981,Minsk,36.140
1981,Mogilev,36.140
1981,Vitebsk,36.140
1982,Brest,83.885
1982,Gomel,39.398
1982,Grodno,71.698
1982,Minsk,79.902
1982,Mogilev,34.718
1982,Vitebsk,67.042
1983,Brest,58.756
1983,Gomel,58.235
1983,Grodno,58.755
1983,Minsk,58.303
1983,Mogilev,58.325
1983,Vitebsk,58.669
1984,Brest,96.333
1984,Gomel,85.201
1984,Grodno,92.509
1984,Minsk,81.664
1984,Mogilev,62.434
1984,Vitebsk,62.620
1985,Brest,68.051
1985,Gomel,54.802
1985,Grodno,70.334
1985,Minsk,71.515
1985,Mogilev,44.718
1985,Vitebsk,35.092
1986,Brest,37.687
1986,Gomel,23.213
1986,Grodno,31.914
1986,Minsk,32.067
1986,Mogilev,28.527
1986,Vitebsk,30.394
1987,Brest,72.581
1987,Gomel,43.671
1987,Grodno,73.654
1987,Minsk,53.555
1987,Mogilev,66.953
1987,Vitebsk,76.965
1988,Brest,57.885
1988,Gomel,33.349
1988,Grodno,44.186
1988,Minsk,36.359
1988,Mogilev,31.552
1988,Vitebsk,35.757
1989,Brest,34.610
1989,Gomel,28.917
1989,Grodno,36.886
1989,Minsk,28.856
1989,Mogilev,30.450
1989,Vitebsk,20.490
1990,Brest,36.184
1990,Gomel,36.622
1990,Grodno,35.741
1990,Minsk,32.214
1990,Mogilev,28.439
1990,Vitebsk,26.107
1991,Brest,65.693
1991,Gomel,97.462
1991,Grodno,63.867
1991,Minsk,75.129
1991,Mogilev,92.059
1991,Vitebsk,88.953
1992,Brest,61.513
1992,Gomel,47.498
1992,Grodno,47.654
1992,Minsk,53.825
1992,Mogilev,28.723
1992,Vitebsk,53.556
1993,Brest,43.954
1993,Gomel,44.789
1993,Grodno,31.516
