year,region,tp_May
1940,Brest,75.313
1940,Gomel,81.571
1940,Grodno,66.520
1940,Minsk,67.783
1940,Mogilev,94.162
1940,Vitebsk,76.796
1941,Brest,89.011
1941,Gomel,67.337
1941,Grodno,86.317
1941,Minsk,72.576
1941,Mogilev,68.136
1941,Vitebsk,47.724
1942,Brest,68.015
1942,Gomel,49.469
1942,Grodno,74.703
1942,Minsk,63.761
1942,Mogilev,57.203
1942,Vitebsk,71.029
1943,Brest,101.324
1943,Gomel,104.142
1943,Grodno,108.611
1943,Minsk,110.195
1943,Mogilev,115.580
1943,Vitebsk,109.961
1944,Brest,65.540
1944,Gomel,44.406
1944,Grodno,84.296
1944,Minsk,72.456
1944,Mogilev,56.210
1944,Vitebsk,98.121
1945,Brest,44.172
1945,Gomel,59.119
1945,Grodno,66.286
1945,Minsk,71.766
1945,Mogilev,78.534
1945,Vitebsk,69.690
1946,Brest,33.179
1946,Gomel,36.089
1946,Grodno,30.505
1946,Minsk,28.063
1946,Mogilev,33.579
1946,Vitebsk,32.527
1947,Brest,39.958
1947,Gomel,43.200
1947,Grodno,36.333
1947,Minsk,49.914
1947,Mogilev,44.828
1947,Vitebsk,25.285
1948,Brest,118.877
1948,Gomel,79.281
1948,Grodno,126.444
1948,Minsk,87.400
1948,Mogilev,82.946
1948,Vitebsk,79.257
1949,Brest,50.876
1949,Gomel,41.626
1949,Grodno,69.026
1949,Minsk,62.608
1949,Mogilev,48.053
1949,Vitebsk,73.681
1950,Brest,23.405
1950,Gomel,30.448
1950,Grodno,30.211
1950,Minsk,37.241
1950,Mogilev,33.257
1950,Vitebsk,55.068
1951,Brest,109.643
1951,Gomel,112.101
1951,Grodno,75.422
1951,Minsk,93.103
1951,Mogilev,96.171
1951,Vitebsk,80.026
1952,Brest,68.579
1952,Gomel,65.704
1952,Grodno,79.996
1952,Minsk,100.816
1952,Mogilev,86.733
1952,Vitebsk,104.734
1953,Brest,56.470
1953,Gomel,75.517
1953,Grodno,60.798
1953,Minsk,68.475
1953,Mogilev,79.007
1953,Vitebsk,72.787
1954,Brest,77.547
1954,Gomel,53.206
1954,Grodno,80.340
1954,Minsk,58.999
1954,Mogilev,51.414
1954,Vitebsk,40.137
1955,Brest,79.963
1955,Gomel,80.878
1955,Grodno,93.601
1955,Minsk,90.204
1955,Mogilev,66.697
1955,Vitebsk,90.142
1956,Brest,48.600
1956,Gomel,54.796
1956,Grodno,33.148
1956,Minsk,50.070
1956,Mogilev,68.024
1956,Vitebsk,55.961
1957,Brest,51.229
1957,Gomel,68.724
1957,Grodno,52.430
1957,Minsk,68.813
1957,Mogilev,65.313
1957,Vitebsk,82.818
1958,Brest,72.917
1958,Gomel,76.874
1958,Grodno,74.921
1958,Minsk,68.902
1958,Mogilev,84.538
1958,Vitebsk,67.831
1959,Brest,27.803
1959,Gomel,39.805
1959,Grodno,35.699
1959,Minsk,43.283
1959,Mogilev,42.656
1959,Vitebsk,47.554
1960,Brest,58.988
1960,Gomel,61.562
1960,Grodno,65.422
1960,Minsk,63.637
1960,Mogilev,55.462
1960,Vitebsk,63.809
1961,Brest,63.183
1961,Gomel,76.641
1961,Grodno,95.998
1961,Minsk,70.099
1961,Mogilev,85.747
1961,Vitebsk,67.990
1962,Brest,131.621
1962,Gomel,107.277
1962,Grodno,132.176
1962,Minsk,141.688
1962,Mogilev,115.969
1962,Vitebsk,140.881
1963,Brest,60.127
1963,Gomel,47.679
1963,Grodno,65.341
1963,Minsk,54.828
1963,Mogilev,42.882
1963,Vitebsk,40.387
1964,Brest,59.231
1964,Gomel,47.460
1964,Grodno,65.842
1964,Minsk,55.634
1964,Mogilev,49.484
1964,Vitebsk,54.584
1965,Brest,90.324
1965,Gomel,62.110
1965,Grodno,101.742
1965,Minsk,99.751
1965,Mogilev,76.043
1965,Vitebsk,97.923
1966,Brest,61.430
1966,Gomel,57.057
1966,Grodno,95.305
1966,Minsk,82.141
1966,Mogilev,68.429
1966,Vitebsk,84.898
1967,Brest,81.838
1967,Gomel,76.858
1967,Grodno,82.093
1967,Minsk,104.468
1967,Mogilev,75.693
1967,Vitebsk,88.133
1968,Brest,91.019
1968,Gomel,80.917
1968,Grodno,94.745
1968,Minsk,95.250
1968,Mogilev,88.601
1968,Vitebsk,108.146
1969,Brest,76.788
1969,Gomel,80.837
1969,Grodno,90.457
1969,Minsk,85.005
1969,Mogilev,77.755
1969,Vitebsk,67.092
1970,Brest,81.218
1970,Gomel,68.366
1970,Grodno,60.774
1970,Minsk,59.355
1970,Mogilev,45.161
1970,Vitebsk,41.527
1971,Brest,61.682
1971,Gomel,59.078
1971,Grodno,30.572
1971,Minsk,33.456
1971,Mogilev,48.402
1971,Vitebsk,27.500
1972,Brest,64.561
1972,Gomel,71.111
1972,Grodno,65.822
1972,Minsk,81.426
1972,Mogilev,92.604
1972,Vitebsk,93.815
1973,Brest,94.854
1973,Gomel,70.075
1973,Grodno,83.310
1973,Minsk,90.920
1973,Mogilev,89.100
1973,Vitebsk,99.861
1974,Brest,68.933
1974,Gomel,53.818
1974,Grodno,58.469
1974,Minsk,54.988
1974,Mogilev,66.483
1974,Vitebsk,61.398
1975,Brest,73.875
1975,Gomel,41.492
1975,Grodno,51.920
1975,Minsk,48.354
1975,Mogilev,35.918
1975,Vitebsk,28.650
1976,Brest,82.090
1976,Gomel,50.382
1976,Grodno,77.700
1976,Minsk,69.043
1976,Mogilev,64.434
1976,Vitebsk,74.204
1977,Brest,73.049
1977,Gomel,56.957
1977,Grodno,64.296
1977,Minsk,71.354
1977,Mogilev,60.873
1977,Vitebsk,53.830
1978,Brest,52.425
1978,Gomel,82.352
1978,Grodno,72.220
1978,Minsk,83.002
1978,Mogilev,78.788
1978,Vitebsk,100.238
1979,Brest,56.781
1979,Gomel,37.894
1979,Grodno,58.989
1979,Minsk,51.597
1979,Mogilev,41.847
1979,Vitebsk,53.549
1980,Brest,48.492
1980,Gomel,71.723
1980,Grodno,41.799
1980,Minsk,52.777
1980,Mogilev,71.508
1980,Vitebsk,53.789
1981,Brest,41.319
1981,Gomel,43.019
1981,Grodno,44.583
1981,Minsk,43.297
