year,region,tp_Nov
1955,Brest,32.943
1955,Gomel,27.635
1955,Grodno,38.060
1955,Minsk,34.099
1955,Mogilev,28.409
1955,Vitebsk,33.340
1956,Brest,28.337
1956,Gomel,32.619
1956,Grodno,33.842
1956,Minsk,33.530
1956,Mogilev,32.298
1956,Vitebsk,29.766
1957,Brest,30.324
1957,Gomel,37.311
1957,Grodno,38.389
1957,Minsk,39.105
1957,Mogilev,37.980
1957,Vitebsk,30.483
1958,Brest,31.734
1958,Gomel,13.655
1958,Grodno,31.050
1958,Minsk,32.794
1958,Mogilev,18.302
1958,Vitebsk,35.120
1959,Brest,49.588
1959,Gomel,56.886
1959,Grodno,45.266
1959,Minsk,52.763
1959,Mogilev,39.798
1959,Vitebsk,37.087
1960,Brest,91.815
1960,Gomel,67.516
1960,Grodno,89.978
1960,Minsk,79.824
1960,Mogilev,61.761
1960,Vitebsk,70.919
1961,Brest,52.559
1961,Gomel,51.185
1961,Grodno,32.874
1961,Minsk,34.551
1961,Mogilev,41.324
1961,Vitebsk,32.787
1962,Brest,57.404
1962,Gomel,78.609
1962,Grodno,52.598
1962,Minsk,71.897
1962,Mogilev,62.721
1962,Vitebsk,70.712
1963,Brest,46.545
1963,Gomel,48.898
1963,Grodno,77.559
1963,Minsk,73.245
1963,Mogilev,63.779
1963,Vitebsk,82.781
1964,Brest,54.561
1964,Gomel,37.571
1964,Grodno,71.728
1964,Minsk,60.233
1964,Mogilev,48.625
1964,Vitebsk,64.745
1965,Brest,48.588
1965,Gomel,40.306
1965,Grodno,45.788
1965,Minsk,47.898
1965,Mogilev,39.138
1965,Vitebsk,49.240
1966,Brest,69.805
1966,Gomel,77.273
1966,Grodno,56.175
1966,Minsk,62.964
1966,Mogilev,55.865
1966,Vitebsk,49.033
1967,Brest,63.559
1967,Gomel,55.221
1967,Grodno,73.391
1967,Minsk,84.208
1967,Mogilev,55.973
1967,Vitebsk,99.007
1968,Brest,33.999
1968,Gomel,31.715
1968,Grodno,31.290
1968,Minsk,33.242
1968,Mogilev,30.883
1968,Vitebsk,31.169
1969,Brest,59.924
1969,Gomel,77.591
1969,Grodno,88.680
1969,Minsk,92.026
1969,Mogilev,96.296
1969,Vitebsk,105.282
1970,Brest,67.572
1970,Gomel,45.936
1970,Grodno,66.076
1970,Minsk,57.027
1970,Mogilev,45.420
1970,Vitebsk,60.478
1971,Brest,29.538
1971,Gomel,39.919
1971,Grodno,44.423
1971,Minsk,45.549
1971,Mogilev,44.956
1971,Vitebsk,47.141
1972,Brest,59.824
1972,Gomel,62.880
1972,Grodno,76.645
1972,Minsk,73.816
1972,Mogilev,69.908
1972,Vitebsk,88.549
1973,Brest,51.184
1973,Gomel,46.330
1973,Grodno,59.588
1973,Minsk,52.179
1973,Mogilev,45.743
1973,Vitebsk,53.212
1974,Brest,45.492
1974,Gomel,71.386
1974,Grodno,50.900
1974,Minsk,54.127
1974,Mogilev,69.150
1974,Vitebsk,53.950
1975,Brest,14.349
1975,Gomel,11.384
1975,Grodno,23.148
1975,Minsk,21.991
1975,Mogilev,16.461
1975,Vitebsk,22.529
1976,Brest,27.830
1976,Gomel,23.561
1976,Grodno,41.726
1976,Minsk,28.881
1976,Mogilev,27.913
1976,Vitebsk,35.919
1977,Brest,68.825
1977,Gomel,79.045
1977,Grodno,59.090
1977,Minsk,63.221
1977,Mogilev,75.536
1977,Vitebsk,61.237
1978,Brest,20.400
1978,Gomel,17.193
1978,Grodno,30.601
1978,Minsk,24.242
1978,Mogilev,23.508
1978,Vitebsk,36.183
1979,Brest,36.556
1979,Gomel,50.891
1979,Grodno,35.420
1979,Minsk,35.712
1979,Mogilev,48.881
1979,Vitebsk,34.098
1980,Brest,45.075
1980,Gomel,40.278
1980,Grodno,45.321
1980,Minsk,47.955
1980,Mogilev,37.580
1980,Vitebsk,39.263
1981,Brest,70.756
1981,Gomel,59.563
1981,Grodno,69.192
1981,Minsk,58.960
1981,Mogilev,63.747
1981,Vitebsk,58.656
1982,Brest,31.198
1982,Gomel,33.081
1982,Grodno,35.683
1982,Minsk,26.700
1982,Mogilev,30.376
1982,Vitebsk,31.131
1983,Brest,24.753
1983,Gomel,34.053
1983,Grodno,42.217
1983,Minsk,38.897
1983,Mogilev,39.263
1983,Vitebsk,48.203
1984,Brest,29.557
1984,Gomel,26.498
1984,Grodno,30.865
1984,Minsk,28.653
1984,Mogilev,26.685
1984,Vitebsk,28.151
1985,Brest,30.570
1985,Gomel,51.950
1985,Grodno,36.313
1985,Minsk,43.548
1985,Mogilev,61.181
1985,Vitebsk,49.936
1986,Brest,32.894
1986,Gomel,33.949
1986,Grodno,44.383
1986,Minsk,34.835
1986,Mogilev,28.447
1986,Vitebsk,44.784
1987,Brest,46.875
1987,Gomel,45.926
1987,Grodno,49.372
1987,Minsk,49.985
