year,region,tp_Nov
1940,Brest,42.681
1940,Gomel,40.670
1940,Grodno,56.070
1940,Minsk,53.779
1940,Mogilev,41.827
1940,Vitebsk,59.923
1941,Brest,49.589
1941,Gomel,41.122
1941,Grodno,35.246
1941,Minsk,29.383
1941,Mogilev,25.862
1941,Vitebsk,17.711
1942,Brest,25.443
1942,Gomel,33.442
1942,Grodno,28.992
1942,Minsk,32.493
1942,Mogilev,42.065
1942,Vitebsk,30.351
1943,Brest,72.291
1943,Gomel,53.885
1943,Grodno,74.386
1943,Minsk,69.216
1943,Mogilev,46.202
1943,Vitebsk,67.203
1944,Brest,98.663
1944,Gomel,86.233
1944,Grodno,90.671
1944,Minsk,82.525
1944,Mogilev,84.167
1944,Vitebsk,73.998
1945,Brest,31.783
1945,Gomel,21.914
1945,Grodno,26.295
1945,Minsk,20.801
1945,Mogilev,18.805
1945,Vitebsk,19.146
1946,Brest,38.347
1946,Gomel,42.341
1946,Grodno,18.138
1946,Minsk,21.936
1946,Mogilev,30.717
1946,Vitebsk,15.150
1947,Brest,79.380
1947,Gomel,85.830
1947,Grodno,70.907
1947,Minsk,56.445
1947,Mogilev,90.128
1947,Vitebsk,59.757
1948,Brest,29.361
1948,Gomel,26.511
1948,Grodno,45.612
1948,Minsk,35.806
1948,Mogilev,30.229
1948,Vitebsk,42.411
1949,Brest,38.281
1949,Gomel,50.239
1949,Grodno,40.007
1949,Minsk,37.154
1949,Mogilev,49.380
1949,Vitebsk,35.534
1950,Brest,79.580
1950,Gomel,61.433
1950,Grodno,104.536
1950,Minsk,93.632
1950,Mogilev,71.105
1950,Vitebsk,90.563
1951,Brest,45.797
1951,Gomel,37.248
1951,Grodno,48.430
1951,Minsk,45.870
1951,Mogilev,44.984
1951,Vitebsk,52.562
1952,Brest,75.256
1952,Gomel,78.951
1952,Grodno,79.457
1952,Minsk,86.602
1952,Mogilev,76.645
1952,Vitebsk,77.166
1953,Brest,19.987
1953,Gomel,14.683
1953,Grodno,22.271
1953,Minsk,21.997
1953,Mogilev,23.115
1953,Vitebsk,31.494
1954,Brest,20.818
1954,Gomel,26.313
1954,Grodno,24.949
1954,Minsk,26.752
1954,Mogilev,31.579
1954,Vitebsk,36.530
1955,Brest,36.349
1955,Gomel,31.394
1955,Grodno,43.087
1955,Minsk,37.448
1955,Mogilev,32.187
1955,Vitebsk,41.635
1956,Brest,36.939
1956,Gomel,43.929
1956,Grodno,36.779
1956,Minsk,35.582
1956,Mogilev,40.104
1956,Vitebsk,41.390
1957,Brest,43.314
1957,Gomel,56.697
1957,Grodno,44.706
1957,Minsk,54.551
1957,Mogilev,58.923
1957,Vitebsk,47.375
1958,Brest,31.393
1958,Gomel,22.246
1958,Grodno,33.521
1958,Minsk,31.937
1958,Mogilev,26.367
1958,Vitebsk,34.659
1959,Brest,50.966
1959,Gomel,58.481
1959,Grodno,52.842
1959,Minsk,58.593
1959,Mogilev,46.517
1959,Vitebsk,46.258
1960,Brest,82.830
