year,region,tp_Oct
1955,Brest,32.595
1955,Gomel,27.568
1955,Grodno,30.495
1955,Minsk,36.975
1955,Mogilev,42.618
1955,Vitebsk,38.607
1956,Brest,80.683
1956,Gomel,47.841
1956,Grodno,71.279
1956,Minsk,66.239
1956,Mogilev,50.837
1956,Vitebsk,63.290
1957,Brest,13.597
1957,Gomel,13.037
1957,Grodno,28.290
1957,Minsk,27.101
1957,Mogilev,24.814
1957,Vitebsk,42.319
1958,Brest,49.385
1958,Gomel,87.357
1958,Grodno,61.186
1958,Minsk,59.480
1958,Mogilev,96.363
1958,Vitebsk,77.804
1959,Brest,31.582
1959,Gomel,26.784
1959,Grodno,42.668
1959,Minsk,42.004
1959,Mogilev,33.296
1959,Vitebsk,36.544
1960,Brest,71.967
1960,Gomel,68.721
1960,Grodno,68.291
1960,Minsk,76.497
1960,Mogilev,63.994
1960,Vitebsk,71.332
1961,Brest,3.652
1961,Gomel,8.740
1961,Grodno,4.601
1961,Minsk,5.879
1961,Mogilev,9.061
1961,Vitebsk,12.707
1962,Brest,6.862
1962,Gomel,14.639
1962,Grodno,13.138
1962,Minsk,11.709
1962,Mogilev,25.027
1962,Vitebsk,29.627
1963,Brest,66.010
1963,Gomel,15.171
1963,Grodno,72.402
1963,Minsk,57.383
1963,Mogilev,24.279
1963,Vitebsk,67.447
1964,Brest,31.383
1964,Gomel,39.022
1964,Grodno,43.196
1964,Minsk,49.919
1964,Mogilev,33.199
1964,Vitebsk,51.055
1965,Brest,17.040
1965,Gomel,33.697
1965,Grodno,23.410
1965,Minsk,22.302
1965,Mogilev,30.906
1965,Vitebsk,25.908
1966,Brest,61.977
1966,Gomel,58.860
1966,Grodno,46.955
1966,Minsk,50.410
1966,Mogilev,62.803
1966,Vitebsk,44.430
1967,Brest,52.829
1967,Gomel,29.762
1967,Grodno,68.943
1967,Minsk,64.621
1967,Mogilev,48.567
1967,Vitebsk,67.367
1968,Brest,67.745
1968,Gomel,65.852
1968,Grodno,76.404
1968,Minsk,76.435
1968,Mogilev,73.569
1968,Vitebsk,71.397
1969,Brest,33.320
1969,Gomel,51.335
1969,Grodno,52.337
1969,Minsk,47.729
1969,Mogilev,51.060
1969,Vitebsk,46.123
1970,Brest,71.985
1970,Gomel,97.587
1970,Grodno,74.061
1970,Minsk,80.770
1970,Mogilev,78.137
1970,Vitebsk,59.231
1971,Brest,50.843
1971,Gomel,59.667
1971,Grodno,70.181
1971,Minsk,68.909
1971,Mogilev,79.414
1971,Vitebsk,77.137
1972,Brest,49.483
1972,Gomel,60.146
1972,Grodno,57.034
1972,Minsk,69.466
1972,Mogilev,55.962
1972,Vitebsk,71.705
1973,Brest,66.223
1973,Gomel,64.407
1973,Grodno,52.539
1973,Minsk,63.389
1973,Mogilev,68.581
1973,Vitebsk,48.685
1974,Brest,154.956
1974,Gomel,74.072
1974,Grodno,127.703
1974,Minsk,103.695
1974,Mogilev,71.878
1974,Vitebsk,77.958
1975,Brest,43.125
1975,Gomel,41.951
1975,Grodno,40.132
1975,Minsk,40.871
1975,Mogilev,33.499
1975,Vitebsk,29.584
1976,Brest,24.713
1976,Gomel,32.646
1976,Grodno,42.606
1976,Minsk,49.228
1976,Mogilev,50.410
1976,Vitebsk,53.939
1977,Brest,8.483
1977,Gomel,9.030
1977,Grodno,19.116
1977,Minsk,15.657
1977,Mogilev,18.111
1977,Vitebsk,28.457
1978,Brest,43.918
1978,Gomel,34.456
1978,Grodno,59.793
1978,Minsk,45.622
1978,Mogilev,39.847
1978,Vitebsk,76.188
1979,Brest,10.086
1979,Gomel,23.197
1979,Grodno,6.345
1979,Minsk,11.009
1979,Mogilev,23.330
1979,Vitebsk,12.951
1980,Brest,105.113
1980,Gomel,72.327
1980,Grodno,99.074
1980,Minsk,84.676
1980,Mogilev,60.005
1980,Vitebsk,73.627
1981,Brest,64.599
1981,Gomel,84.627
1981,Grodno,68.540
1981,Minsk,87.711
1981,Mogilev,90.924
1981,Vitebsk,95.143
1982,Brest,37.146
1982,Gomel,35.222
1982,Grodno,32.915
1982,Minsk,41.370
1982,Mogilev,45.386
1982,Vitebsk,42.307
1983,Brest,21.954
1983,Gomel,36.877
1983,Grodno,37.219
1983,Minsk,31.096
1983,Mogilev,29.746
1983,Vitebsk,29.693
1984,Brest,35.124
1984,Gomel,39.738
1984,Grodno,35.877
1984,Minsk,31.834
1984,Mogilev,41.345
1984,Vitebsk,45.657
1985,Brest,36.920
1985,Gomel,27.904
1985,Grodno,44.629
1985,Minsk,49.492
1985,Mogilev,33.263
1985,Vitebsk,61.419
1986,Brest,24.151
1986,Gomel,24.160
1986,Grodno,24.152
1986,Minsk,24.154
1986,Mogilev,24.155
1986,Vitebsk,24.157
1987,Brest,25.180
1987,Gomel,11.570
1987,Grodno,18.755
1987,Minsk,28.156
1987,Mogilev,7.142
1987,Vitebsk,18.767
1988,Brest,9.188
1988,Gomel,21.479
1988,Grodno,14.376
1988,Minsk,13.509
1988,Mogilev,18.612
1988,Vitebsk,20.425
1989,Brest,67.115
1989,Gomel,65.803
1989,Grodno,78.021
1989,Minsk,74.104
1989,Mogilev,69.067
1989,Vitebsk,74.645
1990,Brest,31.562
1990,Gomel,33.183
1990,Grodno,43.817
1990,Minsk,41.692
1990,Mogilev,42.109
1990,Vitebsk,64.637
1991,Brest,24.259
1991,Gomel,70.243
1991,Grodno,23.479
1991,Minsk,26.056
1991,Mogilev,63.662
1991,Vitebsk,27.459
1992,Brest,83.786
1992,Gomel,86.992
1992,Grodno,91.128
1992,Minsk,82.497
1992,Mogilev,115.106
1992,Vitebsk,84.751
1993,Brest,30.366
1993,Gomel,46.275
1993,Grodno,50.584
1993,Minsk,46.839
1993,Mogilev,47.352
1993,Vitebsk,68.259
1994,Brest,63.853
1994,Gomel,49.516
1994,Grodno,45.293
1994,Minsk,44.423
1994,Mogilev,47.084
1994,Vitebsk,37.462
1995,Brest,10.007
1995,Gomel,19.280
1995,Grodno,19.133
1995,Minsk,28.415
1995,Mogilev,24.516
1995,Vitebsk,50.693
1996,Brest,31.363
1996,Gomel,26.219
1996,Grodno,30.639
1996,Minsk,29.190
1996,Mogilev,25.836
1996,Vitebsk,29.918
1997,Brest,61.559
1997,Gomel,49.972
1997,Grodno,82.991
1997,Minsk,70.875
1997,Mogilev,76.778
1997,Vitebsk,108.247
1998,Brest,43.286
1998,Gomel,69.486
1998,Grodno,60.915
1998,Minsk,64.188
1998,Mogilev,89.522
1998,Vitebsk,60.096
1999,Brest,36.108
1999,Gomel,61.239
