year,region,tp_Oct
1940,Brest,42.286
1940,Gomel,31.749
1940,Grodno,24.557
1940,Minsk,27.341
1940,Mogilev,22.805
1940,Vitebsk,26.060
1941,Brest,54.817
1941,Gomel,64.071
1941,Grodno,54.593
1941,Minsk,56.357
1941,Mogilev,64.566
1941,Vitebsk,74.090
1942,Brest,32.681
1942,Gomel,27.975
1942,Grodno,33.504
1942,Minsk,33.104
1942,Mogilev,39.364
1942,Vitebsk,42.396
1943,Brest,6.087
1943,Gomel,22.164
1943,Grodno,8.742
1943,Minsk,20.327
1943,Mogilev,14.874
1943,Vitebsk,15.905
1944,Brest,47.988
1944,Gomel,30.660
1944,Grodno,51.149
1944,Minsk,33.163
1944,Mogilev,25.314
1944,Vitebsk,25.361
1945,Brest,40.040
1945,Gomel,43.290
1945,Grodno,49.325
1945,Minsk,45.174
1945,Mogilev,49.197
1945,Vitebsk,60.371
1946,Brest,50.179
1946,Gomel,44.339
1946,Grodno,40.569
1946,Minsk,47.463
1946,Mogilev,41.012
1946,Vitebsk,31.750
1947,Brest,24.399
1947,Gomel,33.426
1947,Grodno,26.881
1947,Minsk,30.542
1947,Mogilev,35.509
1947,Vitebsk,37.115
1948,Brest,36.975
1948,Gomel,32.346
1948,Grodno,58.281
1948,Minsk,43.549
1948,Mogilev,37.083
1948,Vitebsk,60.117
1949,Brest,10.557
1949,Gomel,16.330
1949,Grodno,20.866
1949,Minsk,19.134
1949,Mogilev,20.905
1949,Vitebsk,26.114
1950,Brest,87.704
1950,Gomel,70.326
1950,Grodno,87.717
1950,Minsk,77.632
1950,Mogilev,48.419
1950,Vitebsk,49.781
1951,Brest,8.074
1951,Gomel,9.639
1951,Grodno,5.848
1951,Minsk,11.032
1951,Mogilev,10.208
1951,Vitebsk,13.083
1952,Brest,100.370
1952,Gomel,107.998
1952,Grodno,102.227
1952,Minsk,93.714
1952,Mogilev,88.655
1952,Vitebsk,85.473
1953,Brest,11.464
1953,Gomel,21.585
1953,Grodno,12.004
1953,Minsk,15.896
1953,Mogilev,20.313
1953,Vitebsk,25.611
1954,Brest,42.275
1954,Gomel,57.973
1954,Grodno,52.957
1954,Minsk,63.509
1954,Mogilev,61.142
1954,Vitebsk,73.922
1955,Brest,27.832
1955,Gomel,16.753
1955,Grodno,33.978
1955,Minsk,31.023
1955,Mogilev,26.327
1955,Vitebsk,41.207
1956,Brest,65.671
1956,Gomel,56.562
1956,Grodno,78.267
1956,Minsk,72.743
1956,Mogilev,64.551
1956,Vitebsk,67.887
1957,Brest,15.944
1957,Gomel,21.684
1957,Grodno,27.151
1957,Minsk,32.587
1957,Mogilev,38.413
1957,Vitebsk,53.548
1958,Brest,44.189
1958,Gomel,97.430
1958,Grodno,37.729
1958,Minsk,55.690
1958,Mogilev,93.383
1958,Vitebsk,77.237
1959,Brest,29.440
1959,Gomel,27.103
1959,Grodno,40.321
1959,Minsk,43.060
1959,Mogilev,39.612
1959,Vitebsk,46.991
1960,Brest,87.858
1960,Gomel,60.428
1960,Grodno,67.875
1960,Minsk,86.675
1960,Mogilev,58.570
1960,Vitebsk,77.512
1961,Brest,6.689
1961,Gomel,9.319
1961,Grodno,11.544
1961,Minsk,8.144
1961,Mogilev,8.779
1961,Vitebsk,16.276
1962,Brest,12.047
1962,Gomel,22.648
1962,Grodno,14.250
1962,Minsk,25.025
1962,Mogilev,33.147
1962,Vitebsk,40.989
1963,Brest,68.423
1963,Gomel,24.172
1963,Grodno,81.738
1963,Minsk,66.987
1963,Mogilev,34.569
1963,Vitebsk,80.950
1964,Brest,34.457
1964,Gomel,49.589
1964,Grodno,53.861
1964,Minsk,61.231
1964,Mogilev,45.250
1964,Vitebsk,65.947
1965,Brest,22.813
1965,Gomel,38.763
1965,Grodno,31.619
1965,Minsk,34.801
1965,Mogilev,38.949
1965,Vitebsk,39.830
1966,Brest,66.759
1966,Gomel,68.838
1966,Grodno,58.008
1966,Minsk,51.379
1966,Mogilev,64.116
1966,Vitebsk,53.169
1967,Brest,67.934
1967,Gomel,48.059
1967,Grodno,82.805
1967,Minsk,78.093
1967,Mogilev,66.589
1967,Vitebsk,78.929
1968,Brest,75.410
1968,Gomel,81.495
1968,Grodno,74.242
1968,Minsk,82.359
1968,Mogilev,96.469
1968,Vitebsk,89.436
1969,Brest,44.948
1969,Gomel,57.186
1969,Grodno,50.217
1969,Minsk,45.108
1969,Mogilev,49.636
1969,Vitebsk,45.584
1970,Brest,81.011
1970,Gomel,99.906
1970,Grodno,93.901
1970,Minsk,93.318
1970,Mogilev,90.264
1970,Vitebsk,84.881
1971,Brest,74.126
1971,Gomel,76.370
1971,Grodno,89.162
1971,Minsk,100.538
1971,Mogilev,107.496
1971,Vitebsk,96.239
1972,Brest,73.773
1972,Gomel,87.921
1972,Grodno,72.417
1972,Minsk,80.620
1972,Mogilev,87.634
1972,Vitebsk,94.793
1973,Brest,82.797
1973,Gomel,68.268
1973,Grodno,65.873
1973,Minsk,81.442
1973,Mogilev,83.925
1973,Vitebsk,62.426
1974,Brest,183.446
1974,Gomel,82.329
1974,Grodno,173.215
1974,Minsk,121.462
1974,Mogilev,80.927
1974,Vitebsk,106.459
1975,Brest,43.119
1975,Gomel,45.389
1975,Grodno,47.202
1975,Minsk,46.239
1975,Mogilev,36.240
1975,Vitebsk,32.767
1976,Brest,32.627
1976,Gomel,47.061
1976,Grodno,42.881
1976,Minsk,58.619
1976,Mogilev,63.286
1976,Vitebsk,61.257
1977,Brest,17.034
1977,Gomel,17.653
1977,Grodno,25.023
1977,Minsk,24.505
1977,Mogilev,24.776
1977,Vitebsk,36.172
1978,Brest,54.157
1978,Gomel,45.085
1978,Grodno,66.168
1978,Minsk,58.187
1978,Mogilev,57.186
1978,Vitebsk,91.325
1979,Brest,14.944
1979,Gomel,27.437
1979,Grodno,8.816
1979,Minsk,14.334
1979,Mogilev,27.258
1979,Vitebsk,16.523
1980,Brest,107.614
1980,Gomel,90.787
1980,Grodno,122.868
1980,Minsk,111.971
1980,Mogilev,88.711
1980,Vitebsk,103.733
1981,Brest,75.549
1981,Gomel,111.125
1981,Grodno,67.166
1981,Minsk,98.768
1981,Mogilev,114.093
1981,Vitebsk,107.213
1982,Brest,41.203
1982,Gomel,45.186
1982,Grodno,31.373
1982,Minsk,43.895
1982,Mogilev,60.776
1982,Vitebsk,44.477
1983,Brest,33.523
1983,Gomel,41.759
1983,Grodno,40.701
1983,Minsk,37.314
1983,Mogilev,40.203
1983,Vitebsk,44.351
1984,Brest,43.970
1984,Gomel,47.570
1984,Grodno,45.084
1984,Minsk,47.558
1984,Mogilev,47.333
1984,Vitebsk,64.131
1985,Brest,47.184
1985,Gomel,38.508
1985,Grodno,47.604
1985,Minsk,60.207
1985,Mogilev,43.910
