year,region,tp_Sep
1955,Brest,35.360
1955,Gomel,63.200
1955,Grodno,53.795
1955,Minsk,68.595
1955,Mogilev,75.253
1955,Vitebsk,110.647
1956,Brest,50.104
1956,Gomel,59.311
1956,Grodno,38.622
1956,Minsk,44.129
1956,Mogilev,35.292
1956,Vitebsk,31.380
1957,Brest,115.369
1957,Gomel,121.494
1957,Grodno,138.916
1957,Minsk,136.870
1957,Mogilev,127.528
1957,Vitebsk,134.271
1958,Brest,41.191
1958,Gomel,63.846
1958,Grodno,27.501
1958,Minsk,31.593
1958,Mogilev,56.875
1958,Vitebsk,30.151
1959,Brest,33.668
1959,Gomel,39.685
1959,Grodno,47.711
1959,Minsk,45.661
1959,Mogilev,56.575
1959,Vitebsk,53.880
1960,Brest,48.019
1960,Gomel,37.267
1960,Grodno,55.493
1960,Minsk,58.721
1960,Mogilev,63.189
1960,Vitebsk,66.816
1961,Brest,22.407
1961,Gomel,31.934
1961,Grodno,47.041
1961,Minsk,40.896
1961,Mogilev,51.402
1961,Vitebsk,73.890
1962,Brest,52.904
1962,Gomel,36.665
1962,Grodno,74.012
1962,Minsk,59.237
1962,Mogilev,47.933
1962,Vitebsk,67.249
1963,Brest,57.104
1963,Gomel,41.136
1963,Grodno,42.419
1963,Minsk,34.938
1963,Mogilev,45.642
1963,Vitebsk,39.557
1964,Brest,54.777
1964,Gomel,58.630
1964,Grodno,66.677
1964,Minsk,76.724
1964,Mogilev,72.610
1964,Vitebsk,61.740
1965,Brest,34.859
1965,Gomel,19.857
1965,Grodno,41.723
1965,Minsk,50.036
1965,Mogilev,30.152
1965,Vitebsk,43.949
1966,Brest,28.850
1966,Gomel,24.134
1966,Grodno,40.840
1966,Minsk,30.974
1966,Mogilev,33.444
1966,Vitebsk,41.410
1967,Brest,15.760
1967,Gomel,13.121
1967,Grodno,24.537
1967,Minsk,24.055
1967,Mogilev,14.235
1967,Vitebsk,37.912
1968,Brest,46.803
1968,Gomel,56.801
1968,Grodno,38.996
1968,Minsk,37.959
1968,Mogilev,27.190
1968,Vitebsk,43.115
1969,Brest,29.403
1969,Gomel,24.005
1969,Grodno,40.634
1969,Minsk,38.868
1969,Mogilev,38.429
1969,Vitebsk,52.717
1970,Brest,78.132
1970,Gomel,54.455
1970,Grodno,74.807
1970,Minsk,64.002
1970,Mogilev,71.760
1970,Vitebsk,72.222
1971,Brest,65.559
1971,Gomel,79.499
