year,region,tp_Sep
1940,Brest,58.411
1940,Gomel,49.209
1940,Grodno,88.771
1940,Minsk,68.743
1940,Mogilev,79.408
1940,Vitebsk,100.153
1941,Brest,62.017
1941,Gomel,71.391
1941,Grodno,30.001
1941,Minsk,68.941
1941,Mogilev,67.064
1941,Vitebsk,47.066
1942,Brest,26.104
1942,Gomel,18.876
1942,Grodno,39.205
1942,Minsk,42.871
1942,Mogilev,33.039
1942,Vitebsk,52.176
1943,Brest,96.307
1943,Gomel,39.832
1943,Grodno,81.895
1943,Minsk,64.718
1943,Mogilev,31.199
1943,Vitebsk,58.387
1944,Brest,34.247
1944,Gomel,25.407
1944,Grodno,42.853
1944,Minsk,28.131
1944,Mogilev,21.278
1944,Vitebsk,29.438
1945,Brest,56.262
1945,Gomel,34.779
1945,Grodno,68.917
1945,Minsk,56.673
1945,Mogilev,50.633
1945,Vitebsk,83.281
1946,Brest,34.164
1946,Gomel,33.474
1946,Grodno,53.838
1946,Minsk,50.754
1946,Mogilev,54.941
1946,Vitebsk,74.443
1947,Brest,25.582
1947,Gomel,28.226
1947,Grodno,25.846
1947,Minsk,38.786
1947,Mogilev,41.757
1947,Vitebsk,45.542
1948,Brest,29.928
1948,Gomel,30.846
1948,Grodno,44.966
1948,Minsk,46.951
1948,Mogilev,45.292
1948,Vitebsk,70.590
1949,Brest,15.581
1949,Gomel,14.567
1949,Grodno,13.204
1949,Minsk,11.949
1949,Mogilev,17.144
1949,Vitebsk,12.551
1950,Brest,48.814
1950,Gomel,47.379
1950,Grodno,57.981
1950,Minsk,45.621
1950,Mogilev,49.308
1950,Vitebsk,63.004
1951,Brest,23.890
1951,Gomel,27.538
1951,Grodno,24.906
1951,Minsk,17.491
1951,Mogilev,20.311
1951,Vitebsk,20.610
1952,Brest,105.434
1952,Gomel,73.373
1952,Grodno,132.602
1952,Minsk,105.740
1952,Mogilev,83.830
1952,Vitebsk,129.674
1953,Brest,31.409
1953,Gomel,32.712
1953,Grodno,51.052
