year,region,tp_annual
1955,Brest,632.659
1955,Gomel,536.818
1955,Grodno,666.971
1955,Minsk,640.079
1955,Mogilev,595.711
1955,Vitebsk,627.039
1956,Brest,658.939
1956,Gomel,658.939
1956,Grodno,658.939
1956,Minsk,658.939
1956,Mogilev,658.939
1956,Vitebsk,658.939
1957,Brest,577.213
1957,Gomel,584.931
1957,Grodno,680.726
1957,Minsk,660.587
1957,Mogilev,691.530
1957,Vitebsk,735.643
1958,Brest,723.605
1958,Gomel,723.605
1958,Grodno,723.605
1958,Minsk,723.605
1958,Mogilev,723.605
1958,Vitebsk,723.605
1959,Brest,511.847
1959,Gomel,463.270
1959,Grodno,527.678
1959,Minsk,533.802
1959,Mogilev,464.510
1959,Vitebsk,470.989
1960,Brest,712.515
1960,Gomel,535.506
1960,Grodno,802.440
1960,Minsk,743.992
1960,Mogilev,607.108
1960,Vitebsk,702.946
1961,Brest,397.112
1961,Gomel,502.036
1961,Grodno,513.526
1961,Minsk,531.857
1961,Mogilev,554.295
1961,Vitebsk,621.956
1962,Brest,645.292
1962,Gomel,682.003
1962,Grodno,715.415
1962,Minsk,747.061
1962,Mogilev,757.375
1962,Vitebsk,799.703
1963,Brest,504.395
1963,Gomel,411.009
1963,Grodno,562.669
1963,Minsk,553.775
1963,Mogilev,511.829
1963,Vitebsk,566.803
1964,Brest,554.560
1964,Gomel,554.560
1964,Grodno,554.560
1964,Minsk,554.560
1964,Mogilev,554.560
1964,Vitebsk,554.560
1965,Brest,565.177
1965,Gomel,581.262
1965,Grodno,604.020
1965,Minsk,599.894
1965,Mogilev,571.808
1965,Vitebsk,594.134
1966,Brest,666.215
1966,Gomel,685.424
1966,Grodno,692.773
1966,Minsk,706.033
1966,Mogilev,672.925
1966,Vitebsk,723.139
1967,Brest,635.654
1967,Gomel,645.838
1967,Grodno,675.760
1967,Minsk,688.838
1967,Mogilev,645.217
1967,Vitebsk,680.413
1968,Brest,653.912
1968,Gomel,613.825
1968,Grodno,626.076
1968,Minsk,629.772
1968,Mogilev,575.459
1968,Vitebsk,617.388
1969,Brest,526.377
1969,Gomel,690.895
1969,Grodno,607.089
1969,Minsk,608.662
1969,Mogilev,683.205
1969,Vitebsk,596.807
1970,Brest,785.323
1970,Gomel,755.357
1970,Grodno,763.900
1970,Minsk,743.456
1970,Mogilev,708.798
1970,Vitebsk,690.690
1971,Brest,512.067
1971,Gomel,624.870
1971,Grodno,548.057
1971,Minsk,549.432
1971,Mogilev,597.921
1971,Vitebsk,603.244
1972,Brest,606.720
1972,Gomel,555.316
1972,Grodno,640.126
1972,Minsk,635.791
1972,Mogilev,515.767
1972,Vitebsk,584.508
1973,Brest,637.171
1973,Gomel,609.911
1973,Grodno,663.044
1973,Minsk,710.918
1973,Mogilev,660.335
1973,Vitebsk,615.862
1974,Brest,730.215
1974,Gomel,670.132
1974,Grodno,745.408
1974,Minsk,720.401
1974,Mogilev,657.893
1974,Vitebsk,610.985
1975,Brest,546.628
1975,Gomel,530.424
1975,Grodno,560.317
1975,Minsk,548.935
1975,Mogilev,485.134
1975,Vitebsk,532.478
1976,Brest,511.372
1976,Gomel,507.801
1976,Grodno,520.858
1976,Minsk,523.372
1976,Mogilev,478.994
1976,Vitebsk,534.886
1977,Brest,705.761
1977,Gomel,698.275
1977,Grodno,743.600
1977,Minsk,743.843
1977,Mogilev,681.519
1977,Vitebsk,673.030
1978,Brest,598.983
1978,Gomel,545.461
1978,Grodno,692.042
1978,Minsk,669.286
1978,Mogilev,583.419
1978,Vitebsk,739.746
1979,Brest,586.913
1979,Gomel,544.498
1979,Grodno,574.959
1979,Minsk,579.427
1979,Mogilev,557.687
1979,Vitebsk,614.060
1980,Brest,731.643
1980,Gomel,781.307
1980,Grodno,790.745
1980,Minsk,704.251
1980,Mogilev,697.145
1980,Vitebsk,671.511
1981,Brest,630.287
1981,Gomel,653.367
1981,Grodno,652.916
1981,Minsk,672.504
1981,Mogilev,642.122
1981,Vitebsk,679.481
1982,Brest,544.011
1982,Gomel,556.755
1982,Grodno,569.295
1982,Minsk,620.436
1982,Mogilev,549.879
1982,Vitebsk,607.374
1983,Brest,568.797
1983,Gomel,556.508
1983,Grodno,596.270
1983,Minsk,580.573
1983,Mogilev,555.253
1983,Vitebsk,587.414
1984,Brest,558.221
1984,Gomel,581.055
1984,Grodno,606.368
1984,Minsk,581.604
1984,Mogilev,599.720
1984,Vitebsk,610.537
1985,Brest,613.453
1985,Gomel,634.981
1985,Grodno,735.243
1985,Minsk,654.773
1985,Mogilev,722.343
1985,Vitebsk,747.725
1986,Brest,560.139
1986,Gomel,555.532
1986,Grodno,631.510
1986,Minsk,585.214
1986,Mogilev,584.783
1986,Vitebsk,635.788
1987,Brest,583.267
1987,Gomel,571.092
1987,Grodno,636.556
1987,Minsk,607.488
1987,Mogilev,609.689
1987,Vitebsk,713.523
1988,Brest,689.879
1988,Gomel,615.144
1988,Grodno,693.459
1988,Minsk,658.606
1988,Mogilev,634.857
1988,Vitebsk,691.802
1989,Brest,557.761
1989,Gomel,607.562
1989,Grodno,684.805
1989,Minsk,707.879
1989,Mogilev,665.054
1989,Vitebsk,773.566
1990,Brest,665.411
1990,Gomel,733.611
1990,Grodno,749.178
1990,Minsk,703.344
1990,Mogilev,694.438
1990,Vitebsk,826.589
1991,Brest,515.011
1991,Gomel,579.591
1991,Grodno,542.419
1991,Minsk,518.297
1991,Mogilev,579.118
1991,Vitebsk,606.915
1992,Brest,605.165
1992,Gomel,541.400
1992,Grodno,631.956
1992,Minsk,575.118
1992,Mogilev,527.986
1992,Vitebsk,620.112
1993,Brest,625.141
1993,Gomel,702.248
1993,Grodno,706.860
1993,Minsk,684.631
1993,Mogilev,641.197
1993,Vitebsk,706.286
1994,Brest,601.412
1994,Gomel,603.087
1994,Grodno,662.839
1994,Minsk,658.657
1994,Mogilev,556.037
1994,Vitebsk,664.676
1995,Brest,542.736
1995,Gomel,569.180
1995,Grodno,620.582
1995,Minsk,569.390
1995,Mogilev,622.104
1995,Vitebsk,710.765
1996,Brest,576.791
1996,Gomel,657.762
1996,Grodno,584.221
1996,Minsk,595.883
1996,Mogilev,531.053
1996,Vitebsk,577.651
1997,Brest,622.472
1997,Gomel,662.368
1997,Grodno,648.937
1997,Minsk,672.047
1997,Mogilev,646.179
1997,Vitebsk,706.901
1998,Brest,702.225
1998,Gomel,804.215
1998,Grodno,787.824
1998,Minsk,886.684
1998,Mogilev,872.230
1998,Vitebsk,857.808
1999,Brest,589.400
1999,Gomel,634.060
1999,Grodno,550.358
1999,Minsk,526.816
1999,Mogilev,572.625
1999,Vitebsk,529.578
2000,Brest,630.650
2000,Gomel,661.429
2000,Grodno,632.163
2000,Minsk,629.122
2000,Mogilev,685.593
2000,Vitebsk,685.436
2001,Brest,642.521
2001,Gomel,663.014
2001,Grodno,656.514
2001,Minsk,670.693
2001,Mogilev,642.065
2001,Vitebsk,725.359
2002,Brest,543.190
2002,Gomel,542.569
2002,Grodno,548.156
2002,Minsk,542.335
2002,Mogilev,540.475
2002,Vitebsk,537.958
2003,Brest,526.049
2003,Gomel,632.703
2003,Grodno,626.499
2003,Minsk,613.316
2003,Mogilev,620.773
2003,Vitebsk,679.708
2004,Brest,641.111
2004,Gomel,705.325
2004,Grodno,697.595
2004,Minsk,733.198
2004,Mogilev,642.482
2004,Vitebsk,711.403
2005,Brest,577.313
2005,Gomel,627.363
2005,Grodno,705.327
2005,Minsk,679.623
2005,Mogilev,651.962
2005,Vitebsk,660.865
2006,Brest,599.958
2006,Gomel,642.559
2006,Grodno,634.692
2006,Minsk,645.157
2006,Mogilev,633.484
2006,Vitebsk,691.417
2007,Brest,635.639
2007,Gomel,642.563
2007,Grodno,669.529
2007,Minsk,595.000
2007,Mogilev,647.655
2007,Vitebsk,656.671
2008,Brest,689.553
2008,Gomel,687.632
2008,Grodno,693.409
2008,Minsk,702.686
2008,Mogilev,659.494
2008,Vitebsk,705.756
2009,Brest,747.506
2009,Gomel,807.410
2009,Grodno,779.508
2009,Minsk,812.530
2009,Mogilev,863.257
2009,Vitebsk,836.928
2010,Brest,732.104
2010,Gomel,654.136
2010,Grodno,785.935
2010,Minsk,756.965
2010,Mogilev,659.550
2010,Vitebsk,766.248
2011,Brest,563.849
2011,Gomel,591.802
2011,Grodno,610.633
2011,Minsk,584.085
2011,Mogilev,586.112
2011,Vitebsk,592.288
2012,Brest,656.725
2012,Gomel,845.125
2012,Grodno,751.210
2012,Minsk,769.367
2012,Mogilev,825.925
2012,Vitebsk,798.208
2013,Brest,699.721
2013,Gomel,660.667
2013,Grodno,692.295
2013,Minsk,663.848
2013,Mogilev,649.468
2013,Vitebsk,673.665
2014,Brest,544.556
2014,Gomel,535.019
2014,Grodno,584.538
2014,Minsk,573.082
2014,Mogilev,509.848
2014,Vitebsk,611.940
2015,Brest,514.153
2015,Gomel,509.714
2015,Grodno,557.555
2015,Minsk,562.695
2015,Mogilev,502.667
2015,Vitebsk,550.384
2016,Brest,711.598
2016,Gomel,711.602
2016,Grodno,711.618
2016,Minsk,711.606
2016,Mogilev,711.593
2016,Vitebsk,711.611
2017,Brest,707.487
2017,Gomel,697.517
2017,Grodno,798.678
2017,Minsk,789.052
2017,Mogilev,736.121
2017,Vitebsk,810.326
2018,Brest,526.672
2018,Gomel,598.717
2018,Grodno,550.033
2018,Minsk,593.761
2018,Mogilev,611.335
2018,Vitebsk,570.948
2019,Brest,548.073
2019,Gomel,537.920
2019,Grodno,553.082
2019,Minsk,569.021
2019,Mogilev,552.759
2019,Vitebsk,590.207
2020,Brest,538.777
2020,Gomel,534.286
2020,Grodno,516.149
2020,Minsk,591.613
2020,Mogilev,663.547
2020,Vitebsk,670.336
