year,region,tp_cold
1955,Brest,192.576
1955,Gomel,180.892
1955,Grodno,223.071
1955,Minsk,210.662
1955,Mogilev,203.699
1955,Vitebsk,190.906
1956,Brest,162.960
1956,Gomel,155.379
1956,Grodno,179.238
1956,Minsk,161.932
1956,Mogilev,161.400
1956,Vitebsk,157.046
1957,Brest,232.949
1957,Gomel,213.954
1957,Grodno,264.584
1957,Minsk,264.749
1957,Mogilev,243.295
1957,Vitebsk,221.012
1958,Brest,152.318
1958,Gomel,136.849
1958,Grodno,169.116
1958,Minsk,196.024
1958,Mogilev,139.737
1958,Vitebsk,195.692
1959,Brest,163.240
1959,Gomel,167.012
1959,Grodno,174.714
1959,Minsk,177.175
1959,Mogilev,164.496
1959,Vitebsk,165.682
1960,Brest,206.612
1960,Gomel,203.325
1960,Grodno,241.672
1960,Minsk,230.592
1960,Mogilev,217.757
1960,Vitebsk,229.543
1961,Brest,194.479
1961,Gomel,194.367
1961,Grodno,193.549
1961,Minsk,193.382
1961,Mogilev,193.536
1961,Vitebsk,193.144
1962,Brest,166.606
1962,Gomel,205.646
1962,Grodno,162.806
1962,Minsk,201.781
1962,Mogilev,178.143
1962,Vitebsk,193.386
1963,Brest,166.855
1963,Gomel,163.132
1963,Grodno,187.916
1963,Minsk,193.213
1963,Mogilev,180.831
1963,Vitebsk,180.628
1964,Brest,210.507
1964,Gomel,195.130
1964,Grodno,230.201
1964,Minsk,230.415
1964,Mogilev,210.714
1964,Vitebsk,233.674
1965,Brest,248.331
1965,Gomel,278.027
1965,Grodno,258.801
1965,Minsk,271.364
1965,Mogilev,250.724
1965,Vitebsk,272.170
1966,Brest,242.434
1966,Gomel,279.912
1966,Grodno,243.488
1966,Minsk,242.651
1966,Mogilev,260.398
1966,Vitebsk,209.964
1967,Brest,219.107
1967,Gomel,220.578
1967,Grodno,230.120
1967,Minsk,235.648
1967,Mogilev,211.356
1967,Vitebsk,240.267
1968,Brest,128.168
1968,Gomel,173.358
1968,Grodno,120.892
1968,Minsk,134.587
1968,Mogilev,152.958
1968,Vitebsk,131.586
1969,Brest,248.178
1969,Gomel,297.633
1969,Grodno,267.067
1969,Minsk,274.975
1969,Mogilev,289.177
1969,Vitebsk,268.047
1970,Brest,211.905
1970,Gomel,216.138
1970,Grodno,213.337
1970,Minsk,215.686
1970,Mogilev,210.924
1970,Vitebsk,216.064
1971,Brest,131.040
1971,Gomel,153.837
1971,Grodno,149.932
1971,Minsk,158.514
1971,Mogilev,134.488
1971,Vitebsk,149.284
1972,Brest,161.188
1972,Gomel,172.649
1972,Grodno,181.661
1972,Minsk,185.564
1972,Mogilev,168.105
1972,Vitebsk,201.130
1973,Brest,134.459
1973,Gomel,121.683
1973,Grodno,157.904
1973,Minsk,143.132
1973,Mogilev,120.652
1973,Vitebsk,156.470
1974,Brest,168.760
1974,Gomel,214.584
1974,Grodno,213.677
1974,Minsk,224.166
1974,Mogilev,215.119
1974,Vitebsk,262.209
1975,Brest,159.848
1975,Gomel,164.807
1975,Grodno,171.113
1975,Minsk,174.631
1975,Mogilev,154.557
1975,Vitebsk,173.658
1976,Brest,154.970
1976,Gomel,154.782
1976,Grodno,159.546
1976,Minsk,151.510
1976,Mogilev,160.076
1976,Vitebsk,157.768
1977,Brest,200.292
1977,Gomel,188.066
1977,Grodno,211.723
1977,Minsk,192.106
1977,Mogilev,196.006
1977,Vitebsk,201.298
1978,Brest,221.003
1978,Gomel,206.393
1978,Grodno,212.421
1978,Minsk,203.559
1978,Mogilev,194.127
1978,Vitebsk,196.866
1979,Brest,176.383
1979,Gomel,179.102
1979,Grodno,199.563
1979,Minsk,188.369
1979,Mogilev,189.376
1979,Vitebsk,178.287
1980,Brest,180.021
1980,Gomel,194.421
1980,Grodno,206.980
1980,Minsk,201.966
1980,Mogilev,186.946
1980,Vitebsk,199.148
1981,Brest,220.042
1981,Gomel,198.526
1981,Grodno,229.708
1981,Minsk,218.601
1981,Mogilev,196.199
1981,Vitebsk,214.118
1982,Brest,258.484
1982,Gomel,233.595
1982,Grodno,275.221
1982,Minsk,263.163
1982,Mogilev,217.417
1982,Vitebsk,253.917
1983,Brest,135.245
1983,Gomel,143.392
1983,Grodno,168.125
1983,Minsk,164.743
1983,Mogilev,156.509
1983,Vitebsk,197.484
1984,Brest,144.187
1984,Gomel,143.813
1984,Grodno,154.190
1984,Minsk,150.710
1984,Mogilev,153.791
1984,Vitebsk,166.795
1985,Brest,188.557
1985,Gomel,174.074
1985,Grodno,206.580
1985,Minsk,192.713
1985,Mogilev,196.102
1985,Vitebsk,210.265
1986,Brest,159.232
1986,Gomel,175.030
1986,Grodno,174.407
1986,Minsk,173.713
1986,Mogilev,166.259
1986,Vitebsk,209.703
1987,Brest,224.349
1987,Gomel,196.498
1987,Grodno,238.808
1987,Minsk,216.036
1987,Mogilev,200.251
1987,Vitebsk,230.049
1988,Brest,182.822
1988,Gomel,200.472
1988,Grodno,234.721
1988,Minsk,216.927
1988,Mogilev,215.509
1988,Vitebsk,248.270
1989,Brest,162.065
1989,Gomel,160.660
1989,Grodno,214.442
1989,Minsk,202.687
1989,Mogilev,204.157
1989,Vitebsk,266.990
1990,Brest,170.478
1990,Gomel,161.475
1990,Grodno,188.500
1990,Minsk,190.548
1990,Mogilev,161.996
1990,Vitebsk,209.674
1991,Brest,155.676
1991,Gomel,152.853
1991,Grodno,203.315
1991,Minsk,177.145
1991,Mogilev,165.475
1991,Vitebsk,222.356
1992,Brest,204.193
1992,Gomel,223.007
1992,Grodno,222.643
1992,Minsk,221.307
1992,Mogilev,205.998
1992,Vitebsk,227.263
1993,Brest,224.645
1993,Gomel,200.610
1993,Grodno,254.634
1993,Minsk,243.708
1993,Mogilev,183.328
1993,Vitebsk,231.874
1994,Brest,219.048
1994,Gomel,200.953
1994,Grodno,258.401
1994,Minsk,221.874
1994,Mogilev,192.372
1994,Vitebsk,239.020
1995,Brest,155.205
1995,Gomel,150.183
1995,Grodno,160.356
1995,Minsk,175.924
1995,Mogilev,129.236
1995,Vitebsk,153.910
1996,Brest,136.887
1996,Gomel,198.629
1996,Grodno,181.069
1996,Minsk,198.266
1996,Mogilev,187.657
1996,Vitebsk,220.142
1997,Brest,217.994
1997,Gomel,211.446
1997,Grodno,218.429
1997,Minsk,211.454
1997,Mogilev,179.359
1997,Vitebsk,231.870
1998,Brest,194.615
1998,Gomel,210.691
1998,Grodno,209.259
1998,Minsk,233.059
1998,Mogilev,198.516
1998,Vitebsk,232.039
1999,Brest,202.580
1999,Gomel,207.978
1999,Grodno,220.658
1999,Minsk,209.021
1999,Mogilev,188.334
1999,Vitebsk,218.568
2000,Brest,199.064
2000,Gomel,249.417
2000,Grodno,207.193
2000,Minsk,223.781
2000,Mogilev,248.513
2000,Vitebsk,251.282
2001,Brest,187.729
2001,Gomel,188.382
2001,Grodno,235.267
2001,Minsk,210.779
2001,Mogilev,186.983
2001,Vitebsk,250.950
2002,Brest,134.423
2002,Gomel,132.014
2002,Grodno,127.305
2002,Minsk,129.248
2002,Mogilev,126.595
2002,Vitebsk,123.945
2003,Brest,203.628
2003,Gomel,240.747
2003,Grodno,256.069
2003,Minsk,254.242
2003,Mogilev,246.834
2003,Vitebsk,280.280
2004,Brest,212.465
2004,Gomel,238.463
2004,Grodno,218.634
2004,Minsk,224.065
2004,Mogilev,221.977
2004,Vitebsk,218.944
2005,Brest,189.445
2005,Gomel,223.396
2005,Grodno,190.093
2005,Minsk,173.858
2005,Mogilev,191.706
2005,Vitebsk,163.171
2006,Brest,197.800
2006,Gomel,164.958
2006,Grodno,230.603
2006,Minsk,201.675
2006,Mogilev,175.068
2006,Vitebsk,232.230
2007,Brest,186.215
2007,Gomel,221.990
2007,Grodno,224.566
2007,Minsk,214.865
2007,Mogilev,221.633
2007,Vitebsk,250.317
2008,Brest,189.615
2008,Gomel,211.215
2008,Grodno,197.939
2008,Minsk,191.230
2008,Mogilev,211.621
2008,Vitebsk,206.115
2009,Brest,213.753
2009,Gomel,233.603
2009,Grodno,238.313
2009,Minsk,235.418
2009,Mogilev,248.492
2009,Vitebsk,271.027
2010,Brest,222.928
2010,Gomel,249.645
2010,Grodno,221.379
2010,Minsk,211.635
2010,Mogilev,230.034
2010,Vitebsk,250.413
2011,Brest,144.335
2011,Gomel,215.424
2011,Grodno,206.299
2011,Minsk,210.250
2011,Mogilev,224.829
2011,Vitebsk,241.665
2012,Brest,233.052
2012,Gomel,299.143
2012,Grodno,247.933
2012,Minsk,262.948
2012,Mogilev,237.786
2012,Vitebsk,251.162
2013,Brest,170.629
2013,Gomel,179.490
2013,Grodno,204.426
2013,Minsk,208.580
2013,Mogilev,209.775
2013,Vitebsk,216.113
2014,Brest,156.847
2014,Gomel,151.785
2014,Grodno,165.899
2014,Minsk,160.216
2014,Mogilev,159.465
2014,Vitebsk,174.183
2015,Brest,254.972
2015,Gomel,267.609
2015,Grodno,276.162
2015,Minsk,258.150
2015,Mogilev,257.531
2015,Vitebsk,256.307
2016,Brest,224.391
2016,Gomel,216.498
2016,Grodno,248.143
2016,Minsk,234.124
2016,Mogilev,204.051
2016,Vitebsk,242.493
2017,Brest,175.185
2017,Gomel,288.992
2017,Grodno,185.415
2017,Minsk,229.236
2017,Mogilev,275.028
2017,Vitebsk,232.752
2018,Brest,170.621
2018,Gomel,167.288
2018,Grodno,184.439
2018,Minsk,182.646
2018,Mogilev,171.925
2018,Vitebsk,176.340
2019,Brest,161.945
2019,Gomel,158.505
2019,Grodno,195.333
2019,Minsk,208.362
2019,Mogilev,197.781
2019,Vitebsk,240.525
