year,region,tp_cold
1940,Brest,197.040
1940,Gomel,198.074
1940,Grodno,219.350
1940,Minsk,209.509
1940,Mogilev,189.031
1940,Vitebsk,223.214
1941,Brest,169.231
1941,Gomel,163.597
1941,Grodno,159.020
1941,Minsk,143.213
1941,Mogilev,141.665
1941,Vitebsk,145.048
1942,Brest,156.770
1942,Gomel,172.899
1942,Grodno,190.550
1942,Minsk,176.383
1942,Mogilev,169.547
1942,Vitebsk,166.516
1943,Brest,239.428
1943,Gomel,237.665
1943,Grodno,235.539
1943,Minsk,235.542
1943,Mogilev,236.868
1943,Vitebsk,239.784
1944,Brest,230.697
1944,Gomel,228.767
1944,Grodno,234.125
1944,Minsk,227.530
1944,Mogilev,244.665
1944,Vitebsk,234.135
1945,Brest,189.745
1945,Gomel,179.515
1945,Grodno,214.107
1945,Minsk,188.115
1945,Mogilev,176.745
1945,Vitebsk,189.812
1946,Brest,194.465
1946,Gomel,204.215
1946,Grodno,155.116
1946,Minsk,181.913
1946,Mogilev,209.433
1946,Vitebsk,167.868
1947,Brest,275.240
1947,Gomel,276.051
1947,Grodno,268.150
1947,Minsk,249.562
1947,Mogilev,278.229
1947,Vitebsk,277.409
1948,Brest,170.686
1948,Gomel,164.113
1948,Grodno,197.628
1948,Minsk,181.828
1948,Mogilev,185.049
1948,Vitebsk,190.217
1949,Brest,177.635
1949,Gomel,194.004
1949,Grodno,196.401
1949,Minsk,176.306
1949,Mogilev,193.961
1949,Vitebsk,196.010
1950,Brest,262.569
1950,Gomel,231.982
1950,Grodno,301.276
1950,Minsk,287.050
1950,Mogilev,263.246
1950,Vitebsk,301.172
1951,Brest,206.340
1951,Gomel,189.338
1951,Grodno,221.480
1951,Minsk,204.848
1951,Mogilev,201.472
1951,Vitebsk,225.458
1952,Brest,220.938
1952,Gomel,218.346
1952,Grodno,232.284
1952,Minsk,225.048
1952,Mogilev,215.250
1952,Vitebsk,228.835
1953,Brest,109.521
1953,Gomel,102.892
1953,Grodno,125.851
1953,Minsk,112.853
1953,Mogilev,118.378
1953,Vitebsk,129.666
1954,Brest,205.087
1954,Gomel,210.572
1954,Grodno,221.317
1954,Minsk,218.242
