year,region,tp_fall
1955,Brest,100.859
1955,Gomel,118.030
1955,Grodno,122.129
1955,Minsk,139.793
1955,Mogilev,146.825
1955,Vitebsk,182.999
1956,Brest,155.747
1956,Gomel,140.792
1956,Grodno,145.878
1956,Minsk,144.588
1956,Mogilev,119.257
1956,Vitebsk,123.055
1957,Brest,158.276
1957,Gomel,174.601
1957,Grodno,208.003
1957,Minsk,204.739
1957,Mogilev,192.491
1957,Vitebsk,207.836
1958,Brest,123.710
1958,Gomel,162.387
1958,Grodno,120.392
1958,Minsk,124.610
1958,Mogilev,169.261
1958,Vitebsk,141.317
1959,Brest,115.276
1959,Gomel,125.189
1959,Grodno,132.920
1959,Minsk,138.706
1959,Mogilev,128.761
1959,Vitebsk,129.967
1960,Brest,210.662
1960,Gomel,176.191
1960,Grodno,212.662
1960,Minsk,214.483
1960,Mogilev,189.529
1960,Vitebsk,207.652
1961,Brest,79.775
1961,Gomel,92.093
1961,Grodno,83.935
1961,Minsk,81.172
1961,Mogilev,101.785
1961,Vitebsk,118.927
1962,Brest,117.168
1962,Gomel,130.665
1962,Grodno,139.628
1962,Minsk,143.429
1962,Mogilev,135.556
1962,Vitebsk,167.746
1963,Brest,165.706
1963,Gomel,104.015
1963,Grodno,192.552
1963,Minsk,166.098
1963,Mogilev,133.458
1963,Vitebsk,191.791
1964,Brest,140.466
1964,Gomel,137.346
1964,Grodno,183.629
1964,Minsk,192.085
1964,Mogilev,159.208
1964,Vitebsk,178.534
1965,Brest,100.305
1965,Gomel,93.672
1965,Grodno,110.309
1965,Minsk,118.691
1965,Mogilev,100.558
1965,Vitebsk,119.015
1966,Brest,162.079
1966,Gomel,161.209
1966,Grodno,142.345
1966,Minsk,144.435
1966,Mogilev,154.060
1966,Vitebsk,134.367
1967,Brest,132.176
1967,Gomel,97.777
1967,Grodno,167.273
1967,Minsk,173.363
1967,Mogilev,118.463
1967,Vitebsk,204.880
1968,Brest,149.962
1968,Gomel,157.151
1968,Grodno,147.238
