year,region,tp_fall
1940,Brest,143.378
1940,Gomel,121.628
1940,Grodno,169.398
1940,Minsk,149.864
1940,Mogilev,144.039
1940,Vitebsk,186.136
1941,Brest,166.423
1941,Gomel,176.584
1941,Grodno,119.840
1941,Minsk,154.681
1941,Mogilev,157.492
1941,Vitebsk,138.867
1942,Brest,84.228
1942,Gomel,80.292
1942,Grodno,101.701
1942,Minsk,108.468
1942,Mogilev,114.468
1942,Vitebsk,124.923
1943,Brest,174.686
1943,Gomel,115.881
1943,Grodno,165.024
1943,Minsk,154.261
1943,Mogilev,92.275
1943,Vitebsk,141.495
1944,Brest,180.898
1944,Gomel,142.300
1944,Grodno,184.673
1944,Minsk,143.818
1944,Mogilev,130.759
1944,Vitebsk,128.797
1945,Brest,128.085
1945,Gomel,99.984
1945,Grodno,144.538
1945,Minsk,122.648
1945,Mogilev,118.636
1945,Vitebsk,162.799
1946,Brest,122.690
1946,Gomel,120.154
1946,Grodno,112.544
1946,Minsk,120.153
1946,Mogilev,126.670
1946,Vitebsk,121.343
1947,Brest,129.362
1947,Gomel,147.482
1947,Grodno,123.634
1947,Minsk,125.773
1947,Mogilev,167.393
1947,Vitebsk,142.414
1948,Brest,96.265
1948,Gomel,89.703
1948,Grodno,148.860
1948,Minsk,126.306
1948,Mogilev,112.604
1948,Vitebsk,173.118
1949,Brest,64.418
1949,Gomel,81.137
1949,Grodno,74.077
1949,Minsk,68.236
1949,Mogilev,87.429
1949,Vitebsk,74.199
1950,Brest,216.098
1950,Gomel,179.138
1950,Grodno,250.235
1950,Minsk,216.886
1950,Mogilev,168.832
1950,Vitebsk,203.348
1951,Brest,77.760
1951,Gomel,74.425
1951,Grodno,79.184
1951,Minsk,74.393
1951,Mogilev,75.503
1951,Vitebsk,86.255
1952,Brest,281.060
1952,Gomel,260.321
1952,Grodno,314.286
1952,Minsk,286.055
1952,Mogilev,249.129
1952,Vitebsk,292.312
1953,Brest,62.860
1953,Gomel,68.981
1953,Grodno,85.327
1953,Minsk,88.900
1953,Mogilev,94.131
1953,Vitebsk,150.779
1954,Brest,101.596
1954,Gomel,133.995
1954,Grodno,111.794
1954,Minsk,134.040
1954,Mogilev,137.625
1954,Vitebsk,173.716
1955,Brest,115.901
1955,Gomel,120.863
1955,Grodno,126.781
1955,Minsk,150.845
1955,Mogilev,153.738
1955,Vitebsk,195.105
1956,Brest,148.504
1956,Gomel,135.713
1956,Grodno,169.043
1956,Minsk,149.768
1956,Mogilev,135.826
1956,Vitebsk,137.358
1957,Brest,184.992
1957,Gomel,207.400
1957,Grodno,229.650
1957,Minsk,237.625
1957,Mogilev,235.326
1957,Vitebsk,243.961
1958,Brest,121.486
1958,Gomel,164.564
1958,Grodno,112.011
1958,Minsk,120.975
1958,Mogilev,155.910
1958,Vitebsk,144.808
1959,Brest,115.771
1959,Gomel,134.606
1959,Grodno,137.530
1959,Minsk,153.708
1959,Mogilev,141.471
1959,Vitebsk,162.576
1960,Brest,222.880
1960,Gomel,179.263
1960,Grodno,205.897
1960,Minsk,234.078
1960,Mogilev,182.347
1960,Vitebsk,211.593
1961,Brest,89.403
1961,Gomel,104.770
1961,Grodno,95.348
1961,Minsk,100.960
1961,Mogilev,128.237
1961,Vitebsk,133.011
1962,Brest,120.951
1962,Gomel,141.896
1962,Grodno,145.265
1962,Minsk,149.580
1962,Mogilev,156.066
1962,Vitebsk,192.547
1963,Brest,174.901
1963,Gomel,132.769
1963,Grodno,222.527
1963,Minsk,204.003
1963,Mogilev,182.195
1963,Vitebsk,225.139
1964,Brest,153.395
1964,Gomel,173.509
1964,Grodno,194.661
1964,Minsk,196.658
1964,Mogilev,188.753
1964,Vitebsk,214.092
1965,Brest,121.881
1965,Gomel,113.596
1965,Grodno,126.125
1965,Minsk,152.328
1965,Mogilev,139.922
1965,Vitebsk,158.709
1966,Brest,167.896
1966,Gomel,178.111
1966,Grodno,172.979
1966,Minsk,152.528
1966,Mogilev,168.512
1966,Vitebsk,167.502
1967,Brest,162.081
1967,Gomel,134.690
1967,Grodno,189.421
1967,Minsk,211.695
1967,Mogilev,163.389
1967,Vitebsk,228.777
1968,Brest,173.094
1968,Gomel,203.696
1968,Grodno,170.038
1968,Minsk,159.779
1968,Mogilev,177.043
1968,Vitebsk,174.720
1969,Brest,146.794
1969,Gomel,186.282
1969,Grodno,194.987
1969,Minsk,206.200
1969,Mogilev,209.400
1969,Vitebsk,221.101
1970,Brest,236.419
1970,Gomel,229.560
1970,Grodno,251.405
1970,Minsk,241.693
1970,Mogilev,224.850
1970,Vitebsk,251.155
1971,Brest,208.223
1971,Gomel,234.621
1971,Grodno,220.384
1971,Minsk,253.632
1971,Mogilev,291.119
1971,Vitebsk,256.862
1972,Brest,235.278
1972,Gomel,258.950
1972,Grodno,254.901
1972,Minsk,260.028
1972,Mogilev,259.822
1972,Vitebsk,269.908
1973,Brest,198.660
1973,Gomel,200.171
1973,Grodno,186.128
1973,Minsk,197.129
1973,Mogilev,217.470
1973,Vitebsk,211.630
1974,Brest,330.306
1974,Gomel,215.194
1974,Grodno,326.432
1974,Minsk,263.314
1974,Mogilev,201.931
1974,Vitebsk,222.901
1975,Brest,115.671
1975,Gomel,81.610
1975,Grodno,129.408
1975,Minsk,117.719
1975,Mogilev,81.162
1975,Vitebsk,103.509
1976,Brest,150.517
1976,Gomel,147.649
1976,Grodno,125.139
1976,Minsk,138.796
1976,Mogilev,133.597
1976,Vitebsk,141.516
1977,Brest,147.844
1977,Gomel,158.607
1977,Grodno,146.550
1977,Minsk,157.670
1977,Mogilev,177.705
1977,Vitebsk,165.105
1978,Brest,189.311
1978,Gomel,163.964
1978,Grodno,235.278
1978,Minsk,236.959
1978,Mogilev,187.729
1978,Vitebsk,288.161
1979,Brest,88.652
1979,Gomel,132.389
1979,Grodno,106.348
1979,Minsk,99.136
1979,Mogilev,144.086
1979,Vitebsk,128.789
1980,Brest,229.142
1980,Gomel,215.444
1980,Grodno,251.195
1980,Minsk,217.233
1980,Mogilev,194.405
1980,Vitebsk,213.731
1981,Brest,185.209
1981,Gomel,236.671
1981,Grodno,186.618
1981,Minsk,201.827
1981,Mogilev,250.952
1981,Vitebsk,239.973
1982,Brest,105.239
1982,Gomel,108.913
1982,Grodno,111.037
1982,Minsk,109.856
1982,Mogilev,122.921
1982,Vitebsk,135.339
1983,Brest,136.142
1983,Gomel,119.685
1983,Grodno,170.183
1983,Minsk,125.000
1983,Mogilev,129.205
1983,Vitebsk,150.519
1984,Brest,190.059
1984,Gomel,214.104
1984,Grodno,190.455
1984,Minsk,215.406
1984,Mogilev,224.448
1984,Vitebsk,257.187
1985,Brest,175.984
1985,Gomel,195.240
1985,Grodno,183.138
1985,Minsk,209.057
1985,Mogilev,247.712
1985,Vitebsk,272.523
1986,Brest,131.164
1986,Gomel,132.532
1986,Grodno,165.668
1986,Minsk,152.475
1986,Mogilev,132.780
1986,Vitebsk,190.478
1987,Brest,152.339
1987,Gomel,137.045
1987,Grodno,137.758
1987,Minsk,133.264
1987,Mogilev,127.956
1987,Vitebsk,150.681
1988,Brest,154.359
1988,Gomel,153.309
1988,Grodno,167.358
1988,Minsk,158.939
1988,Mogilev,162.114
1988,Vitebsk,173.336
1989,Brest,159.332
1989,Gomel,157.587
1989,Grodno,171.857
1989,Minsk,168.838
1989,Mogilev,150.361
1989,Vitebsk,169.355
1990,Brest,255.454
1990,Gomel,250.918
1990,Grodno,270.732
